mot,poids_tfidf,langue,serie
c,0.529562308392177,fr,torchwood
tosh,0.2519408598835792,fr,torchwood
gwen,0.2188433947730072,fr,torchwood
n,0.21665131401563495,fr,torchwood
ianto,0.21142775678672227,fr,torchwood
j,0.18125778251803124,fr,torchwood
non,0.16892367305674508,fr,torchwood
taire,0.159002758924841,fr,torchwood
savoir,0.15444450108045263,fr,torchwood
bien,0.14988624323606428,fr,torchwood
vouloir,0.14452358694854855,fr,torchwood
faire,0.12789935245724984,fr,torchwood
jack,0.12695737025400844,fr,torchwood
harknes,0.11936199368561289,fr,torchwood
chose,0.11154325078032691,fr,torchwood
torchwood,0.11141103351635663,fr,torchwood
rhy,0.11014499904457986,fr,torchwood
devoir,0.10108607101967126,fr,torchwood
oui,0.09920914131904075,fr,torchwood
bon,0.09760034443278605,fr,torchwood
tre,0.09438275066027661,fr,torchwood
toshiko,0.0934832021194603,fr,torchwood
aller,0.09196955533089454,fr,torchwood
voir,0.09196955533089454,fr,torchwood
ici,0.0871431646721304,fr,torchwood
weevil,0.07976017172193713,fr,torchwood
venir,0.07480905521084424,fr,torchwood
pouvoir,0.07078706299520746,fr,torchwood
mme,0.06783760203707381,fr,torchwood
rhys,0.06736289564490522,fr,torchwood
passer,0.06381560982143702,fr,torchwood
jamais,0.06354747700706125,fr,torchwood
vraiment,0.06167054730643074,fr,torchwood
cardiff,0.061570201146166244,fr,torchwood
temps,0.06032988323455181,fr,torchwood
croire,0.05764855509079395,fr,torchwood
enfant,0.057380422276418167,fr,torchwood
prendre,0.05711228946204238,fr,torchwood
vie,0.055771625390163455,fr,torchwood
dire,0.05335843006078138,fr,torchwood
falloir,0.052017765988902454,fr,torchwood
mourir,0.05014083628827195,fr,torchwood
brche,0.0496229864025796,fr,torchwood
avoir,0.04906830503076881,fr,torchwood
arriver,0.047995773773265665,fr,torchwood
trouver,0.047995773773265665,fr,torchwood
alien,0.04630680850494843,fr,torchwood
monde,0.044778180000756236,fr,torchwood
mort,0.043437515928877304,fr,torchwood
heure,0.042633117485749945,fr,torchwood
dsol,0.04236498467137416,fr,torchwood
s,0.04209685185699837,fr,torchwood
cybelia,0.04161141138156888,fr,torchwood
fois,0.04156058622824681,fr,torchwood
besoin,0.03861112527011316,fr,torchwood
