mot,poids_tfidf,langue,serie
s,0.49273387315344125,en,trueblood
t,0.3401859874777916,en,trueblood
know,0.27651930791894613,en,trueblood
fuck,0.24669580518801104,en,trueblood
sookie,0.2287494018933205,en,trueblood
go,0.18175471227195167,en,trueblood
vampire,0.18079600899705583,en,trueblood
m,0.16956769110227168,en,trueblood
get,0.1657855121185779,en,trueblood
come,0.15948188047908823,en,trueblood
think,0.15422885411284684,en,trueblood
right,0.13174590126533375,en,trueblood
shit,0.12326705795455827,en,trueblood
want,0.11619694322125929,en,trueblood
ain,0.10548543808799986,en,trueblood
good,0.10379980099692963,en,trueblood
tell,0.10001762201323583,en,trueblood
let,0.09602532197489239,en,trueblood
stackhouse,0.08960273242537452,en,trueblood
look,0.0823674534226648,en,trueblood
need,0.07858527443897101,en,trueblood
tara,0.07350755369033288,en,trueblood
time,0.07270188490878067,en,trueblood
fucking,0.07242471395994958,en,trueblood
way,0.06261607428559722,en,trueblood
love,0.06051486373910067,en,trueblood
people,0.05883389530190343,en,trueblood
kill,0.058623774247253777,en,trueblood
thing,0.057783290028655156,en,trueblood
mean,0.05526183737285929,en,trueblood
sorry,0.05505171631820964,en,trueblood
bill,0.0548246684799473,en,trueblood
feel,0.05211002155311447,en,trueblood
say,0.05189990049846482,en,trueblood
thank,0.05042905311591723,en,trueblood
man,0.049168326788019294,en,trueblood
godric,0.04855529757169539,en,trueblood
night,0.04811772151477102,en,trueblood
blood,0.04786878496654537,en,trueblood
little,0.0472772372961724,en,trueblood
find,0.04664687413222344,en,trueblood
leave,0.04643675307757378,en,trueblood
hell,0.04391530042177792,en,trueblood
sure,0.043284937257828955,en,trueblood
talk,0.0430748162031793,en,trueblood
hear,0.0430748162031793,en,trueblood
life,0.04181408987528137,en,trueblood
work,0.039292637219485504,en,trueblood
human,0.03917103387152275,en,trueblood
goddamn,0.038706964259510944,en,trueblood
help,0.03803191089158758,en,trueblood
d,0.03761166878228826,en,trueblood
lafayette,0.03702269803607515,en,trueblood
maybe,0.03656106350903999,en,trueblood
try,0.036350942454390335,en,trueblood
