mot,poids_tfidf,langue,serie
c,0.4825191765188563,fr,uglybetty
betty,0.27965475420692737,fr,uglybetty
j,0.23680213628234864,fr,uglybetty
n,0.2363068638404509,fr,uglybetty
non,0.20368079173043843,fr,uglybetty
savoir,0.1974898862067169,fr,uglybetty
bien,0.19563261454960046,fr,uglybetty
meade,0.1783257411895738,fr,uglybetty
vouloir,0.17625508026035205,fr,uglybetty
faire,0.14889127784550288,fr,uglybetty
ugly,0.1471471782234776,fr,uglybetty
taire,0.13149483332384537,fr,uglybetty
daniel,0.131462846346572,fr,uglybetty
hilda,0.12017779141926051,fr,uglybetty
tre,0.11515084274122052,fr,uglybetty
vraiment,0.10623593878706152,fr,uglybetty
devoir,0.09992121515286555,fr,uglybetty
wilhelminer,0.09967910267051303,fr,uglybetty
chose,0.09855921593764681,fr,uglybetty
aller,0.09441130923675338,fr,uglybetty
bon,0.08456776945403614,fr,uglybetty
oui,0.08066749897409158,fr,uglybetty
voir,0.08004840842171942,fr,uglybetty
suarer,0.07820680569583113,fr,uglybetty
ouai,0.07782280769825815,fr,uglybetty
ici,0.07565286549987714,fr,uglybetty
okay,0.07390192416679574,fr,uglybetty
lemarcus,0.07332310659190039,fr,uglybetty
mode,0.07290816690884643,fr,uglybetty
croire,0.07076205013613712,fr,uglybetty
venir,0.06618078004858319,fr,uglybetty
fey,0.06313984216079417,fr,uglybetty
mme,0.060547056021996594,fr,uglybetty
pouvoir,0.05825642097821963,fr,uglybetty
bradford,0.05756608176879961,fr,uglybetty
spraf,0.0568174722075765,fr,uglybetty
jamais,0.05491333199541,fr,uglybetty
oh,0.05450136121045574,fr,uglybetty
besoin,0.05107497057070265,fr,uglybetty
prendre,0.0504558800183305,fr,uglybetty
avoir,0.04841288119550239,fr,uglybetty
ok,0.048343755496774436,fr,uglybetty
team,0.04829558082001701,fr,uglybetty
petit,0.04822715402979074,fr,uglybetty
slater,0.04631837433495423,fr,uglybetty
dieu,0.04581270087553935,fr,uglybetty
falloir,0.04581270087553935,fr,uglybetty
b,0.045755050660373685,fr,uglybetty
passer,0.045688882765064914,fr,uglybetty
justin,0.044352793101041094,fr,uglybetty
aimer,0.04370779299747402,fr,uglybetty
temps,0.04352206583176238,fr,uglybetty
magazine,0.04144682792440443,fr,uglybetty
wilhelmina,0.03999442177740021,fr,uglybetty
marc,0.039940349114221764,fr,uglybetty
gio,0.03946240135049636,fr,uglybetty
nonomy,0.03935958968569545,fr,uglybetty
pre,0.038755068578496796,fr,uglybetty
amander,0.038343910797825516,fr,uglybetty
trs,0.03807406897088743,fr,uglybetty
dsole,0.03800790063651931,fr,uglybetty
quelqu,0.03739306936327806,fr,uglybetty
arriver,0.037331160308040845,fr,uglybetty
heure,0.03720734219756641,fr,uglybetty
penser,0.03702161503185477,fr,uglybetty
traduction,0.03656002919475616,fr,uglybetty
henry,0.03650681162532783,fr,uglybetty
fille,0.03565961581663603,fr,uglybetty
femme,0.03522625242997553,fr,uglybetty
trouver,0.034916707153789445,fr,uglybetty
dire,0.03442143471189173,fr,uglybetty
