mot,poids_tfidf,langue,serie
s,0.5391640059951186,en,weeds
fuck,0.3433738564073349,en,weeds
go,0.23562960967292965,en,weeds
t,0.21512236410485336,en,weeds
know,0.20208464506819557,en,weeds
shit,0.18580424452911584,en,weeds
m,0.18456521011268667,en,weeds
get,0.16949034747655112,en,weeds
think,0.1420568136702504,en,weeds
want,0.14029128921736964,en,weeds
right,0.12929071378018964,en,weeds
fucking,0.12653589187799258,en,weeds
shane,0.1174722558436117,en,weeds
come,0.11245032669117334,en,weeds
need,0.10375851400006816,en,weeds
good,0.10307946613357556,en,weeds
look,0.09357279600267927,en,weeds
let,0.08691812691105186,en,weeds
tell,0.08393031629848445,en,weeds
agrestic,0.07741193045656823,en,weeds
celia,0.07677439142645123,en,weeds
time,0.07292974086130445,en,weeds
man,0.06573183347648297,en,weeds
thing,0.0651885951832889,en,weeds
weed,0.06442795915372797,en,weeds
talk,0.06369468987700519,en,weeds
thank,0.06328726115710964,en,weeds
love,0.0615217367042289,en,weeds
little,0.0608426888377363,en,weeds
nancy,0.06075632035534997,en,weeds
hode,0.0590951636722923,en,weeds
mom,0.05795497229175863,en,weeds
house,0.057719068651870375,en,weeds
say,0.05378059102621334,en,weeds
mean,0.04997792297385482,en,weeds
work,0.04712592193458593,en,weeds
money,0.046718493214690376,en,weeds
doug,0.04654999953794435,en,weeds
guy,0.046409242078081316,en,weeds
way,0.04563201662830223,en,weeds
people,0.04440973046861556,en,weeds
fine,0.04367123369589363,en,weeds
sorry,0.04345906345552593,en,weeds
leave,0.04237258686913778,en,weeds
kid,0.04173262605317777,en,weeds
big,0.04038562363726841,en,weeds
like,0.03979220497646593,en,weeds
bubbie,0.039182662869672064,en,weeds
business,0.03887971902706518,en,weeds
drug,0.038225085796843195,en,weeds
take,0.03816249009688371,en,weeds
maybe,0.03789087095028667,en,weeds
sure,0.03707601351049556,en,weeds
ass,0.03673935193062542,en,weeds
help,0.036668584790600006,en,weeds
great,0.03598953692410741,en,weeds
bullshit,0.03559453054947572,en,weeds
try,0.03558210820421186,en,weeds
kill,0.03435982204452519,en,weeds
botwin,0.0341728341655121,en,weeds
wait,0.03408820289792815,en,weeds
happen,0.03395239332462963,en,weeds
day,0.03381658375133111,en,weeds
hear,0.033137535884838525,en,weeds
