mot,poids_tfidf,langue,serie
c,0.39510750782770465,fr,whitechapel
ventreur,0.3568046806955656,fr,whitechapel
buchan,0.22868240409772,fr,whitechapel
n,0.18353381008770797,fr,whitechapel
mitr,0.18297270998981008,fr,whitechapel
taire,0.15549392243541926,fr,whitechapel
meurtre,0.1459697769049571,fr,whitechapel
non,0.13765035756578098,fr,whitechapel
j,0.13765035756578098,fr,whitechapel
leary,0.1327696718359574,fr,whitechapel
whitechapel,0.13239507605657475,fr,whitechapel
mary,0.13238437142858686,fr,whitechapel
bousfield,0.13069479284986435,fr,whitechapel
bien,0.12235587339180531,fr,whitechapel
vouloir,0.11980679269614271,fr,whitechapel
jack,0.11205164316680409,fr,whitechapel
tueur,0.10529818582112259,fr,whitechapel
voir,0.09941414713084182,fr,whitechapel
bon,0.09686506643517921,fr,whitechapel
mccormack,0.09660402241876315,fr,whitechapel
kent,0.09355823748734436,fr,whitechapel
maduro,0.09148635499490504,fr,whitechapel
savoir,0.08921782434819138,fr,whitechapel
tre,0.08157058226120355,fr,whitechapel
femme,0.08157058226120355,fr,whitechapel
faire,0.07902150156554093,fr,whitechapel
eddower,0.0784168757099186,fr,whitechapel
oui,0.07647242086987832,fr,whitechapel
ici,0.07647242086987832,fr,whitechapel
cathy,0.06735251713488191,fr,whitechapel
mile,0.06712827802070463,fr,whitechapel
aller,0.06627609808722788,fr,whitechapel
croire,0.06627609808722788,fr,whitechapel
ripperologue,0.06534739642493217,fr,whitechapel
joe,0.06375344065660189,fr,whitechapel
homme,0.06372701739156526,fr,whitechapel
devoir,0.06372701739156526,fr,whitechapel
trouver,0.06372701739156526,fr,whitechapel
victime,0.06355855297122819,fr,whitechapel
hutchinson,0.06276824520073196,fr,whitechapel
skip,0.05951497867494559,fr,whitechapel
avoir,0.058628856000240044,fr,whitechapel
mme,0.058628856000240044,fr,whitechapel
chapman,0.05553330224182904,fr,whitechapel
chandler,0.054017342065018285,fr,whitechapel
alice,0.05350735563887825,fr,whitechapel
suspect,0.05307992661609636,fr,whitechapel
ripperfan,0.052277917139945736,fr,whitechapel
inspecteur,0.05134911810658249,fr,whitechapel
heure,0.05098161391325221,fr,whitechapel
enqute,0.049724143304418995,fr,whitechapel
venir,0.048432533217589606,fr,whitechapel
pouvoir,0.04588345252192699,fr,whitechapel
prendre,0.04588345252192699,fr,whitechapel
squar,0.045685667641064076,fr,whitechapel
complot,0.0448855192031477,fr,whitechapel
soldat,0.044573989641832824,fr,whitechapel
falloir,0.04333437182626438,fr,whitechapel
dire,0.04333437182626438,fr,whitechapel
temps,0.04333437182626438,fr,whitechapel
police,0.04315522776998624,fr,whitechapel
aot,0.04201312638421476,fr,whitechapel
catherine,0.041521301101257235,fr,whitechapel
Monsieur,0.04144848120829256,fr,whitechapel
t,0.040785291130601774,fr,whitechapel
oeil,0.040785291130601774,fr,whitechapel
nuit,0.040785291130601774,fr,whitechapel
mourir,0.040785291130601774,fr,whitechapel
baonnette,0.0405459864426779,fr,whitechapel
rob,0.03970452395849268,fr,whitechapel
square,0.03932642711442441,fr,whitechapel
hanbury,0.0392084378549593,fr,whitechapel
eddowe,0.0392084378549593,fr,whitechapel
tabram,0.0392084378549593,fr,whitechapel
lostherion,0.0392084378549593,fr,whitechapel
baje,0.0392084378549593,fr,whitechapel
grave,0.039172654229742664,fr,whitechapel
couteau,0.03900224093660372,fr,whitechapel
annie,0.038914440464638725,fr,whitechapel
coup,0.03854581706932953,fr,whitechapel
mort,0.03823621043493916,fr,whitechapel
fois,0.03823621043493916,fr,whitechapel
emma,0.037591207605118304,fr,whitechapel
mutil,0.03716122138031788,fr,whitechapel
ouai,0.03656114394775982,fr,whitechapel
aspirat,0.03610774801542947,fr,whitechapel
maon,0.03600002037157407,fr,whitechapel
visage,0.035976095931374234,fr,whitechapel
voil,0.03568712973927655,fr,whitechapel
an,0.03568712973927655,fr,whitechapel
trouv,0.03568712973927655,fr,whitechapel
connaître,0.03568712973927655,fr,whitechapel
fait,0.03568712973927655,fr,whitechapel
commissaire,0.03554092473019321,fr,whitechapel
anthony,0.03553796055459765,fr,whitechapel
clarence,0.035378170043461526,fr,whitechapel
fitz,0.033907773563304336,fr,whitechapel
ricorod,0.033907773563304336,fr,whitechapel
rein,0.03388031039115857,fr,whitechapel
corps,0.03340637479341893,fr,whitechapel
soir,0.03340637479341893,fr,whitechapel
lieu,0.03313804904361394,fr,whitechapel
tablier,0.032985918676114424,fr,whitechapel
jone,0.03294613275936151,fr,whitechapel
kiry,0.03220134080625438,fr,whitechapel
sander,0.0317115459565863,fr,whitechapel
gorge,0.0311453434643938,fr,whitechapel
street,0.03107166487505486,fr,whitechapel
ct,0.03083665365546363,fr,whitechapel
