mot,poids_tfidf,langue,serie
naomi,0.170865339617645,en,90210
navid,0.1362791246074808,en,90210
adrianna,0.1156123802716277,en,90210
dixon,0.1136822983444653,en,90210
talk,0.0820839006944121,en,90210
liam,0.0607427384390815,en,90210
silver,0.0591871897278729,en,90210
annie,0.0584276704700967,en,90210
mom,0.0566888334986512,en,90210
school,0.053259897866602,en,90210
love,0.0519967566428888,en,90210
girl,0.0472136722039287,en,90210
little,0.0464422069718384,en,90210
sure,0.0456707417397481,en,90210
dad,0.0456234740868252,en,90210
great,0.0452078626004938,en,90210
friend,0.0425848808113867,en,90210
like,0.0421220016721325,en,90210
night,0.0411962433936241,en,90210
actually,0.0394990198830253,en,90210
kid,0.0384040213103391,en,90210
happen,0.0357959867689917,en,90210
fine,0.03312839154228,en,90210
work,0.0328644188870484,en,90210
cool,0.0323984541918498,en,90210
bad,0.0322472467013761,en,90210
nice,0.0320929536549581,en,90210
hear,0.03193866060854,en,90210
big,0.0318841327050113,en,90210
party,0.0311341242721679,en,90210
jasper,0.0300663748142896,en,90210
help,0.0297785579586871,en,90210
play,0.029624264912269,en,90210
stop,0.0293156788194328,en,90210
pretty,0.0284624209025222,en,90210
life,0.0283899205409244,en,90210
meet,0.0283899205409244,en,90210
date,0.0283774873186095,en,90210
guess,0.0282356274945064,en,90210
baby,0.0274367971312522,en,90210
care,0.027309869215998,en,90210
believe,0.0265384039839076,en,90210
break,0.0261294355826434,en,90210
long,0.025149766566145,en,90210
house,0.0249954735197269,en,90210
totally,0.0246409074878004,en,90210
start,0.0245325943804727,en,90210
course,0.0237964502627645,en,90210
car,0.022757938554275,en,90210
home,0.0223724917306198,en,90210
tonight,0.0222630011007875,en,90210
dude,0.0221036666070226,en,90210
stay,0.0220639056377837,en,90210
problem,0.0219096125913656,en,90210
movie,0.0208947185757013,en,90210
sound,0.0203666821271849,en,90210
kelly,0.0202733196069924,en,90210
away,0.0202123890807668,en,90210
new,0.0202123890807668,en,90210
win,0.0202123890807668,en,90210
lie,0.0199038029879307,en,90210
wrong,0.0192866308022584,en,90210
live,0.0191323377558404,en,90210
cause,0.0189780447094223,en,90210
class,0.0189172651741381,en,90210
later,0.0188194149136896,en,90210
stuff,0.0188194149136896,en,90210
ade,0.0186843676515908,en,90210
miss,0.0185151655701681,en,90210
idea,0.01836087252375,en,90210
ethan,0.0183560001773012,en,90210
high,0.0181866769555729,en,90210
trust,0.0180417531403966,en,90210
deal,0.0180417531403966,en,90210
fun,0.01802989525768,en,90210
drug,0.0176012815098502,en,90210
hell,0.0174351142452416,en,90210
sister,0.0173845363956267,en,90210
family,0.0172808211988236,en,90210
sex,0.017262052005027,en,90210
place,0.0169722351059874,en,90210
remember,0.0169722351059874,en,90210
amazing,0.0167276706182835,en,90210
hang,0.0166419619484693,en,90210
exactly,0.0165093559667332,en,90210
worry,0.0164864295938107,en,90210
probably,0.0163550629203151,en,90210
parent,0.016188275904831,en,90210
kiss,0.0161207998875263,en,90210
happy,0.0158921837810609,en,90210
tomorrow,0.0158643001751763,en,90210
sean,0.0158357360213787,en,90210
mind,0.0157378907346429,en,90210
money,0.0157378907346429,en,90210
end,0.0155835976882248,en,90210
figure,0.0155532354658591,en,90210
ready,0.0154293046418067,en,90210
suppose,0.0154293046418067,en,90210
hard,0.0151207185489706,en,90210
blaze,0.0150806613944861,en,90210
glad,0.0149311060472248,en,90210
seriously,0.0148159368333368,en,90210
today,0.0148121324561345,en,90210
dinner,0.0146978353163026,en,90210
mother,0.0146578394097164,en,90210
real,0.0146578394097164,en,90210
bring,0.0145035463632983,en,90210
crazy,0.014423916206144,en,90210
sleep,0.0143492533168803,en,90210
world,0.0141949602704622,en,90210
birthday,0.0140414107641775,en,90210
watch,0.0140406672240441,en,90210
dance,0.0139290790799832,en,90210
true,0.013732081131208,en,90210
run,0.013732081131208,en,90210
turn,0.013732081131208,en,90210
forget,0.013686847209956,en,90210
lose,0.0135777880847899,en,90210
sit,0.0135777880847899,en,90210
old,0.0135777880847899,en,90210
son,0.0135313148552974,en,90210
boyfriend,0.0133564638976323,en,90210
late,0.0132692019919538,en,90210
hope,0.0132692019919538,en,90210
anymore,0.0130128809251082,en,90210
eat,0.0129606158991177,en,90210
principal,0.0128790770690257,en,90210
team,0.0126867361087633,en,90210
check,0.0124977367598634,en,90210
act,0.0124425883726873,en,90210
girlfriend,0.0122302953979095,en,90210
week,0.0121891506670273,en,90210
second,0.0117262715277731,en,90210
change,0.0117262715277731,en,90210
prom,0.0117002404041688,en,90210
story,0.0116649265993943,en,90210
room,0.011571978481355,en,90210
