mot,poids_tfidf,langue,serie
angel,0.1848211958092163,en,angel
cordelia,0.1231995344038884,en,angel
cordy,0.1088618422736908,en,angel
angelus,0.1046256764226456,en,angel
lorne,0.0947397340070465,en,angel
demon,0.0840763386188508,en,angel
kill,0.0806913369605247,en,angel
connor,0.0800933358177174,en,angel
fre,0.0750499085304793,en,angel
wesley,0.0697478087844808,en,angel
vampire,0.0659094433401227,en,angel
darla,0.0644119569666517,en,angel
help,0.0598272217962768,en,angel
work,0.0589893055246203,en,angel
little,0.0548835157935033,en,angel
wes,0.0536403338434433,en,angel
talk,0.0480963939930853,en,angel
happen,0.0469233112127661,en,angel
win,0.0448285205336248,en,angel
love,0.0434878544989743,en,angel
sure,0.0429013131088148,en,angel
fred,0.0420397637985606,en,angel
stop,0.0396334396493543,en,angel
big,0.0376712365322213,en,angel
bad,0.0369521075800533,en,angel
hear,0.0361141913083968,en,angel
gunn,0.0348752254742152,en,angel
life,0.0341869838835867,en,angel
place,0.0336004424934272,en,angel
world,0.0334328592390959,en,angel
wolfram,0.0331318650398189,en,angel
long,0.0330976927304332,en,angel
girl,0.0305839439154636,en,angel
spike,0.0288264871485838,en,angel
fight,0.0287405281178192,en,angel
power,0.0283526637294708,en,angel
evil,0.0283508980111616,en,angel
friend,0.0282377783548253,en,angel
bring,0.0279026118461627,en,angel
head,0.0277350285918314,en,angel
soul,0.027582263858141,en,angel
great,0.0273998620831688,en,angel
start,0.0270646955745062,en,angel
dead,0.0267295290658435,en,angel
believe,0.0262267793028496,en,angel
die,0.026142987675684,en,angel
buffy,0.0253871334656156,en,angel
guess,0.0252212797768618,en,angel
nice,0.0252212797768618,en,angel
hell,0.0251374881496961,en,angel
hurt,0.0250860028028469,en,angel
beast,0.0249419895381221,en,angel
vision,0.0246945056746208,en,angel
save,0.0243833635052052,en,angel
live,0.0242157802508739,en,angel
stay,0.0240481969965426,en,angel
care,0.0240481969965426,en,angel
doyle,0.0239835157216847,en,angel
blood,0.0239034976202211,en,angel
night,0.0235454472335487,en,angel
turn,0.0232940723520517,en,angel
like,0.0232102807248861,en,angel
away,0.0231264890977204,en,angel
lose,0.0229589058433891,en,angel
remember,0.0226237393347265,en,angel
lindsey,0.0224729439429329,en,angel
wrong,0.0224561560803952,en,angel
human,0.022400886516509,en,angel
jasmine,0.0222810375695713,en,angel
slayer,0.0222234165051283,en,angel
run,0.0222047811988982,en,angel
new,0.02178582306307,en,angel
home,0.0217020314359043,en,angel
boy,0.0203613654012539,en,angel
end,0.0201937821469225,en,angel
pretty,0.019680264825129,en,angel
lilah,0.0194191596390516,en,angel
prophecy,0.0192420809426247,en,angel
dimension,0.0192271386137385,en,angel
baby,0.0190720620882926,en,angel
change,0.0190206993666034,en,angel
son,0.0189200829220125,en,angel
plan,0.0189200829220125,en,angel
old,0.0188531161122721,en,angel
fine,0.0188356182661106,en,angel
portal,0.0185616542022794,en,angel
hand,0.0185179496036095,en,angel
real,0.0184341579764438,en,angel
play,0.0183503663492782,en,angel
kid,0.017937874643488,en,angel
open,0.0176800333319529,en,angel
probably,0.0175962417047873,en,angel
understand,0.0173448668232903,en,angel
problem,0.016925908687462,en,angel
meet,0.0168421170602964,en,angel
miss,0.0164231589244681,en,angel
groosalugg,0.0163507905391314,en,angel
close,0.0163393672973025,en,angel
sigh,0.0163306953218802,en,angel
pay,0.0162172139331535,en,angel
idea,0.0160879924158055,en,angel
safe,0.0159217661183514,en,angel
word,0.0159204091614742,en,angel
harmony,0.0155771458814864,en,angel
suppose,0.0154176593984803,en,angel
room,0.0154176593984803,en,angel
deal,0.0152881027182333,en,angel
fire,0.015250076144149,en,angel
send,0.0152036380623314,en,angel
course,0.0152036380623314,en,angel
chuckle,0.0151913444854699,en,angel
figure,0.0151191734064296,en,angel
mind,0.0149149096354863,en,angel
hard,0.014747326381155,en,angel
actually,0.0144959514996581,en,angel
spell,0.0144712772708108,en,angel
sound,0.0142445766181611,en,angel
body,0.0141900621915093,en,angel
eye,0.0141607849909955,en,angel
hope,0.0140769933638298,en,angel
matter,0.0139932017366642,en,angel
door,0.0139932017366642,en,angel
father,0.0139634740289285,en,angel
heart,0.0139366682238038,en,angel
grunt,0.0139253991116808,en,angel
charle,0.0139118743928063,en,angel
case,0.0139094101094985,en,angel
groan,0.0138150798267506,en,angel
merl,0.0137690867697948,en,angel
job,0.0137418268551672,en,angel
use,0.0136580352280015,en,angel
soon,0.0135988096001964,en,angel
happy,0.0134904519736702,en,angel
face,0.0133454156324909,en,angel
child,0.0133454156324909,en,angel
check,0.0133228687193389,en,angel
easy,0.0133228687193389,en,angel
vamp,0.0133011097801527,en,angel
gasp,0.013289009538737,en,angel
sunnydale,0.0130782095528307,en,angel
break,0.0130075570088836,en,angel
death,0.0129230923529817,en,angel
burkle,0.0129085188466827,en,angel
trust,0.012754163041178,en,angel
money,0.0127363273291793,en,angel
family,0.0126525357020137,en,angel
office,0.0126011838797648,en,angel
lie,0.012568744074848,en,angel
watch,0.0124849524476824,en,angel
worry,0.0123318397616688,en,angel
stuff,0.0123318397616688,en,angel
true,0.0123173691933511,en,angel
eat,0.0122335775661854,en,angel
senior,0.0122256598996813,en,angel
partner,0.0121708455756397,en,angel
hate,0.0121629104498651,en,angel
drink,0.0121629104498651,en,angel
bit,0.0121497859390198,en,angel
forget,0.0120784457939633,en,angel
walk,0.0120659943118541,en,angel
speak,0.0118984110575228,en,angel
scream,0.0118813673154439,en,angel
tonight,0.0118348956708601,en,angel
fun,0.0117497525365374,en,angel
high,0.0117497525365374,en,angel
read,0.0117308278031915,en,angel
car,0.0116724925909778,en,angel
exactly,0.0116470361760258,en,angel
cut,0.0115716578585522,en,angel
mystical,0.011527764188784,en,angel
groo,0.0114929720312754,en,angel
ready,0.0113118696673632,en,angel
