mot,poids_tfidf,langue,serie
angel,0.2990917919136651,fr,angel
taire,0.1453224909417067,fr,angel
tre,0.1190427257650656,fr,angel
ici,0.0896278307077023,fr,angel
gunn,0.0824660788202693,fr,angel
cordy,0.0818521391223042,fr,angel
cordlia,0.075756767060005,fr,angel
vampire,0.0750665591906516,fr,angel
lorne,0.0726084796805786,fr,angel
wolfram,0.0699701872802595,fr,angel
mme,0.0640857431500546,fr,angel
angelu,0.0640014066541421,fr,angel
cordelia,0.0635660229354064,fr,angel
connor,0.0627961080982652,fr,angel
dmon,0.0618829900470109,fr,angel
wesley,0.0615218966411544,fr,angel
spike,0.0584352463758205,fr,angel
fred,0.0552753259231321,fr,angel
petit,0.0518218527342888,fr,angel
darla,0.051051378294863,fr,angel
besoin,0.0505309169010503,fr,angel
tuer,0.0500698683891794,fr,angel
mal,0.0487789325559409,fr,angel
hart,0.0406303325315512,fr,angel
angelus,0.0404906858424164,fr,angel
trs,0.0367916712472975,fr,angel
aimer,0.0362384130330525,fr,angel
lilah,0.0351616710792585,fr,angel
mourir,0.0345786383903172,fr,angel
heure,0.0334721219618271,fr,angel
mieux,0.0331032831523304,fr,angel
sortir,0.0331032831523304,fr,angel
sang,0.0311668794024726,fr,angel
mort,0.0311668794024726,fr,angel
grand,0.0301525726763566,fr,angel
aider,0.0297837338668599,fr,angel
quelqu,0.0296915241644857,fr,angel
accord,0.0295071047597374,fr,angel
apr,0.0291382659502406,fr,angel
veux,0.0290460562478665,fr,angel
fille,0.0279395398193763,fr,angel
appeler,0.0275707010098796,fr,angel
tte,0.0269252330932603,fr,angel
ami,0.0259109263671444,fr,angel
humain,0.0256952992748757,fr,angel
problme,0.0254498778552735,fr,angel
peur,0.0252654584505251,fr,angel
attendre,0.0250810390457767,fr,angel
pass,0.0250810390457767,fr,angel
vision,0.0250469900555928,fr,angel
dieu,0.0244355711291575,fr,angel
perdre,0.0244355711291575,fr,angel
ouai,0.024183811082236,fr,angel
dsol,0.0240667323196608,fr,angel
sentir,0.0238823129149124,fr,angel
raison,0.0238823129149124,fr,angel
bte,0.0234546500713099,fr,angel
buffy,0.0227631748511847,fr,angel
air,0.0224991673792997,fr,angel
coup,0.0224954351801892,fr,angel
illyria,0.0224871152251072,fr,angel
vrai,0.0224069576769255,fr,angel
regarder,0.0223147479745514,fr,angel
nom,0.022130328569803,fr,angel
tai,0.0221236098053101,fr,angel
essayer,0.0218536994626805,fr,angel
holtz,0.0217437158401732,fr,angel
revenir,0.0215770703555579,fr,angel
sai,0.0213004412484354,fr,angel
finir,0.0212082315460612,fr,angel
aide,0.0210238121413129,fr,angel
faith,0.0206624108045082,fr,angel
prophtie,0.0205217990009901,fr,angel
voil,0.0203783442246936,fr,angel
laisse,0.019548456903326,fr,angel
lindsey,0.0192474836127558,fr,angel
vivre,0.01853415017721,fr,angel
media,0.0183196947414165,fr,angel
plutt,0.0178476179941997,fr,angel
doyle,0.017767099461023,fr,angel
souvenir,0.0176120531534682,fr,angel
nuit,0.017519843451094,fr,angel
porte,0.017519843451094,fr,angel
sdi,0.0175054771251468,fr,angel
enfant,0.0173354240463457,fr,angel
arrte,0.0173354240463457,fr,angel
soir,0.017289879931881,fr,angel
oeil,0.0167821658321006,fr,angel
main,0.0167821658321006,fr,angel
groosalugg,0.01654700374871,fr,angel
attend,0.0165462291821226,fr,angel
chance,0.0165055367249781,fr,angel
devenir,0.0164133270226039,fr,angel
endroit,0.0163603164946831,fr,angel
super,0.0163429660829173,fr,angel
pre,0.0163211173202297,fr,angel
fils,0.0161366979154813,fr,angel
travailler,0.0160444882131072,fr,angel
fait,0.0160444882131072,fr,angel
nouveau,0.0160444882131072,fr,angel
sauver,0.015952278510733,fr,angel
salut,0.0158600688083588,fr,angel
chercher,0.0157678591059846,fr,angel
question,0.0155834397012363,fr,angel
comprend,0.0154912299988621,fr,angel
