mot,poids_tfidf,langue,serie
cylon,0.4938567992536484,fr,battlestargalactica
galactica,0.2214611817340649,fr,battlestargalactica
vaisseau,0.1792165170975377,fr,battlestargalactica
gaiu,0.1254997161426849,fr,battlestargalactica
flotte,0.1168662846216827,fr,battlestargalactica
baltar,0.1140968515677226,fr,battlestargalactica
ici,0.1096268489460191,fr,battlestargalactica
amiral,0.1073012197589789,fr,battlestargalactica
prsidente,0.1059155009790255,fr,battlestargalactica
adama,0.0987790756010739,fr,battlestargalactica
taire,0.0977309513990236,fr,battlestargalactica
tre,0.0895268841252335,fr,battlestargalactica
raptor,0.0859306923608285,fr,battlestargalactica
kara,0.0805131806387062,fr,battlestargalactica
viper,0.0728556920129963,fr,battlestargalactica
starbuck,0.0719845207194595,fr,battlestargalactica
gaeta,0.0716632509262693,fr,battlestargalactica
capricer,0.0692421951517332,fr,battlestargalactica
mme,0.0675810041678452,fr,battlestargalactica
caprica,0.0660693103166748,fr,battlestargalactica
raider,0.0608840994287011,fr,battlestargalactica
pegasu,0.0605263943634031,fr,battlestargalactica
battlestar,0.0600906699768255,fr,battlestargalactica
helo,0.0573113217552155,fr,battlestargalactica
thrace,0.0571369162790525,fr,battlestargalactica
boomer,0.0532408862729136,fr,battlestargalactica
tigh,0.0527790158848875,fr,battlestargalactica
roslin,0.0515276103854231,fr,battlestargalactica
dieu,0.0512754204611876,fr,battlestargalactica
besoin,0.0454300225286122,fr,battlestargalactica
cally,0.0431973660636053,fr,battlestargalactica
dradi,0.0431149393020887,fr,battlestargalactica
seriestele,0.0425522178517564,fr,battlestargalactica
herer,0.0420633554166719,fr,battlestargalactica
apollo,0.0420006862433474,fr,battlestargalactica
terre,0.0419727739561873,fr,battlestargalactica
colonial,0.0419667110476899,fr,battlestargalactica
saul,0.0397555868716621,fr,battlestargalactica
sharon,0.0393201591858394,fr,battlestargalactica
commandant,0.0390278078405316,fr,battlestargalactica
chef,0.0388734523873313,fr,battlestargalactica
mourir,0.0354825909591418,fr,battlestargalactica
quorum,0.0353527876748411,fr,battlestargalactica
lord,0.0351186755797416,fr,battlestargalactica
kobol,0.0338947808435057,fr,battlestargalactica
capitaine,0.0334343387860725,fr,battlestargalactica
saut,0.0325060361049724,fr,battlestargalactica
tyrol,0.0324421473787841,fr,battlestargalactica
colonel,0.0323482974098952,fr,battlestargalactica
fait,0.031995862367781,fr,battlestargalactica
putain,0.0310667876784932,fr,battlestargalactica
accord,0.0308678031176349,fr,battlestargalactica
attendre,0.0294320913447216,fr,battlestargalactica
pilote,0.0289924008884059,fr,battlestargalactica
raptors,0.0289323123608968,fr,battlestargalactica
perdre,0.0285091337764203,fr,battlestargalactica
zarek,0.0283927649062535,fr,battlestargalactica
aimer,0.0279963795718084,fr,battlestargalactica
colonie,0.0279840248274904,fr,battlestargalactica
heure,0.0276887270490413,fr,battlestargalactica
humain,0.0273162280610108,fr,battlestargalactica
apr,0.027073422003507,fr,battlestargalactica
lee,0.0269697281424002,fr,battlestargalactica
trs,0.0268683203216623,fr,battlestargalactica
ordre,0.0265861373309648,fr,battlestargalactica
cic,0.0259184196381631,fr,battlestargalactica
enfant,0.0258428119124385,fr,battlestargalactica
leoben,0.0257638051927115,fr,battlestargalactica
arme,0.0252275068669043,fr,battlestargalactica
ftl,0.0243745713908119,fr,battlestargalactica
adamer,0.0240995831723271,fr,battlestargalactica
sortir,0.0238943459349134,fr,battlestargalactica
mort,0.023791795093991,fr,battlestargalactica
galen,0.023726346590454,fr,battlestargalactica
raison,0.0236892442530686,fr,battlestargalactica
