mot,poids_tfidf,langue,serie
coreen,0.1806002245724443,en,bloodties
vicki,0.1163486791568767,en,bloodties
kill,0.1082322892193476,en,bloodties
vampire,0.0986835885198125,en,bloodties
work,0.0725676447168624,en,bloodties
talk,0.0695955910083219,en,bloodties
demon,0.0667526001124159,en,bloodties
henry,0.0653956283690898,en,bloodties
help,0.0611747721674573,en,bloodties
night,0.0582027184589169,en,bloodties
dead,0.0544876513232414,en,bloodties
believe,0.047552859336647,en,bloodties
case,0.0465621747671335,en,bloodties
stop,0.0460668324823768,en,bloodties
sure,0.0448284767704849,en,bloodties
fitzroy,0.0445136013138907,en,bloodties
blood,0.0441899048747586,en,bloodties
connor,0.0429483598021561,en,bloodties
body,0.0426919419976482,en,bloodties
little,0.0401227250652959,en,bloodties
vick,0.0399319360171584,en,bloodties
die,0.0378936847838906,en,bloodties
happen,0.0366553290719987,en,bloodties
incubus,0.0356113118875242,en,bloodties
windigo,0.0352051204277104,en,bloodties
swanson,0.0352051204277104,en,bloodties
celluci,0.0343394793201126,en,bloodties
detective,0.0341753406765885,en,bloodties
life,0.0339309465058366,en,bloodties
start,0.0336832753634583,en,bloodties
love,0.0336832753634583,en,bloodties
friend,0.0324449196515664,en,bloodties
angelique,0.0308044803742466,en,bloodties
long,0.0307112216549178,en,bloodties
bad,0.0307112216549178,en,bloodties
buttercup,0.0306789496055541,en,bloodties
hobman,0.0305239816178779,en,bloodties
killer,0.0299934337924245,en,bloodties
hear,0.0297205370854043,en,bloodties
kid,0.0294277779906134,en,bloodties
marcy,0.0287589664004384,en,bloodties
great,0.0287298525158909,en,bloodties
baby,0.0284382495054285,en,bloodties
diesel,0.0284378542940528,en,bloodties
murder,0.0278404098186994,en,bloodties
hell,0.0277391679463774,en,bloodties
meet,0.0267484833768639,en,bloodties
turn,0.0255101276649721,en,bloodties
chalice,0.0254884697981862,en,bloodties
place,0.0250147853802153,en,bloodties
like,0.0250147853802153,en,bloodties
miss,0.0247671142378369,en,bloodties
girl,0.0247671142378369,en,bloodties
bring,0.0242717719530802,en,bloodties
old,0.0237764296683235,en,bloodties
fine,0.023717745554249,en,bloodties
understand,0.0232810873835667,en,bloodties
actually,0.0232810873835667,en,bloodties
suppose,0.0230334162411884,en,bloodties
live,0.0230334162411884,en,bloodties
pettigrew,0.0228929862134084,en,bloodties
open,0.02278574509881,en,bloodties
idea,0.0222904028140532,en,bloodties
home,0.0222904028140532,en,bloodties
death,0.0222197826771385,en,bloodties
run,0.0220427316716749,en,bloodties
mother,0.0220427316716749,en,bloodties
head,0.0220427316716749,en,bloodties
win,0.0217950605292965,en,bloodties
police,0.0213882170885293,en,bloodties
question,0.0212997182445398,en,bloodties
client,0.0211120935706914,en,bloodties
homicide,0.0210432521956086,en,bloodties
cop,0.0210280626657551,en,bloodties
pentagram,0.0210142707827531,en,bloodties
pretty,0.0209714802795464,en,bloodties
trust,0.020721819800028,en,bloodties
nice,0.0205567048174047,en,bloodties
away,0.0205567048174047,en,bloodties
delphine,0.0203493210785852,en,bloodties
swartalfen,0.0203493210785852,en,bloodties
guess,0.0203090336750263,en,bloodties
melville,0.0201927459693752,en,bloodties
mind,0.0200613625326479,en,bloodties
play,0.0198136913902696,en,bloodties
exactly,0.0198136913902696,en,bloodties
ago,0.0195660202478912,en,bloodties
care,0.0195660202478912,en,bloodties
hour,0.0193183491055128,en,bloodties
check,0.0193183491055128,en,bloodties
hurt,0.0192238569229176,en,bloodties
brother,0.0190706779631344,en,bloodties
break,0.0189741964433992,en,bloodties
magic,0.018887897548571,en,bloodties
wolverine,0.0188856360068568,en,bloodties
crowley,0.0188856360068568,en,bloodties
benoit,0.0188080883117567,en,bloodties
soul,0.0185413954353169,en,bloodties
kate,0.0184665274369627,en,bloodties
stay,0.018079993393621,en,bloodties
francine,0.0179863200065303,en,bloodties
sagara,0.0178056559437621,en,bloodties
bridewell,0.0178056559437621,en,bloodties
supernatural,0.0177901676282899,en,bloodties
subsfactory,0.0177631945166591,en,bloodties
dream,0.017616614737876,en,bloodties
book,0.017616614737876,en,bloodties
remember,0.0175846511088642,en,bloodties
isabel,0.0174634427107412,en,bloodties
ritual,0.0172934252185334,en,bloodties
soon,0.0172265730867703,en,bloodties
use,0.0170893088241075,en,bloodties
boy,0.0168416376817291,en,bloodties
lose,0.0168416376817291,en,bloodties
javi,0.0166499279160433,en,bloodties
nightwalker,0.0165338233763505,en,bloodties
pachacamac,0.0165338233763505,en,bloodties
