mot,poids_tfidf,langue,serie
vicki,0.3379172395416033,fr,bloodties
taire,0.1978906091574278,fr,bloodties
tre,0.130970012533878,fr,bloodties
henry,0.1219787761738459,fr,bloodties
coreen,0.1041788847046296,fr,bloodties
fitzroy,0.0900947404665693,fr,bloodties
vampire,0.0884317109451422,fr,bloodties
ouai,0.0819094297246916,fr,bloodties
ici,0.0784053194764362,fr,bloodties
mme,0.0773010192021202,fr,bloodties
accord,0.0697917773367714,fr,bloodties
nelson,0.0655231606174015,fr,bloodties
celluci,0.0645456133496075,fr,bloodties
mike,0.0635884474120604,fr,bloodties
heure,0.0613990952519697,fr,bloodties
besoin,0.0576444743192953,fr,bloodties
mort,0.0525646930574417,fr,bloodties
swanson,0.0503280995061962,fr,bloodties
quelqu,0.0496935123442201,fr,bloodties
trs,0.0472640517407249,fr,bloodties
affaire,0.0459388914115457,fr,bloodties
tuer,0.0459388914115457,fr,bloodties
nuit,0.0454971713018193,fr,bloodties
dmon,0.0435765715756819,fr,bloodties
sang,0.0432885707531873,fr,bloodties
mourir,0.0432885707531873,fr,bloodties
stamp,0.0411302076043034,fr,bloodties
trouv,0.0399756699302393,fr,bloodties
corps,0.0378502288771006,fr,bloodties
appeler,0.0377670693816073,fr,bloodties
connor,0.0367972631155376,fr,bloodties
mal,0.0353376087781121,fr,bloodties
aider,0.0342333085037961,fr,bloodties
vick,0.0340140790976555,fr,bloodties
aimer,0.0333498682843433,fr,bloodties
windigo,0.0313373010318502,fr,bloodties
marcy,0.030244173956087,fr,bloodties
essayer,0.029816107406532,fr,bloodties
sai,0.0295952473516688,fr,bloodties
marlisse,0.0294418587208735,fr,bloodties
apr,0.0289326671870792,fr,bloodties
calice,0.028729392388971,fr,bloodties
petit,0.0280492269676264,fr,bloodties
fille,0.0271657867481736,fr,bloodties
mec,0.0271341270234372,fr,bloodties
sortir,0.0267240666384472,fr,bloodties
incube,0.0256708165085876,fr,bloodties
diesel,0.0256472537632347,fr,bloodties
problme,0.0251780462544048,fr,bloodties
neeley,0.0250278752532042,fr,bloodties
mieux,0.0247363261446784,fr,bloodties
meurtre,0.0246046745043032,fr,bloodties
travailler,0.0245154660898152,fr,bloodties
brendan,0.0244450769030095,fr,bloodties
sarah,0.0240411961793779,fr,bloodties
faon,0.0236320258703624,fr,bloodties
soir,0.023600730946898,fr,bloodties
pre,0.0234111658154992,fr,bloodties
client,0.0232247737041088,fr,bloodties
veux,0.023190305760636,fr,bloodties
ami,0.0229694457057728,fr,bloodties
attendre,0.0225277255960464,fr,bloodties
callie,0.0224052798256434,fr,bloodties
mendoza,0.0222480409741092,fr,bloodties
fait,0.02208600548632,fr,bloodties
finir,0.02208600548632,fr,bloodties
regarder,0.0218651454314568,fr,bloodties
tie,0.0217537218061226,fr,bloodties
police,0.0217335149733878,fr,bloodties
question,0.0216442853765936,fr,bloodties
astaroth,0.0215152044498691,fr,bloodties
tard,0.0213742468953039,fr,bloodties
blood,0.0209377200531856,fr,bloodties
enfant,0.0207608451571408,fr,bloodties
grand,0.0207608451571408,fr,bloodties
magnus,0.0206262304331074,fr,bloodties
aide,0.0205399851022776,fr,bloodties
hobman,0.0203828252682971,fr,bloodties
deed,0.0203828252682971,fr,bloodties
raison,0.0203191250474144,fr,bloodties
esprit,0.0202006218955541,fr,bloodties
emmanuel,0.0201998845342567,fr,bloodties
devenir,0.0200982649925512,fr,bloodties
pentagramme,0.019652579034201,fr,bloodties
felicia,0.0195345848970998,fr,bloodties
arrter,0.0194356848279616,fr,bloodties
partie,0.0192148247730984,fr,bloodties
elf,0.0192045255648372,fr,bloodties
crowley,0.019152928259314,fr,bloodties
ecoute,0.0190263904062836,fr,bloodties
javier,0.0189747930030541,fr,bloodties
magie,0.0188622149463197,fr,bloodties
tte,0.018773104663372,fr,bloodties
tueur,0.0187535590133368,fr,bloodties
inspecteur,0.0186859796389635,fr,bloodties
benot,0.018606522487661,fr,bloodties
mik,0.0185545912914554,fr,bloodties
nom,0.0185522446085088,fr,bloodties
blundell,0.0181180669051529,fr,bloodties
alexandrad,0.0181180669051529,fr,bloodties
mauvais,0.0181105244987824,fr,bloodties
souvenir,0.0181105244987824,fr,bloodties
kat,0.0178121029180209,fr,bloodties
magnu,0.0177947922244687,fr,bloodties
salut,0.017668804389056,fr,bloodties
rituel,0.0172591663021417,fr,bloodties
sentir,0.0172270842793296,fr,bloodties
isabel,0.0171528253335762,fr,bloodties
plutt,0.0169212787921156,fr,bloodties
prsent,0.0169212787921156,fr,bloodties
ville,0.0168338515796284,fr,bloodties
tai,0.0166986303869561,fr,bloodties
carmichael,0.0166291053366316,fr,bloodties
pass,0.0163436440598768,fr,bloodties
frre,0.0163436440598768,fr,bloodties
wolverine,0.0163152913545919,fr,bloodties
flic,0.0162556765690776,fr,bloodties
chercher,0.0161227840050136,fr,bloodties
air,0.0161227840050136,fr,bloodties
retrouver,0.0160306851714779,fr,bloodties
sujet,0.0159360461620482,fr,bloodties
vieux,0.0159019239501504,fr,bloodties
dieu,0.0159019239501504,fr,bloodties
swartalfen,0.0158533085420088,fr,bloodties
pettigrew,0.0158533085420088,fr,bloodties
sagara,0.0158533085420088,fr,bloodties
francine,0.0158174027019473,fr,bloodties
perkin,0.0158094545679545,fr,bloodties
utiliser,0.0156810638952872,fr,bloodties
porte,0.0156810638952872,fr,bloodties
perdre,0.0156810638952872,fr,bloodties
nouveau,0.0152393437855608,fr,bloodties
garder,0.0152393437855608,fr,bloodties
tier,0.0150184837306976,fr,bloodties
revenir,0.0150184837306976,fr,bloodties
jude,0.0149598138363611,fr,bloodties
recherche,0.0149174431456808,fr,bloodties
minute,0.0149174431456808,fr,bloodties
laisse,0.0147976236758344,fr,bloodties
confiance,0.0147976236758344,fr,bloodties
humain,0.0147074942875827,fr,bloodties
dtective,0.0146572226961382,fr,bloodties
photo,0.0146042843942702,fr,bloodties
commencer,0.014355903566108,fr,bloodties
dsole,0.0142494979302026,fr,bloodties
gnial,0.0140269639697429,fr,bloodties
train,0.0140268495250431,fr,bloodties
coup,0.0140268495250431,fr,bloodties
bouton,0.013955217430289,fr,bloodties
parl,0.0139141834563816,fr,bloodties
maison,0.0139141834563816,fr,bloodties
marque,0.0138869780911166,fr,bloodties
simplement,0.0138042011198837,fr,bloodties
elener,0.0137473517982213,fr,bloodties
cobb,0.0137473517982213,fr,bloodties
zombie,0.013722859485273,fr,bloodties
occuper,0.0136933234015184,fr,bloodties
pachacamac,0.0135885501788647,fr,bloodties
subsfactory,0.0135567657621523,fr,bloodties
dernire,0.0134724633466552,fr,bloodties
voil,0.0134724633466552,fr,bloodties
poser,0.0134724633466552,fr,bloodties
peur,0.0134724633466552,fr,bloodties
oeil,0.0134724633466552,fr,bloodties
travail,0.0134724633466552,fr,bloodties
dsol,0.0134724633466552,fr,bloodties
amour,0.0134580189989196,fr,bloodties
alexander,0.0133383109467978,fr,bloodties
hum,0.0133251921995282,fr,bloodties
pense,0.013251603291792,fr,bloodties
ide,0.013251603291792,fr,bloodties
ecouter,0.0131957223785515,fr,bloodties
preuve,0.0131362559044055,fr,bloodties
anne,0.0130307432369288,fr,bloodties
vol,0.0130181785549126,fr,bloodties
vaudou,0.0130158961314844,fr,bloodties
surnaturel,0.012830721351093,fr,bloodties
donne,0.0128098831820656,fr,bloodties
pler,0.0127566715773671,fr,bloodties
moyen,0.0125890231272024,fr,bloodties
mois,0.0125890231272024,fr,bloodties
supposer,0.0125692758461225,fr,bloodties
iluminacion,0.0124561709972926,fr,bloodties
cellucci,0.0124561709972926,fr,bloodties
laurel,0.0124306981749272,fr,bloodties
argent,0.0123681630723392,fr,bloodties
presque,0.0123681630723392,fr,bloodties
mayer,0.0122787587338716,fr,bloodties
maurice,0.0122610862654192,fr,bloodties
main,0.012147303017476,fr,bloodties
amulette,0.012116044954653,fr,bloodties
mlle,0.0120085137109348,fr,bloodties
vivre,0.0119264429626128,fr,bloodties
amie,0.0118959217829374,fr,bloodties
ensembl,0.011800365473449,fr,bloodties
bizarre,0.0117659954300662,fr,bloodties
gamin,0.0117659954300662,fr,bloodties
hydrothrapie,0.0117514878869438,fr,bloodties
priv,0.0117274616796211,fr,bloodties
