mot,poids_tfidf,langue,serie
hodgin,0.2029806910743341,en,bones
booth,0.1637128962667427,en,bones
brennan,0.1580747453352007,en,bones
bone,0.1438896582967831,en,bones
zack,0.0934393317791537,en,bones
kill,0.0780477762750516,en,bones
work,0.075313465735606,en,bones
victim,0.0702520002190272,en,bones
murder,0.0564193249247885,en,bones
talk,0.0526234852942419,en,bones
little,0.044996197999999,en,bones
agent,0.0449098148404734,en,bones
body,0.0433266771945639,en,bones
sure,0.0425497096226003,en,bones
love,0.0421659467398711,en,bones
help,0.0390478733176963,en,bones
dead,0.0385201993539437,en,bones
kid,0.0375888025113683,en,bones
evidence,0.0373146080284671,en,bones
happen,0.0362655924179096,en,bones
russ,0.0362585776460056,en,bones
old,0.032571874671641,en,bones
temperance,0.03221773855718,en,bones
case,0.0309408824200419,en,bones
life,0.0305571195373127,en,bones
great,0.0303652380959481,en,bones
cam,0.0302947475138504,en,bones
head,0.0299814752132189,en,bones
like,0.0297416234115132,en,bones
skull,0.0294427142889875,en,bones
death,0.0292068225731212,en,bones
cause,0.0291659790874194,en,bones
believe,0.0291659790874194,en,bones
place,0.0288301865650313,en,bones
fracture,0.0284771084017874,en,bones
run,0.0282545422409375,en,bones
girl,0.0279667200788906,en,bones
remain,0.0273240841624131,en,bones
father,0.027199203673259,en,bones
miss,0.0270073128720676,en,bones
hear,0.0266715203496795,en,bones
die,0.0263836981876326,en,bones
fine,0.0249031682535718,en,bones
bad,0.0248486466567158,en,bones
check,0.024273002332622,en,bones
car,0.0238308094353119,en,bones
job,0.0230737433240933,en,bones
long,0.022977802603411,en,bones
question,0.0228818618827287,en,bones
break,0.0227755189270531,en,bones
particulate,0.022663483453366,en,bones
night,0.0225460693603406,en,bones
course,0.0223886735949588,en,bones
probably,0.0222582471982937,en,bones
hand,0.0222102768379526,en,bones
weapon,0.0216688390947887,en,bones
start,0.0211069585501061,en,bones
away,0.021058988189765,en,bones
blood,0.0208412922665815,en,bones
big,0.0206962252670461,en,bones
turn,0.0205792845863534,en,bones
seeley,0.0204458705815166,en,bones
match,0.0203549579790739,en,bones
sweet,0.0203093799349518,en,bones
stop,0.0202914624243065,en,bones
friend,0.0202434920639654,en,bones
understand,0.0201955217036242,en,bones
send,0.0200676016023928,en,bones
fire,0.0198597291812362,en,bones
mother,0.0197158181002127,en,bones
ago,0.0197158181002127,en,bones
win,0.0193320552174835,en,bones
bring,0.0192840848571424,en,bones
sex,0.0192669733221014,en,bones
epps,0.0192141916308228,en,bones
meet,0.0191881441364601,en,bones
pretty,0.0190037769391335,en,bones
boy,0.0188043812537309,en,bones
carly,0.0185117632707454,en,bones
book,0.0184740110970702,en,bones
person,0.0184685887313428,en,bones
dani,0.0182515493135623,en,bones
human,0.0182293408257746,en,bones
actually,0.0182287369296371,en,bones
forensic,0.0181981795967927,en,bones
shoot,0.0181327962089548,en,bones
real,0.0180368554882725,en,bones
wrong,0.017892944407249,en,bones
dad,0.0177915938006085,en,bones
jeffersonian,0.0177361768899903,en,bones
nice,0.0176530926055433,en,bones
face,0.0175531069437798,en,bones
killer,0.0175335219238592,en,bones
gun,0.0175148518599272,en,bones
epp,0.0174898410998516,en,bones
anthropologist,0.0173628992781409,en,bones
hit,0.0173173000831552,en,bones
wife,0.0172693297228141,en,bones
home,0.0172693297228141,en,bones
son,0.017262972944709,en,bones
idea,0.0172213593624729,en,bones
use,0.0171733890021318,en,bones
live,0.0171254186417906,en,bones
lose,0.0169815075607672,en,bones
child,0.0169728389456383,en,bones
play,0.0167896261194026,en,bones
second,0.0167896261194026,en,bones
exactly,0.0167416557590614,en,bones
point,0.0166936853987203,en,bones
week,0.0165018039573557,en,bones
sully,0.0164002760327252,en,bones
parker,0.0163614305736207,en,bones
carlie,0.0162581621491578,en,bones
close,0.0160700707142853,en,bones
husband,0.0159573699488907,en,bones
money,0.0159261596332619,en,bones
fact,0.0158606586158671,en,bones
family,0.0158302189125796,en,bones
guess,0.0157342781918973,en,bones
hour,0.015638337471215,en,bones
montenegro,0.0155552247186024,en,bones
stay,0.0155423967505327,en,bones
lab,0.0152773721887655,en,bones
mark,0.0152204548950193,en,bones
figure,0.015183679284702,en,bones
marni,0.015026483198464,en,bones
end,0.01501472278678,en,bones
eat,0.0148228413454154,en,bones
catch,0.0148228413454154,en,bones
month,0.0148228413454154,en,bones
brother,0.0147269006247331,en,bones
team,0.0146290815955425,en,bones
fall,0.0145350191833685,en,bones
tissue,0.0145132131496343,en,bones
phone,0.0144629087934794,en,bones
stuff,0.0144583442870252,en,bones
sound,0.0143911081023451,en,bones
high,0.0143307632256956,en,bones
world,0.0141992266609805,en,bones
ray,0.0141425509459074,en,bones
suggest,0.0140666647169457,en,bones
wound,0.0138407593720689,en,bones
care,0.0138154637782512,en,bones
problem,0.0138154637782512,en,bones
hard,0.0137674934179101,en,bones
fight,0.0137195230575689,en,bones
remember,0.0137195230575689,en,bones
number,0.013587942289813,en,bones
deal,0.013587942289813,en,bones
hope,0.013431700895522,en,bones
eye,0.013431700895522,en,bones
pick,0.0133837305351809,en,bones
school,0.0133649075595976,en,bones
mind,0.0133357601748397,en,bones
drive,0.0132877898144986,en,bones
injury,0.0132409165082955,en,bones
hell,0.0132398194541574,en,bones
cal,0.0132376503799196,en,bones
indicate,0.0131169091792301,en,bones
change,0.0130479380127928,en,bones
cut,0.0130076742916715,en,bones
foot,0.0129519972921105,en,bones
definitely,0.0129171845401678,en,bones
answer,0.0128560565714282,en,bones
baby,0.0127709522623546,en,bones
show,0.0127175402926007,en,bones
lie,0.0127121454904048,en,bones
fragment,0.0126621003634014,en,bones
arrest,0.0124277758515451,en,bones
suspect,0.012410776060563,en,bones
trace,0.0123960282971278,en,bones
lori,0.0123496020921517,en,bones
digger,0.0123331436848441,en,bones
explain,0.0123330580788933,en,bones
crime,0.0121542860347729,en,bones
room,0.012136501166311,en,bones
drug,0.012120917188544,en,bones
damage,0.0121018968708299,en,bones
open,0.0120885308059698,en,bones
wear,0.0119399725624346,en,bones
new,0.0118966493646052,en,bones
watch,0.0118486790042641,en,bones
saroyan,0.0118241179266602,en,bones
bury,0.0117972368000863,en,bones
set,0.011747326317662,en,bones
ange,0.0117408573919077,en,bones
stand,0.0117047679232406,en,bones
blow,0.0116053599628296,en,bones
pay,0.0116053599628296,en,bones
investigation,0.0115355672518981,en,bones
far,0.011512886481876,en,bones
identify,0.0114358334952846,en,bones
speak,0.0114169457611937,en,bones
hate,0.0113635816302706,en,bones
write,0.0112929561812099,en,bones
couple,0.0112185146307353,en,bones
pull,0.0112185146307353,en,bones
piece,0.0112111412990135,en,bones
disappear,0.0111623972064091,en,bones
tooth,0.0111615059700832,en,bones
sample,0.0111408666635107,en,bones
area,0.0111358531680778,en,bones
read,0.0110811532388057,en,bones
record,0.0110649090212003,en,bones
force,0.0110555301504024,en,bones
warrant,0.0108976280160538,en,bones
able,0.0108892717974411,en,bones
murderer,0.0108426855126581,en,bones
daughter,0.0108098517026157,en,bones
tempe,0.0107900850058157,en,bones
squint,0.0107215683902381,en,bones
sister,0.010711580323501,en,bones
house,0.0106973903560765,en,bones
sign,0.0106973903560765,en,bones
suppose,0.0106973903560765,en,bones
taffet,0.010663617691461,en,bones
report,0.0106262121877607,en,bones
small,0.0106014496353942,en,bones
reason,0.0106014496353942,en,bones
knife,0.0105944055878319,en,bones
matter,0.0105055089147119,en,bones
federal,0.0104973483277439,en,bones
word,0.0104575385543707,en,bones
male,0.0103206652967684,en,bones
heart,0.0102514013004995,en,bones
game,0.0102514013004995,en,bones
consistent,0.0102347888718849,en,bones
stab,0.0102093868215564,en,bones
office,0.010187515354321,en,bones
line,0.0101697163923238,en,bones
skeleton,0.0100617039973953,en,bones
true,0.0100258053113004,en,bones
arm,0.0099556324229087,en,bones
partner,0.0099539411491675,en,bones
water,0.009943794891299,en,bones
save,0.0099298645906181,en,bones
grave,0.0098820176983093,en,bones
mcvicar,0.0098534316055502,en,bones
hair,0.0097975626134857,en,bones
sleep,0.0097859535095946,en,bones
sense,0.0097678446353816,en,bones
jury,0.0097362624835522,en,bones
lead,0.0097000744282769,en,bones
easy,0.0096900127889123,en,bones
afraid,0.0096420424285712,en,bones
young,0.0096227776358462,en,bones
dog,0.0096089188559418,en,bones
neal,0.0095795306362157,en,bones
burn,0.0095538421504637,en,bones
lawyer,0.0094824386736806,en,bones
hurt,0.0094777106363108,en,bones
shalimarfox,0.009375751885185,en,bones
parent,0.0093613863389266,en,bones
charge,0.0093588657800461,en,bones
remove,0.0093166883310079,en,bones
truth,0.0093062499061831,en,bones
richardson,0.0092944782132542,en,bones
result,0.0092844774859618,en,bones
picture,0.0092842879702636,en,bones
brianna,0.0092317867380241,en,bones
sexual,0.0092007737378293,en,bones
student,0.0092004992363569,en,bones
judge,0.0091767678885085,en,bones
date,0.0091638894096284,en,bones
spend,0.0091392209707283,en,bones
bullet,0.0091236363920814,en,bones
kyle,0.0091128752615389,en,bones
relationship,0.009103473669033,en,bones
caroline,0.0090903055181372,en,bones
wendell,0.0090795963830752,en,bones
possible,0.0090663981044774,en,bones
whoa,0.009034931426756,en,bones
different,0.0090184277441362,en,bones
order,0.0090176571318152,en,bones
age,0.0090145527411412,en,bones
wexler,0.0089917375048464,en,bones
chuckle,0.0089868813485025,en,bones
special,0.0089704573837951,en,bones
buy,0.0089704573837951,en,bones
chance,0.0089704573837951,en,bones
clean,0.0089704573837951,en,bones
scene,0.0088674386338397,en,bones
rib,0.0088583058142191,en,bones
prove,0.0088007313051457,en,bones
sternum,0.0087950538045609,en,bones
portia,0.0087532940585452,en,bones
steal,0.008752375638634,en,bones
approximately,0.0087338082456496,en,bones
roxie,0.0087023827228003,en,bones
decomp,0.0087023827228003,en,bones
door,0.0086826352217482,en,bones
cover,0.0086764484835844,en,bones
alive,0.0086556643056104,en,bones
throw,0.0086073086390986,en,bones
mom,0.0085877202540386,en,bones
clear,0.0085866945010659,en,bones
marry,0.0085377916479104,en,bones
hot,0.0085004742934205,en,bones
cop,0.0084549996276146,en,bones
left,0.0084379344356542,en,bones
sheriff,0.0084109556853226,en,bones
desert,0.0084097712958093,en,bones
sub,0.0083910436907837,en,bones
rest,0.0083655303065396,en,bones
ready,0.0083468426993601,en,bones
doctor,0.0083211256072073,en,bones
test,0.0083211256072073,en,bones
type,0.0083205153426105,en,bones
leg,0.0083044556232413,en,bones
important,0.008298872339019,en,bones
base,0.0082715950976406,en,bones
touch,0.0082688189735161,en,bones
trust,0.0082688189735161,en,bones
beautiful,0.0082547958456338,en,bones
cell,0.0082547958456338,en,bones
maggie,0.0082432438004008,en,bones
walk,0.0082029316183367,en,bones
brain,0.0081890075575403,en,bones
subtitle,0.0081863382278538,en,bones
trauma,0.0081135520696268,en,bones
file,0.0080941154971676,en,bones
reconstruction,0.0080399694587531,en,bones
happy,0.0080110501769721,en,bones
state,0.0079599817082897,en,bones
decker,0.0079491322560313,en,bones
light,0.0079452870945183,en,bones
assume,0.0079303293079335,en,bones
search,0.00791463654541,en,bones
kent,0.0079021824817064,en,bones
motive,0.0078998442729688,en,bones
flesh,0.0078867817208859,en,bones
congruent,0.0078841549943601,en,bones
story,0.0078819736414217,en,bones
boyfriend,0.007879256417081,en,bones
bit,0.0078671390959486,en,bones
name,0.0078477989093095,en,bones
business,0.0078336179749099,en,bones
strike,0.0078131668461099,en,bones
security,0.0078011552824388,en,bones
ring,0.0077762900019735,en,bones
