mot,poids_tfidf,langue,serie
skyler,0.1002449247111056,en,breakingbad
walt,0.0996506077006662,en,breakingbad
pinkman,0.0909915138293058,en,breakingbad
tuco,0.0909915138293058,en,breakingbad
talk,0.0866634445574148,en,breakingbad
work,0.0634672809584042,en,breakingbad
shit,0.0571881024995498,en,breakingbad
money,0.0525135370366491,en,breakingbad
little,0.0502583544645231,en,breakingbad
hell,0.0451036514425207,en,breakingbad
meth,0.0447502905532987,en,breakingbad
tyno,0.0396178353194709,en,breakingbad
sure,0.0380159347872674,en,breakingbad
hear,0.0380159347872674,en,breakingbad
big,0.0376717719924953,en,breakingbad
cook,0.0364085756597376,en,breakingbad
happen,0.0357607522151414,en,breakingbad
schrader,0.0350465466287627,en,breakingbad
house,0.0335055696430154,en,breakingbad
home,0.0335055696430154,en,breakingbad
fine,0.0318261522005564,en,breakingbad
dad,0.0314270711746762,en,breakingbad
bad,0.0312503870708893,en,breakingbad
help,0.0312503870708893,en,breakingbad
phone,0.0302708679942542,en,breakingbad
gomie,0.029779040889591,en,breakingbad
actually,0.0296395423765136,en,breakingbad
understand,0.0296395423765136,en,breakingbad
michvanilly,0.0286099529156634,en,breakingbad
dea,0.0282896626980494,en,breakingbad
long,0.0280286976821378,en,breakingbad
week,0.0280286976821378,en,breakingbad
family,0.0277065287432627,en,breakingbad
sell,0.0266300457188329,en,breakingbad
head,0.0264178529877621,en,breakingbad
kid,0.0257396326092779,en,breakingbad
great,0.0254513461711367,en,breakingbad
turn,0.0251291772322615,en,breakingbad
guess,0.0251291772322615,en,breakingbad
dude,0.0249080656485012,en,breakingbad
start,0.0248070082933864,en,breakingbad
run,0.0248070082933864,en,breakingbad
nice,0.0244848393545112,en,breakingbad
like,0.0244848393545112,en,breakingbad
ass,0.0242832237756105,en,breakingbad
business,0.0240319924779711,en,breakingbad
deal,0.0240319924779711,en,breakingbad
pay,0.0240319924779711,en,breakingbad
albuquerque,0.0237268138757833,en,breakingbad
baby,0.0235703033810071,en,breakingbad
bring,0.0235183325378858,en,breakingbad
son,0.0233824791677557,en,breakingbad
old,0.0231961635990106,en,breakingbad
walter,0.023125875366705,en,breakingbad
win,0.0228739946601355,en,breakingbad
check,0.0228739946601355,en,breakingbad
damn,0.0225882074067985,en,breakingbad
remember,0.0225518257212603,en,breakingbad
badger,0.0223699515135511,en,breakingbad
pound,0.0221645257121665,en,breakingbad
bitch,0.0221477911853928,en,breakingbad
kill,0.02190748784351,en,breakingbad
stop,0.0215853189046349,en,breakingbad
place,0.0215853189046349,en,breakingbad
methylamine,0.0215070850869268,en,breakingbad
night,0.0212631499657597,en,breakingbad
real,0.0209409810268846,en,breakingbad
suppose,0.0206188120880094,en,breakingbad
new,0.0202966431491343,en,breakingbad
buy,0.0202966431491343,en,breakingbad
change,0.0199744742102591,en,breakingbad
drug,0.019921673474196,en,breakingbad
break,0.0198101559615708,en,breakingbad
sit,0.0193301363325088,en,breakingbad
car,0.0191397268120271,en,breakingbad
high,0.0189871888347002,en,breakingbad
stuff,0.0188358859962476,en,breakingbad
love,0.0186857984547586,en,breakingbad
exactly,0.0183636295158834,en,breakingbad
wrong,0.0183636295158834,en,breakingbad
hand,0.0183636295158834,en,breakingbad
word,0.0183636295158834,en,breakingbad
law,0.0181073079467553,en,breakingbad
today,0.0180414605770083,en,breakingbad
month,0.0180414605770083,en,breakingbad
believe,0.0177192916381331,en,breakingbad
krazy,0.0175110578203484,en,breakingbad
care,0.017397122699258,en,breakingbad
meet,0.017397122699258,en,breakingbad
live,0.017397122699258,en,breakingbad
life,0.017397122699258,en,breakingbad
cool,0.0171597550728519,en,breakingbad
brother,0.0170749537603828,en,breakingbad
seriously,0.0169649919528238,en,breakingbad
stay,0.0167527848215077,en,breakingbad
beneke,0.0165439116053283,en,breakingbad
jesse,0.0164396696426448,en,breakingbad
problem,0.0164306158826325,en,breakingbad
emilio,0.0164037813637827,en,breakingbad
pretty,0.0162378327553859,en,breakingbad
honey,0.0162247923671567,en,breakingbad
mind,0.0161084469437574,en,breakingbad
lab,0.0160197729081751,en,breakingbad
chemistry,0.0159216382837663,en,breakingbad
sound,0.0157862780048822,en,breakingbad
absolutely,0.0157135355873381,en,breakingbad
boy,0.0154641090660071,en,breakingbad
hour,0.0154641090660071,en,breakingbad
marie,0.0148655179308392,en,breakingbad
gretchen,0.0148655179308392,en,breakingbad
school,0.0148497880438141,en,breakingbad
job,0.0148197711882568,en,breakingbad
hit,0.0148197711882568,en,breakingbad
easy,0.0148197711882568,en,breakingbad
cancer,0.0145801778206985,en,breakingbad
morning,0.0144976022493816,en,breakingbad
dead,0.0144976022493816,en,breakingbad
drive,0.0144976022493816,en,breakingbad
bullshit,0.01447503949836,en,breakingbad
mom,0.0144187822538977,en,breakingbad
brey,0.0143108066888753,en,breakingbad
salamanca,0.0143108066888753,en,breakingbad
point,0.0141754333105065,en,breakingbad
partner,0.0140738249502701,en,breakingbad
probably,0.0138532643716313,en,breakingbad
second,0.0138532643716313,en,breakingbad
lose,0.0138532643716313,en,breakingbad
end,0.0138532643716313,en,breakingbad
matter,0.0138532643716313,en,breakingbad
police,0.0137390851546179,en,breakingbad
face,0.0136397795145241,en,breakingbad
white,0.0133956080257525,en,breakingbad
couple,0.0133150228594164,en,breakingbad
shut,0.0133150228594164,en,breakingbad
teenth,0.0132351292842626,en,breakingbad
shoot,0.013208926493881,en,breakingbad
blue,0.0130182880789998,en,breakingbad
plan,0.0129902662043087,en,breakingbad
dealer,0.0129480730783539,en,breakingbad
wife,0.0128867575550059,en,breakingbad
hard,0.0128867575550059,en,breakingbad
idea,0.0128867575550059,en,breakingbad
tio,0.0128797260199878,en,breakingbad
elliott,0.0128797260199878,en,breakingbad
product,0.0126276547347742,en,breakingbad
clean,0.0125645886161307,en,breakingbad
soon,0.0123407528940933,en,breakingbad
blowfish,0.0123297522319836,en,breakingbad
miss,0.0122424196772556,en,breakingbad
speak,0.0122424196772556,en,breakingbad
door,0.0122424196772556,en,breakingbad
cell,0.0122098257249138,en,breakingbad
hank,0.0121783871032262,en,breakingbad
flynn,0.0120777017724223,en,breakingbad
