mot,poids_tfidf,langue,serie
fuck,0.4241936303820929,en,californication
shit,0.179072531621159,en,californication
fucking,0.174059958018655,en,californication
little,0.0881085041292702,en,californication
becca,0.087604671001593,en,californication
love,0.0834914646115792,en,californication
runkle,0.0829824342284166,en,californication
talk,0.0529035778068762,en,californication
asshole,0.0501848914488823,en,californication
lew,0.0485474458911047,en,californication
girl,0.0450161352974874,en,californication
work,0.0446313820043464,en,californication
old,0.0411686023660782,en,californication
big,0.0405296664046876,en,californication
like,0.039437212546944,en,californication
nice,0.0378981993743804,en,californication
marcy,0.0376224083993083,en,californication
sure,0.0367439394949576,en,californication
life,0.0361668095552462,en,californication
hank,0.0359058792840008,en,californication
write,0.0347608360971449,en,californication
happen,0.0338582897964007,en,californication
night,0.0336659131498303,en,californication
bill,0.03282782763283,en,californication
ass,0.0315827025111203,en,californication
motherfucker,0.0312138234465332,en,californication
californication,0.0309360595349013,en,californication
karen,0.0306728557342636,en,californication
baby,0.0302993322614945,en,californication
great,0.0298183802184211,en,californication
moody,0.0296066134689323,en,californication
bad,0.0294336269252802,en,californication
lady,0.0288943554751122,en,californication
writer,0.0287831939781769,en,californication
dad,0.028540016194698,en,californication
book,0.0283445366317207,en,californication
ashby,0.0282064072229983,en,californication
hear,0.0267403538732938,en,californication
cock,0.0264450961485712,en,californication
pussy,0.0262549130231481,en,californication
mia,0.0260931205626685,en,californication
read,0.0242394574678778,en,californication
stop,0.0242394574678778,en,californication
home,0.0238547041747369,en,californication
actually,0.0238547041747369,en,californication
daisy,0.0234710468491735,en,californication
marce,0.0227213808006378,en,californication
guess,0.0221233143556027,en,californication
word,0.0221233143556027,en,californication
kid,0.0214784492700334,en,californication
daughter,0.0210843492834273,en,californication
meet,0.02096905447618,en,californication
fine,0.0207496378244094,en,californication
long,0.0205843011830391,en,californication
sex,0.020231415539847,en,californication
marry,0.0202232143432409,en,californication
wrong,0.0201995478898981,en,californication
miss,0.0201995478898981,en,californication
house,0.0201995478898981,en,californication
bullshit,0.0201681111487082,en,californication
dick,0.0199679055284013,en,californication
start,0.0196224179501868,en,californication
happy,0.0190452880104754,en,californication
honey,0.0187710921736431,en,californication
friend,0.018468158070764,en,californication
blow,0.0184225756384944,en,californication
sound,0.0182757814241936,en,californication
pretty,0.0182286537896681,en,californication
mom,0.018220915893415,en,californication
course,0.0180347319408418,en,californication
hard,0.0178910281310526,en,californication
charlie,0.0178601297895865,en,californication
movie,0.0178582855406149,en,californication
father,0.0175931606679645,en,californication
boy,0.0175062748379117,en,californication
remember,0.0173138981913413,en,californication
cause,0.0173138981913413,en,californication
wife,0.0173138981913413,en,californication
job,0.0173138981913413,en,californication
hate,0.0172590445455368,en,californication
mind,0.0171215215447708,en,californication
fuckin,0.0169504675901438,en,californication
stay,0.0169291448982003,en,californication
place,0.0169291448982003,en,californication
help,0.0167367682516299,en,californication
cool,0.0165521994374569,en,californication
play,0.0165443916050594,en,californication
live,0.0165443916050594,en,californication
dani,0.0164314432246815,en,californication
beautiful,0.0163551494441538,en,californication
sweetie,0.0162661079885452,en,californication
win,0.015967261665348,en,californication
end,0.015967261665348,en,californication
vaginatown,0.0158061779482698,en,californication
care,0.0157748850187776,en,californication
believe,0.0157748850187776,en,californication
drink,0.0155137479061005,en,californication
sweet,0.0155137479061005,en,californication
fun,0.0154428854752133,en,californication
bit,0.0153901317256367,en,californication
idea,0.0153901317256367,en,californication
totally,0.0150562725111673,en,californication
stuff,0.0149319823596217,en,californication
chelsea,0.0148334929726608,en,californication
sleep,0.0148130017859253,en,californication
turn,0.0148130017859253,en,californication
novel,0.0145463453438098,en,californication
question,0.0144282484927844,en,californication
date,0.014270008097349,en,californication
mother,0.0142358718462139,en,californication
problem,0.0142358718462139,en,californication
worry,0.0139623731154904,en,californication
anymore,0.0138790489713942,en,californication
forget,0.0137684512666642,en,californication
shut,0.0137684512666642,en,californication
young,0.0137684512666642,en,californication
real,0.0136587419065025,en,californication
tonight,0.0134880898454395,en,californication
away,0.0134663652599321,en,californication
goddamn,0.0134575515767874,en,californication
school,0.013399399544608,en,californication
new,0.0132739886133616,en,californication
vagina,0.0132563864204594,en,californication
blog,0.0132232285761963,en,californication
late,0.0130816119667912,en,californication
watch,0.0130816119667912,en,californication
run,0.0130816119667912,en,californication
later,0.0129927638713592,en,californication
exactly,0.0128892353202207,en,californication
second,0.0128892353202207,en,californication
tampon,0.0128556939096393,en,californication
car,0.0128082495646988,en,californication
break,0.0127988420225329,en,californication
agent,0.0127322080403972,en,californication
porn,0.0126763777688939,en,californication
deal,0.0124109983248804,en,californication
suppose,0.0123121053805093,en,californication
morning,0.0121197287339389,en,californication
hope,0.0121197287339389,en,californication
head,0.0119273520873684,en,californication
point,0.0119273520873684,en,californication
buy,0.0119273520873684,en,californication
business,0.0118292327784016,en,californication
story,0.0118292327784016,en,californication
hot,0.0116259496048804,en,californication
hand,0.0115425987942275,en,californication
hell,0.011350222147657,en,californication
bring,0.011350222147657,en,californication
ronny,0.011218850809089,en,californication
change,0.0111578455010866,en,californication
funny,0.0110535453830966,en,californication
true,0.0109654688545161,en,californication
hit,0.0109654688545161,en,californication
broner,0.0109186092476122,en,californication
child,0.0108596235342703,en,californication
married,0.0107613912445995,en,californication
writing,0.0107578403416568,en,californication
sell,0.0106657016854441,en,californication
room,0.0105807155613752,en,californication
boner,0.010430153696991,en,californication
kiss,0.0102550199990557,en,californication
check,0.0101959622682343,en,californication
face,0.0100839361389653,en,californication
poor,0.0100114922491291,en,californication
probably,0.0100035856216638,en,californication
dream,0.0099694577118465,en,californication
ring,0.0099316674563271,en,californication
spend,0.0098900142901391,en,californication
set,0.0097739781488692,en,californication
figure,0.0096960924413128,en,californication
class,0.0096397187991124,en,californication
fucker,0.009604253368164,en,californication
moment,0.0095021705924865,en,californication
speak,0.0094264556819524,en,californication
use,0.0094264556819524,en,californication
family,0.0094264556819524,en,californication
guitar,0.0093704035789428,en,californication
couple,0.0093082487436603,en,californication
ball,0.0092846262364256,en,californication
cry,0.0092846262364256,en,californication
matter,0.009234079035382,en,californication
dude,0.0091864784954917,en,californication
touch,0.009114326894834,en,californication
hang,0.009114326894834,en,californication
fact,0.009114326894834,en,californication
shitty,0.009104119394405,en,californication
koon,0.0090988410396768,en,californication
sit,0.0090417023888115,en,californication
week,0.0090417023888115,en,californication
today,0.0090417023888115,en,californication
crazy,0.0089920598969596,en,californication
collini,0.0088909750959017,en,californication
orgasm,0.008856840792373,en,californication
sue,0.0088364779402372,en,californication
hurt,0.0087264831971815,en,californication
throw,0.0087264831971815,en,californication
assistant,0.0087254775941211,en,californication
suck,0.0086835718959144,en,californication
high,0.0086011007710049,en,californication
cunt,0.0085895383386985,en,californication
trixie,0.0085791212069504,en,californication
