mot,poids_tfidf,langue,serie
hank,0.1686458071676309,fr,californication
taire,0.1357413866172494,fr,californication
becca,0.1214062166199426,fr,californication
moody,0.1180996599809563,fr,californication
tre,0.1071642525925653,fr,californication
runkle,0.0976792043226665,fr,californication
putain,0.0922110216753697,fr,californication
petit,0.0676325505250856,fr,californication
mme,0.0647748371226172,fr,californication
fille,0.0616789809366098,fr,californication
merde,0.0614718377472735,fr,californication
aimer,0.0592975531012194,fr,californication
veux,0.0519151268115094,fr,californication
karen,0.0507102351017974,fr,californication
marcy,0.0489162590505725,fr,californication
lew,0.0489006404608647,fr,californication
ouai,0.0426956500627159,fr,californication
ici,0.0411987015522528,fr,californication
ashby,0.0393551012596174,fr,californication
bill,0.0390490411626854,fr,californication
trs,0.0388172737168625,fr,californication
bite,0.0385759304070313,fr,californication
accord,0.0376265597991673,fr,californication
dieu,0.0366739886650112,fr,californication
vieux,0.0357214175308551,fr,californication
crivain,0.0354461644081516,fr,californication
daisy,0.0353896207158255,fr,californication
arrte,0.035245131963777,fr,californication
voil,0.0347688463966989,fr,californication
mec,0.0339683665638202,fr,californication
dsol,0.0338162752625428,fr,californication
runkl,0.0317457414048666,fr,californication
appeler,0.0311967046436134,fr,californication
chrie,0.0309585618600744,fr,californication
pre,0.0304822762929963,fr,californication
mal,0.0300059907259182,fr,californication
air,0.0297678479423792,fr,californication
sortir,0.0295297051588402,fr,californication
heure,0.0292915623753011,fr,californication
soir,0.0285684580110049,fr,californication
baiser,0.0283758496865836,fr,californication
aime,0.028338991241145,fr,californication
finir,0.028100848457606,fr,californication
cul,0.0277697595266268,fr,californication
super,0.0275691911833537,fr,californication
grand,0.0273864201069889,fr,californication
chatte,0.0269695463408529,fr,californication
mieux,0.0266719917563718,fr,californication
vrai,0.0264338489728327,fr,californication
papa,0.0264338489728327,fr,californication
apr,0.0259575634057547,fr,californication
vien,0.0254812778386766,fr,californication
vagin,0.0245826333863932,fr,californication
regarder,0.0245287067045205,fr,californication
charlie,0.0244859345317678,fr,californication
maison,0.0240524211374424,fr,californication
nuit,0.0240524211374424,fr,californication
springfield,0.0239509398840028,fr,californication
livre,0.0239095640351209,fr,californication
tai,0.0235269654208276,fr,californication
sai,0.0228617072197472,fr,californication
californication,0.0224886292912099,fr,californication
quelqu,0.0223854216526692,fr,californication
problme,0.0221472788691301,fr,californication
besoin,0.0221472788691301,fr,californication
amour,0.0221356298896067,fr,californication
salut,0.0219091360855911,fr,californication
baise,0.0209669606910302,fr,californication
raison,0.0204802793843569,fr,californication
laisse,0.0204802793843569,fr,californication
dani,0.0202983790592268,fr,californication
ami,0.0202421366008178,fr,californication
oublier,0.0201659703607093,fr,californication
gros,0.0200039938172788,fr,californication
heureux,0.0198452389577812,fr,californication
crit,0.0197463610354018,fr,californication
essayer,0.0195277082502007,fr,californication
mari,0.0194457571335411,fr,californication
connard,0.0193562902735188,fr,californication
mot,0.0192895654666617,fr,californication
attend,0.0189656149820957,fr,californication
pass,0.0188132798995836,fr,californication
gnial,0.0185958211115804,fr,californication
dsole,0.0184854728306502,fr,californication
chance,0.0180988515489665,fr,californication
film,0.0180357645701136,fr,californication
chelsea,0.0178587106765617,fr,californication
coup,0.017765259603482,fr,californication
prend,0.0176225659818885,fr,californication
marce,0.0170938607564666,fr,californication
con,0.0170670447829585,fr,californication
jeune,0.0170450463763138,fr,californication
meilleur,0.0169081376312714,fr,californication
question,0.0169081376312714,fr,californication
bel,0.0164570274284039,fr,californication
sentir,0.0164318520641933,fr,californication
chercher,0.0164318520641933,fr,californication
tard,0.0160847620734229,fr,californication
fait,0.0159555664971152,fr,californication
mauvais,0.0157174237135762,fr,californication
tte,0.0154792809300372,fr,californication
plaisir,0.0150049367729565,fr,californication
roman,0.0150048930995462,fr,californication
ensembl,0.0148844066948093,fr,californication
lire,0.0147570865930711,fr,californication
encul,0.0147320322846495,fr,californication
vaginatown,0.0146518806483999,fr,californication
collini,0.0146518806483999,fr,californication
chier,0.0144651992253867,fr,californication
plutt,0.0144042645433638,fr,californication
boulot,0.0142788914452328,fr,californication
blog,0.0142288420104426,fr,californication
agent,0.0141991614116105,fr,californication
nouveau,0.014050424228803,fr,californication
rick,0.0140344153084927,fr,californication
connerie,0.013887549037365,fr,californication
partie,0.0138122814452639,fr,californication
couille,0.0138018162730181,fr,californication
cool,0.0136828282693701,fr,californication
sucer,0.0136783870930843,fr,californication
revenir,0.0135741386617249,fr,californication
donne,0.0135741386617249,fr,californication
prose,0.0133628108410766,fr,californication
comprend,0.0133359958781859,fr,californication
attendre,0.0130978530946468,fr,californication
pute,0.0130100299052023,fr,californication
plat,0.0129638380890274,fr,californication
dur,0.0129638380890274,fr,californication
devenir,0.0128597103111078,fr,californication
pense,0.0128597103111078,fr,californication
veu,0.0128597103111078,fr,californication
manque,0.0128268007897854,fr,californication
adorer,0.012686707447207,fr,californication
bais,0.0126471983715023,fr,californication
famille,0.0126215675275688,fr,californication
ide,0.0126215675275688,fr,californication
jouir,0.0124750358297712,fr,californication
faon,0.0123834247440297,fr,californication
pouser,0.0122540636907187,fr,californication
bordel,0.0122477429206923,fr,californication
mariage,0.0122477429206923,fr,californication
gentil,0.0122436248618592,fr,californication
ber,0.0122124932466603,fr,californication
reconsider,0.0122099005403333,fr,californication
enfant,0.0121452819604907,fr,californication
foutre,0.0120516207176747,fr,californication
porno,0.012014749823692,fr,californication
srieux,0.0120035537861365,fr,californication
sue,0.0119552426701974,fr,californication
affaire,0.0119071391769517,fr,californication
bonjour,0.0119071391769517,fr,californication
orgasme,0.0116742947284437,fr,californication
compte,0.0116689963934126,fr,californication
voi,0.0116167252435792,fr,californication
envier,0.011559717831239,fr,californication
voiture,0.0114978811092213,fr,californication
point,0.0114308536098736,fr,californication
vivre,0.0114308536098736,fr,californication
fou,0.0112833405589683,fr,californication
oeil,0.0111927108263346,fr,californication
rencard,0.0111586499637081,fr,californication
devrai,0.0111326950250967,fr,californication
puce,0.0111127338773603,fr,californication
chambre,0.0110432694832456,fr,californication
tton,0.0110291635892512,fr,californication
relation,0.0109979732349073,fr,californication
sympa,0.0107480192977503,fr,californication
titre,0.0107480192977503,fr,californication
sens,0.0107164252592565,fr,californication
arrter,0.0107164252592565,fr,californication
verre,0.0106486648066143,fr,californication
ville,0.0106486648066143,fr,californication
plein,0.0105631273318001,fr,californication
mourir,0.0104782824757175,fr,californication
souvenir,0.0104782824757175,fr,californication
crire,0.0104687600785454,fr,californication
coke,0.0104344841409913,fr,californication
cri,0.0103611054286213,fr,californication
pauvre,0.0103299606151498,fr,californication
apprendre,0.0102401396921784,fr,californication
travail,0.0102401396921784,fr,californication
ferme,0.0101646345881318,fr,californication
oubli,0.0101646345881318,fr,californication
minute,0.0100829851803546,fr,californication
aider,0.0100019969086394,fr,californication
travailler,0.0100019969086394,fr,californication
appel,0.0100019969086394,fr,californication
vite,0.0100019969086394,fr,californication
tampon,0.0099300331954336,fr,californication
revoir,0.0098429141046319,fr,californication
doi,0.0098429141046319,fr,californication
frrection,0.0097679204322666,fr,californication
bleed,0.0097679204322666,fr,californication
praeger,0.0097679204322666,fr,californication
nom,0.0097638541251003,fr,californication
damien,0.0097626539905725,fr,californication
beau,0.0096028430289092,fr,californication
continuer,0.0096028430289092,fr,californication
cours,0.0096028430289092,fr,californication
ronny,0.0095936346557971,fr,californication
dteste,0.0095921062854962,fr,californication
dernire,0.0095257113415613,fr,californication
semaine,0.0095257113415613,fr,californication
doute,0.0095257113415613,fr,californication
occuper,0.0095257113415613,fr,californication
lit,0.0094385892604081,fr,californication
prochain,0.0093627719531865,fr,californication
pire,0.0093627719531865,fr,californication
jouer,0.0093627719531865,fr,californication
magnifique,0.0093232857699205,fr,californication
pipe,0.0093111605422213,fr,californication
charli,0.0093048648097568,fr,californication
coute,0.0092875685580223,fr,californication
queue,0.0092409859228244,fr,californication
bander,0.0092127314029118,fr,californication
casser,0.0091739384150463,fr,californication
retard,0.0091739384150463,fr,californication
sors,0.0091002033990605,fr,californication
bouquin,0.0090890009602802,fr,californication
classe,0.0090713050734361,fr,californication
garon,0.0090494257744832,fr,californication
tomber,0.0090494257744832,fr,californication
prie,0.0090270802989742,fr,californication
sexuel,0.0088880313839136,fr,californication
changer,0.008882629801741,fr,californication
sexe,0.0088719645230736,fr,californication
demande,0.0088112829909442,fr,californication
porte,0.0088112829909442,fr,californication
peur,0.0088112829909442,fr,californication
julian,0.0088091845466542,fr,californication
vendre,0.0087125439326844,fr,californication
prcdemmer,0.0087084250904197,fr,californication
envie,0.0087069480809043,fr,californication
guitare,0.0087043013008476,fr,californication
felicia,0.0086730840589889,fr,californication
littrair,0.0086413116176911,fr,californication
janie,0.0086280487610688,fr,californication
cole,0.0086083005126248,fr,californication
assistant,0.0086020857544953,fr,californication
main,0.0085731402074052,fr,californication
droit,0.0085731402074052,fr,californication
aujourd,0.0085731402074052,fr,californication
excellent,0.0085673436804675,fr,californication
doyen,0.0085288602909978,fr,californication
prfre,0.0084705288234432,fr,californication
toucher,0.0084705288234432,fr,californication
lche,0.0084024876502955,fr,californication
ailleurs,0.0083623490694069,fr,californication
mort,0.0083349974238661,fr,californication
marche,0.0083349974238661,fr,californication
rentrer,0.0083349974238661,fr,californication
envoyer,0.0083349974238661,fr,californication
marier,0.0082668498167455,fr,californication
client,0.0082613302758461,fr,californication
coeur,0.0082484799261805,fr,californication
couch,0.0081338295280212,fr,californication
excus,0.0081163976261891,fr,californication
fin,0.0080968546403271,fr,californication
sale,0.0080511797261121,fr,californication
dner,0.0079985259890235,fr,californication
payer,0.0079864986049607,fr,californication
pieu,0.0079130011825887,fr,californication
soire,0.0078747704461059,fr,californication
inquite,0.0078704461829712,fr,californication
rappeler,0.0078587118567881,fr,californication
capote,0.0078456862082481,fr,californication
bizarre,0.0078072045828966,fr,californication
grave,0.0078072045828966,fr,californication
drle,0.0077485720518665,fr,californication
offrir,0.0077444834957195,fr,californication
boire,0.0077444834957195,fr,californication
acheter,0.0076862727261199,fr,californication
matin,0.0076822744231273,fr,californication
choix,0.0076822744231273,fr,californication
fesser,0.0076723527919464,fr,californication
talent,0.0076512124464689,fr,californication
pote,0.0076244947397534,fr,californication
perdre,0.007620569073249,fr,californication
long,0.007620569073249,fr,californication
dernier,0.007620569073249,fr,californication
rgle,0.0074422033474046,fr,californication
cherche,0.0074422033474046,fr,californication
parle,0.0074422033474046,fr,californication
ptasse,0.0073983499595753,fr,californication
rendez-vous,0.0073876241595076,fr,californication
parl,0.00738242628971,fr,californication
garde,0.00738242628971,fr,californication
racont,0.0073785432965355,fr,californication
chien,0.0073785432965355,fr,californication
anniker,0.0073259403241999,fr,californication
sonja,0.0073259403241999,fr,californication
bai,0.0072771042340332,fr,californication
normal,0.007260453277237,fr,californication
pens,0.007260453277237,fr,californication
doigt,0.0072486641775525,fr,californication
magazine,0.0072325996126933,fr,californication
erreur,0.0072021322716819,fr,californication
train,0.0072021322716819,fr,californication
habitude,0.0071903841631444,fr,californication
commencer,0.007144283506171,fr,californication
valoir,0.007144283506171,fr,californication
fort,0.007144283506171,fr,californication
salope,0.0071163538366559,fr,californication
artiste,0.0071122148981148,fr,californication
meredith,0.0071102111476759,fr,californication
marrer,0.0070582697702013,fr,californication
exact,0.0070184381679957,fr,californication
pervers,0.0069944193038971,fr,californication
faute,0.0069620611959591,fr,californication
pareil,0.0069620611959591,fr,californication
autant,0.0069620611959591,fr,californication
enfoir,0.0069448801500464,fr,californication
fantasme,0.0069101115779791,fr,californication
moyen,0.0069061407226319,fr,californication
bague,0.0068791038021018,fr,californication
amoureux,0.0068586710337051,fr,californication
minou,0.0068398721321587,fr,californication
neuf,0.0068034788050771,fr,californication
gars,0.0067764230587545,fr,californication
peine,0.0067764230587545,fr,californication
sexy,0.0067760572422928,fr,californication
coucher,0.0067487563032386,fr,californication
yusuf,0.0067465887873629,fr,californication
kapp,0.0067465887873629,fr,californication
compet,0.0067465887873629,fr,californication
demain,0.0067219901202364,fr,californication
schtroumpfette,0.006715544259058,fr,californication
women,0.0067017122370641,fr,californication
ado,0.0066903141167711,fr,californication
presque,0.0066679979390929,fr,californication
end,0.0066668143683431,fr,californication
tap,0.006634872951394,fr,californication
sre,0.006587328866819,fr,californication
difficile,0.006587328866819,fr,californication
embrasser,0.0065595399419526,fr,californication
adore,0.0065595399419526,fr,californication
adulte,0.0065581820969734,fr,californication
rve,0.0065514981085928,fr,californication
vol,0.0065344079495133,fr,californication
hell,0.0064994859913403,fr,californication
tromper,0.0064988023660816,fr,californication
mignon,0.0064988023660816,fr,californication
bureau,0.0064465513186812,fr,californication
fte,0.0064465513186812,fr,californication
arriv,0.0064298551555539,fr,californication
loin,0.0064298551555539,fr,californication
second,0.0064298551555539,fr,californication
anne,0.0064298551555539,fr,californication
excuse,0.0063947375236641,fr,californication
superbe,0.0063484181210986,fr,californication
vrit,0.0063433537236035,fr,californication
fond,0.0063433537236035,fr,californication
star,0.0063363547843827,fr,californication
dconne,0.006330400946071,fr,californication
chef,0.006292392840272,fr,californication
parfaire,0.006292392840272,fr,californication
suite,0.006241847968791,fr,californication
retrouver,0.006241847968791,fr,californication
clair,0.006241847968791,fr,californication
endroit,0.006241847968791,fr,californication
propos,0.0061917123720148,fr,californication
demand,0.0061917123720148,fr,californication
compltement,0.0061917123720148,fr,californication
content,0.0061917123720148,fr,californication
donn,0.0061917123720148,fr,californication
allez,0.0061917123720148,fr,californication
hollywood,0.0061055440414149,fr,californication
balt,0.0061049502701666,fr,californication
trixi,0.0061049502701666,fr,californication
seventie,0.0061049502701666,fr,californication
mection,0.0061049502701666,fr,californication
zevon,0.0061049502701666,fr,californication
bangbu,0.0061049502701666,fr,californication
utk,0.0061049502701666,fr,californication
dconn,0.0060994038870251,fr,californication
triste,0.0060993785803879,fr,californication
mre,0.0060503777310308,fr,californication
remettre,0.0060503777310308,fr,californication
incroyable,0.0060475367156241,fr,californication
fan,0.0060347767465964,fr,californication
prof,0.0060270085420739,fr,californication
gaff,0.0060270085420739,fr,californication
auteure,0.0060166921716828,fr,californication
service,0.0060017768930682,fr,californication
promettre,0.0060017768930682,fr,californication
homo,0.0059889531235221,fr,californication
aide,0.0059535695884758,fr,californication
allai,0.0059028346372284,fr,californication
achet,0.0058899942900235,fr,californication
poil,0.005883622704151,fr,californication
you,0.0058816140666327,fr,californication
ferai,0.0058554034371724,fr,californication
savai,0.0058083626217896,fr,californication
prfr,0.0057955560191397,fr,californication
flipper,0.0057853674118277,fr,californication
couple,0.0057723951489183,fr,californication
mater,0.0057723788863942,fr,californication
couter,0.0057617058173455,fr,californication
rendez,0.0057617058173455,fr,californication
marcher,0.0057617058173455,fr,californication
joue,0.0057617058173455,fr,californication
architecture,0.0057543462204789,fr,californication
important,0.0057154268049368,fr,californication
trixie,0.0057051161868037,fr,californication
ist,0.0057051161868037,fr,californication
happy,0.0056991635151081,fr,californication
profiter,0.0056339075817616,fr,californication
koon,0.0056221573228024,fr,californication
cin,0.005614643553302,fr,californication
gamin,0.0056114282939569,fr,californication
copain,0.0056001240694082,fr,californication
stone,0.0055916058337159,fr,californication
rock,0.0055772361805054,fr,californication
bouger,0.0055663475125483,fr,californication
lesbien,0.0055568447565655,fr,californication
advil,0.0055359215616073,fr,californication
copine,0.0055100135512402,fr,californication
mchant,0.0054989866174536,fr,californication
tudiante,0.0054874098858775,fr,californication
galipette,0.0054788892684366,fr,californication
simple,0.0054772840213977,fr,californication
tour,0.0054772840213977,fr,californication
propre,0.0054772840213977,fr,californication
trouv,0.0054772840213977,fr,californication
chri,0.005465559938946,fr,californication
tapette,0.0054555490678351,fr,californication
drange,0.0054547741927302,fr,californication
amuser,0.0054547741927302,fr,californication
imagine,0.0054547741927302,fr,californication
dos,0.0054547741927302,fr,californication
bref,0.005421497993524,fr,californication
vraie,0.0054109317507927,fr,californication
cat,0.0054106045888794,fr,californication
professeur,0.0053769481958021,fr,californication
manger,0.0053243324033071,fr,californication
sujet,0.0053243324033071,fr,californication
vasectomie,0.0053030991623431,fr,californication
offre,0.0052915946261711,fr,californication
journe,0.0052815636659,fr,californication
ignorer,0.0052815636659,fr,californication
lemmy,0.0052796102752627,fr,californication
rosario,0.0052796102752627,fr,californication
staley,0.0052796102752627,fr,californication
