mot,poids_tfidf,langue,serie
zoe,0.3553557544658883,en,caprica
tauron,0.2166435013648031,en,caprica
graystone,0.139141734959528,en,caprica
lacy,0.1263195031466713,en,caprica
holoband,0.1258901411538587,en,caprica
gemenon,0.1190013599046102,en,caprica
avatar,0.1143393851772612,en,caprica
vergis,0.089448258188268,en,caprica
daughter,0.0713676537754948,en,caprica
clarice,0.0705121841599908,en,caprica
mcp,0.0629450705769293,en,caprica
world,0.0599979674616949,en,caprica
work,0.0593528280266229,en,caprica
frak,0.0580450869705831,en,caprica
frakke,0.0576079081257918,en,caprica
cubit,0.0572910874831426,en,caprica
robot,0.0570847318088465,en,caprica
duram,0.0530063752226773,en,caprica
talk,0.0522562942408311,en,caprica
frakkin,0.0518723876507275,en,caprica
virtual,0.0514310577016944,en,caprica
sarno,0.04969347677126,en,caprica
help,0.0483854576303991,en,caprica
real,0.0477403181953271,en,caprica
life,0.0451597604550392,en,caprica
god,0.0404191971890789,en,caprica
bombing,0.0387285567848026,en,caprica
serge,0.0386679719587046,en,caprica
sto,0.0382470960453772,en,caprica
sure,0.0374180872341753,en,caprica
home,0.0354826689289594,en,caprica
kill,0.0354826689289594,en,caprica
caprican,0.0335644861269413,en,caprica
game,0.0331663865949413,en,caprica
little,0.0329021111886714,en,caprica
happen,0.0329021111886714,en,caprica
maglev,0.0315229405802206,en,caprica
philo,0.0305131692063103,en,caprica
win,0.0303215534483834,en,caprica
remember,0.0303215534483834,en,caprica
willie,0.0296726532493699,en,caprica
daddy,0.0295917989018174,en,caprica
dead,0.0290312745782395,en,caprica
terrorist,0.028984445139173,en,caprica
school,0.0284148991883914,en,caprica
lose,0.0277409957080955,en,caprica
generative,0.0274618522856792,en,caprica
place,0.0270958562730235,en,caprica
guatrau,0.0265031876113386,en,caprica
room,0.0264507168379515,en,caprica
love,0.0264507168379515,en,caprica
hear,0.0258055774028795,en,caprica
long,0.0258055774028795,en,caprica
friend,0.0258055774028795,en,caprica
bucs,0.0257914968383623,en,caprica
wrong,0.0251604379678075,en,caprica
kid,0.0251108411432296,en,caprica
tammy,0.0247229030966736,en,caprica
start,0.0245152985327355,en,caprica
die,0.0245152985327355,en,caprica
guess,0.0232250196625916,en,caprica
bring,0.0232250196625916,en,caprica
away,0.0232250196625916,en,caprica
keon,0.0231902891599213,en,caprica
gdd,0.0231902891599213,en,caprica
actually,0.0225798802275196,en,caprica
girl,0.0219347407924476,en,caprica
lev,0.0217741053303547,en,caprica
copy,0.0214795600707115,en,caprica
sister,0.0211459714890355,en,caprica
buccaneer,0.0208331227211427,en,caprica
body,0.0208102817850612,en,caprica
true,0.0206444619223036,en,caprica
miss,0.0206444619223036,en,caprica
play,0.0206444619223036,en,caprica
promise,0.0204851598800031,en,caprica
big,0.020159960479278,en,caprica
new,0.0199993224872316,en,caprica
matter,0.0199993224872316,en,caprica
believe,0.0199993224872316,en,caprica
great,0.0193541830521596,en,caprica
stop,0.0193541830521596,en,caprica
train,0.0188013087795483,en,caprica
like,0.0187090436170876,en,caprica
walk,0.0187090436170876,en,caprica
rand,0.0185176356943944,en,caprica
company,0.018502725052906,en,caprica
computer,0.018318732653506,en,caprica
family,0.0180639041820156,en,caprica
change,0.0180639041820156,en,caprica
understand,0.0180639041820156,en,caprica
program,0.0177562681293809,en,caprica
chip,0.0177467408905363,en,caprica
lab,0.0175672921525392,en,caprica
heart,0.0175586752561454,en,caprica
night,0.0174187647469437,en,caprica
live,0.0174187647469437,en,caprica
house,0.0174187647469437,en,caprica
fine,0.0169083539503622,en,caprica
bad,0.0167736253118717,en,caprica
idea,0.0167736253118717,en,caprica
philomon,0.0165644922570866,en,caprica
tsattie,0.0165644922570866,en,caprica
rezze,0.0165644922570866,en,caprica
contract,0.0164362545665094,en,caprica
welcome,0.0163886283854573,en,caprica
soldier,0.0161370332076368,en,caprica
answer,0.0161284858767997,en,caprica
meet,0.0161284858767997,en,caprica
dad,0.015733083250039,en,caprica
old,0.0154833464417277,en,caprica
cause,0.0154833464417277,en,caprica
hard,0.0154833464417277,en,caprica
lace,0.0152722227403123,en,caprica
car,0.0151986670077442,en,caprica
set,0.0150775381146207,en,caprica
crazy,0.0150775381146207,en,caprica
face,0.0149573900330127,en,caprica
hand,0.0148382070066557,en,caprica
use,0.0148382070066557,en,caprica
create,0.0145378553987119,en,caprica
beat,0.0145378553987119,en,caprica
minister,0.014403846463767,en,caprica
hate,0.0143070687272295,en,caprica
step,0.0141930675715837,en,caprica
point,0.0141930675715837,en,caprica
baby,0.0137664478437841,en,caprica
frack,0.0136475195148369,en,caprica
athena,0.0136475195148369,en,caprica
turn,0.0135479281365117,en,caprica
watch,0.0135479281365117,en,caprica
ready,0.0135479281365117,en,caprica
question,0.0135479281365117,en,caprica
problem,0.0135479281365117,en,caprica
monotheistic,0.0132515938056693,en,caprica
agent,0.0131974856266399,en,caprica
steal,0.0130064261156632,en,caprica
wife,0.0129027887014397,en,caprica
run,0.0129027887014397,en,caprica
chance,0.0129027887014397,en,caprica
sound,0.0129027887014397,en,caprica
defense,0.0127756116770363,en,caprica
pyramid,0.0127619298319451,en,caprica
hack,0.012435246040595,en,caprica
pull,0.0123561048098801,en,caprica
later,0.0123561048098801,en,caprica
cybernetic,0.0123450904629296,en,caprica
mind,0.0122576492663677,en,caprica
head,0.0122576492663677,en,caprica
brother,0.0122576492663677,en,caprica
morning,0.0122576492663677,en,caprica
chiron,0.0122052676825241,en,caprica
kobol,0.0122052676825241,en,caprica
processor,0.0120347209518087,en,caprica
corporation,0.0118471710387404,en,caprica
cylon,0.0117127940467827,en,caprica
door,0.0116125098312958,en,caprica
care,0.0116125098312958,en,caprica
artificial,0.0114857368487506,en,caprica
mom,0.01141508033044,en,caprica
phone,0.011324064286126,en,caprica
sanction,0.0113065980143516,en,caprica
today,0.0109673703962238,en,caprica
suppose,0.0109673703962238,en,caprica
important,0.0109673703962238,en,caprica
person,0.0109673703962238,en,caprica
wonder,0.0109673703962238,en,caprica
exactly,0.0109673703962238,en,caprica
club,0.0108299840227244,en,caprica
code,0.0108299840227244,en,caprica
security,0.0108299840227244,en,caprica
tonight,0.0104887221666927,en,caprica
