mot,poids_tfidf,langue,serie
piper,0.2775247347850713,fr,charmed
phoebe,0.2737316939291686,fr,charmed
prue,0.2668108321085142,fr,charmed
paige,0.1612145231862337,fr,charmed
dmon,0.1244808102201201,fr,charmed
taire,0.1239711009429275,fr,charmed
tre,0.1170760528634261,fr,charmed
ici,0.0861881009937677,fr,charmed
halliwell,0.0667225354844499,fr,charmed
sorcire,0.064292987260011,fr,charmed
potion,0.0557550854987523,fr,charmed
mme,0.0526446238502473,fr,charmed
mal,0.0503152157152806,fr,charmed
besoin,0.0465415745366346,fr,charmed
cole,0.0447476756789012,fr,charmed
accord,0.0438860492627725,fr,charmed
aider,0.0436531084492758,fr,charmed
magie,0.0403730235779408,fr,charmed
trs,0.0402987607349238,fr,charmed
tuer,0.0397397027825318,fr,charmed
petit,0.0358262971157877,fr,charmed
attendre,0.0345684167229057,fr,charmed
fondateur,0.0338643387550873,fr,charmed
appeler,0.0323321849133377,fr,charmed
mourir,0.031819715123645,fr,charmed
pass,0.0317265387982464,fr,charmed
grand,0.031540186147449,fr,charmed
livre,0.0314057835452927,fr,charmed
aimer,0.030981128195057,fr,charmed
sort,0.0307573408363277,fr,charmed
wyatt,0.0298770094710141,fr,charmed
essayer,0.0293971306632797,fr,charmed
raison,0.029024425361685,fr,charmed
problme,0.0288380727108877,fr,charmed
billie,0.0288378064836519,fr,charmed
balthazar,0.0288377939746616,fr,charmed
sortir,0.0287914845481883,fr,charmed
heure,0.028744896385489,fr,charmed
veux,0.028465367409293,fr,charmed
apr,0.028465367409293,fr,charmed
dsole,0.0280383419176959,fr,charmed
sorcir,0.0277524132864199,fr,charmed
prmonition,0.0276739488228767,fr,charmed
revenir,0.0272540751791103,fr,charmed
darryl,0.0269737453966628,fr,charmed
mieux,0.026508664575921,fr,charmed
perdre,0.0264154882505223,fr,charmed
avatar,0.0263887516924718,fr,charmed
vite,0.0263223119251236,fr,charmed
soeur,0.0261265039424518,fr,charmed
sauver,0.026089371111627,fr,charmed
peur,0.0258564302981303,fr,charmed
aide,0.0255769013219343,fr,charmed
mort,0.0246917262306469,fr,charmed
attend,0.0241871793762368,fr,charmed
quelqu,0.0239463156274576,fr,charmed
salut,0.0234338458377649,fr,charmed
zankou,0.0231697857784475,fr,charmed
retrouver,0.0224024942960485,fr,charmed
regarder,0.0210578495400989,fr,charmed
sai,0.0207317324012036,fr,charmed
fille,0.0204987915877069,fr,charmed
amour,0.0200642803850557,fr,charmed
vaincre,0.0199198425964213,fr,charmed
fait,0.0198465573099162,fr,charmed
maison,0.0197999691472169,fr,charmed
tard,0.019725466675766,fr,charmed
laisse,0.0197067928218182,fr,charmed
comprend,0.0195670283337202,fr,charmed
dieu,0.0195670283337202,fr,charmed
chercher,0.0194738520083215,fr,charmed
chance,0.0191943230321255,fr,charmed
christy,0.0191743128243662,fr,charmed
trouv,0.0191477348694262,fr,charmed
sentir,0.0189147940559295,fr,charmed
finir,0.0187284414051322,fr,charmed
question,0.0185886769170342,fr,charmed
vien,0.0183557361035375,fr,charmed
tai,0.018269539373507,fr,charmed
voil,0.0181227952900408,fr,charmed
triade,0.0176993656840303,fr,charmed
soir,0.0171893352460246,fr,charmed
enfant,0.0170046793852568,fr,charmed
arrter,0.0164922095955642,fr,charmed
sorcier,0.0163377160535972,fr,charmed
source,0.015959719243569,fr,charmed
figer,0.0159142731230495,fr,charmed
bonjour,0.0158399753177735,fr,charmed
vrai,0.0157002108296755,fr,charmed
famille,0.0157002108296755,fr,charmed
dsol,0.0157002108296755,fr,charmed
lumire,0.0154247940533026,fr,charmed
warlock,0.0153981727540468,fr,charmed
