mot,poids_tfidf,langue,serie
chuck,0.41066672956665,en,chuck
casey,0.1810578698444904,en,chuck
bartowski,0.1532487779119998,en,chuck
ellie,0.1052972409068195,en,chuck
intersect,0.1034000032174917,en,chuck
fulcrum,0.0849306712654925,en,chuck
work,0.0764324328312901,en,chuck
talk,0.062262375059197,en,chuck
morgan,0.0604016677605265,en,chuck
agent,0.0598091137966204,en,chuck
spy,0.0579376399419461,en,chuck
little,0.0526009720327698,en,chuck
help,0.0466967812943977,en,chuck
walker,0.0464221553196199,en,chuck
beckman,0.0462032802442636,en,chuck
life,0.0421881265487317,en,chuck
great,0.0400411480984146,en,chuck
buy,0.0399337991758987,en,chuck
sure,0.038967658873256,en,chuck
shaw,0.0386664312240147,en,chuck
big,0.0381985421250362,en,chuck
happen,0.0373574250355182,en,chuck
mission,0.0367641231168793,en,chuck
friend,0.0358545401202962,en,chuck
jill,0.0358312685742469,en,chuck
night,0.0346737019726217,en,chuck
kill,0.0342443062825583,en,chuck
love,0.0342443062825583,en,chuck
fine,0.0339783065928084,en,chuck
buddy,0.0325003830608633,en,chuck
bryce,0.0320379001570407,en,chuck
job,0.0296283026143765,en,chuck
grime,0.0294267665960128,en,chuck
real,0.029198906924313,en,chuck
new,0.0281254176991545,en,chuck
dude,0.0278278695613085,en,chuck
ilsa,0.0276570676420089,en,chuck
general,0.0274832752664457,en,chuck
flash,0.027385598541865,en,chuck
believe,0.0273739752415435,en,chuck
larkin,0.027277247276617,en,chuck
actually,0.0272666263190276,en,chuck
lester,0.0267432392674613,en,chuck
ring,0.0254932579835118,en,chuck
bad,0.0249049500236788,en,chuck
hear,0.0249049500236788,en,chuck
roark,0.0248064568562589,en,chuck
orion,0.0247648692379812,en,chuck
meet,0.0243682054110995,en,chuck
stay,0.0242608564885836,en,chuck
devon,0.0240218908776698,en,chuck
like,0.0238314607985202,en,chuck
stop,0.0234020651084568,en,chuck
computer,0.023330242505942,en,chuck
second,0.0229726694183933,en,chuck
team,0.0226814172874385,en,chuck
nice,0.0225432737283299,en,chuck
store,0.022479998445514,en,chuck
girl,0.022435924805814,en,chuck
run,0.0218991801932348,en,chuck
burbank,0.0218284364973565,en,chuck
awesome,0.0217106537466575,en,chuck
secret,0.0216138491599339,en,chuck
tonight,0.0213797572802278,en,chuck
guess,0.0213624355806555,en,chuck
dad,0.0207252749145065,en,chuck
trust,0.0205601218236739,en,chuck
head,0.0203962952780128,en,chuck
idea,0.0202889463554969,en,chuck
gun,0.020160670158817,en,chuck
break,0.0198026436512227,en,chuck
long,0.0197522017429176,en,chuck
plan,0.0195862213162367,en,chuck
room,0.0188934103627908,en,chuck
save,0.0188934103627908,en,chuck
wrong,0.0187860614402749,en,chuck
charle,0.01858966224302,en,chuck
bring,0.0185713635952432,en,chuck
course,0.0183958984738135,en,chuck
pretty,0.0183958984738135,en,chuck
