mot,poids_tfidf,langue,serie
chuck,0.3377265855266524,fr,chuck
bartowski,0.2299344813722969,fr,chuck
intersect,0.2028140040822311,fr,chuck
casey,0.1365227979759731,fr,chuck
taire,0.1090117052603341,fr,chuck
morgan,0.099079502465156,fr,chuck
fulcrum,0.095559315022725,fr,chuck
tre,0.0933728952229866,fr,chuck
buy,0.0916249046142654,fr,chuck
ellie,0.0839969705903187,fr,chuck
bryce,0.0810206999788507,fr,chuck
sarah,0.0703166452699397,fr,chuck
ici,0.0671548901603746,fr,chuck
mme,0.0611753451460947,fr,chuck
agent,0.0582162541141824,fr,chuck
subber,0.0546628855293132,fr,chuck
espion,0.0534317060097044,fr,chuck
mec,0.0532772104778434,fr,chuck
dsol,0.0510561151219286,fr,chuck
cia,0.0476172626142068,fr,chuck
besoin,0.045881508859571,fr,chuck
heure,0.045881508859571,fr,chuck
walker,0.0442510910538574,fr,chuck
shaw,0.0426043334603763,fr,chuck
petit,0.0409368850977626,fr,chuck
mission,0.0395089426015467,fr,chuck
ouai,0.038523053574479,fr,chuck
soir,0.0381384559803868,fr,chuck
ami,0.0379471125906226,fr,chuck
accord,0.0364522263370526,fr,chuck
larkin,0.0362459272020572,fr,chuck
grime,0.0356415050573824,fr,chuck
carmichael,0.035025458607196,fr,chuck
trs,0.0349573400834826,fr,chuck
carina,0.0347488418264454,fr,chuck
aimer,0.0331174800790888,fr,chuck
attendre,0.032772506328265,fr,chuck
beckman,0.0311020536730686,fr,chuck
jeff,0.0291407091447831,fr,chuck
devon,0.0281856482684061,fr,chuck
attend,0.0280532107819258,fr,chuck
appeler,0.026792961313985,fr,chuck
herd,0.0265309016968034,fr,chuck
super,0.0265066882393204,fr,chuck
quelqu,0.0261030138123374,fr,chuck
arme,0.0259880225620627,fr,chuck
problme,0.0258730313117881,fr,chuck
aider,0.0257580400615135,fr,chuck
finir,0.0254130663106897,fr,chuck
voil,0.0250680925598658,fr,chuck
lester,0.0250356163348022,fr,chuck
veux,0.0249531013095912,fr,chuck
boulot,0.0247745463947526,fr,chuck
dieu,0.0246081275587674,fr,chuck
travailler,0.0246081275587674,fr,chuck
tuer,0.0244931363084928,fr,chuck
roark,0.0241725993237542,fr,chuck
meilleur,0.0239181800571197,fr,chuck
grand,0.0238031888068451,fr,chuck
orion,0.0237794137656719,fr,chuck
nouveau,0.0233432238057466,fr,chuck
pote,0.0232773114274733,fr,chuck
sortir,0.023228232555472,fr,chuck
mal,0.0228832588046482,fr,chuck
salut,0.0227682675543735,fr,chuck
anner,0.0222758868023542,fr,chuck
elsa,0.0222357500458223,fr,chuck
pass,0.0221933113030005,fr,chuck
black,0.0220102814981627,fr,chuck
secret,0.0217943881078856,fr,chuck
vrai,0.0216183550516274,fr,chuck
fille,0.0213883725510782,fr,chuck
stanford,0.0208323292827417,fr,chuck
gnial,0.0208319879171792,fr,chuck
air,0.0208134162997051,fr,chuck
burbank,0.0207111023120368,fr,chuck
quipe,0.0205180589728245,fr,chuck
raison,0.0204684425488813,fr,chuck
apr,0.0204684425488813,fr,chuck
mourir,0.0203534512986067,fr,chuck
nsa,0.0203091765584092,fr,chuck
donne,0.020238460048332,fr,chuck
regarder,0.0198934862975082,fr,chuck
nerd,0.0194498044058239,fr,chuck
alliance,0.0193329311798371,fr,chuck
coup,0.0191271891694949,fr,chuck
sai,0.0190885475455859,fr,chuck
tai,0.0188953444522889,fr,chuck
ordinateur,0.0188463355808233,fr,chuck
minute,0.0187794220936859,fr,chuck
laisse,0.0187435737947621,fr,chuck
chance,0.0186285825444874,fr,chuck
question,0.0186285825444874,fr,chuck
jeu,0.0182836087936636,fr,chuck
mieux,0.0182836087936636,fr,chuck
nuit,0.018168617543389,fr,chuck
tte,0.018168617543389,fr,chuck
pre,0.0180536262931144,fr,chuck
voiture,0.0177420862882659,fr,chuck
confiance,0.0177086525422905,fr,chuck
nom,0.0177086525422905,fr,chuck
aide,0.0174786700417413,fr,chuck
flash,0.0174663612465583,fr,chuck
vien,0.0173636787914667,fr,chuck
gnral,0.0169125635954378,fr,chuck
travail,0.0167887225400936,fr,chuck
gars,0.0164774105738685,fr,chuck
plat,0.0164609749216259,fr,chuck
magasin,0.0160903119328034,fr,chuck
trouv,0.0159837837881713,fr,chuck
coute,0.0157538012876221,fr,chuck
emmett,0.0157503229491241,fr,chuck
scurit,0.0155425220306702,fr,chuck
prt,0.0155335960528019,fr,chuck
fait,0.0154088275367982,fr,chuck
code,0.0153308130433465,fr,chuck
porte,0.0152938362865236,fr,chuck
stavro,0.0152026182990698,fr,chuck
mort,0.015178845036249,fr,chuck
tang,0.0149893918371498,fr,chuck
faon,0.0149488625356998,fr,chuck
ide,0.0149488625356998,fr,chuck
demain,0.0147221395425809,fr,chuck
chambre,0.0146062171839779,fr,chuck
pense,0.0146038887848759,fr,chuck
flashe,0.014599054106272,fr,chuck
mike,0.0144314562105017,fr,chuck
flasher,0.0143687784309741,fr,chuck
tard,0.0142584501081689,fr,chuck
soeur,0.0142357549688217,fr,chuck
couvertur,0.0140418018332849,fr,chuck
devenir,0.0140289325335029,fr,chuck
revenir,0.0140289325335029,fr,chuck
chercher,0.0139139412832283,fr,chuck
plan,0.0139064670800734,fr,chuck
kirk,0.0138088991838876,fr,chuck
prend,0.0137989500329536,fr,chuck
aime,0.0135689675324044,fr,chuck
essayer,0.0134539762821298,fr,chuck
dsole,0.0134469935979479,fr,chuck
doi,0.0132151488807419,fr,chuck
main,0.013109002531306,fr,chuck
important,0.013109002531306,fr,chuck
partie,0.0129940112810313,fr,chuck
train,0.0129833041635359,fr,chuck
roan,0.0129706630517705,fr,chuck
cipher,0.0129706630517705,fr,chuck
gros,0.0128790200307567,fr,chuck
famille,0.0128790200307567,fr,chuck
hier,0.0127514594463299,fr,chuck
fou,0.0126355370877269,fr,chuck
merlin,0.0125934233194412,fr,chuck
