mot,poids_tfidf,langue,serie
par,0.3345948655320011,en,coldcase
night,0.0909181195364653,en,coldcase
talk,0.0863592622605628,en,coldcase
kid,0.0807629270855689,en,coldcase
kill,0.0714393657212454,en,coldcase
girl,0.0668805084453428,en,coldcase
work,0.0591097289977817,en,coldcase
tsm,0.0585262285504406,en,coldcase
hear,0.0531521314213181,en,coldcase
happen,0.0497329884643912,en,coldcase
love,0.0495257676791229,en,coldcase
nate,0.0490799172208404,en,coldcase
die,0.0490077157159522,en,coldcase
home,0.0462620403111473,en,coldcase
old,0.0459512091332448,en,coldcase
help,0.0442416376547814,en,coldcase
remember,0.0424802609800008,en,coldcase
sure,0.0420140142131472,en,coldcase
life,0.041910403820513,en,coldcase
philly,0.0417385983335738,en,coldcase
dad,0.0416388586525101,en,coldcase
boy,0.0400454167530984,en,coldcase
little,0.039786390771513,en,coldcase
run,0.0393201440046593,en,coldcase
bad,0.0386984816488544,en,coldcase
mom,0.0386606312219486,en,coldcase
murder,0.0380675113566189,en,coldcase
away,0.03771418291883,en,coldcase
detective,0.0373384099773402,en,coldcase
valen,0.0357733743618761,en,coldcase
family,0.0343468451582202,en,coldcase
friend,0.034243234765586,en,coldcase
scotty,0.0337857816945078,en,coldcase
car,0.0337485030396989,en,coldcase
real,0.0336215724097812,en,coldcase
job,0.0334143516245129,en,coldcase
place,0.032792689268708,en,coldcase
stop,0.0320156113239518,en,coldcase
son,0.0320116596883552,en,coldcase
rainey,0.0319233973911494,en,coldcase
school,0.0303524272621192,en,coldcase
com,0.0301118426421411,en,coldcase
long,0.0300988190602201,en,coldcase
money,0.0296325722933664,en,coldcase
lose,0.0295807670970494,en,coldcase
house,0.0295807670970494,en,coldcase
play,0.0294771567044152,en,coldcase
big,0.02940059446092,en,coldcase
start,0.0290109099375615,en,coldcase
case,0.0285964683670249,en,coldcase
win,0.0281302216001713,en,coldcase
turn,0.0281302216001713,en,coldcase
cause,0.0274567540480493,en,coldcase
dead,0.0269387020848786,en,coldcase
cop,0.0267246068626861,en,coldcase
baby,0.026636235749899,en,coldcase
live,0.026576065710659,en,coldcase
end,0.0260062085511712,en,coldcase
gun,0.0259266226359229,en,coldcase
believe,0.0256953773732688,en,coldcase
check,0.0252291306064151,en,coldcase
bring,0.025177325410098,en,coldcase
pretty,0.0247006770515367,en,coldcase
wrong,0.024452052661659,en,coldcase
father,0.0243726821189787,en,coldcase
care,0.0242966370727078,en,coldcase
break,0.0242829066151471,en,coldcase
brent,0.0237954510387737,en,coldcase
stay,0.0234159487353175,en,coldcase
new,0.0233641435390004,en,coldcase
meet,0.0233641435390004,en,coldcase
guess,0.0232605331463663,en,coldcase
lil,0.0231191028153575,en,coldcase
like,0.0228978967721468,en,coldcase
miss,0.0225352603979273,en,coldcase
hurt,0.0224551609559424,en,coldcase
http,0.0222529847922143,en,coldcase
pay,0.0221940544331989,en,coldcase
head,0.0218617928458053,en,coldcase
wife,0.0212919356863175,en,coldcase
hit,0.0211365200973662,en,coldcase
room,0.0210847149010492,en,coldcase
boss,0.0210348070442394,en,coldcase
mother,0.0210329097047321,en,coldcase
lie,0.0210329097047321,en,coldcase
hell,0.0210329097047321,en,coldcase
week,0.0207738837231467,en,coldcase
club,0.020763039511368,en,coldcase
brother,0.0205148577415614,en,coldcase
walk,0.0203076369562931,en,coldcase
doer,0.0199461067213348,en,coldcase
month,0.0198931953857565,en,coldcase
vera,0.0195481237614201,en,coldcase
record,0.0194770893823372,en,coldcase
shoot,0.0193751434225857,en,coldcase
homicide,0.0193131519073987,en,coldcase
sound,0.0192715330299516,en,coldcase
body,0.0192174400739228,en,coldcase
ago,0.0191161174410004,en,coldcase
parent,0.0190237273009917,en,coldcase
hard,0.0183908446925613,en,coldcase
story,0.0183818992011436,en,coldcase
hour,0.0182872342999272,en,coldcase
forget,0.0182774565920462,en,coldcase
hand,0.0182354291036101,en,coldcase
jeffrie,0.018082455393333,en,coldcase
