mot,poids_tfidf,langue,serie
taire,0.3752296457575217,fr,coldcase
tre,0.1304770192070485,fr,coldcase
mme,0.0853356808084014,fr,coldcase
fille,0.0771731374267282,fr,coldcase
ici,0.0695052936439443,fr,coldcase
cest,0.0638379035511535,fr,coldcase
apr,0.0635688984572729,fr,coldcase
pre,0.0585600650185189,fr,coldcase
heure,0.0583127152190743,fr,coldcase
philly,0.056346404908727,fr,coldcase
ouai,0.0546093482155219,fr,coldcase
petit,0.0546024682274046,fr,coldcase
soir,0.0505562483219705,fr,coldcase
nuit,0.0483568857914274,fr,coldcase
mort,0.0482950483415663,fr,coldcase
quelqu,0.0466872746451761,fr,coldcase
besoin,0.0441519392008685,fr,coldcase
aimer,0.0425441655044784,fr,coldcase
nom,0.0406890420086435,fr,coldcase
mourir,0.0395759679111427,fr,coldcase
maison,0.0391431057621145,fr,coldcase
pass,0.038957593412531,fr,coldcase
voiture,0.0386830213403914,fr,coldcase
mal,0.0385247312635029,fr,coldcase
inspecteur,0.0377021025362077,fr,coldcase
famille,0.0375971695155855,fr,coldcase
affaire,0.0371024699166962,fr,coldcase
jai,0.0367325352492146,fr,coldcase
tier,0.0366696077676681,fr,coldcase
sortir,0.0352473464208614,fr,coldcase
valen,0.0350371184608282,fr,coldcase
gamin,0.0350336073818835,fr,coldcase
rush,0.0346771541087844,fr,coldcase
appeler,0.0344434595726663,fr,coldcase
regarder,0.0342579472230828,fr,coldcase
trouv,0.0338869225239159,fr,coldcase
scotty,0.0338073393071957,fr,coldcase
fils,0.0333922229250266,fr,coldcase
meurtre,0.0327707230936281,fr,coldcase
problme,0.0325883360768315,fr,coldcase
accord,0.0324646611771092,fr,coldcase
philadelphie,0.0322583839358463,fr,coldcase
ami,0.0319081241283588,fr,coldcase
grand,0.0317226117787753,fr,coldcase
trs,0.0313515870796083,fr,coldcase
enfant,0.031227912179886,fr,coldcase
souvenir,0.0301148380823851,fr,coldcase
quil,0.0273258879810981,fr,coldcase
coldcase,0.0269491578146659,fr,coldcase
argent,0.0268374532397436,fr,coldcase
anne,0.0267137783400213,fr,coldcase
perdre,0.026590103440299,fr,coldcase
mieux,0.026219078741132,fr,coldcase
tai,0.0261820274910328,fr,coldcase
dernire,0.0260335663915485,fr,coldcase
taient,0.0255388667926592,fr,coldcase
coup,0.0248729261164812,fr,coldcase
aider,0.0246113050447418,fr,coldcase
revenir,0.0245494675948807,fr,coldcase
arme,0.0242402803455749,fr,coldcase
travailler,0.0242402803455749,fr,coldcase
interprte,0.0241740926857717,fr,coldcase
police,0.0241439200225021,fr,coldcase
finir,0.0239929305461302,fr,coldcase
flic,0.0238780537284176,fr,coldcase
cter,0.0236057925996672,fr,coldcase
appel,0.0233745560475186,fr,coldcase
vrai,0.0231890436979351,fr,coldcase
essayer,0.023127206248074,fr,coldcase
gars,0.0230633659549397,fr,coldcase
mec,0.0229845739576134,fr,coldcase
raison,0.0228798564486293,fr,coldcase
laisse,0.0226943440990458,fr,coldcase
poque,0.0226398903628127,fr,coldcase
frre,0.0225088317494624,fr,coldcase
semaine,0.0218286198009896,fr,coldcase
parl,0.0217667823511284,fr,coldcase
chance,0.0217049449012673,fr,coldcase
veux,0.021581270001545,fr,coldcase
mari,0.0215690035997556,fr,coldcase
meilleur,0.0215194325516838,fr,coldcase
papa,0.0212720827522392,fr,coldcase
endroit,0.021132636474905,fr,coldcase
rainey,0.0209252284207994,fr,coldcase
mois,0.0207773831533499,fr,coldcase
tard,0.0206339311893615,fr,coldcase
vieux,0.0203445210043217,fr,coldcase
garon,0.0203445210043217,fr,coldcase
attendre,0.0202208461045994,fr,coldcase
corps,0.0200105495824322,fr,coldcase
jouer,0.0198235351003534,fr,coldcase
photo,0.0196660326613063,fr,coldcase
tuer,0.019664309055849,fr,coldcase
all,0.0196365206182746,fr,coldcase
rentrer,0.0194169592564043,fr,coldcase
dsol,0.0194169592564043,fr,coldcase
parent,0.0194149870213237,fr,coldcase
devenir,0.0192314469068209,fr,coldcase
retrouver,0.0190131390113452,fr,coldcase
cole,0.0189040663102363,fr,coldcase
cold,0.018835216030039,fr,coldcase
verer,0.0186602584591164,fr,coldcase
lilly,0.0184948162617386,fr,coldcase
question,0.0184893975084869,fr,coldcase
travail,0.0184275600586258,fr,coldcase
nouveau,0.0184275600586258,fr,coldcase
jeffrie,0.018411952748465,fr,coldcase
gonzalo,0.0180717881815994,fr,coldcase
faon,0.0179328604597365,fr,coldcase
danville,0.0178105352175877,fr,coldcase
gosse,0.0177971442984297,fr,coldcase
sujet,0.0177845573984958,fr,coldcase
patron,0.0176216697307965,fr,coldcase
tte,0.0174999983107084,fr,coldcase
main,0.0174381608608472,fr,coldcase
jeune,0.017330008672636,fr,coldcase
voil,0.0173144859611249,fr,coldcase
donn,0.0172526485112637,fr,coldcase
bettie,0.0172265832432405,fr,coldcase
retrouv,0.0169567010617098,fr,coldcase
fait,0.0169434612619579,fr,coldcase
rappeler,0.0168197863622356,fr,coldcase
arriv,0.0168197863622356,fr,coldcase
donalyn,0.0168035925197328,fr,coldcase
chercher,0.016572436562791,fr,coldcase
rue,0.0164133278436849,fr,coldcase
dur,0.0163949362622419,fr,coldcase
partie,0.0163869242132075,fr,coldcase
vivre,0.0163869242132075,fr,coldcase
vol,0.0161506404643583,fr,coldcase
apprendre,0.0160777369639017,fr,coldcase
porte,0.0159540620641794,fr,coldcase
tomber,0.0158922246143182,fr,coldcase
essay,0.0157685497145959,fr,coldcase
tully,0.0157667033073727,fr,coldcase
nash,0.0157196632704824,fr,coldcase
donne,0.0157067122647347,fr,coldcase
andi,0.0156232699965686,fr,coldcase
mike,0.0156125598362824,fr,coldcase
mre,0.0155850538333108,fr,coldcase
arrte,0.0154593624652901,fr,coldcase
cause,0.0153975250154289,fr,coldcase
blanc,0.0152637562437381,fr,coldcase
peur,0.0150883377661231,fr,coldcase
payer,0.0149566242432579,fr,coldcase
matin,0.0148364822449186,fr,coldcase
sang,0.0147791505168173,fr,coldcase
salut,0.0147173130669561,fr,coldcase
air,0.014655475617095,fr,coldcase
boulot,0.0145795664892262,fr,coldcase
aide,0.0145318007173727,fr,coldcase
disparaître,0.0145075878670006,fr,coldcase
billy,0.0143691387370324,fr,coldcase
noir,0.0143057799104491,fr,coldcase
lettre,0.014247678467785,fr,coldcase
arrter,0.0140989385683445,fr,coldcase
amie,0.0140768228171839,fr,coldcase
hank,0.0140132758877426,fr,coldcase
demande,0.0139752636686222,fr,coldcase
ville,0.0138882939401681,fr,coldcase
dieu,0.0138515887688999,fr,coldcase
team,0.0137827774537538,fr,coldcase
sest,0.0137594720536882,fr,coldcase
dossier,0.0136948280248701,fr,coldcase
occuper,0.0136660764193164,fr,coldcase
numro,0.0136032639327038,fr,coldcase
brent,0.0135612558833604,fr,coldcase
minute,0.0135273808703669,fr,coldcase
compte,0.0134805640697329,fr,coldcase
dsole,0.013465042709674,fr,coldcase
point,0.0134187266198718,fr,coldcase
quartier,0.0133901793007424,fr,coldcase
dollar,0.0133396435372616,fr,coldcase
droit,0.0132332142702883,fr,coldcase
fin,0.0132332142702883,fr,coldcase
plat,0.0132156900669022,fr,coldcase
prison,0.013175592839093,fr,coldcase
revoir,0.0130910137455164,fr,coldcase
drogue,0.0129847306878737,fr,coldcase
rapport,0.0129663374241305,fr,coldcase
oeil,0.0128621895711213,fr,coldcase
dernier,0.012738514671399,fr,coldcase
vrit,0.0127337343286773,fr,coldcase
pete,0.0127323996242244,fr,coldcase
sai,0.0126766772215378,fr,coldcase
sadie,0.0125604623339685,fr,coldcase
mlanie,0.0125462738719472,fr,coldcase
victime,0.0125359069208915,fr,coldcase
chambre,0.012467632138587,fr,coldcase
nick,0.0124311340867759,fr,coldcase
toya,0.0123649077031996,fr,coldcase
balle,0.0123259621549851,fr,coldcase
vendre,0.0123172199650359,fr,coldcase
plutt,0.0122806176565082,fr,coldcase
demand,0.0122438150725097,fr,coldcase
sentir,0.0122438150725097,fr,coldcase
joe,0.0122007760144837,fr,coldcase
match,0.0121757944068167,fr,coldcase
train,0.0121559413351223,fr,coldcase
chanson,0.0121054140923264,fr,coldcase
butler,0.0120780865321496,fr,coldcase
propre,0.0120583027229262,fr,coldcase
vien,0.0119964652730651,fr,coldcase
aujourd,0.0119346278232039,fr,coldcase
herman,0.0118767850899471,fr,coldcase
quipe,0.0118126004764282,fr,coldcase
place,0.0118109529234816,fr,coldcase
alice,0.0118001843037068,fr,coldcase
club,0.0117867377562903,fr,coldcase
arrt,0.0117819123709647,fr,coldcase
guerre,0.0117516333339883,fr,coldcase
tamyra,0.0116790394869427,fr,coldcase
premire,0.0116572360495789,fr,coldcase
tmoin,0.0116466606070606,fr,coldcase
mauvais,0.011563603124037,fr,coldcase
harry,0.0115581739584261,fr,coldcase
cur,0.0115512333187708,fr,coldcase
oublier,0.011532559728193,fr,coldcase
prsent,0.011532559728193,fr,coldcase
lyce,0.0114568009812374,fr,coldcase
relecture,0.0112951281817358,fr,coldcase
laiss,0.0112488896619461,fr,coldcase
continuer,0.0112208689247283,fr,coldcase
crit,0.0111635564942069,fr,coldcase
bel,0.0111232037439355,fr,coldcase
jeff,0.0111000406980417,fr,coldcase
skill,0.0110950875125956,fr,coldcase
bureau,0.0110738003381218,fr,coldcase
hilary,0.0110715793211371,fr,coldcase
supposer,0.0109975178259249,fr,coldcase
ensembl,0.0109715162819566,fr,coldcase
jackal,0.010967458457695,fr,coldcase
jame,0.0109625941117009,fr,coldcase
porter,0.0109598807903541,fr,coldcase
jeu,0.0109452286254254,fr,coldcase
courant,0.0109091781212636,fr,coldcase
garder,0.0108833911755642,fr,coldcase
changer,0.0108468399605707,fr,coldcase
roy,0.0108329849718022,fr,coldcase
you,0.0107862164345195,fr,coldcase
ancien,0.0107064731420222,fr,coldcase
garde,0.0106978788259807,fr,coldcase
quon,0.0106824305268449,fr,coldcase
stillman,0.0106759011643218,fr,coldcase
service,0.0106598254784919,fr,coldcase
comprend,0.0105742039262584,fr,coldcase
carl,0.0105503413852913,fr,coldcase
amour,0.010537739666179,fr,coldcase
prend,0.0105123664763972,fr,coldcase
chef,0.0104947741538826,fr,coldcase
margot,0.0104627683922701,fr,coldcase
imp,0.0104155133310457,fr,coldcase
will,0.0103452677243311,fr,coldcase
ide,0.0103268541268137,fr,coldcase
frank,0.0103105149418172,fr,coldcase
crime,0.0102566511170931,fr,coldcase
peine,0.0102434023178615,fr,coldcase
john,0.0102360821704217,fr,coldcase
greg,0.0101814791693714,fr,coldcase
cours,0.0101611201929484,fr,coldcase
enqute,0.0101466437544064,fr,coldcase
laurie,0.0101271060879252,fr,coldcase
mitch,0.0100970458669576,fr,coldcase
secret,0.0100729540211925,fr,coldcase
mentir,0.0100729540211925,fr,coldcase
suite,0.0100364438715625,fr,coldcase
nadia,0.0100326585036964,fr,coldcase
tir,0.0099952773262085,fr,coldcase
coutez,0.0099920304818404,fr,coldcase
tlphone,0.0099601826325719,fr,coldcase
mot,0.0099558294276468,fr,coldcase
lieu,0.0099558294276468,fr,coldcase
beau,0.0099117675501767,fr,coldcase
montrer,0.0098939919777856,fr,coldcase
gros,0.0098939919777856,fr,coldcase
loin,0.0098939919777856,fr,coldcase
carte,0.0098939919777856,fr,coldcase
demain,0.0098494293894837,fr,coldcase
kite,0.0098285163794663,fr,coldcase
ally,0.0098000007764784,fr,coldcase
missy,0.0097952037842841,fr,coldcase
servir,0.0097247530680979,fr,coldcase
johanna,0.0097154277928222,fr,coldcase
nest,0.0096761511290396,fr,coldcase
julian,0.0096399288809429,fr,coldcase
sonny,0.0096399288809429,fr,coldcase
jtai,0.0096276493174622,fr,coldcase
classe,0.0096183096024602,fr,coldcase
pied,0.009600076746712,fr,coldcase
traduction,0.0095427024046241,fr,coldcase
ressembler,0.0095229672786187,fr,coldcase
vue,0.0095229672786187,fr,coldcase
tat,0.0095229672786187,fr,coldcase
dawn,0.0094909935266195,fr,coldcase
juliu,0.0094875496397503,fr,coldcase
paige,0.0094611677835172,fr,coldcase
benny,0.0093479003025146,fr,coldcase
latrell,0.0093223396890408,fr,coldcase
difficile,0.0093127310761969,fr,coldcase
trevor,0.0092202647782446,fr,coldcase
naver,0.0091965605420535,fr,coldcase
bartleby,0.009194418548533,fr,coldcase
attend,0.0091637096218614,fr,coldcase
cadet,0.0091436222429657,fr,coldcase
criminelle,0.0090861419138542,fr,coldcase
propos,0.0090282676797294,fr,coldcase
avocat,0.0090217113528765,fr,coldcase
obtenir,0.008995971515782,fr,coldcase
oubli,0.0089865431377558,fr,coldcase
france,0.0089624320418245,fr,coldcase
miller,0.0089564557269176,fr,coldcase
elliot,0.0088803919174772,fr,coldcase
fernwood,0.0088773696330664,fr,coldcase
miriam,0.0088523457385556,fr,coldcase
felicia,0.0088475363383742,fr,coldcase
bonjour,0.0088427553301459,fr,coldcase
heureux,0.0087980142607399,fr,coldcase
asseoir,0.0087896806577038,fr,coldcase
feu,0.0087809178802847,fr,coldcase
darcy,0.0086814960249488,fr,coldcase
truck,0.0086692314561155,fr,coldcase
prt,0.008665004336318,fr,coldcase
ferme,0.0086094853837241,fr,coldcase
recherche,0.008602666175625,fr,coldcase
mariage,0.0085673805653215,fr,coldcase
envoyer,0.0085335680808401,fr,coldcase
conduire,0.0084779898542392,fr,coldcase
fou,0.0084779898542392,fr,coldcase
lener,0.0084562942441253,fr,coldcase
suspect,0.0084412702227284,fr,coldcase
plan,0.0084209565067082,fr,coldcase
magasin,0.0083801661504261,fr,coldcase
pote,0.0083663266440572,fr,coldcase
erreur,0.0083533135328533,fr,coldcase
gagner,0.0083480557312566,fr,coldcase
fte,0.0083053502535914,fr,coldcase
chang,0.0082909753721604,fr,coldcase
agir,0.0082862182813955,fr,coldcase
aime,0.0082862182813955,fr,coldcase
alibi,0.0082833580035387,fr,coldcase
coop,0.0082621893559853,fr,coldcase
kat,0.0082440103850037,fr,coldcase
nter,0.0082421383598564,fr,coldcase
maurice,0.0082390015630578,fr,coldcase
faux,0.0082324276296924,fr,coldcase
important,0.0082243808315343,fr,coldcase
sergent,0.0081870398872185,fr,coldcase
pire,0.0081662990507745,fr,coldcase
commencer,0.0081625433816731,fr,coldcase
bal,0.0081624909956053,fr,coldcase
grace,0.0081325548178287,fr,coldcase
ramon,0.0081273579808032,fr,coldcase
coupable,0.0081098114732463,fr,coldcase
kip,0.0080484390323189,fr,coldcase
remettre,0.0080438987526765,fr,coldcase
dun,0.008039378269132,fr,coldcase
dormir,0.0080388684819508,fr,coldcase
tirer,0.0080388684819508,fr,coldcase
julie,0.0080241253265206,fr,coldcase
salle,0.0079823409224544,fr,coldcase
carrie,0.0079690923930499,fr,coldcase
fishtown,0.0079262228866664,fr,coldcase
accident,0.0079189890103715,fr,coldcase
dcouvert,0.0078554059329698,fr,coldcase
pens,0.0078553698756606,fr,coldcase
jeter,0.0078553698756606,fr,coldcase
coin,0.0078546082473098,fr,coldcase
malade,0.0078534321848781,fr,coldcase
fort,0.0078533561323673,fr,coldcase
soire,0.0078494154521593,fr,coldcase
clyd,0.0078432318719782,fr,coldcase
libby,0.0078303707091173,fr,coldcase
revolver,0.0078028566495383,fr,coldcase
faute,0.0077922700866169,fr,coldcase
lendemain,0.0077916446371867,fr,coldcase
mick,0.0077635104207324,fr,coldcase
bobby,0.0077487166436812,fr,coldcase
preuve,0.0077299319259239,fr,coldcase
hpital,0.0077208199529952,fr,coldcase
disparition,0.0076922754879665,fr,coldcase
darren,0.0076792653797342,fr,coldcase
havenhurst,0.0076772209203865,fr,coldcase
casier,0.0076755337740097,fr,coldcase
utiliser,0.0076678437827838,fr,coldcase
chestnut,0.007666599942861,fr,coldcase
sammy,0.007632072124024,fr,coldcase
shameles,0.0076091739711997,fr,coldcase
haut,0.0076060063329227,fr,coldcase
valoir,0.0076060063329227,fr,coldcase
bar,0.0075477759097189,fr,coldcase
vite,0.0075441688830615,fr,coldcase
transcript,0.0075375900107177,fr,coldcase
acheter,0.007532759532327,fr,coldcase
journal,0.0075212883773921,fr,coldcase
long,0.0074823314332004,fr,coldcase
shepard,0.0074753141792248,fr,coldcase
appartenir,0.0074683769722217,fr,coldcase
colre,0.0074683769722217,fr,coldcase
procureur,0.0074544615812629,fr,coldcase
voler,0.0073991013973231,fr,coldcase
runner,0.0073958628945633,fr,coldcase
soldat,0.0073664120881987,fr,coldcase
novembre,0.0073281459527561,fr,coldcase
joueur,0.0073175696589839,fr,coldcase
lieutenant,0.0073131988870788,fr,coldcase
pice,0.0072968190836169,fr,coldcase
stupide,0.0072806201329964,fr,coldcase
anner,0.0072533597023877,fr,coldcase
ricardo,0.0072471260332767,fr,coldcase
tour,0.0072349816337557,fr,coldcase
quitter,0.0072312266403805,fr,coldcase
plein,0.0072312266403805,fr,coldcase
prsente,0.0072108467318002,fr,coldcase
ryan,0.0071915651741679,fr,coldcase
emma,0.0071650448655667,fr,coldcase
base,0.0071587660653758,fr,coldcase
copain,0.0071323020064316,fr,coldcase
stump,0.0071288479975018,fr,coldcase
hawk,0.0071207406854746,fr,coldcase
terre,0.0071065503189946,fr,coldcase
battre,0.0070954141532928,fr,coldcase
tina,0.0070660274923032,fr,coldcase
coute,0.0070494692841722,fr,coldcase
clair,0.0070442121583016,fr,coldcase
dbut,0.0070384114085919,fr,coldcase
dottie,0.0070304714984558,fr,coldcase
sembler,0.0070176990514842,fr,coldcase
ramiro,0.0070074236921656,fr,coldcase
jack,0.006989734534695,fr,coldcase
pense,0.0069876318343111,fr,coldcase
offrir,0.0069755684495866,fr,coldcase
dirk,0.0069478561982177,fr,coldcase
blaine,0.0069282882345158,fr,coldcase
boire,0.0069127254905814,fr,coldcase
ann,0.0068933397522593,fr,coldcase
sean,0.006881620940777,fr,coldcase
relation,0.0068798662115461,fr,coldcase
rencontr,0.0068498825315761,fr,coldcase
route,0.0068498825315761,fr,coldcase
merde,0.0068498825315761,fr,coldcase
nancy,0.0068191197011759,fr,coldcase
allez,0.0068021194847276,fr,coldcase
doi,0.0067948595155299,fr,coldcase
criminel,0.0067860737536922,fr,coldcase
tudiant,0.0067780159681022,fr,coldcase
chaney,0.0067700836651797,fr,coldcase
copine,0.0067450117796112,fr,coldcase
incendie,0.0067427179775473,fr,coldcase
toucher,0.0067241966135655,fr,coldcase
kensington,0.006721218145686,fr,coldcase
client,0.0067036935405837,fr,coldcase
sugar,0.0066989336291298,fr,coldcase
retourner,0.006670183194144,fr,coldcase
navra,0.0066580272247998,fr,coldcase
ghiacconi,0.0066580272247998,fr,coldcase
roween,0.0066580272247998,fr,coldcase
shemar,0.0066580272247998,fr,coldcase
violet,0.0066550310933901,fr,coldcase
carmen,0.0066371911586481,fr,coldcase
prochain,0.0066078450334511,fr,coldcase
facile,0.0066078450334511,fr,coldcase
chemin,0.0066078450334511,fr,coldcase
envoy,0.0065985106955549,fr,coldcase
brender,0.0065819982837443,fr,coldcase
cherise,0.006580475074617,fr,coldcase
liste,0.0065670211307466,fr,coldcase
chrie,0.006554769685283,fr,coldcase
vanesser,0.0065225144447675,fr,coldcase
choix,0.0064831687120652,fr,coldcase
rendez,0.0064831687120652,fr,coldcase
jonesy,0.0064769518618815,fr,coldcase
protger,0.0064618950324631,fr,coldcase
juin,0.0064533634844995,fr,coldcase
moyen,0.0064310947855606,fr,coldcase
cassette,0.0064229523565463,fr,coldcase
