mot,poids_tfidf,langue,serie
abed,0.2985039498006847,fr,community
greendal,0.1661774565900718,fr,community
taire,0.1362162969251762,fr,community
pierce,0.1285759375561411,fr,community
jeff,0.1158449177357895,fr,community
winger,0.1111057952158216,fr,community
tre,0.1088426870167676,fr,community
troy,0.095428179467827,fr,community
annie,0.0858161632075189,fr,community
vaughn,0.0684212502813395,fr,community
mme,0.0619164986023528,fr,community
feygnasse,0.061547206144471,fr,community
cours,0.0597897295291025,fr,community
voil,0.0560507250505509,fr,community
ami,0.0547472198168172,fr,community
espagnol,0.0543562834648974,fr,community
aimer,0.0534437145830834,fr,community
groupe,0.0534171762597614,fr,community
petit,0.0521402093493497,fr,community
ici,0.0475779410312816,fr,community
slater,0.046323943222598,fr,community
cool,0.0452194565467626,fr,community
regarder,0.0436674253300804,fr,community
schmitty,0.0411664255525712,fr,community
appeler,0.0410604148626129,fr,community
dsol,0.0410604148626129,fr,community
heure,0.0397569096288791,fr,community
fille,0.0397569096288791,fr,community
mec,0.0386789174042235,fr,community
shirley,0.0379912737831679,fr,community
finir,0.0371498991614117,fr,community
super,0.0367243086785859,fr,community
mal,0.0364981465445448,fr,community
film,0.0354561636306603,fr,community
kickpuncher,0.0334162325248125,fr,community
fac,0.0319264219795612,fr,community
doyen,0.0302071754355106,fr,community
vrai,0.0299806203758761,fr,community
chang,0.0289093197723133,fr,community
quelqu,0.0286771151421423,fr,community
tudier,0.0285102727722021,fr,community
examen,0.0282768072220013,fr,community
besoin,0.0280253625252754,fr,community
apr,0.0280253625252754,fr,community
veux,0.0273736099084086,fr,community
raison,0.0267218572915417,fr,community
poterie,0.0262472577132349,fr,community
famille,0.0260701046746748,fr,community
aide,0.025418352057808,fr,community
prof,0.0251349397528901,fr,community
trs,0.0247665994409411,fr,community
seor,0.0244792952212719,fr,community
fte,0.0244287899395096,fr,community
tudiant,0.0243541166890772,fr,community
accord,0.0241148468240742,fr,community
nom,0.0241148468240742,fr,community
gnial,0.0230716349428702,fr,community
attendre,0.0228113415903405,fr,community
sortir,0.0228113415903405,fr,community
semestre,0.022007975449593,fr,community
hawthorn,0.0215415221505648,fr,community
grand,0.0215078363566067,fr,community
mieux,0.0215078363566067,fr,community
air,0.0215078363566067,fr,community
aider,0.0208560837397399,fr,community
meilleur,0.0208560837397399,fr,community
apprendre,0.0208560837397399,fr,community
nugget,0.0207337122064665,fr,community
brownie,0.0203602167987766,fr,community
chance,0.020204331122873,fr,community
problme,0.020204331122873,fr,community
fait,0.020204331122873,fr,community
question,0.020204331122873,fr,community
baggel,0.0200497395148875,fr,community
voiture,0.0198382490382484,fr,community
tai,0.019710899844759,fr,community
salut,0.0195525785060061,fr,community
mot,0.0195525785060061,fr,community
mourir,0.0195525785060061,fr,community
gros,0.0195525785060061,fr,community
vieux,0.0195525785060061,fr,community
pierc,0.0190957638435817,fr,community
pre,0.0189008258891392,fr,community
badine,0.0184641618433413,fr,community
billard,0.0182722546173129,fr,community
devenir,0.0182490732722724,fr,community
nouveau,0.0182490732722724,fr,community
bonjour,0.0182490732722724,fr,community
changer,0.0177398098602831,fr,community
minute,0.0177398098602831,fr,community
plutt,0.0177398098602831,fr,community
raciste,0.0177239077672856,fr,community
professeur,0.0176588515778254,fr,community
laisse,0.0175973206554055,fr,community
sexy,0.0170612266143341,fr,community
donne,0.0169455680385386,fr,community
main,0.0169455680385386,fr,community
commencer,0.0169455680385386,fr,community
tte,0.0169455680385386,fr,community
pni,0.0166925195651091,fr,community
bel,0.0165587613474168,fr,community
team,0.0165076512058973,fr,community
soir,0.0164257498706325,fr,community
jouer,0.0164257498706325,fr,community
oublier,0.0164257498706325,fr,community
sympa,0.0164178612730332,fr,community
porte,0.0162938154216717,fr,community
gagner,0.0162938154216717,fr,community
fabrique,0.0162360777927181,fr,community
idiot,0.0161549632727605,fr,community
campus,0.0159414794910101,fr,community
toilette,0.0159265723840567,fr,community
dbat,0.0158111688579827,fr,community
tude,0.015797974593173,fr,community
coup,0.0157687198758072,fr,community
ensembl,0.0157687198758072,fr,community
dsole,0.0157687198758072,fr,community
attend,0.0157687198758072,fr,community
partie,0.0156420628048049,fr,community
perdre,0.0156420628048049,fr,community
prend,0.0156420628048049,fr,community
gay,0.0155330712608139,fr,community
adorer,0.0153574381746814,fr,community
doreen,0.0151507902567029,fr,community
dur,0.0151116898809819,fr,community
continuer,0.0151116898809819,fr,community
rdaction,0.0150291971696222,fr,community
mort,0.014990310187938,fr,community
arrte,0.014990310187938,fr,community
appel,0.014990310187938,fr,community
chanson,0.0148358492298557,fr,community
lyce,0.0148018665384897,fr,community
duncan,0.0147617633833681,fr,community
hawkeye,0.014449313818387,fr,community
copine,0.0143617950847027,fr,community
nuit,0.0143385575710711,fr,community
place,0.0143385575710711,fr,community
semaine,0.0143385575710711,fr,community
lingette,0.0141988345527691,fr,community
cole,0.0141355928636655,fr,community
noir,0.0141355928636655,fr,community
profiter,0.014017236195373,fr,community
gars,0.0139093595318301,fr,community
faux,0.0139093595318301,fr,community
hippie,0.0138256764537747,fr,community
joue,0.0137976298913313,fr,community
demain,0.0137976298913313,fr,community
dernier,0.0136868049542043,fr,community
peur,0.0136868049542043,fr,community
oeil,0.0136868049542043,fr,community
anne,0.0136868049542043,fr,community
mauvais,0.0136868049542043,fr,community
revenir,0.0136868049542043,fr,community
essayer,0.0136868049542043,fr,community
aime,0.0136868049542043,fr,community
avocat,0.0136815510608609,fr,community
bal,0.013583809466719,fr,community
niveau,0.0134624693939671,fr,community
vraie,0.0134624693939671,fr,community
bizarre,0.0133542940649403,fr,community
journe,0.013140599896506,fr,community
important,0.0130350523373374,fr,community
fin,0.0130350523373374,fr,community
coute,0.0130350523373374,fr,community
poulet,0.0130286269232893,fr,community
simmon,0.0129728858547425,fr,community
nol,0.0127135404443107,fr,community
humain,0.0126865793616933,fr,community
amie,0.0125846586240367,fr,community
jeune,0.0124835699016807,fr,community
rgle,0.0124835699016807,fr,community
demande,0.0123832997204705,fr,community
vien,0.0123832997204705,fr,community
point,0.0123832997204705,fr,community
fort,0.0123832997204705,fr,community
beastmaster,0.0123094412288942,fr,community
batman,0.0122161300792659,fr,community
plein,0.0118265399068554,fr,community
table,0.0118265399068554,fr,community
dingue,0.0118187212102201,fr,community
moquer,0.0117820030091672,fr,community
vivre,0.0117315471036036,fr,community
enfant,0.0117315471036036,fr,community
sai,0.0117315471036036,fr,community
compte,0.0117315471036036,fr,community
note,0.0115358174714351,fr,community
prix,0.011443098984872,fr,community
short,0.0114328651680737,fr,community
ferme,0.0112599577162434,fr,community
heureux,0.0112599577162434,fr,community
edison,0.0112460275884512,fr,community
mascotte,0.0112451828109359,fr,community
doi,0.0111695099120301,fr,community
ignorer,0.0111695099120301,fr,community
dieu,0.0110797944867368,fr,community
jeu,0.0110797944867368,fr,community
chercher,0.0110797944867368,fr,community
garde,0.0110797944867368,fr,community
mignon,0.0109452408486887,fr,community
drle,0.0109452408486887,fr,community
ridicule,0.0108572399731153,fr,community
bureau,0.0108572399731153,fr,community
cul,0.0108572399731153,fr,community
paintball,0.0108546496523336,fr,community
amour,0.0107699755151737,fr,community
exprience,0.0107699755151737,fr,community
battre,0.0106834352519522,fr,community
falafel,0.0106083564271426,fr,community
mst,0.0106016805174315,fr,community
fiche,0.0105983101281474,fr,community
offrir,0.0105976072623467,fr,community
mre,0.0105976072623467,fr,community
pied,0.0105124799172048,fr,community
prochain,0.0105124799172048,fr,community
pavel,0.0105023992736788,fr,community
vite,0.0104280418698699,fr,community
sens,0.0104280418698699,fr,community
tomber,0.0104280418698699,fr,community
marche,0.0104280418698699,fr,community
message,0.0104280418698699,fr,community
buddy,0.0103324730448722,fr,community
footbag,0.0101005268378019,fr,community
roul,0.0100449309315898,fr,community
mer,0.0100449309315898,fr,community
toil,0.0100269984843046,fr,community
intutorable,0.0100248697574437,fr,community
rat,0.0100157205487052,fr,community
perry,0.0099580420982329,fr,community
