mot,poids_tfidf,langue,serie
unsub,0.2107140285368968,en,criminalminds
hotch,0.1721517435163434,en,criminalminds
reid,0.1278634693902099,en,criminalminds
victim,0.0977391810628299,en,criminalminds
kill,0.0847448907027406,en,criminalminds
prentiss,0.0657220901961195,en,criminalminds
talk,0.0654280406160865,en,criminalminds
help,0.0639325425448617,en,criminalminds
work,0.0610661712416807,en,criminalminds
agent,0.054812634857673,en,criminalminds
hotchner,0.0524774831536809,en,criminalminds
rossi,0.048992356644503,en,criminalminds
case,0.0443041303600357,en,criminalminds
stop,0.0416870087353922,en,criminalminds
kid,0.0405934352718275,en,criminalminds
sure,0.0403784479230705,en,criminalminds
happen,0.040129198244533,en,criminalminds
home,0.0400045734052643,en,criminalminds
believe,0.0373251393609865,en,criminalminds
girl,0.0372005145217177,en,criminalminds
family,0.037075889682449,en,criminalminds
murder,0.0370328541626061,en,criminalminds
gideon,0.0365302161987042,en,criminalminds
killer,0.0362901182897052,en,criminalminds
life,0.0351442046737836,en,criminalminds
house,0.0350818922541492,en,criminalminds
night,0.0348326425756117,en,criminalminds
body,0.0334792883255672,en,criminalminds
start,0.0330255824062151,en,criminalminds
profile,0.0322799211567509,en,criminalminds
crime,0.0322568120853063,en,criminalminds
long,0.030470773201206,en,criminalminds
car,0.0301259456734317,en,criminalminds
away,0.0294114620674217,en,criminalminds
hear,0.0293491496477873,en,criminalminds
miss,0.0289752751299811,en,criminalminds
run,0.0287260254514437,en,criminalminds
son,0.0286426932016109,en,criminalminds
police,0.0281679103233278,en,criminalminds
little,0.0278536515765625,en,criminalminds
child,0.0273864347278561,en,criminalminds
morgan,0.0273029191767925,en,criminalminds
die,0.0272305273802188,en,criminalminds
ago,0.0266697156035095,en,criminalminds
boy,0.0264827783446064,en,criminalminds
old,0.0261712162464346,en,criminalminds
live,0.0261089038268002,en,criminalminds
victimology,0.0251881607607332,en,criminalminds
place,0.0246757181752097,en,criminalminds
check,0.0240525939788661,en,criminalminds
father,0.0238073726490593,en,criminalminds
stay,0.0238033443003286,en,criminalminds
bad,0.0235540946217911,en,criminalminds
phone,0.0232263856437624,en,criminalminds
serial,0.0230800479365727,en,criminalminds
team,0.0227645040474163,en,criminalminds
probably,0.0227440331665443,en,criminalminds
love,0.02268172074691,en,criminalminds
hour,0.0225570959076412,en,criminalminds
win,0.0224324710683725,en,criminalminds
hand,0.0222455338094694,en,criminalminds
mind,0.0220585965505663,en,criminalminds
dead,0.0219962841309319,en,criminalminds
remember,0.0219339717112975,en,criminalminds
scene,0.0216978343708851,en,criminalminds
send,0.0214820199012082,en,criminalminds
head,0.0210615978364164,en,criminalminds
friend,0.0210615978364164,en,criminalminds
understand,0.020999285416782,en,criminalminds
month,0.0209369729971476,en,criminalminds
job,0.0209369729971476,en,criminalminds
watch,0.0207500357382445,en,criminalminds
mother,0.0205007860597071,en,criminalminds
like,0.0203761612204383,en,criminalminds
lose,0.020313848800804,en,criminalminds
turn,0.0201892239615352,en,criminalminds
fire,0.0199399742829978,en,criminalminds
question,0.0197530370240947,en,criminalminds
detective,0.0193670208862258,en,criminalminds
school,0.0192116729824215,en,criminalminds
elle,0.0190781072253496,en,criminalminds
close,0.0190676004081166,en,criminalminds
meet,0.0190676004081166,en,criminalminds
room,0.0190052879884822,en,criminalminds
bring,0.0189429755688479,en,criminalminds
hurt,0.018843877106323,en,criminalminds
wrong,0.0187560383099448,en,criminalminds
door,0.0187560383099448,en,criminalminds
baby,0.0185520217717404,en,criminalminds
death,0.018341373716821,en,criminalminds
pretty,0.0182785607931333,en,criminalminds
shoot,0.0181952265332355,en,criminalminds
week,0.0181952265332355,en,criminalminds
write,0.0180149251530567,en,criminalminds
area,0.0178806227685998,en,criminalminds
record,0.0177288945258952,en,criminalminds
walk,0.0175097899172574,en,criminalminds
daughter,0.0172330621437003,en,criminalminds
hell,0.0171359153994512,en,criminalminds
list,0.016927451727566,en,criminalminds
play,0.0166374160423762,en,criminalminds
guess,0.0166374160423762,en,criminalminds
drive,0.0166374160423762,en,criminalminds
use,0.0165751036227419,en,criminalminds
open,0.0165751036227419,en,criminalminds
actually,0.0165751036227419,en,criminalminds
change,0.0165127912031075,en,criminalminds
different,0.0165127912031075,en,criminalminds
new,0.0165127912031075,en,criminalminds
gun,0.0164751508586197,en,criminalminds
derek,0.0164107924850872,en,criminalminds
mom,0.0161491780849193,en,criminalminds
set,0.016082640034205,en,criminalminds
end,0.0160766042656669,en,criminalminds
second,0.0160142918460326,en,criminalminds
foyet,0.0159992326688051,en,criminalminds
break,0.0159544826166868,en,criminalminds
eye,0.0159519794263982,en,criminalminds
schrader,0.0159148336362789,en,criminalminds
parent,0.015886752613669,en,criminalminds
offender,0.0158377528578815,en,criminalminds
care,0.0158273545871295,en,criminalminds
clear,0.0156404173282264,en,criminalminds
catch,0.0156404173282264,en,criminalminds
town,0.0155735820854181,en,criminalminds
exactly,0.0154534800693233,en,criminalminds
rape,0.0154382838739591,en,criminalminds
goehre,0.0153592633620529,en,criminalminds
target,0.0152642247511571,en,criminalminds
speak,0.0149549807122483,en,criminalminds
report,0.0149429253861117,en,criminalminds
file,0.0149340032861339,en,criminalminds
criminal,0.0148556523547723,en,criminalminds
wife,0.0147680434533452,en,criminalminds
big,0.0147610370666196,en,criminalminds
high,0.0146896554643132,en,criminalminds
figure,0.0146354112192442,en,criminalminds
cop,0.0144652229139234,en,criminalminds
com,0.0143830682099061,en,criminalminds
sexual,0.0142169338513165,en,criminalminds
point,0.0142072316766359,en,criminalminds
person,0.0142072316766359,en,criminalminds
real,0.0140202944177328,en,criminalminds
sound,0.0139579819980984,en,criminalminds
street,0.013944469058679,en,criminalminds
dad,0.0139298456989177,en,criminalminds
emily,0.0138866028189237,en,criminalminds
local,0.0138731077257511,en,criminalminds
office,0.0138032107380184,en,criminalminds
number,0.0136304044402403,en,criminalminds
late,0.0135841074802922,en,criminalminds
face,0.0133791527454893,en,criminalminds
far,0.0133348578017547,en,criminalminds
morning,0.0132725453821204,en,criminalminds
answer,0.013210232962486,en,criminalminds
great,0.013210232962486,en,criminalminds
suspect,0.0131714607025017,en,criminalminds
type,0.0131147823902235,en,criminalminds
control,0.0130434009726229,en,criminalminds
name,0.0130434009726229,en,criminalminds
hard,0.0130232957035829,en,criminalminds
lindsey,0.0129384874153385,en,criminalminds
kyle,0.0127096510472631,en,criminalminds
cell,0.012701405061468,en,criminalminds
abduct,0.0126550324212836,en,criminalminds
possible,0.0125871087661423,en,criminalminds
sheriff,0.0125593832550052,en,criminalminds
sign,0.0125247963465079,en,criminalminds
reason,0.0124624839268736,en,criminalminds
soon,0.0124369588901731,en,criminalminds
easy,0.0124001715072392,en,criminalminds
matter,0.0124001715072392,en,criminalminds
trust,0.0122485201191099,en,criminalminds
city,0.012126969656678,en,criminalminds
male,0.0121133176185327,en,criminalminds
chance,0.0120886094090674,en,criminalminds
idea,0.012026296989433,en,criminalminds
unit,0.0120250147631099,en,criminalminds
follow,0.0119344555006712,en,criminalminds
blood,0.0119344555006712,en,criminalminds
fine,0.0119344555006712,en,criminalminds
cause,0.0119016721501643,en,criminalminds
sit,0.0119016721501643,en,criminalminds
line,0.0117770473108955,en,criminalminds
rest,0.011746016729608,en,criminalminds
hit,0.0117147348912612,en,criminalminds
world,0.0117147348912612,en,criminalminds
alive,0.0116832038059202,en,criminalminds
vickie,0.0116800648704621,en,criminalminds
hope,0.0116524224716268,en,criminalminds
suppose,0.0116524224716268,en,criminalminds
attack,0.0116504164027311,en,criminalminds
daddy,0.011636951195332,en,criminalminds
couple,0.0116203908822325,en,criminalminds
evidence,0.0114763820048624,en,criminalminds
read,0.0114031727930893,en,criminalminds
able,0.0114031727930893,en,criminalminds
stressor,0.0113187358543113,en,criminalminds
cut,0.0113063262637938,en,criminalminds
course,0.0113063262637938,en,criminalminds
lie,0.0112785479538206,en,criminalminds
deal,0.011243513340106,en,criminalminds
word,0.0112162355341862,en,criminalminds
save,0.0111539231145518,en,criminalminds
likely,0.0110648399435361,en,criminalminds
protect,0.0110419250031857,en,criminalminds
abduction,0.0109856015247913,en,criminalminds
book,0.0109539241177853,en,criminalminds
pay,0.0109294487216673,en,criminalminds
homicide,0.0109128293019363,en,criminalminds
safe,0.0108906066373356,en,criminalminds
contact,0.0108740658009391,en,criminalminds
witness,0.0108740658009391,en,criminalminds
white,0.010695833872773,en,criminalminds
search,0.0106763555136493,en,criminalminds
penelope,0.0106251250577312,en,criminalminds
profiler,0.0106180758619665,en,criminalminds
young,0.0104269453321654,en,criminalminds
sense,0.0104269453321654,en,criminalminds
story,0.0104269453321654,en,criminalminds
pull,0.0104269453321654,en,criminalminds
information,0.0103840667937386,en,criminalminds
husband,0.0103641324084776,en,criminalminds
hospital,0.0103121257650689,en,criminalminds
move,0.0102815492396707,en,criminalminds
ready,0.0102192368200363,en,criminalminds
nice,0.0102192368200363,en,criminalminds
katie,0.0101630295839483,en,criminalminds
stand,0.010156924400402,en,criminalminds
problem,0.0100946119807676,en,criminalminds
state,0.0100207065057813,en,criminalminds
site,0.0100081473604285,en,criminalminds
message,0.0099872548663511,en,criminalminds
fight,0.0099699871414989,en,criminalminds
small,0.0099699871414989,en,criminalminds
mile,0.0099650626143848,en,criminalminds
partner,0.0099356425410437,en,criminalminds
address,0.0099082088341811,en,criminalminds
sadist,0.0098914934852035,en,criminalminds
press,0.0098855143644901,en,criminalminds
lead,0.009814209469692,en,criminalminds
pick,0.0097830498825957,en,criminalminds
today,0.009658425043327,en,criminalminds
present,0.0096103773242247,en,criminalminds
fit,0.0095451270847558,en,criminalminds
http,0.0095236166754942,en,criminalminds
choose,0.009510097257079,en,criminalminds
hide,0.0094976220674439,en,criminalminds
suicide,0.0094935105251497,en,criminalminds
clean,0.0094714877844239,en,criminalminds
security,0.0094143719192112,en,criminalminds
drug,0.0093671588575217,en,criminalminds
haley,0.0093403233290774,en,criminalminds
system,0.0093392837117605,en,criminalminds
order,0.009307669626095,en,criminalminds
spend,0.009296312705786,en,criminalminds
sleep,0.0092845505255208,en,criminalminds
true,0.0092222381058864,en,criminalminds
investigation,0.0092211953985278,en,criminalminds
letter,0.0091870667331568,en,criminalminds
shut,0.0091706868584105,en,criminalminds
lamontagne,0.0091362933837897,en,criminalminds
bau,0.0091362933837897,en,criminalminds
officer,0.0091190143869853,en,criminalminds
early,0.0091177171847461,en,criminalminds
vous,0.0090961228083353,en,criminalminds
behavior,0.0089936100406223,en,criminalminds
cover,0.0089910822238469,en,criminalminds
fact,0.0089822480873473,en,criminalminds
promise,0.008935661852289,en,criminalminds
picture,0.0089194351636595,en,criminalminds
single,0.0088718356962013,en,criminalminds
computer,0.0088468050022992,en,criminalminds
fast,0.0087860511684459,en,criminalminds
age,0.0087501065029132,en,criminalminds
news,0.0087309963925963,en,criminalminds
brother,0.0087237387488115,en,criminalminds
drop,0.0087237387488115,en,criminalminds
torture,0.008708039325998,en,criminalminds
tommy,0.0087026639042093,en,criminalminds
later,0.0086681834689085,en,criminalminds
afraid,0.0086614263291771,en,criminalminds
money,0.0085991139095428,en,criminalminds
connection,0.0085060957065934,en,criminalminds
arrest,0.0085035200976083,en,criminalminds
arsonist,0.0083898050007711,en,criminalminds
proudly,0.0083729221700035,en,criminalminds
mark,0.0083697354952683,en,criminalminds
goehring,0.0083196009877786,en,criminalminds
group,0.0083042188453207,en,criminalminds
jonny,0.0083037892617801,en,criminalminds
behavioral,0.0082821276412774,en,criminalminds
personal,0.0082335741353235,en,criminalminds
explain,0.0082335741353235,en,criminalminds
bureau,0.0082202263255647,en,criminalminds
location,0.0081958017185863,en,criminalminds
force,0.0081697479792357,en,criminalminds
game,0.0081656800794066,en,criminalminds
neighborhood,0.0080494481164687,en,criminalminds
track,0.0080423773004717,en,criminalminds
service,0.0080423773004717,en,criminalminds
charge,0.0080413200171025,en,criminalminds
killing,0.0080412814414521,en,criminalminds
riley,0.0079497688378885,en,criminalminds
dump,0.0079474084459077,en,criminalminds
note,0.007845309932676,en,criminalminds
wound,0.007845309932676,en,criminalminds
plan,0.0077888025372801,en,criminalminds
spencer,0.0077810435587541,en,criminalminds
sex,0.0077382661183838,en,criminalminds
smart,0.0077259896135924,en,criminalminds
hate,0.0077259896135924,en,criminalminds
forget,0.0077259896135924,en,criminalminds
damn,0.0077247326148543,en,criminalminds
shot,0.0077229648866212,en,criminalminds
prostitute,0.0076979434959623,en,criminalminds
power,0.0076614151344047,en,criminalminds
ahead,0.0076614151344047,en,criminalminds
wear,0.0076591387305334,en,criminalminds
ring,0.0076563431900491,en,criminalminds
doctor,0.0076563431900491,en,criminalminds
uhh,0.0076482355143114,en,criminalminds
park,0.0076447977752057,en,criminalminds
apache,0.0076237624627498,en,criminalminds
cross,0.0075920041716453,en,criminalminds
road,0.0075347801735055,en,criminalminds
dog,0.0075276651532415,en,criminalminds
jane,0.0075186447438112,en,criminalminds
pattern,0.0074983084620619,en,criminalminds
hair,0.0074714626930558,en,criminalminds
sync,0.0074648448915256,en,criminalminds
interview,0.0074161091951376,en,criminalminds
sfile,0.0074103247316693,en,criminalminds
ssa,0.0073596470276503,en,criminalminds
drink,0.0073491120714659,en,criminalminds
prison,0.0073403452873316,en,criminalminds
past,0.0073346480980302,en,criminalminds
bomb,0.0073089147376094,en,criminalminds
important,0.007290553097221,en,criminalminds
date,0.0072815102517069,en,criminalminds
rebecca,0.0072620610756223,en,criminalminds
black,0.0072569116877253,en,criminalminds
tracey,0.0072416402196865,en,criminalminds
notice,0.0072181927712573,en,criminalminds
abuse,0.0071865819468193,en,criminalminds
hang,0.0071606733004027,en,criminalminds
act,0.0071606733004027,en,criminalminds
light,0.0071548752908077,en,criminalminds
public,0.0071341750575948,en,criminalminds
ydy,0.0070984958781616,en,criminalminds
truck,0.0070981497027042,en,criminalminds
involve,0.0070915578103581,en,criminalminds
release,0.0070693189207076,en,criminalminds
bitch,0.0070516669133363,en,criminalminds
nous,0.007045155918755,en,criminalminds
hankel,0.0070396623742742,en,criminalminds
stuff,0.0070350474530272,en,criminalminds
federal,0.0069997206668712,en,criminalminds
special,0.0069789909990492,en,criminalminds
buy,0.0069789909990492,en,criminalminds
photo,0.0069714109174629,en,criminalminds
vehicle,0.0069309461315969,en,criminalminds
ohh,0.006915060151722,en,criminalminds
bar,0.0069091100793068,en,criminalminds
tonight,0.0069016053690092,en,criminalminds
medium,0.0068786192995278,en,criminalminds
assault,0.0068628226251496,en,criminalminds
card,0.0068426763285442,en,criminalminds
definitely,0.0068382878885596,en,criminalminds
dark,0.0068098943731587,en,criminalminds
sick,0.0068098943731587,en,criminalminds
fall,0.0067920537401461,en,criminalminds
access,0.0067915344247274,en,criminalminds
attention,0.0067555969323962,en,criminalminds
clurman,0.0067196777208981,en,criminalminds
student,0.0067133518002638,en,criminalminds
burn,0.0067116529276603,en,criminalminds
strauss,0.006710488311664,en,criminalminds
window,0.0066801820993842,en,criminalminds
female,0.0066525364444826,en,criminalminds
match,0.0066433750762565,en,criminalminds
field,0.0066389039661217,en,criminalminds
weapon,0.006637920233129,en,criminalminds
post,0.0066031358600023,en,criminalminds
consider,0.006595356987213,en,criminalminds
psychotic,0.0065812428497827,en,criminalminds
accident,0.0065625798771849,en,criminalminds
grow,0.0065625798771849,en,criminalminds
stab,0.0065546649448603,en,criminalminds
suv,0.0065524577336876,en,criminalminds
step,0.0065428040616086,en,criminalminds
bed,0.0065325440635253,en,criminalminds
yesterday,0.0065102679209534,en,criminalminds
learn,0.0064804916419742,en,criminalminds
frank,0.006475231357206,en,criminalminds
anymore,0.0064583830058618,en,criminalminds
rapist,0.0063990396880409,en,criminalminds
bomber,0.0063687159457396,en,criminalminds
building,0.0063559014149481,en,criminalminds
risk,0.0063559014149481,en,criminalminds
stick,0.0063317480449626,en,criminalminds
water,0.0063317480449626,en,criminalminds
outside,0.0063187894526901,en,criminalminds
darrin,0.0063072350300495,en,criminalminds
suggest,0.0063052238035698,en,criminalminds
member,0.0062950507125407,en,criminalminds
department,0.0062931277178862,en,criminalminds
show,0.0062812923687743,en,criminalminds
tomorrow,0.0062812923687743,en,criminalminds
video,0.0062742698257166,en,criminalminds
camera,0.0062447725716811,en,criminalminds
trouble,0.0062184794450865,en,criminalminds
business,0.0062184794450865,en,criminalminds
profiling,0.0062084557005706,en,criminalminds
owen,0.0061934095086395,en,criminalminds
violent,0.0061433386166427,en,criminalminds
reaper,0.0061340792227343,en,criminalminds
block,0.0061290189059838,en,criminalminds
beat,0.0061273109844267,en,criminalminds
