mot,poids_tfidf,langue,serie
taire,0.2140257908391737,fr,criminalminds
hotch,0.172779772884933,fr,criminalminds
tre,0.1324700003548053,fr,criminalminds
reid,0.1157602179833224,fr,criminalminds
victime,0.1049141810244513,fr,criminalminds
garcia,0.0911342851549881,fr,criminalminds
ici,0.0899971803715035,fr,criminalminds
mme,0.0888672305440917,fr,criminalminds
hotchner,0.0770182025088656,fr,criminalminds
tueur,0.0726838533405294,fr,criminalminds
agent,0.0707594270370956,fr,criminalminds
morgan,0.0616183423743841,fr,criminalminds
besoin,0.0572286353765616,fr,criminalminds
rossi,0.0563509525148115,fr,criminalminds
gideon,0.0533067046991835,fr,criminalminds
appeler,0.0521770949716619,fr,criminalminds
apr,0.0506483393228106,fr,criminalminds
quelqu,0.0489866484001462,fr,criminalminds
fille,0.0489201807632397,fr,criminalminds
heure,0.0485213749418002,fr,criminalminds
garcier,0.0484216967528823,fr,criminalminds
enfant,0.0479896338465476,fr,criminalminds
trouv,0.0476572956620147,fr,criminalminds
meurtre,0.0460202056220243,fr,criminalminds
accord,0.0442674461797794,fr,criminalminds
police,0.0437452063914219,fr,criminalminds
affaire,0.0430045610785544,fr,criminalminds
famille,0.0418746112511426,fr,criminalminds
tuer,0.0405452585130111,fr,criminalminds
aider,0.0404787908761046,fr,criminalminds
regarder,0.0403458556022914,fr,criminalminds
maison,0.038218891221281,fr,criminalminds
jareau,0.0381683127477564,fr,criminalminds
pre,0.0378865530367481,fr,criminalminds
mort,0.0375542148522152,fr,criminalminds
corps,0.036987223313623,fr,criminalminds
sortir,0.0366236679355232,fr,criminalminds
trs,0.03649073266171,fr,criminalminds
nom,0.0364242650248034,fr,criminalminds
voiture,0.036416927215354,fr,criminalminds
petit,0.036025459203364,fr,criminalminds
aimer,0.0340978977330733,fr,criminalminds
suspect,0.034063415311512,fr,criminalminds
attendre,0.0338984948223536,fr,criminalminds
mal,0.033366753727101,fr,criminalminds
katie,0.0329968921957648,fr,criminalminds
mourir,0.0327685449949418,fr,criminalminds
profil,0.0317324215872972,fr,criminalminds
crime,0.0311283833808811,fr,criminalminds
prentiss,0.0310699817101453,fr,criminalminds
essayer,0.0303092424293985,fr,criminalminds
pass,0.0293786955127064,fr,criminalminds
travailler,0.0288469544174538,fr,criminalminds
criminal,0.0288281371819604,fr,criminalminds
foyet,0.0276038690407881,fr,criminalminds
chercher,0.0274511340424157,fr,criminalminds
fbi,0.0269695249697745,fr,criminalminds
fils,0.0263876518519105,fr,criminalminds
victimologie,0.0257347323255749,fr,criminalminds
quipe,0.0253941791310131,fr,criminalminds
raison,0.0249253638399658,fr,criminalminds
appel,0.0248588962030593,fr,criminalminds
fait,0.0248588962030593,fr,criminalminds
perdre,0.0247924285661527,fr,criminalminds
ville,0.0247227273211882,fr,criminalminds
dieu,0.0245265580185264,fr,criminalminds
dsol,0.0243936227447132,fr,criminalminds
taient,0.0242606874709001,fr,criminalminds
question,0.0241942198339935,fr,criminalminds
endroit,0.0240550963217222,fr,criminalminds
dernire,0.0239948169232738,fr,criminalminds
arme,0.0239283492863672,fr,criminalminds
mois,0.0234630758280212,fr,criminalminds
aide,0.0233966081911146,fr,criminalminds
peur,0.023330140554208,fr,criminalminds
porte,0.023330140554208,fr,criminalminds
jonny,0.0229505558147646,fr,criminalminds
problme,0.022864867095862,fr,criminalminds
dossier,0.0228129026808827,fr,criminalminds
travail,0.0225989965482357,fr,criminalminds
souvenir,0.0218678525422634,fr,criminalminds
goehring,0.0218104644272893,fr,criminalminds
bureau,0.0216606381348776,fr,criminalminds
nuit,0.0216019819946371,fr,criminalminds
ouai,0.0215181770936989,fr,criminalminds
grand,0.0214025790839173,fr,criminalminds
coup,0.0213748627482712,fr,criminalminds
revenir,0.0213361114470108,fr,criminalminds
parent,0.0208687180790383,fr,criminalminds
photo,0.0205804473726617,fr,criminalminds
lindsey,0.0205478481465916,fr,criminalminds
ami,0.0200732263457858,fr,criminalminds
plat,0.0200347459615458,fr,criminalminds
main,0.0198073557981595,fr,criminalminds
liste,0.0197921485833067,fr,criminalminds
partie,0.0196744205243464,fr,criminalminds
inspecteur,0.0195484577386642,fr,criminalminds
retrouver,0.0194316934075193,fr,criminalminds
arrter,0.0192756147029069,fr,criminalminds
finir,0.0192756147029069,fr,criminalminds
lieu,0.0192756147029069,fr,criminalminds
envoyer,0.0191426794290938,fr,criminalminds
semaine,0.0191426794290938,fr,criminalminds
laisse,0.0188103412445609,fr,criminalminds
chance,0.0188103412445609,fr,criminalminds
oeil,0.0188103412445609,fr,criminalminds
mind,0.01860818457302,fr,criminalminds
coupable,0.0185963685749582,fr,criminalminds
premire,0.0185606174961478,fr,criminalminds
anne,0.0185444706969346,fr,criminalminds
disparaître,0.0184538797227608,fr,criminalminds
vite,0.0184115354231214,fr,criminalminds
sexuel,0.0180627693100987,fr,criminalminds
mieux,0.0179462619647754,fr,criminalminds
donne,0.0179462619647754,fr,criminalminds
parl,0.0177468590540557,fr,criminalminds
srie,0.0176264880822747,fr,criminalminds
soir,0.0176225357454399,fr,criminalminds
recherche,0.0176225357454399,fr,criminalminds
air,0.0176139237802425,fr,criminalminds
perkosdhed,0.017093565790255,fr,criminalminds
gamin,0.0169557787858577,fr,criminalminds
vivre,0.0165504415897373,fr,criminalminds
sentir,0.0164175063159242,fr,criminalminds
zone,0.0161535615229547,fr,criminalminds
faon,0.0159522328575781,fr,criminalminds
mari,0.0158133780833605,fr,criminalminds
scurit,0.0158063338610875,fr,criminalminds
derek,0.0158051949905758,fr,criminalminds
dernier,0.0157528299468584,fr,criminalminds
veux,0.0155534270361387,fr,criminalminds
papa,0.0155534270361387,fr,criminalminds
nouveau,0.0154869593992321,fr,criminalminds
sang,0.0153540241254189,fr,criminalminds
sujet,0.015333494813961,fr,criminalminds
rentrer,0.0152875564885124,fr,criminalminds
important,0.0150881535777926,fr,criminalminds
garon,0.0150216859408861,fr,criminalminds
vrai,0.0150216859408861,fr,criminalminds
minute,0.0150093080113252,fr,criminalminds
matloff,0.0149946942937614,fr,criminalminds
devenir,0.0149552183039795,fr,criminalminds
arriv,0.0149552183039795,fr,criminalminds
gars,0.0149282042021382,fr,criminalminds
jeune,0.0148752963326527,fr,criminalminds
choisir,0.0147412846539802,fr,criminalminds
tte,0.0146228801194466,fr,criminalminds
point,0.01455641248254,fr,criminalminds
probablement,0.0145402671359713,fr,criminalminds
cherche,0.0144062554572988,fr,criminalminds
preuve,0.0143392496179625,fr,criminalminds
correspondre,0.0142978808907722,fr,criminalminds
utiliser,0.0142240742980072,fr,criminalminds
kyle,0.0139914840900179,fr,criminalminds
apprendre,0.0139582037503808,fr,criminalminds
dsole,0.0139372145819449,fr,criminalminds
comportement,0.0139175579489473,fr,criminalminds
emily,0.0139003300202615,fr,criminalminds
voil,0.0138917361134743,fr,criminalminds
route,0.0136447839313661,fr,criminalminds
arrte,0.013625865565848,fr,criminalminds
cole,0.0135234784920084,fr,criminalminds
vido,0.0134657290928965,fr,criminalminds
lien,0.0134330135382019,fr,criminalminds
ashtrayheart,0.0134268190075356,fr,criminalminds
message,0.0134264626551282,fr,criminalminds
shrif,0.0134230474334042,fr,criminalminds
sadique,0.0132831959413618,fr,criminalminds
scne,0.0132552033925618,fr,criminalminds
commencer,0.0132270597444085,fr,criminalminds
moyen,0.0132270597444085,fr,criminalminds
demande,0.0132270597444085,fr,criminalminds
agir,0.0131605921075019,fr,criminalminds
hier,0.0130661386705733,fr,criminalminds
tard,0.0130661386705733,fr,criminalminds
jordan,0.0130542051391215,fr,criminalminds
jack,0.0130227120645963,fr,criminalminds
vickie,0.0129675326684693,fr,criminalminds
garder,0.0128947215598756,fr,criminalminds
fort,0.0127617862860625,fr,criminalminds
donn,0.0126288510122493,fr,criminalminds
tat,0.0126288510122493,fr,criminalminds
blanc,0.0125624191067895,fr,criminalminds
meilleur,0.0125623833753428,fr,criminalminds
ervin,0.0125535279636951,fr,criminalminds
confiance,0.0124959157384362,fr,criminalminds
cours,0.0124630861165469,fr,criminalminds
servir,0.0123960802772106,fr,criminalminds
schrader,0.012378099365357,fr,criminalminds
jason,0.0123680738804023,fr,criminalminds
tubb,0.0123609750027092,fr,criminalminds
prison,0.012348268423597,fr,criminalminds
flic,0.0123366791650503,fr,criminalminds
comprend,0.0122965128277165,fr,criminalminds
adresse,0.0122374050033881,fr,criminalminds
bonjour,0.0122300451908099,fr,criminalminds
arrt,0.0121950627592018,fr,criminalminds
garde,0.0121635775539033,fr,criminalminds
ryan,0.0121472154182522,fr,criminalminds
crit,0.0121389757384513,fr,criminalminds
carte,0.0120306422800902,fr,criminalminds
enlvement,0.0119059619002601,fr,criminalminds
analyse,0.0118829611388892,fr,criminalminds
rapport,0.0118600335625204,fr,criminalminds
relecture,0.0118540784094997,fr,criminalminds
place,0.0116983040955573,fr,criminalminds
sai,0.0116983040955573,fr,criminalminds
tmoin,0.0116747656928875,fr,criminalminds
train,0.0115920102051753,fr,criminalminds
montrer,0.0115653688217441,fr,criminalminds
laiss,0.0115507824369486,fr,criminalminds
mot,0.0114989011848375,fr,criminalminds
boulot,0.011415685566341,fr,criminalminds
lettre,0.0114149732504201,fr,criminalminds
loin,0.0112994982741178,fr,criminalminds
entrer,0.0112994982741178,fr,criminalminds
matin,0.0112569810084939,fr,criminalminds
chambre,0.0112569810084939,fr,criminalminds
tai,0.0111899751691577,fr,criminalminds
enqute,0.0111351968391577,fr,criminalminds
trace,0.0111313714305339,fr,criminalminds
all,0.0110559634904851,fr,criminalminds
feu,0.0110336277264915,fr,criminalminds
contact,0.0109889576511488,fr,criminalminds
vien,0.0109671600895849,fr,criminalminds
salut,0.0109671600895849,fr,criminalminds
continuer,0.0109219518118126,fr,criminalminds
tlphone,0.0109186700656193,fr,criminalminds
rue,0.0109148887321286,fr,criminalminds
frank,0.0108054694345569,fr,criminalminds
profiler,0.0107609149039988,fr,criminalminds
courant,0.0107209342938037,fr,criminalminds
rappeler,0.0107012895419586,fr,criminalminds
bombe,0.0106553326904689,fr,criminalminds
poser,0.0106348219050521,fr,criminalminds
spencer,0.0106080536622483,fr,criminalminds
quartier,0.0105641677907615,fr,criminalminds
contrle,0.0104529109364586,fr,criminalminds
service,0.0104529109364586,fr,criminalminds
ressembler,0.0103689513574258,fr,criminalminds
porter,0.0103505155640577,fr,criminalminds
mec,0.0103112941920024,fr,criminalminds
terre,0.0102518934184498,fr,criminalminds
instant,0.0102518934184498,fr,criminalminds
demand,0.0102360160836126,fr,criminalminds
signe,0.0102143245697938,fr,criminalminds
suite,0.0101848875791135,fr,criminalminds
droit,0.010169548446706,fr,criminalminds
demain,0.0101178817397773,fr,criminalminds
dur,0.0101178817397773,fr,criminalminds
risque,0.0101178817397773,fr,criminalminds
penelop,0.0101142735282995,fr,criminalminds
noir,0.0100911235447981,fr,criminalminds
hpital,0.0100571776751982,fr,criminalminds
occuper,0.0100366131728929,fr,criminalminds
local,0.0099911697666415,fr,criminalminds
criminel,0.0099736923005968,fr,criminalminds
cause,0.0099701455359863,fr,criminalminds
expliquer,0.0099168642217685,fr,criminalminds
propre,0.0099036778990797,fr,criminalminds
presse,0.0098636791600343,fr,criminalminds
attend,0.0097828525430959,fr,criminalminds
violence,0.009769235755948,fr,criminalminds
livre,0.0097376560898701,fr,criminalminds
william,0.0097362440304432,fr,criminalminds
revoir,0.0097158467037596,fr,criminalminds
essay,0.00970427498836,fr,criminalminds
protger,0.0096695605927381,fr,criminalminds
prie,0.0096695605927381,fr,criminalminds
oublier,0.0096488408644234,fr,criminalminds
personnel,0.0095918778131386,fr,criminalminds
compte,0.0095713397145469,fr,criminalminds
hankel,0.0095420781869391,fr,criminalminds
kilomètre,0.0094577879984559,fr,criminalminds
vieux,0.0093719368038271,fr,criminalminds
tier,0.0093719368038271,fr,criminalminds
portable,0.009370826352225,fr,criminalminds
aujourd,0.0093054691669205,fr,criminalminds
ide,0.0093054691669205,fr,criminalminds
vue,0.0093054691669205,fr,criminalminds
torture,0.0093034765269289,fr,criminalminds
dpartement,0.0092936874836048,fr,criminalminds
plupart,0.0092732444411297,fr,criminalminds
changer,0.0092468058284057,fr,criminalminds
presque,0.009239001530014,fr,criminalminds
comportemental,0.0091993147216699,fr,criminalminds
connat,0.0091987112585235,fr,criminalminds
chien,0.0091987112585235,fr,criminalminds
jeu,0.0091725338931074,fr,criminalminds
argent,0.0091725338931074,fr,criminalminds
doute,0.0091725338931074,fr,criminalminds
virginie,0.0091697726376433,fr,criminalminds
aaron,0.0091361354523036,fr,criminalminds
ferme,0.009119038766012,fr,criminalminds
ouvrir,0.0091127941497332,fr,criminalminds
jouer,0.0091127941497332,fr,criminalminds
mauvais,0.0090395986192942,fr,criminalminds
long,0.0089731309823877,fr,criminalminds
unit,0.008971671184356,fr,criminalminds
numro,0.0089241228627466,fr,criminalminds
frre,0.0089066633454811,fr,criminalminds
pler,0.0088594822050349,fr,criminalminds
mre,0.0088488450247968,fr,criminalminds
mdia,0.0088318778105075,fr,criminalminds
tirer,0.0087737280716679,fr,criminalminds
fin,0.0087737280716679,fr,criminalminds
colre,0.0087196179073309,fr,criminalminds
visage,0.0087107591137155,fr,criminalminds
pice,0.0087072604347614,fr,criminalminds
ordinateur,0.0086997687959725,fr,criminalminds
opratoir,0.0086996326040478,fr,criminalminds
penelope,0.0086549695688465,fr,criminalminds
sens,0.0086407927978548,fr,criminalminds
camra,0.008637995149909,fr,criminalminds
attaque,0.0085810000909742,fr,criminalminds
spcial,0.0085800326386268,fr,criminalminds
conduire,0.008576747435043,fr,criminalminds
erreur,0.008576747435043,fr,criminalminds
gang,0.0085500093697466,fr,criminalminds
pense,0.0085078575240416,fr,criminalminds
sauver,0.0085078575240416,fr,criminalminds
retrouv,0.008505636377131,fr,criminalminds
incendie,0.0084690948217956,fr,criminalminds
coin,0.0084427357563704,fr,criminalminds
facile,0.0084427357563704,fr,criminalminds
plutt,0.0084427357563704,fr,criminalminds
tir,0.0084414716342104,fr,criminalminds
info,0.008439589657509,fr,criminalminds
jeremy,0.008401680122434,fr,criminalminds
groupe,0.0083757461472309,fr,criminalminds
pire,0.0083757299170342,fr,criminalminds
blessure,0.0083717074058285,fr,criminalminds
resynchro,0.0083712708487123,fr,criminalminds
campus,0.0083455611962604,fr,criminalminds
team,0.0083333176788036,fr,criminalminds
enleve,0.0083326726371735,fr,criminalminds
diffrent,0.0083076506500989,fr,criminalminds
second,0.0082419869764153,fr,criminalminds
prt,0.0082417182383616,fr,criminalminds
difficile,0.008239555152967,fr,criminalminds
information,0.0082376518733046,fr,criminalminds
site,0.0082173971968689,fr,criminalminds
luvet,0.0081789241602335,fr,criminalminds
steven,0.0081788781749612,fr,criminalminds
bizarre,0.008171459655835,fr,criminalminds
systme,0.0081482566974196,fr,criminalminds
esprit,0.0080382638011513,fr,criminalminds
accident,0.0080352686615711,fr,criminalminds
adam,0.0080039795419041,fr,criminalminds
client,0.0079982651742541,fr,criminalminds
haut,0.007976116428789,fr,criminalminds
suivre,0.0079736948810165,fr,criminalminds
cacher,0.0079736948810165,fr,criminalminds
enid,0.0079496410442276,fr,criminalminds
enfuir,0.007947280260821,fr,criminalminds
enlev,0.0078676169980968,fr,criminalminds
dclencheur,0.0078415681142717,fr,criminalminds
ligne,0.0078309821701752,fr,criminalminds
ordre,0.0078199747899079,fr,criminalminds
chang,0.0077726773630077,fr,criminalminds
chef,0.0077680700599361,fr,criminalminds
public,0.0077628866730433,fr,criminalminds
agression,0.007731488904558,fr,criminalminds
tracey,0.0077256093766932,fr,criminalminds
ingrid,0.0077256093766932,fr,criminalminds
inconnu,0.0077100394022089,fr,criminalminds
drogue,0.0076538305241396,fr,criminalminds
autant,0.0076386656843351,fr,criminalminds
eau,0.0076329731893286,fr,criminalminds
arrtez,0.0076329731893286,fr,criminalminds
super,0.0076266956787793,fr,criminalminds
gros,0.0075773106073496,fr,criminalminds
asseoir,0.0075716598449989,fr,criminalminds
journe,0.0075716598449989,fr,criminalminds
journal,0.0075505786786069,fr,criminalminds
gosse,0.0075253007779455,fr,criminalminds
rebecca,0.0075161990733238,fr,criminalminds
brooke,0.0075096446707509,fr,criminalminds
faute,0.0075046540056626,fr,criminalminds
crawford,0.0074949617706442,fr,criminalminds
profileur,0.0074652971280305,fr,criminalminds
partout,0.0074376481663263,fr,criminalminds
vol,0.0074303278834172,fr,criminalminds
signifier,0.0074047548895588,fr,criminalminds
gographiqu,0.0074006960102658,fr,criminalminds
avocat,0.0073950082084818,fr,criminalminds
dormir,0.0073779076966299,fr,criminalminds
regard,0.0073706423269901,fr,criminalminds
choix,0.0073706423269901,fr,criminalminds
coute,0.0073114400597233,fr,criminalminds
tomber,0.0073114400597233,fr,criminalminds
rponse,0.0073036364876538,fr,criminalminds
patient,0.0072905454661123,fr,criminalminds
intrieur,0.0072862181931195,fr,criminalminds
indique,0.0072498518810822,fr,criminalminds
officier,0.0072496807986911,fr,criminalminds
image,0.0072276825775058,fr,criminalminds
coutez,0.0072276825775058,fr,criminalminds
supposer,0.0072276825775058,fr,criminalminds
partenaire,0.0071614147824032,fr,criminalminds
chernus,0.0071565586402043,fr,criminalminds
lyce,0.0071504413326457,fr,criminalminds
tobia,0.0071403498942983,fr,criminalminds
membre,0.0071159512949542,fr,criminalminds
plein,0.007102618969645,fr,criminalminds
normal,0.0070925857068982,fr,criminalminds
haley,0.0070900529460449,fr,criminalminds
identifier,0.0070491702162797,fr,criminalminds
viol,0.0070214917184369,fr,criminalminds
saison,0.0069964707183291,fr,criminalminds
marche,0.0069791018751904,fr,criminalminds
observer,0.0069784925367155,fr,criminalminds
assurer,0.0069126342382838,fr,criminalminds
centre,0.0069066586098085,fr,criminalminds
prochain,0.0069016014516361,fr,criminalminds
gregory,0.006886047792593,fr,criminalminds
voisin,0.0068838918550821,fr,criminalminds
disparition,0.0068757010084938,fr,criminalminds
fantasme,0.006846777680424,fr,criminalminds
vtement,0.0068368943814266,fr,criminalminds
empreinte,0.0068326439400837,fr,criminalminds
htel,0.0068284174283991,fr,criminalminds
darci,0.0068157701335279,fr,criminalminds
keri,0.0068157701335279,fr,criminalminds
greenaway,0.0068157701335279,fr,criminalminds
colucci,0.0068157701335279,fr,criminalminds
cheryl,0.0068120953640355,fr,criminalminds
social,0.0067843088864399,fr,criminalminds
creek,0.0067804406949515,fr,criminalminds
ignorer,0.0067675897729636,fr,criminalminds
relation,0.0067671301530447,fr,criminalminds
payer,0.0067548435303793,fr,criminalminds
cible,0.0067444675106377,fr,criminalminds
prouver,0.0067414542160639,fr,criminalminds
suicide,0.0067328645464482,fr,criminalminds
force,0.0067005839336273,fr,criminalminds
dtail,0.0067005839336273,fr,criminalminds
wilkinson,0.0066955281264675,fr,criminalminds
raphal,0.0066941585993025,fr,criminalminds
aime,0.0066467636906575,fr,criminalminds
secours,0.0066276016962809,fr,criminalminds
homicide,0.0066257538645012,fr,criminalminds
call,0.0066189807804674,fr,criminalminds
fdral,0.0066094379975019,fr,criminalminds
balle,0.0065901214986437,fr,criminalminds
parc,0.0065815642195618,fr,criminalminds
transcript,0.0065716061830701,fr,criminalminds
terrain,0.0065571363140282,fr,criminalminds
faux,0.0065521982244679,fr,criminalminds
propos,0.0065138284168444,fr,criminalminds
prsent,0.0064995664156185,fr,criminalminds
marque,0.0064850798710169,fr,criminalminds
disparu,0.0064576304149486,fr,criminalminds
billie,0.0064574352448251,fr,criminalminds
dave,0.0064188664157924,fr,criminalminds
sac,0.0064171013538603,fr,criminalminds
capable,0.006384180201811,fr,criminalminds
prostitue,0.0063789622145655,fr,criminalminds
habitude,0.006366705138686,fr,criminalminds
gary,0.0063627362637478,fr,criminalminds
pisode,0.0063568544353137,fr,criminalminds
autour,0.0063495529185565,fr,criminalminds
jeter,0.0063495529185565,fr,criminalminds
malade,0.0063485447827532,fr,criminalminds
straus,0.006343453723085,fr,criminalminds
intelliger,0.0063409669849943,fr,criminalminds
tireur,0.0063043870130018,fr,criminalminds
autorit,0.0062997153945513,fr,criminalminds
michell,0.0062711864641523,fr,criminalminds
confrence,0.0062664616786272,fr,criminalminds
allez,0.0062479578692181,fr,criminalminds
prend,0.0062479578692181,fr,criminalminds
kat,0.0062357261527275,fr,criminalminds
lynch,0.0062318138005698,fr,criminalminds
chemin,0.0062315430582734,fr,criminalminds
violeur,0.0062184373733413,fr,criminalminds
darrin,0.0062161199108961,fr,criminalminds
peine,0.0062144560479489,fr,criminalminds
trouve,0.0062144560479489,fr,criminalminds
anthrax,0.0061954568533695,fr,criminalminds
charlie,0.006187747453977,fr,criminalminds
permettre,0.0061645372189371,fr,criminalminds
animal,0.0061469304910358,fr,criminalminds
michael,0.0061438052536322,fr,criminalminds
uac,0.0061341931201751,fr,criminalminds
baleman,0.0061341931201751,fr,criminalminds
mentir,0.0061285947418762,fr,criminalminds
lire,0.0061095918060342,fr,criminalminds
commun,0.0060898918717866,fr,criminalminds
lieux,0.0060829583445849,fr,criminalminds
bouger,0.0060793591773413,fr,criminalminds
savage,0.0060791372691152,fr,criminalminds
mode,0.0060745142429107,fr,criminalminds
missy,0.0060673500048072,fr,criminalminds
pyromane,0.0060326341128478,fr,criminalminds
srement,0.0060305255402646,fr,criminalminds
thorie,0.006026538672582,fr,criminalminds
btiment,0.0060252092485853,fr,criminalminds
dlinquant,0.0060219402396463,fr,criminalminds
rollin,0.006020400909702,fr,criminalminds
amie,0.0060118107420375,fr,criminalminds
battre,0.0059924037476123,fr,criminalminds
vrifier,0.0059635197009283,fr,criminalminds
joyner,0.0059629257827551,fr,criminalminds
lit,0.0059442623067337,fr,criminalminds
envoy,0.0059442623067337,fr,criminalminds
hasard,0.0059318642581026,fr,criminalminds
reu,0.0059299594124618,fr,criminalminds
coteau,0.0059229671887981,fr,criminalminds
agresseur,0.005907530039426,fr,criminalminds
amour,0.0059036505092016,fr,criminalminds
mur,0.005896513861592,fr,criminalminds
milieu,0.0058822819216121,fr,criminalminds
impossible,0.0058767138714299,fr,criminalminds
poste,0.0058610267472667,fr,criminalminds
