mot,poids_tfidf,langue,serie
trevor,0.2957273402911226,fr,cupid
taire,0.1563255668861566,fr,cupid
tre,0.1370386462963061,fr,cupid
mccrae,0.0884775143970296,fr,cupid
ici,0.08323828886146,fr,cupid
clint,0.0802816853232312,fr,cupid
cupidon,0.0790345858947992,fr,cupid
marshall,0.0670712463868644,fr,cupid
heure,0.0669966715226385,fr,cupid
amour,0.0660483223065234,fr,cupid
pauler,0.0627963682739579,fr,cupid
mme,0.0619211661042568,fr,cupid
peache,0.0613403571846954,fr,cupid
dieu,0.0568456606858751,fr,cupid
joe,0.0535969932378569,fr,cupid
clair,0.0521893490984696,fr,cupid
aimer,0.050755054183817,fr,cupid
besoin,0.0497399531001407,fr,cupid
fille,0.0487248520164643,fr,cupid
soir,0.0470727462456785,fr,cupid
petit,0.0456795487654353,fr,cupid
ouai,0.0447183636189653,fr,cupid
hallie,0.0427443195552546,fr,cupid
appeler,0.0385738411797009,fr,cupid
apr,0.0385738411797009,fr,cupid
walter,0.0377196800717807,fr,cupid
pre,0.0375587400960246,fr,cupid
grand,0.0375587400960246,fr,cupid
attendre,0.0365436390123482,fr,cupid
garon,0.0365436390123482,fr,cupid
sortir,0.0355285379286719,fr,cupid
holly,0.0344870468172393,fr,cupid
horny,0.0335508011984597,fr,cupid
porte,0.0324832346776429,fr,cupid
quelqu,0.0324832346776429,fr,cupid
trs,0.0324832346776429,fr,cupid
russo,0.0322926416937066,fr,cupid
amoureux,0.0314011875358524,fr,cupid
bonnerencontre,0.031227358022481,fr,cupid
madelyn,0.031227358022481,fr,cupid
tai,0.0306996171167468,fr,cupid
travail,0.0304530325102902,fr,cupid
cory,0.0303786460971704,fr,cupid
pierce,0.0302713025494849,fr,cupid
fte,0.0295926592546628,fr,cupid
ami,0.0294379314266139,fr,cupid
debbie,0.0291554566986233,fr,cupid
equi,0.0287578295986797,fr,cupid
nuit,0.0284228303429375,fr,cupid
ide,0.0284228303429375,fr,cupid
pass,0.0284228303429375,fr,cupid
relation,0.0277016218017226,fr,cupid
fils,0.0274077292592612,fr,cupid
hector,0.0270117647428718,fr,cupid
traiteur,0.0268376312951911,fr,cupid
demain,0.0266063348345139,fr,cupid
voil,0.0263926281755848,fr,cupid
appel,0.0263926281755848,fr,cupid
problme,0.0263926281755848,fr,cupid
vrai,0.0263926281755848,fr,cupid
raison,0.0263926281755848,fr,cupid
salut,0.0263926281755848,fr,cupid
nom,0.0263926281755848,fr,cupid
jack,0.0254979865822391,fr,cupid
meilleur,0.0253775270919085,fr,cupid
point,0.0253775270919085,fr,cupid
nick,0.0252973109961824,fr,cupid
bar,0.0250076510515008,fr,cupid
tvsubtitle,0.0242232999194354,fr,cupid
acadien,0.0239648579988998,fr,cupid
super,0.0239191247264233,fr,cupid
minute,0.0235363731228392,fr,cupid
couple,0.023486836946367,fr,cupid
dsol,0.0233473249245558,fr,cupid
finir,0.0233473249245558,fr,cupid
accord,0.0233473249245558,fr,cupid
rpublicain,0.0232856173457576,fr,cupid
tamara,0.0227839845728778,fr,cupid
plan,0.0226953574327574,fr,cupid
cupid,0.0225047260813995,fr,cupid
aide,0.0223322238408795,fr,cupid
revenir,0.0223322238408795,fr,cupid
regarder,0.0223322238408795,fr,cupid
dave,0.0221357242679598,fr,cupid
rendez,0.0214897319817228,fr,cupid
train,0.0214897319817228,fr,cupid
