mot,poids_tfidf,langue,serie
hopper,0.523041663372333,fr,daybreak
garza,0.2248615559658586,fr,daybreak
garzer,0.1977335654889345,fr,daybreak
taire,0.1276840472784187,fr,daybreak
booth,0.1196671217110972,fr,daybreak
dominguer,0.1109123307361118,fr,daybreak
chad,0.1081488113051356,fr,daybreak
brett,0.1020280206570006,fr,daybreak
alberto,0.0933124691071376,fr,daybreak
mme,0.0791430045114165,fr,daybreak
detweiler,0.0747374185772072,fr,daybreak
damien,0.0689448672070239,fr,daybreak
ici,0.0685906039098943,fr,daybreak
inspecteur,0.0666050676981287,fr,daybreak
accord,0.0659525037595138,fr,daybreak
meurtre,0.0648216307157151,fr,daybreak
affaire,0.0569829632482199,fr,daybreak
appeler,0.0559277231880677,fr,daybreak
llorn,0.054103575968835,fr,daybreak
fencik,0.054103575968835,fr,daybreak
flic,0.054029542569112,fr,daybreak
tre,0.052762003007611,fr,daybreak
torrer,0.0523658672035389,fr,daybreak
journe,0.0494659820755797,fr,daybreak
shelten,0.0486932183719515,fr,daybreak
buchalter,0.0473336984322312,fr,daybreak
nitzberg,0.0459880395735097,fr,daybreak
spivak,0.043282860775068,fr,daybreak
aujourd,0.0427372224361649,fr,daybreak
baxter,0.0425529996721105,fr,daybreak
disciple,0.042103359264836,fr,daybreak
andreer,0.040968508102674,fr,daybreak
ouai,0.0405406487092111,fr,daybreak
eddie,0.0389980949966633,fr,daybreak
quelqu,0.0374610221354038,fr,daybreak
besoin,0.0369334021053277,fr,daybreak
pre,0.0353505420150994,fr,daybreak
shelton,0.0350919069328131,fr,daybreak
jen,0.0346773651156815,fr,daybreak
procureur,0.0343128070691908,fr,daybreak
heure,0.0342953019549471,fr,daybreak
petit,0.0332400618947949,fr,daybreak
dossier,0.0321197254398014,fr,daybreak
sortir,0.0316572018045666,fr,daybreak
pass,0.0311295817744905,fr,daybreak
arme,0.0311295817744905,fr,daybreak
appel,0.0311295817744905,fr,daybreak
sablier,0.0288915129398835,fr,daybreak
trouv,0.0284914816241099,fr,daybreak
dsol,0.0274362415639577,fr,daybreak
nom,0.0274362415639577,fr,daybreak
forasz,0.0270517879844175,fr,daybreak
arrte,0.0258533814737294,fr,daybreak
dodger,0.0257283806348659,fr,daybreak
demain,0.0244670448975985,fr,daybreak
matin,0.0244670448975985,fr,daybreak
aider,0.024270521383501,fr,daybreak
attend,0.0239351526172159,fr,daybreak
paquet,0.0238259209590689,fr,daybreak
nuit,0.0237429013534249,fr,daybreak
soeur,0.0234477087595925,fr,daybreak
rita,0.0229890584859991,fr,daybreak
skinhead,0.0229391692454142,fr,daybreak
soir,0.0228713680564508,fr,daybreak
voiture,0.0227053231557217,fr,daybreak
air,0.0226876612932727,fr,daybreak
mourir,0.0226876612932727,fr,daybreak
hier,0.0223394757760682,fr,daybreak
police,0.0223311511996119,fr,daybreak
veux,0.0221600412631966,fr,daybreak
fait,0.0221600412631966,fr,daybreak
randall,0.0218810424982369,fr,daybreak
aimer,0.0216324212331205,fr,daybreak
empreinte,0.0214427405548904,fr,daybreak
isabeller,0.0213469828798563,fr,daybreak
coup,0.0212756912153031,fr,daybreak
billy,0.0212197179449467,fr,daybreak
aide,0.0211048012030444,fr,daybreak
apr,0.0211048012030444,fr,daybreak
frre,0.0211048012030444,fr,daybreak
gars,0.0209117768569137,fr,daybreak
sai,0.0205771811729683,fr,daybreak
question,0.0205771811729683,fr,daybreak
margo,0.020416078305454,fr,daybreak
tai,0.0202119066545379,fr,daybreak
contrer,0.0200627329983604,fr,daybreak
mal,0.019521941112816,fr,daybreak
famille,0.019521941112816,fr,daybreak
partenaire,0.0193398040517614,fr,daybreak
arriv,0.0189943210827399,fr,daybreak
rambis,0.0189362515890922,fr,daybreak
interne,0.0185923959771201,fr,daybreak
comprend,0.0184667010526638,fr,daybreak
salut,0.0184667010526638,fr,daybreak
sang,0.0184667010526638,fr,daybreak
message,0.0184667010526638,fr,daybreak
tuer,0.0184667010526638,fr,daybreak
problme,0.0184667010526638,fr,daybreak
battl,0.0183977636699338,fr,daybreak
club,0.0180210011675836,fr,daybreak
fille,0.0179390810225877,fr,daybreak
mec,0.0175787473127363,fr,daybreak
nick,0.017531742343414,fr,daybreak
colburn,0.0174387310013483,fr,daybreak
adjoint,0.0174154248934609,fr,daybreak
dcision,0.0170294114592132,fr,daybreak
trs,0.0168838409624355,fr,daybreak
