mot,poids_tfidf,langue,serie
galvin,0.4937896691030787,en,demons
simeon,0.1232462032268973,en,demons
life,0.0972017397203145,en,demons
rupert,0.0880250523277882,en,demons
helsing,0.0854758159094908,en,demons
gilgamel,0.0801100320974833,en,demons
madge,0.0759411240446604,en,demons
helse,0.0681089198762867,en,demons
kill,0.0672012027696001,en,demons
luke,0.0643590023528611,en,demons
vampire,0.0618289420493237,en,demons
thrip,0.0616231016134486,en,demons
talk,0.0540009665112858,en,demons
mum,0.0530935017163859,en,demons
half,0.0499944603936422,en,demons
pyromancer,0.0492984812907589,en,demons
happen,0.0444007946870572,en,demons
traveste,0.043136171129414,en,demons
orb,0.0431302176089655,en,demons
ally,0.0428262407703337,en,demons
old,0.0384006872969143,en,demons
tibbs,0.0373136306006658,en,demons
anselm,0.0369738609680692,en,demons
quincey,0.0369738609680692,en,demons
smite,0.0350194256409694,en,demons
win,0.0348006228628286,en,demons
smiter,0.0340544599381433,en,demons
friend,0.0336006013848,en,demons
sure,0.0336006013848,en,demons
turn,0.0336006013848,en,demons
dad,0.0329231812348375,en,demons
night,0.0324005799067715,en,demons
long,0.0324005799067715,en,demons
dead,0.0324005799067715,en,demons
tibb,0.0319831119434279,en,demons
angel,0.0317687689926725,en,demons
harpy,0.0314910900719176,en,demons
ruby,0.0313138154050296,en,demons
speedwell,0.0308115508067243,en,demons
hear,0.0300005369507143,en,demons
girl,0.0288005154726857,en,demons
alice,0.0281829276791562,en,demons
home,0.0276004939946572,en,demons
like,0.0276004939946572,en,demons
sanctity,0.0267248747987498,en,demons
anika,0.0266525932861899,en,demons
nice,0.0264004725166286,en,demons
boy,0.0264004725166286,en,demons
nasty,0.0257818920252218,en,demons
demon,0.0253289427777667,en,demons
idea,0.0252004510386,en,demons
little,0.0252004510386,en,demons
start,0.0252004510386,en,demons
bit,0.0252004510386,en,demons
freak,0.0247015427929322,en,demons
luggs,0.0246492406453794,en,demons
bad,0.0240004295605714,en,demons
lie,0.0240004295605714,en,demons
beware,0.0233797410361301,en,demons
blood,0.0229835448750295,en,demons
fine,0.0229835448750295,en,demons
type,0.0228451977214608,en,demons
die,0.0228004080825429,en,demons
exactly,0.0228004080825429,en,demons
pieter,0.0227029732920955,en,demons
dracula,0.0226200888347168,en,demons
entity,0.0223252266911032,en,demons
trust,0.021773884618449,en,demons
sword,0.0216306858844535,en,demons
word,0.0216003866045143,en,demons
meet,0.0216003866045143,en,demons
problem,0.0216003866045143,en,demons
great,0.0216003866045143,en,demons
kid,0.0208959449247997,en,demons
car,0.0208959449247997,en,demons
odour,0.0205828791801526,en,demons
help,0.0204003651264857,en,demons
work,0.0204003651264857,en,demons
suppose,0.0204003651264857,en,demons
believe,0.0204003651264857,en,demons
watch,0.0204003651264857,en,demons
love,0.0204003651264857,en,demons
lose,0.0204003651264857,en,demons
stack,0.0197684150564309,en,demons
prat,0.019375807275668,en,demons
big,0.019354564105288,en,demons
different,0.0192003436484571,en,demons
miss,0.0192003436484571,en,demons
new,0.0192003436484571,en,demons
jamie,0.0190822128642194,en,demons
enchilada,0.0187219163027475,en,demons
safe,0.0182906562415764,en,demons
send,0.0181449038487075,en,demons
stay,0.0180003221704286,en,demons
use,0.0180003221704286,en,demons
human,0.017208425232188,en,demons
deal,0.016935243592127,en,demons
place,0.0168003006924,en,demons
happy,0.0168003006924,en,demons
wrong,0.0168003006924,en,demons
run,0.0168003006924,en,demons
grade,0.0159816201101286,en,demons
choice,0.0158519020760328,en,demons
dear,0.0157267416380729,en,demons
worry,0.0157255833355465,en,demons
message,0.0157255833355465,en,demons
plan,0.0157255833355465,en,demons
child,0.0157255833355465,en,demons
zippy,0.0156644293857692,en,demons
inhuman,0.0156569077025148,en,demons
away,0.0156002792143714,en,demons
stop,0.0156002792143714,en,demons
live,0.0156002792143714,en,demons
save,0.0156002792143714,en,demons
pretend,0.0152301318143072,en,demons
gladiolus,0.015188224808932,en,demons
aaaagh,0.015188224808932,en,demons
harker,0.015188224808932,en,demons
sewer,0.0151451522596565,en,demons
favourite,0.015052907074421,en,demons
test,0.0148686000793114,en,demons
karen,0.0147179569669005,en,demons
ohhh,0.0146677425960968,en,demons
father,0.0146325249932611,en,demons
sumerian,0.014531855456751,en,demons
care,0.0144002577363428,en,demons
drive,0.0144002577363428,en,demons
understand,0.0144002577363428,en,demons
remember,0.0144002577363428,en,demons
easy,0.0144002577363428,en,demons
rutherford,0.0139769030768147,en,demons
rend,0.0139769030768147,en,demons
gun,0.0138495591032366,en,demons
travesty,0.0138428465988299,en,demons
rat,0.0135342426944924,en,demons
college,0.0135342426944924,en,demons
water,0.0134131479104893,en,demons
story,0.0133062628223855,en,demons
smell,0.0133062628223855,en,demons
course,0.0133062628223855,en,demons
matter,0.0132002362583143,en,demons
real,0.0132002362583143,en,demons
catch,0.0132002362583143,en,demons
frs,0.0131391373276945,en,demons
realise,0.0129887450200722,en,demons
rubbish,0.0123372633693417,en,demons
colonial,0.0123372633693417,en,demons
righteousness,0.0123372633693417,en,demons
kuma,0.0123246203226897,en,demons
dunelm,0.0123246203226897,en,demons
cool,0.0122917323087057,en,demons
hurt,0.012096602565805,en,demons
hand,0.0120002147802857,en,demons
job,0.0120002147802857,en,demons
shoot,0.0120002147802857,en,demons
bring,0.0120002147802857,en,demons
guess,0.0120002147802857,en,demons
eat,0.0120002147802857,en,demons
point,0.0120002147802857,en,demons
lovely,0.0117950562285547,en,demons
marvellous,0.0117483220393269,en,demons
jenny,0.0117428865329817,en,demons
gleaning,0.0113514866460477,en,demons
dunno,0.0111928699744106,en,demons
phone,0.0111514500594835,en,demons
worried,0.0111514500594835,en,demons
entirely,0.0110928536075698,en,demons
fault,0.0109743937449458,en,demons
date,0.0109743937449458,en,demons
business,0.0108869423092245,en,demons
drink,0.0108869423092245,en,demons
face,0.0108869423092245,en,demons
pretty,0.0108869423092245,en,demons
stuff,0.0108869423092245,en,demons
forget,0.0108869423092245,en,demons
actually,0.0108001933022571,en,demons
second,0.0108001933022571,en,demons
world,0.0108001933022571,en,demons
lasagne,0.0106610373144759,en,demons
friendship,0.0106175006174262,en,demons
girlfriend,0.0105690779842103,en,demons
vengeance,0.0105048457764957,en,demons
sandy,0.0101509417007984,en,demons
symbolise,0.0101254832059547,en,demons
com,0.0100724066205357,en,demons
denial,0.0100167632040522,en,demons
calm,0.0099920699858307,en,demons
witty,0.0099223229738236,en,demons
mess,0.0099124000528743,en,demons
medium,0.0098647450115853,en,demons
fester,0.0098543529957709,en,demons
sister,0.0098333858469645,en,demons
town,0.0098333858469645,en,demons
early,0.009755016662174,en,demons
welcome,0.009755016662174,en,demons
war,0.009755016662174,en,demons
monkey,0.0097272079422591,en,demons
wormwood,0.009687903637834,en,demons
sense,0.009677282052644,en,demons
alive,0.009677282052644,en,demons
wish,0.009677282052644,en,demons
death,0.009677282052644,en,demons
pay,0.009677282052644,en,demons
tomorrow,0.009677282052644,en,demons
mother,0.0096001718242285,en,demons
hour,0.0096001718242285,en,demons
change,0.0096001718242285,en,demons
mind,0.0096001718242285,en,demons
fast,0.0096001718242285,en,demons
family,0.0096001718242285,en,demons
probably,0.0096001718242285,en,demons
sit,0.0096001718242285,en,demons
hell,0.0096001718242285,en,demons
hiya,0.0095411064321097,en,demons
jay,0.0095411064321097,en,demons
godfather,0.0093941446215089,en,demons
wire,0.0093226117309083,en,demons
baltic,0.0093179353845431,en,demons
lad,0.0092953348763657,en,demons
guide,0.0092523020742755,en,demons
sync,0.0091761095233986,en,demons
blind,0.0091739326222092,en,demons
switch,0.0091739326222092,en,demons
allotment,0.0089974543062621,en,demons
maureen,0.0089974543062621,en,demons
tobias,0.0089974543062621,en,demons
club,0.0088133557929688,en,demons
ball,0.0088133557929688,en,demons
form,0.0088133557929688,en,demons
weird,0.0088133557929688,en,demons
normal,0.0087430612376019,en,demons
judgement,0.0087377752693278,en,demons
omelette,0.008714769961192,en,demons
brilliant,0.0086642097252743,en,demons
feeling,0.008604212616094,en,demons
zombie,0.0085694132291185,en,demons
power,0.0085356395794023,en,demons
surely,0.0085297196054636,en,demons
follow,0.0084676217960635,en,demons
swear,0.0084676217960635,en,demons
fortnight,0.0084619001977409,en,demons
abduct,0.0084038766211966,en,demons
true,0.0084001503462,en,demons
far,0.0084001503462,en,demons
walk,0.0084001503462,en,demons
wife,0.0084001503462,en,demons
case,0.0084001503462,en,demons
speak,0.0084001503462,en,demons
small,0.0084001503462,en,demons
play,0.0084001503462,en,demons
offer,0.0084001503462,en,demons
slime,0.0083946524808079,en,demons
chicken,0.0083196402056774,en,demons
pulse,0.0083141236913636,en,demons
kinda,0.0082526617797264,en,demons
shower,0.0082526617797264,en,demons
grace,0.0082439461967451,en,demons
messenger,0.0082438589399098,en,demons
smithereen,0.008233151672061,en,demons
revision,0.0080243206296202,en,demons
erm,0.0080243206296202,en,demons
impetuous,0.0080243206296202,en,demons
chocolate,0.007774424611832,en,demons
possibly,0.0076763439695195,en,demons
dutch,0.0076132062755988,en,demons
warrior,0.0075832645027612,en,demons
