mot,poids_tfidf,langue,serie
taire,0.1708403571978968,fr,desperatehousewives
lynette,0.1422262307003106,fr,desperatehousewives
edie,0.1293375718658279,fr,desperatehousewives
tre,0.1071819129240128,fr,desperatehousewives
gaby,0.099777745257462,fr,desperatehousewives
bree,0.0934697469318094,fr,desperatehousewives
mme,0.0883360668371446,fr,desperatehousewives
orson,0.0806195954651241,fr,desperatehousewives
solis,0.0705017640037261,fr,desperatehousewives
susan,0.0646604667990366,fr,desperatehousewives
carlos,0.0632991805149631,fr,desperatehousewives
ici,0.0547573117572849,fr,desperatehousewives
besoin,0.0542662147908518,fr,desperatehousewives
wisteria,0.0533323415432885,fr,desperatehousewives
petit,0.0527929238915527,fr,desperatehousewives
enfant,0.0513196329922535,fr,desperatehousewives
aimer,0.0492324708849131,fr,desperatehousewives
mike,0.0488531378570753,fr,desperatehousewives
heure,0.048250276952047,fr,desperatehousewives
gabriell,0.0464780372747426,fr,desperatehousewives
maison,0.0440145656165619,fr,desperatehousewives
fille,0.0433393072877165,fr,desperatehousewives
accord,0.0431551459253041,fr,desperatehousewives
mari,0.0425763194360778,fr,desperatehousewives
mal,0.0405768868515306,fr,desperatehousewives
trs,0.0391649830730356,fr,desperatehousewives
yellow,0.0387833373168575,fr,desperatehousewives
apr,0.0370778209656951,fr,desperatehousewives
problme,0.0366481111200662,fr,desperatehousewives
veux,0.0359114656704166,fr,desperatehousewives
dsole,0.0357690590611235,fr,desperatehousewives
julie,0.0354941771240061,fr,desperatehousewives
housewive,0.0354376394219837,fr,desperatehousewives
desperate,0.0344862933972325,fr,desperatehousewives
dieu,0.0335787550798597,fr,desperatehousewives
appeler,0.0330876581134266,fr,desperatehousewives
scavo,0.0327530140999544,fr,desperatehousewives
delfino,0.0324631644176539,fr,desperatehousewives
sortir,0.0316757543349316,fr,desperatehousewives
mieux,0.0313688187309109,fr,desperatehousewives
kamp,0.0304178228288658,fr,desperatehousewives
bonjour,0.0303866247980448,fr,desperatehousewives
quelqu,0.0303866247980448,fr,desperatehousewives
regarder,0.0302638505564366,fr,desperatehousewives
ami,0.0294658179859829,fr,desperatehousewives
attendre,0.0291588823819622,fr,desperatehousewives
aider,0.0289133338987457,fr,desperatehousewives
titre,0.0286721217285092,fr,desperatehousewives
salut,0.028606398294725,fr,desperatehousewives
