mot,poids_tfidf,langue,serie
dexter,0.2896684691442935,en,dexter
fuck,0.2039764114829164,en,dexter
lundy,0.1270756341375781,en,dexter
doake,0.1148393870942143,en,dexter
dex,0.1127577201271101,en,dexter
freebo,0.0999251809780826,en,dexter
fucking,0.099715584271125,en,dexter
shit,0.0842478007647467,en,dexter
deb,0.0715726781052109,en,dexter
work,0.0688325648343827,en,dexter
kill,0.068106482926847,en,dexter
trinity,0.0660860146738044,en,dexter
talk,0.0569248215507975,en,dexter
morgan,0.0521543152863353,en,dexter
sure,0.0505353007644835,en,dexter
killer,0.0497203407217719,en,dexter
case,0.0495187860939335,en,dexter
little,0.0480666222788622,en,dexter
night,0.0474857567528336,en,dexter
blood,0.0468424910133303,en,dexter
help,0.0460335929377622,en,dexter
kid,0.045515687996238,en,dexter
life,0.0451622946487194,en,dexter
masuka,0.0410140668193622,en,dexter
anton,0.0398293756691574,en,dexter
astor,0.038058184843234,en,dexter
debra,0.037608410546278,en,dexter
bad,0.037320610047334,en,dexter
batista,0.0370888270189048,en,dexter
cody,0.0356648865913394,en,dexter
happen,0.0345614987986985,en,dexter
ramon,0.0344366168857485,en,dexter
prado,0.0335569637612964,en,dexter
hear,0.0325284694575985,en,dexter
family,0.0320928203130771,en,dexter
laguerta,0.0320655431496832,en,dexter
home,0.03194760393157,en,dexter
rita,0.0304389550562391,en,dexter
dad,0.0302495195573228,en,dexter
long,0.0296241418274558,en,dexter
sergeant,0.029517529477722,en,dexter
love,0.0294789254459487,en,dexter
victim,0.0289188940279475,en,dexter
big,0.0278127290391648,en,dexter
father,0.0275934641815579,en,dexter
place,0.0274458961048488,en,dexter
friend,0.0268650305788202,en,dexter
cop,0.0266875364293447,en,dexter
win,0.0261389486712845,en,dexter
away,0.0257032995267631,en,dexter
truck,0.0255803024237721,en,dexter
body,0.0253242217040817,en,dexter
bring,0.0252676503822417,en,dexter
murder,0.0250899710369871,en,dexter
stop,0.0248320012377203,en,dexter
car,0.0243940288607288,en,dexter
bullshit,0.0242858886372681,en,dexter
brother,0.0242511357116918,en,dexter
new,0.0242511357116918,en,dexter
head,0.0241059193301846,en,dexter
lieutenant,0.0240765205934169,en,dexter
syl,0.0240390545492901,en,dexter
great,0.0238154865671703,en,dexter
guess,0.0236702701856632,en,dexter
quinn,0.0234520079973904,en,dexter
stay,0.0226537555151133,en,dexter
skinner,0.0225277164597103,en,dexter
run,0.0222181063705918,en,dexter
house,0.0220728899890847,en,dexter
like,0.0219276736075776,en,dexter
close,0.0216372408445633,en,dexter
angel,0.0214936122087583,en,dexter
miss,0.0214920244630562,en,dexter
job,0.0214920244630562,en,dexter
start,0.021346808081549,en,dexter
real,0.0212015917000419,en,dexter
miguel,0.0210917451496025,en,dexter
wrong,0.0210563753185347,en,dexter
ice,0.0207756869881394,en,dexter
spatter,0.0207251998681161,en,dexter
turn,0.0204755097925062,en,dexter
sister,0.0203779387434137,en,dexter
tonight,0.0202155325822109,en,dexter
butcher,0.0200917491857709,en,dexter
hour,0.0198946442664777,en,dexter
old,0.0197494278849705,en,dexter
actually,0.0197494278849705,en,dexter
morning,0.0196042115034634,en,dexter
dead,0.0194589951219563,en,dexter
check,0.0194589951219563,en,dexter
homicide,0.0193886561522547,en,dexter
live,0.0193137787404491,en,dexter
break,0.0190297619741654,en,dexter
hand,0.0187329132144206,en,dexter
open,0.0185876968329134,en,dexter
remember,0.0185876968329134,en,dexter
hell,0.0184424804514063,en,dexter
nice,0.0182972640698992,en,dexter
meet,0.018152047688392,en,dexter
police,0.0179592318588514,en,dexter
crime,0.017762419409707,en,dexter
mother,0.0177163985438706,en,dexter
lead,0.0177070358384329,en,dexter
tomorrow,0.0175659341299988,en,dexter
asshole,0.0175116256509088,en,dexter
pick,0.0172807493993492,en,dexter
die,0.0171355330178421,en,dexter
end,0.0169903166363349,en,dexter
hope,0.0168451002548278,en,dexter
wife,0.0168451002548278,en,dexter
question,0.0168451002548278,en,dexter
fine,0.0168340202079155,en,dexter
detective,0.0167307065746768,en,dexter
watch,0.0166998838733207,en,dexter
mom,0.0166258844220999,en,dexter
ellen,0.0165831371942362,en,dexter
understand,0.0165546674918135,en,dexter
soon,0.0165412546390822,en,dexter
rudy,0.016332648426754,en,dexter
hard,0.0162642347287992,en,dexter
evidence,0.0162044499752753,en,dexter
catch,0.0161190183472921,en,dexter
ass,0.0160435031442198,en,dexter
cause,0.015973801965785,en,dexter
believe,0.0158285855842778,en,dexter
idea,0.0158285855842778,en,dexter
room,0.0158285855842778,en,dexter
problem,0.0158285855842778,en,dexter
son,0.0158093407169989,en,dexter
scene,0.0157628139144082,en,dexter
kyle,0.0156807998027711,en,dexter
report,0.0156412149906157,en,dexter
lose,0.0152477200582493,en,dexter
door,0.0151025036767422,en,dexter
today,0.0151025036767422,en,dexter
care,0.014957287295235,en,dexter
death,0.0147846612260823,en,dexter
lie,0.0146668545322207,en,dexter
person,0.0145216381507136,en,dexter
boy,0.0145216381507136,en,dexter
sound,0.0143764217692065,en,dexter
forensic,0.0143282683701078,en,dexter
change,0.0142312053876993,en,dexter
shoot,0.0142312053876993,en,dexter
stuff,0.0141991300884157,en,dexter
baby,0.0141656286707463,en,dexter
vince,0.0141365620425889,en,dexter
farrow,0.0140947150158887,en,dexter
course,0.0140527473039991,en,dexter
cut,0.0140527473039991,en,dexter
file,0.0140460718049182,en,dexter
play,0.0139407726246851,en,dexter
easy,0.0139407726246851,en,dexter
christine,0.0138550015346886,en,dexter
sleep,0.0137955562431779,en,dexter
walk,0.0137955562431779,en,dexter
use,0.0137955562431779,en,dexter
probably,0.0136503398616708,en,dexter
camilla,0.0134819975050393,en,dexter
word,0.0133599070986565,en,dexter
suspect,0.0132694156910195,en,dexter
suppose,0.0132146907171494,en,dexter
late,0.0132146907171494,en,dexter
mind,0.0132146907171494,en,dexter
matter,0.0132146907171494,en,dexter
piece,0.0131327182468377,en,dexter
exactly,0.0130694743356422,en,dexter
tucci,0.0130497724696146,en,dexter
goddamn,0.0128674252987731,en,dexter
girl,0.012779041572628,en,dexter
husband,0.0127353022442491,en,dexter
hurt,0.0127353022442491,en,dexter
oscar,0.012590036462503,en,dexter
department,0.0125707373207827,en,dexter
happy,0.0124886088096137,en,dexter
face,0.0124425366754158,en,dexter
trust,0.0124425366754158,en,dexter
set,0.012394925086903,en,dexter
sigh,0.0122862112896073,en,dexter
eye,0.0121981760465994,en,dexter
chance,0.0121981760465994,en,dexter
code,0.0121887688619178,en,dexter
phone,0.0121450818194561,en,dexter
hide,0.0120998078229291,en,dexter
officer,0.0120530703137297,en,dexter
record,0.0119522491909422,en,dexter
anymore,0.0119522491909422,en,dexter
fuckin,0.0118473491694939,en,dexter
chino,0.0117809478819666,en,dexter
gomez,0.0117809478819666,en,dexter
world,0.011762526902078,en,dexter
deal,0.0117106227533325,en,dexter
send,0.0117106227533325,en,dexter
reason,0.0116173105205709,en,dexter
hine,0.0116004598322813,en,dexter
worry,0.0115642399689159,en,dexter
serial,0.0115099853758806,en,dexter
