mot,poids_tfidf,langue,serie
dexter,0.2620736986215991,fr,dexter
taire,0.1654099675410977,fr,dexter
doake,0.1365328633897091,fr,dexter
lundy,0.1294280611008584,fr,dexter
freebo,0.1225294927856364,fr,dexter
tre,0.1130045392282835,fr,dexter
morgan,0.0899715294838089,fr,dexter
ici,0.0734017399821176,fr,dexter
mme,0.0718654244941198,fr,dexter
trinit,0.0685192685327463,fr,dexter
putain,0.0677360118216473,fr,dexter
frigorifique,0.0666529293996863,fr,dexter
sang,0.0614526195199124,fr,dexter
prado,0.0591401062860957,fr,dexter
laguerta,0.0577639037418,fr,dexter
besoin,0.0571850764976963,fr,dexter
tueur,0.0532772263897064,fr,dexter
enfant,0.0505277093830391,fr,dexter
heure,0.0505277093830391,fr,dexter
petit,0.048649990453264,fr,dexter
masuka,0.0481365864515,fr,dexter
affaire,0.0476257801279321,fr,dexter
miguel,0.0471274827369525,fr,dexter
miami,0.0464165693474639,fr,dexter
harry,0.0428075314801989,fr,dexter
accord,0.0413098164550522,fr,dexter
soir,0.0406118071519012,fr,dexter
angel,0.0399407794665064,fr,dexter
ouai,0.0379494764926324,fr,dexter
finir,0.037554378595502,fr,dexter
cody,0.0371259677163698,fr,dexter
pre,0.0370422734328361,fr,dexter
apr,0.0363594665492815,fr,dexter
victime,0.0360856964703625,fr,dexter
appeler,0.0358473613866156,fr,dexter
famille,0.0355059579448383,fr,dexter
sergent,0.035362743396686,fr,dexter
quelqu,0.0353352562239496,fr,dexter
ami,0.0339696424568405,fr,dexter
dsol,0.0331161338523972,fr,dexter
tucci,0.0330647198675082,fr,dexter
astor,0.0330084314154953,fr,dexter
trouv,0.0329454321315086,fr,dexter
merde,0.0324402774996088,fr,dexter
aimer,0.0320919235270654,fr,dexter
trs,0.0320919235270654,fr,dexter
veux,0.0314091166435108,fr,dexter
debra,0.0309533057421189,fr,dexter
attendre,0.0308970114808448,fr,dexter
regarder,0.0303849063181789,fr,dexter
nuit,0.0303849063181789,fr,dexter
raison,0.029872801155513,fr,dexter
mort,0.0285071873884038,fr,dexter
pass,0.0278243805048492,fr,dexter
deb,0.0277771984630063,fr,dexter
sortir,0.0276536787839606,fr,dexter
boucher,0.0275987401256067,fr,dexter
ramon,0.0275344750348292,fr,dexter
camion,0.0272757462862583,fr,dexter
