mot,poids_tfidf,langue,serie
holt,0.1507104207069867,en,dirt
shit,0.1197496997317543,en,dirt
spiller,0.1182456958537875,en,dirt
story,0.0855021893292803,en,dirt
love,0.074126085058371,en,dirt
cover,0.0674522623838011,en,dirt
talk,0.0645376362448504,en,dirt
magazine,0.0630751323584767,en,dirt
willa,0.061566454131208,en,dirt
little,0.0608497713165732,en,dirt
work,0.0604809848237455,en,dirt
great,0.05974341183809,en,dirt
brent,0.0585176039177523,en,dirt
aundre,0.0568134019364158,en,dirt
barrow,0.0442302321640069,en,dirt
bullshit,0.044185505644181,en,dirt
julia,0.0438592986955845,en,dirt
gage,0.0408684450786091,en,dirt
baby,0.0397218878482384,en,dirt
big,0.0382901108735473,en,dirt
friend,0.0365098627899439,en,dirt
like,0.0361410762971162,en,dirt
tweetie,0.0360394484299316,en,dirt
bad,0.035034716818633,en,dirt
hear,0.0342971438329776,en,dirt
lucy,0.0340596606007228,en,dirt
sure,0.0339283573401499,en,dirt
dirt,0.0338309115385504,en,dirt
tape,0.0336903067994283,en,dirt
happen,0.0331907843544945,en,dirt
farber,0.0327631349363014,en,dirt
dirtnow,0.0321942610973023,en,dirt
sub,0.032015408091045,en,dirt
help,0.0302404924118727,en,dirt
kill,0.029871705919045,en,dirt
girl,0.0295029194262173,en,dirt
win,0.0287653464405618,en,dirt
picture,0.028624645992846,en,dirt
run,0.0283965599477341,en,dirt
movie,0.0277902583340288,en,dirt
hollywood,0.0267232640604884,en,dirt
life,0.0265526274835955,en,dirt
week,0.0265526274835955,en,dirt
romy,0.0265129209036607,en,dirt
yellowsubteam,0.0262105079490411,en,dirt
goddamn,0.025798158646215,en,dirt
sex,0.0255807199012101,en,dirt
nice,0.0254462680051124,en,dirt
tweety,0.0254428360925239,en,dirt
new,0.024708695019457,en,dirt
banheart,0.0246191408391135,en,dirt
kid,0.0245534451319037,en,dirt
job,0.0243399085266292,en,dirt
ass,0.0239891782178395,en,dirt
home,0.0239711220338015,en,dirt
start,0.0236023355409738,en,dirt
money,0.0236023355409738,en,dirt
yellow,0.0235779000056467,en,dirt
mother,0.0228647625553184,en,dirt
meet,0.0228647625553184,en,dirt
play,0.0224959760624907,en,dirt
car,0.0222869732735741,en,dirt
hard,0.0221271895696629,en,dirt
night,0.0221271895696629,en,dirt
shot,0.0219092279638525,en,dirt
stop,0.0217584030768352,en,dirt
real,0.0213896165840075,en,dirt
