mot,poids_tfidf,langue,serie
lucy,0.197326398783529,fr,dirt
holt,0.1961290809308812,fr,dirt
spiller,0.1438453413967883,fr,dirt
couv,0.1391573918180249,fr,dirt
taire,0.120110913161294,fr,dirt
don,0.113540891750839,fr,dirt
julia,0.1115323772127921,fr,dirt
dirt,0.1054663888175885,fr,dirt
sharle,0.1029674894861693,fr,dirt
yellow,0.0865419050916242,fr,dirt
traduction,0.0797787246229585,fr,dirt
dirtnow,0.077225617114627,fr,dirt
synchronisé,0.0753612240445232,fr,dirt
tre,0.0753107011783033,fr,dirt
konkey,0.0752454730860468,fr,dirt
sub,0.0715463073572052,fr,dirt
photo,0.0709386116849563,fr,dirt
ouai,0.0704287917848748,fr,dirt
salut,0.0695175703184338,fr,dirt
aundre,0.0693050410003063,fr,dirt
dieu,0.0602485609426426,fr,dirt
mallory,0.0583563256011072,fr,dirt
mme,0.0583175173226861,fr,dirt
willa,0.0549003119872378,fr,dirt
aimer,0.0521381777388254,fr,dirt
magazine,0.0520177321055251,fr,dirt
accord,0.0509795515668515,fr,dirt
heure,0.0505933428428602,fr,dirt
brent,0.050002118704275,fr,dirt
barrow,0.0492358463969777,fr,dirt
appeler,0.045186420706982,fr,dirt
titre,0.0441846209923442,fr,dirt
trs,0.0432553770870255,fr,dirt
ici,0.0428691683630342,fr,dirt
petit,0.0428691683630342,fr,dirt
tweetie,0.0415830246001837,fr,dirt
dsol,0.0397794985711038,fr,dirt
besoin,0.0393932898471125,fr,dirt
super,0.038379734849061,fr,dirt
mec,0.038199911411841,fr,dirt
merde,0.0380714018638364,fr,dirt
veux,0.0378484549511473,fr,dirt
article,0.0370875305987527,fr,dirt
regarder,0.0355312026071995,fr,dirt
film,0.0350170687442008,fr,dirt
sai,0.0328277415392604,fr,dirt
voil,0.0328277415392604,fr,dirt
floumette,0.0326728579466626,fr,dirt
mal,0.0324415328152691,fr,dirt
quelqu,0.0316691153672865,fr,dirt
pre,0.0316691153672865,fr,dirt
yell,0.0311170075682501,fr,dirt
mcpherson,0.0311170075682501,fr,dirt
yel,0.0311170075682501,fr,dirt
fille,0.0308966979193039,fr,dirt
sortir,0.02973807174733,fr,dirt
tweety,0.0291767978648757,fr,dirt
mieux,0.0289656542993474,fr,dirt
tristan,0.0280053068114251,fr,dirt
dsole,0.0276428515428421,fr,dirt
hollywood,0.0268759969669322,fr,dirt
chrie,0.0266484019553996,fr,dirt
star,0.0263601766316802,fr,dirt
cate,0.0254373726979185,fr,dirt
