mot,poids_tfidf,langue,serie
darling,0.4365758591956007,fr,dirtysexymoney
nick,0.1998755063668229,fr,dirtysexymoney
elder,0.1470044845149284,fr,dirtysexymoney
taire,0.1175933759369773,fr,dirtysexymoney
jeremy,0.1159090005185545,fr,dirtysexymoney
karen,0.1152348115258113,fr,dirtysexymoney
tripp,0.1036017293761679,fr,dirtysexymoney
tre,0.0778789738495302,fr,dirtysexymoney
letitia,0.0759220321542542,fr,dirtysexymoney
pre,0.0707110085947227,fr,dirtysexymoney
frère,0.0628136469446057,fr,dirtysexymoney
ici,0.0621869418052219,fr,dirtysexymoney
famille,0.0596684675265057,fr,dirtysexymoney
dutch,0.0594260899419921,fr,dirtysexymoney
heure,0.0575374508291305,fr,dirtysexymoney
brian,0.0570613410776755,fr,dirtysexymoney
ouai,0.0563664474059465,fr,dirtysexymoney
lisa,0.0529605955168351,fr,dirtysexymoney
nola,0.0523984497173688,fr,dirtysexymoney
kiki,0.0511260077073788,fr,dirtysexymoney
mme,0.0501757567836525,fr,dirtysexymoney
papa,0.0474635537142659,fr,dirtysexymoney
petit,0.0441701642728679,fr,dirtysexymoney
ellen,0.041983883731262,fr,dirtysexymoney
sûr,0.040888745015083,fr,dirtysexymoney
aimer,0.0371959278087308,fr,dirtysexymoney
veux,0.0362272838553785,fr,dirtysexymoney
simon,0.0347750022947714,fr,dirtysexymoney
père,0.0340612954545564,fr,dirtysexymoney
george,0.0333013840093517,fr,dirtysexymoney
sénateur,0.0327780269526529,fr,dirtysexymoney
besoin,0.032352708041969,fr,dirtysexymoney
désolé,0.0320295169284817,fr,dirtysexymoney
accord,0.0319652504606281,fr,dirtysexymoney
dsol,0.0315777928792871,fr,dirtysexymoney
sai,0.0309966065072757,fr,dirtysexymoney
mariage,0.0309072462069505,fr,dirtysexymoney
mère,0.0308831797501711,fr,dirtysexymoney
fils,0.0304154201352643,fr,dirtysexymoney
soir,0.0298805103727464,fr,dirtysexymoney
enfant,0.0298342337632528,fr,dirtysexymoney
dieu,0.0296405049725824,fr,dirtysexymoney
paddy,0.0286221215105581,fr,dirtysexymoney
ecoute,0.0282638295391178,fr,dirtysexymoney
freddy,0.0278762842697834,fr,dirtysexymoney
quelqu,0.0273157594845367,fr,dirtysexymoney
problème,0.0272451784234079,fr,dirtysexymoney
million,0.0272298097279307,fr,dirtysexymoney
carmelita,0.0258251121445144,fr,dirtysexymoney
lyon,0.0255196278306385,fr,dirtysexymoney
demain,0.024607479130497,fr,dirtysexymoney
grand,0.0246035564151501,fr,dirtysexymoney
kimpton,0.0238385650564748,fr,dirtysexymoney
babeson,0.0238385650564748,fr,dirtysexymoney
fille,0.0238286412524682,fr,dirtysexymoney
laetitia,0.0237828052531399,fr,dirtysexymoney
trs,0.0236349124617977,fr,dirtysexymoney
salut,0.0234411836711272,fr,dirtysexymoney
carmeliter,0.022845291512455,fr,dirtysexymoney
nicky,0.0227354842846428,fr,dirtysexymoney
pler,0.0223791899281603,fr,dirtysexymoney
travailler,0.0220850821364339,fr,dirtysexymoney
argent,0.0220850821364339,fr,dirtysexymoney
chase,0.0220075928445659,fr,dirtysexymoney
teacher,0.021953358695206,fr,dirtysexymoney
maison,0.0215038957644225,fr,dirtysexymoney
propos,0.0215038957644225,fr,dirtysexymoney
laisse,0.021310166973752,fr,dirtysexymoney
appeler,0.0211164381830815,fr,dirtysexymoney
raison,0.0209227093924111,fr,dirtysexymoney
perdre,0.0207289806017406,fr,dirtysexymoney
nuit,0.0205352518110701,fr,dirtysexymoney
sortir,0.0203415230203997,fr,dirtysexymoney
affaire,0.0203415230203997,fr,dirtysexymoney
attendre,0.0199540654390587,fr,dirtysexymoney
plaza,0.0196141612048482,fr,dirtysexymoney
bébé,0.0195782795671498,fr,dirtysexymoney
mieux,0.0193728790670473,fr,dirtysexymoney
finir,0.0193728790670473,fr,dirtysexymoney
clark,0.01928083787448,fr,dirtysexymoney
bonjour,0.0189854214857063,fr,dirtysexymoney
pass,0.0189854214857063,fr,dirtysexymoney
tish,0.0188978015374117,fr,dirtysexymoney
problme,0.0187916926950359,fr,dirtysexymoney
salomon,0.018488841722697,fr,dirtysexymoney
dîner,0.0182944655793383,fr,dirtysexymoney
avocat,0.0180970060027539,fr,dirtysexymoney
sofia,0.0180138549392742,fr,dirtysexymoney
fantini,0.0178789237923561,fr,dirtysexymoney
regarder,0.0178230487416835,fr,dirtysexymoney
avion,0.0177077224121271,fr,dirtysexymoney
vrit,0.017664133165948,fr,dirtysexymoney
essayer,0.017629319951013,fr,dirtysexymoney
nom,0.017629319951013,fr,dirtysexymoney
tai,0.0175767708074978,fr,dirtysexymoney
minute,0.0173814733540812,fr,dirtysexymoney
brsil,0.0173399113789569,fr,dirtysexymoney
voil,0.0172418623696721,fr,dirtysexymoney
pèr,0.0171798195794652,fr,dirtysexymoney
aime,0.0170481335790016,fr,dirtysexymoney
demande,0.0168544047883311,fr,dirtysexymoney
attend,0.0167955809938313,fr,dirtysexymoney
mari,0.0167955809938313,fr,dirtysexymoney
apr,0.0166606759976607,fr,dirtysexymoney
vrai,0.0166606759976607,fr,dirtysexymoney
amour,0.0164066521181661,fr,dirtysexymoney
vérité,0.0163892549923282,fr,dirtysexymoney
réveiller,0.0163152329726248,fr,dirtysexymoney
chéri,0.0163152329726248,fr,dirtysexymoney
arrêter,0.016143480323953,fr,dirtysexymoney
natalie,0.0161269500222775,fr,dirtysexymoney
rentrer,0.0160794896256492,fr,dirtysexymoney
photo,0.0160636345417703,fr,dirtysexymoney
juliet,0.0159435851063881,fr,dirtysexymoney
chiavennasca,0.0158923767043165,fr,dirtysexymoney
ami,0.0158857608349788,fr,dirtysexymoney
doi,0.0158190937267481,fr,dirtysexymoney
anniversaire,0.0156569602495736,fr,dirtysexymoney
mal,0.0154983032536378,fr,dirtysexymoney
procès,0.0154618376215186,fr,dirtysexymoney
gustav,0.0154415898750855,fr,dirtysexymoney
vien,0.0153045744629673,fr,dirtysexymoney
nouveau,0.0151108456722969,fr,dirtysexymoney
semaine,0.0151108456722969,fr,dirtysexymoney
prêt,0.0149925398388637,fr,dirtysexymoney
partie,0.0149171168816264,fr,dirtysexymoney
snat,0.0148560036112371,fr,dirtysexymoney
chance,0.0147233880909559,fr,dirtysexymoney
apprendre,0.0147233880909559,fr,dirtysexymoney
elorri,0.0146355724634707,fr,dirtysexymoney
natali,0.0145525898537395,fr,dirtysexymoney
sentir,0.0145296593002855,fr,dirtysexymoney
daisy,0.0143947011991649,fr,dirtysexymoney
meilleur,0.0141422017189445,fr,dirtysexymoney
question,0.0141422017189445,fr,dirtysexymoney
mourir,0.0141422017189445,fr,dirtysexymoney
voi,0.0139784034417391,fr,dirtysexymoney
campagne,0.0139698210771914,fr,dirtysexymoney
air,0.0137547441376036,fr,dirtysexymoney
travi,0.0135933486761092,fr,dirtysexymoney
dernier,0.0135610153469331,fr,dirtysexymoney
aider,0.0135610153469331,fr,dirtysexymoney
confiance,0.0135610153469331,fr,dirtysexymoney
bureau,0.0135140537168248,fr,dirtysexymoney
mentir,0.0134961916324097,fr,dirtysexymoney
point,0.0133672865562626,fr,dirtysexymoney
appel,0.0133672865562626,fr,dirtysexymoney
fait,0.0131735577655921,fr,dirtysexymoney
devenir,0.0131735577655921,fr,dirtysexymoney
dollar,0.0131153831673975,fr,dirtysexymoney
voiture,0.0130135773502949,fr,dirtysexymoney
galerie,0.0129518738652355,fr,dirtysexymoney
kai,0.0129231629774773,fr,dirtysexymoney
raceman,0.0128405204591819,fr,dirtysexymoney
commencer,0.0127861001842512,fr,dirtysexymoney
aujourd,0.0127861001842512,fr,dirtysexymoney
orphelin,0.0126305956944934,fr,dirtysexymoney
travail,0.0125923713935807,fr,dirtysexymoney
police,0.0125041406146451,fr,dirtysexymoney
jouer,0.0124990370186651,fr,dirtysexymoney
soirée,0.0124870514227262,fr,dirtysexymoney
important,0.0123986426029102,fr,dirtysexymoney
vivre,0.0123986426029102,fr,dirtysexymoney
pat,0.01211657023621,fr,dirtysexymoney
changer,0.0121084421118318,fr,dirtysexymoney
dsole,0.0121084421118318,fr,dirtysexymoney
revenir,0.0120111850215693,fr,dirtysexymoney
coup,0.0119131446584152,fr,dirtysexymoney
occuper,0.0118174562308988,fr,dirtysexymoney
garçon,0.0115953346228277,fr,dirtysexymoney
mauvais,0.0114299986495579,fr,dirtysexymoney
sebastian,0.0113521576764199,fr,dirtysexymoney
tête,0.0112302471818804,fr,dirtysexymoney
york,0.0111452555378055,fr,dirtysexymoney
mois,0.0110425410682169,fr,dirtysexymoney
parent,0.0110044617865748,fr,dirtysexymoney
tard,0.010936657391332,fr,dirtysexymoney
journée,0.010870626208901,fr,dirtysexymoney
génial,0.010870626208901,fr,dirtysexymoney
long,0.010655083486876,fr,dirtysexymoney
garde,0.010655083486876,fr,dirtysexymoney
vido,0.0105836394564037,fr,dirtysexymoney
suite,0.0105460624844987,fr,dirtysexymoney
matin,0.0105460624844987,fr,dirtysexymoney
jumeau,0.010496541969412,fr,dirtysexymoney
droit,0.0104613546962055,fr,dirtysexymoney
prend,0.0104613546962055,fr,dirtysexymoney
dernire,0.0104613546962055,fr,dirtysexymoney
gros,0.0104613546962055,fr,dirtysexymoney
forom,0.0104477843962638,fr,dirtysexymoney
intéresser,0.0103078917476791,fr,dirtysexymoney
épouser,0.0103078917476791,fr,dirtysexymoney
biocarburant,0.0103078917476791,fr,dirtysexymoney
second,0.010267625905535,fr,dirtysexymoney
faon,0.010267625905535,fr,dirtysexymoney
marier,0.010196073414859,fr,dirtysexymoney
choix,0.0101554675776654,fr,dirtysexymoney
éviter,0.0101457292809651,fr,dirtysexymoney
pense,0.0100738971148646,fr,dirtysexymoney
mort,0.0100738971148646,fr,dirtysexymoney
comprend,0.0100738971148646,fr,dirtysexymoney
parfaire,0.0100408250074464,fr,dirtysexymoney
