mot,poids_tfidf,langue,serie
hood,0.1646619930857404,en,eleventhhour
geppetto,0.0896407345004352,en,eleventhhour
help,0.0733546037365081,en,eleventhhour
work,0.0728487099176356,en,eleventhhour
nesic,0.0701419235382877,en,eleventhhour
sofia,0.0659948401425549,en,eleventhhour
agent,0.0651376126938998,en,eleventhhour
victim,0.0582965245779018,en,eleventhhour
test,0.0543240984547369,en,eleventhhour
happen,0.0521070633438644,en,eleventhhour
felix,0.0506989012135649,en,eleventhhour
baby,0.049349143055331,en,eleventhhour
die,0.0475540189740121,en,eleventhhour
water,0.0462648216143728,en,eleventhhour
virus,0.0451758938258184,en,eleventhhour
cause,0.0440127622419048,en,eleventhhour
talk,0.0430009746041599,en,eleventhhour
blood,0.0423264513255577,en,eleventhhour
cell,0.0393819339834058,en,eleventhhour
sure,0.0389538240531801,en,eleventhhour
bad,0.0384479302343077,en,eleventhhour
little,0.0384479302343077,en,eleventhhour
sacha,0.0382836276476192,en,eleventhhour
stem,0.0373964015558191,en,eleventhhour
heart,0.0356970071420366,en,eleventhhour
young,0.0356970071420366,en,eleventhhour
kill,0.0354125673210728,en,eleventhhour
stop,0.0354125673210728,en,eleventhhour
long,0.0338948858644554,en,eleventhhour
use,0.0328830982267105,en,eleventhhour
mercury,0.0324179401264473,en,eleventhhour
check,0.032377204407838,en,eleventhhour
life,0.032377204407838,en,eleventhhour
home,0.032377204407838,en,eleventhhour
stay,0.0318713105889656,en,eleventhhour
start,0.0318713105889656,en,eleventhhour
old,0.0318713105889656,en,eleventhhour
case,0.0318713105889656,en,eleventhhour
place,0.0313654167700931,en,eleventhhour
kid,0.0310910005132151,en,eleventhhour
exactly,0.0303536291323481,en,eleventhhour
son,0.030087477448288,en,eleventhhour
nitric,0.0298802448334784,en,eleventhhour
hour,0.0298477353134757,en,eleventhhour
believe,0.0298477353134757,en,eleventhhour
hospital,0.0289599977465872,en,eleventhhour
hear,0.0288359476757307,en,eleventhhour
boy,0.0288359476757307,en,eleventhhour
doctor,0.0287290905289474,en,eleventhhour
body,0.0280476484687431,en,eleventhhour
turn,0.0278241600379858,en,eleventhhour
lowell,0.027554183427025,en,eleventhhour
girl,0.0273182662191133,en,eleventhhour
away,0.0273182662191133,en,eleventhhour
run,0.0263064785813684,en,eleventhhour
dead,0.0263064785813684,en,eleventhhour
drug,0.0258889697347663,en,eleventhhour
ray,0.0255680348891943,en,eleventhhour
death,0.0254978622443119,en,eleventhhour
new,0.0252946909436234,en,eleventhhour
actually,0.0252946909436234,en,eleventhhour
miss,0.0252946909436234,en,eleventhhour
bacteria,0.0250977600978947,en,eleventhhour
phone,0.0245503137247369,en,eleventhhour
nicky,0.024360752717371,en,eleventhhour
sample,0.0243505094182803,en,eleventhhour
family,0.0242829033058785,en,eleventhhour
problem,0.0242829033058785,en,eleventhhour
week,0.0242829033058785,en,eleventhhour
head,0.0242829033058785,en,eleventhhour
number,0.0239679905096532,en,eleventhhour
close,0.023777009487006,en,eleventhhour
clone,0.0235118414681798,en,eleventhhour
gene,0.0234861166495637,en,eleventhhour
altschuler,0.0233806411794292,en,eleventhhour
botrytis,0.0233806411794292,en,eleventhhour
wease,0.0233806411794292,en,eleventhhour
pulido,0.0233806411794292,en,eleventhhour
hgh,0.0233806411794292,en,eleventhhour
fungus,0.0232908780326308,en,eleventhhour
human,0.0228000670430244,en,eleventhhour
mind,0.0227652218492611,en,eleventhhour
wrong,0.0227652218492611,en,eleventhhour
patient,0.0226394270205443,en,eleventhhour
skin,0.0224720172954323,en,eleventhhour
spring,0.0222761074393288,en,eleventhhour
understand,0.0222593280303886,en,eleventhhour
