mot,poids_tfidf,langue,serie
zuzu,0.1473579440127374,fr,fearitself
lemon,0.1431168307982033,fr,fearitself
taire,0.1422669600763029,fr,fearitself
ici,0.1379558400739907,fr,fearitself
harry,0.1275851481088443,fr,fearitself
bobby,0.0957346744575119,fr,fearitself
helen,0.0927766969059125,fr,fearitself
mellor,0.0882079590777919,fr,fearitself
pler,0.084598289494162,fr,fearitself
heure,0.081911280043932,fr,fearitself
allei,0.0810468692070055,fr,fearitself
kandu,0.0810468692070055,fr,fearitself
brodigan,0.0810468692070055,fr,fearitself
tre,0.0804742400431612,fr,fearitself
jame,0.0787743612962442,fr,fearitself
grady,0.0757871566619066,fr,fearitself
ziza,0.0736789720063687,fr,fearitself
steinwitz,0.0736789720063687,fr,fearitself
mme,0.0718520000385368,fr,fearitself
ruthie,0.0685731971780795,fr,fearitself
maison,0.0661038400354539,fr,fearitself
navarro,0.0657159170422575,fr,fearitself
enfant,0.0632297600339124,fr,fearitself
sososerie,0.0612438937376721,fr,fearitself
bannerman,0.0610670485923174,fr,fearitself
ouai,0.0588893830472933,fr,fearitself
mahoney,0.057891473964825,fr,fearitself
eddie,0.0556370847673917,fr,fearitself
carlos,0.0546433952465148,fr,fearitself
tracy,0.0544936647586324,fr,fearitself
dieu,0.0517334400277465,fr,fearitself
marty,0.0509609036338937,fr,fearitself
meryl,0.0505507054171211,fr,fearitself
quelqu,0.0502964000269757,fr,fearitself
aider,0.0459852800246635,fr,fearitself
fear,0.0454597091589546,fr,fearitself
petit,0.0445482400238928,fr,fearitself
rory,0.0431376045443677,fr,fearitself
famille,0.0431112000231221,fr,fearitself
appeler,0.0416741600223513,fr,fearitself
accord,0.0416741600223513,fr,fearitself
pre,0.0402371200215806,fr,fearitself
papier,0.039430989531815,fr,fearitself
peur,0.0388000800208099,fr,fearitself
sergent,0.0380517108394799,fr,fearitself
frre,0.0373630400200391,fr,fearitself
mourir,0.0373630400200391,fr,fearitself
pribbl,0.0368394860031843,fr,fearitself
manger,0.0365101754924213,fr,fearitself
derek,0.0364117873837148,fr,fearitself
ecoute,0.0359408960909672,fr,fearitself
regarder,0.0359260000192684,fr,fearitself
dsol,0.0344889600184976,fr,fearitself
attendre,0.0330519200177269,fr,fearitself
aide,0.0330519200177269,fr,fearitself
veux,0.0316148800169562,fr,fearitself
allez,0.0316148800169562,fr,fearitself
besoin,0.0316148800169562,fr,fearitself
grand,0.0301778400161854,fr,fearitself
forom,0.0296321611416108,fr,fearitself
wretch,0.0294715888025474,fr,fearitself
saved,0.0294715888025474,fr,fearitself
bourdon,0.0289289058284256,fr,fearitself
sandra,0.0289289058284256,fr,fearitself
trs,0.0287408000154147,fr,fearitself
aimer,0.0287408000154147,fr,fearitself
bear,0.0286037300292203,fr,fearitself
mec,0.028427530148672,fr,fearitself
arlene,0.0280682555933972,fr,fearitself
bender,0.0278381335171236,fr,fearitself
mal,0.027303760014644,fr,fearitself
papa,0.027303760014644,fr,fearitself
aime,0.027303760014644,fr,fearitself
rowdy,0.0271409104854744,fr,fearitself
cannibale,0.0267148495735863,fr,fearitself
tim,0.0261463646480105,fr,fearitself
dsole,0.0260761682838539,fr,fearitself
arrte,0.0258667200138732,fr,fearitself
sortir,0.0258667200138732,fr,fearitself
coeur,0.025641317414766,fr,fearitself
lemuel,0.025487267903003,fr,fearitself
carlo,0.0250929648619691,fr,fearitself
chrissy,0.0245905300042632,fr,fearitself
revenir,0.0244296800131025,fr,fearitself
nom,0.0244296800131025,fr,fearitself
finir,0.0244296800131025,fr,fearitself
family,0.0239332613956222,fr,fearitself
arrter,0.0229926400123317,fr,fearitself
mieux,0.0229926400123317,fr,fearitself
arriv,0.0229926400123317,fr,fearitself
kathy,0.0227836003114998,fr,fearitself
bemmel,0.0221036916019106,fr,fearitself
communaut,0.0220209730572959,fr,fearitself
sam,0.0219638809444799,fr,fearitself
soir,0.0217301402365449,fr,fearitself
rvrend,0.0216950495632162,fr,fearitself
scott,0.0216911438560441,fr,fearitself
perdre,0.021555600011561,fr,fearitself
sai,0.021555600011561,fr,fearitself
problme,0.021555600011561,fr,fearitself
essayer,0.021555600011561,fr,fearitself
point,0.021555600011561,fr,fearitself
oeil,0.021555600011561,fr,fearitself
vien,0.021555600011561,fr,fearitself
laisse,0.021555600011561,fr,fearitself
com,0.0212623783227399,fr,fearitself
phil,0.0208949934646139,fr,fearitself
serial,0.0203014578065548,fr,fearitself
garon,0.0201185600107903,fr,fearitself
fait,0.0201185600107903,fr,fearitself
porte,0.0201185600107903,fr,fearitself
now,0.0195288002669999,fr,fearitself
candace,0.0191722686863856,fr,fearitself
windigo,0.0191154509272523,fr,fearitself
amazing,0.0191154509272523,fr,fearitself
endroit,0.0188327882050055,fr,fearitself
demain,0.0188327882050055,fr,fearitself
how,0.0186916205383673,fr,fearitself
tuer,0.0186815200100195,fr,fearitself
vieux,0.0186815200100195,fr,fearitself
anne,0.0186815200100195,fr,fearitself
eddi,0.018595756768471,fr,fearitself
found,0.0181534522997946,fr,fearitself
voiture,0.0180997534692466,fr,fearitself
gnial,0.0179542295675823,fr,fearitself
parent,0.0178099234534267,fr,fearitself
voisin,0.0174163638426837,fr,fearitself
doi,0.0173841121892359,fr,fearitself
minute,0.0173841121892359,fr,fearitself
tard,0.0173841121892359,fr,fearitself
virginia,0.0173816036877887,fr,fearitself
clmentine,0.0173674421894475,fr,fearitself
vivre,0.0172444800092488,fr,fearitself
chrie,0.0172444800092488,fr,fearitself
sang,0.0172444800092488,fr,fearitself
nuit,0.0172444800092488,fr,fearitself
mort,0.0172444800092488,fr,fearitself
pass,0.0172444800092488,fr,fearitself
mauvais,0.0172444800092488,fr,fearitself
putain,0.0168616599099488,fr,fearitself
bordel,0.0165914406801427,fr,fearitself
courtney,0.0165308033305289,fr,fearitself
toquer,0.016127210252594,fr,fearitself
jouer,0.0159354361734662,fr,fearitself
corps,0.0159354361734662,fr,fearitself
coup,0.0159354361734662,fr,fearitself
comprend,0.0158074400084781,fr,fearitself
vrai,0.0158074400084781,fr,fearitself
air,0.0158074400084781,fr,fearitself
traduction,0.0157154729211114,fr,fearitself
transcript,0.0155703105539963,fr,fearitself
sean,0.0154763161725986,fr,fearitself
officier,0.0153331782903476,fr,fearitself
oncle,0.0152082173181712,fr,fearitself
mchant,0.0150831278910388,fr,fearitself
diego,0.0148814430760299,fr,fearitself
that,0.0147949120418389,fr,fearitself
mattingley,0.0147357944012737,fr,fearitself
seigel,0.0147357944012737,fr,fearitself
cadien,0.0147357944012737,fr,fearitself
grange,0.0146297277554022,fr,fearitself
mari,0.0144867601576966,fr,fearitself
fou,0.0144867601576966,fr,fearitself
revoir,0.0144867601576966,fr,fearitself
ami,0.0143704000077073,fr,fearitself
main,0.0143704000077073,fr,fearitself
donn,0.0143704000077073,fr,fearitself
chance,0.0143704000077073,fr,fearitself
demande,0.0143704000077073,fr,fearitself
fille,0.0143704000077073,fr,fearitself
tte,0.0143704000077073,fr,fearitself
