mot,poids_tfidf,langue,serie
blackout,0.1574644538635854,en,flashforward
demetri,0.1474715025495281,en,flashforward
benford,0.0971359114574653,en,flashforward
happen,0.087244416919657,en,flashforward
gibbon,0.0758858897771724,en,flashforward
flash,0.0752545748583421,en,flashforward
talk,0.072188964442371,en,flashforward
wedeck,0.0713651594381378,en,flashforward
forward,0.0649171920681555,en,flashforward
work,0.0640821823392171,en,flashforward
janis,0.0622297843317524,en,flashforward
mosaic,0.0614488474753942,en,flashforward
mark,0.060834349799718,en,flashforward
frost,0.059685953690997,en,flashforward
simcoe,0.0594709661984481,en,flashforward
agent,0.0571377327628153,en,flashforward
future,0.0554886317682905,en,flashforward
help,0.0532731395350118,en,flashforward
kill,0.0467105064038871,en,flashforward
sure,0.0463244691608798,en,flashforward
lloyd,0.0440605318542863,en,flashforward
hellinger,0.043612041878862,en,flashforward
vision,0.0404716496135676,en,flashforward
olivia,0.0401298934793506,en,flashforward
dyson,0.0397280785919562,en,flashforward
little,0.0393757987867478,en,flashforward
cause,0.0389897615437405,en,flashforward
tracy,0.0355455868702891,en,flashforward
die,0.0355154263566745,en,flashforward
run,0.0351293891136672,en,flashforward
life,0.0343573146276525,en,flashforward
believe,0.0343573146276525,en,flashforward
somalia,0.0340140650792956,en,flashforward
geyer,0.0337002141791206,en,flashforward
start,0.0328131656556232,en,flashforward
love,0.0316550539266012,en,flashforward
world,0.0316550539266012,en,flashforward
hear,0.0304969421975792,en,flashforward
remember,0.0304969421975792,en,flashforward
bad,0.0304969421975792,en,flashforward
phone,0.030293022876303,en,flashforward
nlap,0.029735483099224,en,flashforward
suppose,0.0297248677115645,en,flashforward
office,0.0290275201002827,en,flashforward
change,0.0289527932255499,en,flashforward
friend,0.0281807187395352,en,flashforward
home,0.0277946814965279,en,flashforward
gun,0.0275418026295164,en,flashforward
dead,0.0274086442535205,en,flashforward
stop,0.0274086442535205,en,flashforward
hell,0.0274086442535205,en,flashforward
big,0.0272396572297293,en,flashforward
today,0.0270226070105132,en,flashforward
live,0.0270226070105132,en,flashforward
hand,0.0262505325244985,en,flashforward
raynaud,0.0255617727046993,en,flashforward
alda,0.0255617727046993,en,flashforward
question,0.0254784580384839,en,flashforward
number,0.0252939674276058,en,flashforward
baby,0.0251048822488932,en,flashforward
win,0.0247063835524692,en,flashforward
stay,0.0247063835524692,en,flashforward
second,0.0247063835524692,en,flashforward
charlie,0.0240712795724111,en,flashforward
vreede,0.0237883864793792,en,flashforward
bring,0.0235482718234472,en,flashforward
away,0.0235482718234472,en,flashforward
place,0.0227761973374325,en,flashforward
head,0.0227761973374325,en,flashforward
crow,0.0225632230849075,en,flashforward
clemente,0.0222922038737658,en,flashforward
fine,0.0221808637442082,en,flashforward
month,0.0220041228514179,en,flashforward
qed,0.0219100908897423,en,flashforward
investigation,0.021898703341603,en,flashforward
noh,0.021806020939431,en,flashforward
end,0.0216180856084105,en,flashforward
house,0.0212320483654032,en,flashforward
idea,0.0212320483654032,en,flashforward
understand,0.0212320483654032,en,flashforward
tachyon,0.0211723614962912,en,flashforward
dem,0.0211723614962912,en,flashforward
lose,0.0208460111223959,en,flashforward
night,0.0208460111223959,en,flashforward
marcie,0.0201564830099529,en,flashforward
play,0.0200739366363812,en,flashforward
nicole,0.0199312110910669,en,flashforward
keiko,0.0198236553994827,en,flashforward
care,0.0193018621503666,en,flashforward
hope,0.0193018621503666,en,flashforward
lead,0.0192209254718088,en,flashforward
send,0.0190677600608105,en,flashforward
livy,0.0188626340470326,en,flashforward
tonight,0.0188286616866699,en,flashforward
death,0.0186786221003858,en,flashforward
meet,0.0185297876643519,en,flashforward
person,0.0185297876643519,en,flashforward
hospital,0.0184826184483956,en,flashforward
lie,0.0181437504213446,en,flashforward
save,0.0181437504213446,en,flashforward
hour,0.0181437504213446,en,flashforward
sit,0.0181437504213446,en,flashforward
team,0.0180808223951696,en,flashforward
son,0.0179003461795364,en,flashforward
matter,0.0177577131783372,en,flashforward
murder,0.0176790263419436,en,flashforward
alive,0.0175112082191117,en,flashforward
black,0.0174161398980765,en,flashforward
long,0.0173716759353299,en,flashforward
point,0.0173716759353299,en,flashforward
exactly,0.0173716759353299,en,flashforward
experiment,0.0172792066242842,en,flashforward
consciousness,0.017237889594993,en,flashforward
bureau,0.0172143749349113,en,flashforward
forwards,0.0170123253276817,en,flashforward
shoot,0.0169856386923226,en,flashforward
suspect,0.0165749378483435,en,flashforward
great,0.0162135642063079,en,flashforward
wrong,0.0162135642063079,en,flashforward
