mot,poids_tfidf,langue,serie
wordy,0.1609360168397184,en,flashpoint
jule,0.135902301285807,en,flashpoint
talk,0.082097188120684,en,flashpoint
spike,0.0731335208020772,en,flashpoint
parker,0.0731101713235164,en,flashpoint
copy,0.0706539579911656,en,flashpoint
boss,0.0681438051228982,en,flashpoint
sru,0.0616413398199364,en,flashpoint
team,0.0559989251440026,en,flashpoint
stay,0.0544456547849967,en,flashpoint
help,0.0535882428986188,en,flashpoint
kid,0.0533531243316275,en,flashpoint
work,0.0503729483247017,en,flashpoint
gun,0.0488026591144188,en,flashpoint
sarge,0.0428038744207266,en,flashpoint
hear,0.0415844764893282,en,flashpoint
happen,0.0409414175745448,en,flashpoint
subject,0.0390143067695325,en,flashpoint
kill,0.0353682403130884,en,flashpoint
little,0.0351538873414939,en,flashpoint
hand,0.0349395343698994,en,flashpoint
police,0.0347365956899034,en,flashpoint
haley,0.0321304496437286,en,flashpoint
phone,0.0316493912566687,en,flashpoint
home,0.030223768994821,en,flashpoint
shoot,0.030223768994821,en,flashpoint
hostage,0.0296159546312034,en,flashpoint
flashpoint,0.029516961648113,en,flashpoint
cop,0.0292570135927457,en,flashpoint
sure,0.0289376511652541,en,flashpoint
stop,0.0289376511652541,en,flashpoint
door,0.0282945922504707,en,flashpoint
away,0.0278658863072818,en,flashpoint
eddie,0.0271661727038322,en,flashpoint
cosgrove,0.0268226694732864,en,flashpoint
clear,0.0250792976765536,en,flashpoint
place,0.0250792976765536,en,flashpoint
today,0.0250792976765536,en,flashpoint
friend,0.0244362387617701,en,flashpoint
lose,0.0240075328185812,en,flashpoint
fire,0.0240075328185812,en,flashpoint
life,0.0237931798469867,en,flashpoint
sergeant,0.0236146197271474,en,flashpoint
zoe,0.0234903507162833,en,flashpoint
long,0.0233644739037978,en,flashpoint
floor,0.023119991986877,en,flashpoint
gedde,0.0231155024324761,en,flashpoint
lewis,0.0229673884791164,en,flashpoint
start,0.0229357679606088,en,flashpoint
room,0.0227214149890143,en,flashpoint
strategic,0.0225402703779534,en,flashpoint
head,0.0225070620174199,en,flashpoint
love,0.0220783560742309,en,flashpoint
brother,0.0218640031026364,en,flashpoint
buddy,0.0217107802782724,en,flashpoint
malone,0.021402808356556,en,flashpoint
fine,0.0211753197636818,en,flashpoint
