mot,poids_tfidf,langue,serie
spike,0.1847686797322816,fr,flashpoint
wordy,0.1766907152447168,fr,flashpoint
taire,0.1610368455098036,fr,flashpoint
ici,0.1030635811262743,fr,flashpoint
tre,0.088570265030392,fr,flashpoint
sru,0.0875197000744859,fr,flashpoint
arme,0.0750431700075685,fr,flashpoint
jule,0.0711037952900205,fr,flashpoint
besoin,0.0692458435692155,fr,flashpoint
sortir,0.0686016961871763,fr,flashpoint
heure,0.0682796224961567,fr,flashpoint
sergent,0.0642128031966836,fr,flashpoint
jules,0.060324793110627,fr,flashpoint
greg,0.0512416376202894,fr,flashpoint
plat,0.0496762831791468,fr,flashpoint
sam,0.0496736151029637,fr,flashpoint
trs,0.0473448325798822,fr,flashpoint
aider,0.0460565378158038,fr,flashpoint
accord,0.0447682430517254,fr,flashpoint
otage,0.0433176762196944,fr,flashpoint
mme,0.0431578745966273,fr,flashpoint
enfant,0.0425137272145881,fr,flashpoint
lew,0.0424263254853071,fr,flashpoint
tasha,0.0421689153906812,fr,flashpoint
parker,0.0419430297279492,fr,flashpoint
gars,0.0418957794553194,fr,flashpoint
chef,0.0415684686783247,fr,flashpoint
dsol,0.0409033587594901,fr,flashpoint
police,0.0408946356180135,fr,flashpoint
eddie,0.0402426366308702,fr,flashpoint
cosgrove,0.0402219104089596,fr,flashpoint
minute,0.0399358354969612,fr,flashpoint
flashpoint,0.0379802472021353,fr,flashpoint
main,0.037682621849294,fr,flashpoint
sierra,0.0360273069966244,fr,flashpoint
rentrer,0.0351060323211371,fr,flashpoint
fille,0.0351060323211371,fr,flashpoint
malone,0.0350828745005345,fr,flashpoint
finir,0.0344618849390979,fr,flashpoint
attendre,0.0341398112480783,fr,flashpoint
appeler,0.0341398112480783,fr,flashpoint
apr,0.0341398112480783,fr,flashpoint
flic,0.0333246631318658,fr,flashpoint
quelqu,0.0331735901750195,fr,flashpoint
quipe,0.0324525658479021,fr,flashpoint
misha,0.0324370245233545,fr,flashpoint
ami,0.0322073691019607,fr,flashpoint
porte,0.0322073691019607,fr,flashpoint
gedde,0.031935234487736,fr,flashpoint
aimer,0.0318852954109411,fr,flashpoint
patron,0.0311707586149487,fr,flashpoint
winnie,0.0305898521441528,fr,flashpoint
nom,0.0299528532648234,fr,flashpoint
appel,0.0296307795738038,fr,flashpoint
stratgiqu,0.0295364982056833,fr,flashpoint
mec,0.0295090068541702,fr,flashpoint
maison,0.0289866321917646,fr,flashpoint
perdre,0.028664558500745,fr,flashpoint
problme,0.0283424848097254,fr,flashpoint
regarder,0.0283424848097254,fr,flashpoint
scurit,0.0281487268215427,fr,flashpoint
tuer,0.0280204111187058,fr,flashpoint
fait,0.0280204111187058,fr,flashpoint
sujet,0.027821416044548,fr,flashpoint
pass,0.0273762637366666,fr,flashpoint
ouai,0.0270568515469021,fr,flashpoint
pre,0.0267321163546274,fr,flashpoint
terre,0.0266238903313074,fr,flashpoint
cheznik,0.0264210415319202,fr,flashpoint
frre,0.0264100426636078,fr,flashpoint
coup,0.0262992087419012,fr,flashpoint
