mot,poids_tfidf,langue,serie
bret,0.621241330560472,en,flightoftheconchords
jemaine,0.4473992330580433,en,flightoftheconchords
murray,0.1751319844998333,en,flightoftheconchords
band,0.0586931091037609,en,flightoftheconchords
arf,0.0486639042272369,en,flightoftheconchords
love,0.0404945234218802,en,flightoftheconchords
like,0.0365677817567282,en,flightoftheconchords
conchord,0.0340275473030061,en,flightoftheconchords
gig,0.0337202252148741,en,flightoftheconchords
bit,0.0321501973834322,en,flightoftheconchords
little,0.0316593546752882,en,flightoftheconchords
great,0.0311685119671442,en,flightoftheconchords
actually,0.0294505624886401,en,flightoftheconchords
friend,0.0292051411345681,en,flightoftheconchords
talk,0.0292051411345681,en,flightoftheconchords
cool,0.0284063128521277,en,flightoftheconchords
leggy,0.0276255513702463,en,flightoftheconchords
night,0.0267509275938481,en,flightoftheconchords
bowie,0.0259586729392972,en,flightoftheconchords
work,0.0250329781153441,en,flightoftheconchords
ucker,0.0243761644114823,en,flightoftheconchords
australian,0.0237729091010088,en,flightoftheconchords
new,0.0233150286368401,en,flightoftheconchords
dick,0.0232391906670434,en,flightoftheconchords
party,0.0226244969618716,en,flightoftheconchords
greg,0.0212791133367365,en,flightoftheconchords
big,0.021028372744717,en,flightoftheconchords
keitha,0.0201644724758554,en,flightoftheconchords
nice,0.0201245510339041,en,flightoftheconchords
girl,0.0201245510339041,en,flightoftheconchords
rapper,0.0199102618550086,en,flightoftheconchords
hear,0.0198791296798321,en,flightoftheconchords
boom,0.0198343419542941,en,flightoftheconchords
doug,0.0194855305219166,en,flightoftheconchords
iook,0.019111601446393,en,flightoftheconchords
ucke,0.0189041929461145,en,flightoftheconchords
doggy,0.0188850759605337,en,flightoftheconchords
meet,0.0179157588472561,en,flightoftheconchords
sure,0.0176703374931841,en,flightoftheconchords
zealandtown,0.0176439134163735,en,flightoftheconchords
gel,0.0175156040690579,en,flightoftheconchords
todd,0.0174774316167513,en,flightoftheconchords
zealander,0.0174115460082016,en,flightoftheconchords
pretty,0.0173174834368258,en,flightoftheconchords
meeting,0.0171144761972865,en,flightoftheconchords
dog,0.0169780170678812,en,flightoftheconchords
bounce,0.0168132328648571,en,flightoftheconchords
rock,0.0167458223334861,en,flightoftheconchords
song,0.0166076635922128,en,flightoftheconchords
sugarlump,0.0163836338866325,en,flightoftheconchords
happen,0.0161978093687521,en,flightoftheconchords
play,0.0159523880146801,en,flightoftheconchords
probably,0.0154615453065361,en,flightoftheconchords
pay,0.0141013793699867,en,flightoftheconchords
stay,0.013989017182104,en,flightoftheconchords
wear,0.0138260814766993,en,flightoftheconchords
money,0.013743595828032,en,flightoftheconchords
weird,0.0136471655916469,en,flightoftheconchords
gang,0.0135609569539452,en,flightoftheconchords
cause,0.01349817447396,en,flightoftheconchords
minister,0.013487885414418,en,flightoftheconchords
coco,0.0133060976429751,en,flightoftheconchords
shit,0.0132819097361447,en,flightoftheconchords
sally,0.0131683626539411,en,flightoftheconchords
break,0.0131118088878824,en,flightoftheconchords
prostitute,0.013110845811837,en,flightoftheconchords
sound,0.013007331765816,en,flightoftheconchords
shi,0.0128785359853266,en,flightoftheconchords
bad,0.012761910411744,en,flightoftheconchords
win,0.012761910411744,en,flightoftheconchords
dogggz,0.0126027952974096,en,flightoftheconchords
eye,0.012516489057672,en,flightoftheconchords
bring,0.012516489057672,en,flightoftheconchords
fan,0.0124965941277987,en,flightoftheconchords
hewitt,0.0123081524194753,en,flightoftheconchords
item,0.0122994725861363,en,flightoftheconchords
idea,0.0122710677036,en,flightoftheconchords
girlfriend,0.0121585828352989,en,flightoftheconchords
stop,0.012025646349528,en,flightoftheconchords
crazy,0.0119702327436277,en,flightoftheconchords
music,0.0118692048582211,en,flightoftheconchords
home,0.011780224995456,en,flightoftheconchords
dance,0.0116054447502606,en,flightoftheconchords
start,0.011534803641384,en,flightoftheconchords
turn,0.011534803641384,en,flightoftheconchords
mermaid,0.0114455005821416,en,flightoftheconchords
present,0.0113800605441998,en,flightoftheconchords
tonight,0.011222093197151,en,flightoftheconchords
lady,0.0111326679236737,en,flightoftheconchords
feeling,0.0110608651813594,en,flightoftheconchords
end,0.01104396093324,en,flightoftheconchords
flippin,0.0109446732796979,en,flightoftheconchords
phone,0.0108963393122223,en,flightoftheconchords
write,0.0108963393122223,en,flightoftheconchords
check,0.010798539579168,en,flightoftheconchords
hand,0.010798539579168,en,flightoftheconchords
prime,0.0106699362411593,en,flightoftheconchords
guitar,0.0103602536247001,en,flightoftheconchords
real,0.010307696871024,en,flightoftheconchords
threesome,0.0099761943158348,en,flightoftheconchords
date,0.0099751939530231,en,flightoftheconchords
help,0.00981685416288,en,flightoftheconchords
tape,0.0096878037621241,en,flightoftheconchords
dead,0.009571432808808,en,flightoftheconchords
long,0.009571432808808,en,flightoftheconchords
place,0.009571432808808,en,flightoftheconchords
bongo,0.0095181800777423,en,flightoftheconchords
yup,0.0094234204272578,en,flightoftheconchords
fine,0.0094009195799911,en,flightoftheconchords
hot,0.009301182084325,en,flightoftheconchords
freaky,0.009164839744927,en,flightoftheconchords
news,0.009153526959465,en,flightoftheconchords
suppose,0.009080590100664,en,flightoftheconchords
jazzercise,0.008915909528303,en,flightoftheconchords
drink,0.0089061343389389,en,flightoftheconchords
watch,0.008835168746592,en,flightoftheconchords
femident,0.0088219567081867,en,flightoftheconchords
photo,0.0087863478501158,en,flightoftheconchords
cup,0.0087742043876033,en,flightoftheconchords
deal,0.0086587417184129,en,flightoftheconchords
hurt,0.0086587417184129,en,flightoftheconchords
card,0.0086345646407038,en,flightoftheconchords
guess,0.00858974739252,en,flightoftheconchords
mother,0.00858974739252,en,flightoftheconchords
inner,0.0085187937384945,en,flightoftheconchords
roll,0.0085083194061608,en,flightoftheconchords
foo,0.0082054349463168,en,flightoftheconchords
epileptic,0.0082002204089864,en,flightoftheconchords
sell,0.0081639564773607,en,flightoftheconchords
business,0.0081639564773607,en,flightoftheconchords
away,0.008098904684376,en,flightoftheconchords
run,0.008098904684376,en,flightoftheconchords
buy,0.008098904684376,en,flightoftheconchords
walk,0.008098904684376,en,flightoftheconchords
demon,0.0079694258651539,en,flightoftheconchords
stuff,0.0079165638568346,en,flightoftheconchords
hang,0.0079165638568346,en,flightoftheconchords
tour,0.0079091420035618,en,flightoftheconchords
world,0.007853483330304,en,flightoftheconchords
sleep,0.007853483330304,en,flightoftheconchords
demetri,0.0076311648708172,en,flightoftheconchords
job,0.007608061976232,en,flightoftheconchords
rhymenocero,0.0075616771784458,en,flightoftheconchords
water,0.0074813954647673,en,flightoftheconchords
