mot,poids_tfidf,langue,serie
panther,0.2076676915600318,fr,fridaynightlights
saracen,0.1666018650004343,fr,fridaynightlights
riggin,0.1637638763022436,fr,fridaynightlights
dillon,0.1370033268614331,fr,fridaynightlights
coach,0.1160693399325143,fr,fridaynightlights
taire,0.111194514531815,fr,fridaynightlights
lyla,0.0993380368709722,fr,fridaynightlights
smash,0.0964660352652985,fr,fridaynightlights
tre,0.0893012940540483,fr,fridaynightlights
ouai,0.0851137000438042,fr,fridaynightlights
ici,0.0778937739103698,fr,fridaynightlights
garrity,0.0622038812194984,fr,fridaynightlights
accord,0.0611857898615479,fr,fridaynightlights
landry,0.0607303520049971,fr,fridaynightlights
match,0.0607206864505582,fr,fridaynightlights
heure,0.0598030601471626,fr,fridaynightlights
mme,0.0569223732421933,fr,fridaynightlights
taylor,0.049681530028091,fr,fridaynightlights
buddy,0.0487131573561714,fr,fridaynightlights
tyra,0.0474242285289576,fr,fridaynightlights
besoin,0.0466671278605026,fr,fridaynightlights
quipe,0.0451115176444334,fr,fridaynightlights
aimer,0.0428646211459431,fr,fridaynightlights
salut,0.0421732562887505,fr,fridaynightlights
jason,0.0413507708790344,fr,fridaynightlights
voil,0.040905754050564,fr,fridaynightlights
soir,0.0404238530597484,fr,fridaynightlights
mec,0.040309925717848,fr,fridaynightlights
tim,0.0398338338267525,fr,fridaynightlights
fille,0.0391773419075824,fr,fridaynightlights
trs,0.0390621144313837,fr,fridaynightlights
veux,0.0388316594789861,fr,fridaynightlights
dsol,0.038370749574191,fr,fridaynightlights
tyrer,0.0373607762853328,fr,fridaynightlights
grand,0.0372184748122033,fr,fridaynightlights
julie,0.0367205975765889,fr,fridaynightlights
gars,0.0358329473040344,fr,fridaynightlights
touchdown,0.0351328595996453,fr,fridaynightlights
petit,0.0344530153834328,fr,fridaynightlights
matt,0.0334589896107552,fr,fridaynightlights
regarder,0.0322636933356561,fr,fridaynightlights
jouer,0.0319441367569851,fr,fridaynightlights
vien,0.0314571010022647,fr,fridaynightlights
sai,0.0314571010022647,fr,fridaynightlights
football,0.0310304579006933,fr,fridaynightlights
tami,0.0306550293042283,fr,fridaynightlights
chrie,0.0296134613830844,fr,fridaynightlights
mal,0.029267778954488,fr,fridaynightlights
maison,0.027769821763904,fr,fridaynightlights
pre,0.0274241393353077,fr,fridaynightlights
tmu,0.0272033017113361,fr,fridaynightlights
mccoy,0.0269028783608402,fr,fridaynightlights
problme,0.0268480019543138,fr,fridaynightlights
sortir,0.0263870920495187,fr,fridaynightlights
finir,0.02627186457332,fr,fridaynightlights
chri,0.0259418659708201,fr,fridaynightlights
super,0.024672348556387,fr,fridaynightlights
aime,0.0241977700017421,fr,fridaynightlights
hut,0.0239700339968949,fr,fridaynightlights
rentrer,0.0238520875731458,fr,fridaynightlights
laisse,0.0236216326207482,fr,fridaynightlights
yard,0.0235617167146069,fr,fridaynightlights
prt,0.0234644204542217,fr,fridaynightlights
terrain,0.022734741408628,fr,fridaynightlights
appeler,0.0223541303825617,fr,fridaynightlights
mieux,0.0221236754301642,fr,fridaynightlights
dsole,0.0216058524974517,fr,fridaynightlights
voodoo,0.0215523777410127,fr,fridaynightlights
apr,0.0215475380491703,fr,fridaynightlights
semaine,0.0214323105729715,fr,fridaynightlights
arrte,0.0213170830967728,fr,fridaynightlights
voiture,0.0212858635534056,fr,fridaynightlights
tard,0.0210250500109611,fr,fridaynightlights
dieu,0.0207409457157789,fr,fridaynightlights
street,0.0204439954700779,fr,fridaynightlights
aider,0.0202800358109838,fr,fridaynightlights
perdre,0.0201648083347851,fr,fridaynightlights
tatom,0.0200867496809034,fr,fridaynightlights
boulot,0.0200242940816663,fr,fridaynightlights
prend,0.0199343533823875,fr,fridaynightlights
pass,0.0199343533823875,fr,fridaynightlights
cafferty,0.0199257690477484,fr,fridaynightlights
arnett,0.0198934003597226,fr,fridaynightlights
air,0.0198191259061887,fr,fridaynightlights
vendredi,0.0197420046778872,fr,fridaynightlights
attendre,0.01970389842999,fr,fridaynightlights
graci,0.0194852629424685,fr,fridaynightlights
meilleur,0.0194734434775924,fr,fridaynightlights
ami,0.0193582160013937,fr,fridaynightlights
cole,0.0191599281211549,fr,fridaynightlights
papa,0.0191277610489961,fr,fridaynightlights
playoff,0.0189289408846744,fr,fridaynightlights
famille,0.0187820786203998,fr,fridaynightlights
quelqu,0.0187820786203998,fr,fridaynightlights
coute,0.0187820786203998,fr,fridaynightlights
bonjour,0.018666851144201,fr,fridaynightlights
raison,0.0185516236680022,fr,fridaynightlights
gillessilb,0.0184982451637085,fr,fridaynightlights
revenir,0.0183211687156047,fr,fridaynightlights
joueur,0.0183184106374939,fr,fridaynightlights
ballon,0.0179428200702301,fr,fridaynightlights
minute,0.0178887165839116,fr,fridaynightlights
snap,0.0178821004274665,fr,fridaynightlights
attend,0.0174240745947191,fr,fridaynightlights
question,0.0173993489060145,fr,fridaynightlights
texa,0.0172299371036297,fr,fridaynightlights
demain,0.0170755931028247,fr,fridaynightlights
essayer,0.0168232115250207,fr,fridaynightlights
billy,0.0168204145026237,fr,fridaynightlights
place,0.0164775290964244,fr,fridaynightlights
tai,0.0162624696217378,fr,fridaynightlights
plat,0.0162624696217378,fr,fridaynightlights
chance,0.0162470741440268,fr,fridaynightlights
mead,0.0162134114628914,fr,fridaynightlights
coup,0.0161463091244397,fr,fridaynightlights
gagner,0.016131846667828,fr,fridaynightlights
argent,0.0160166191916293,fr,fridaynightlights
comprend,0.0159013917154305,fr,fridaynightlights
important,0.0159013917154305,fr,fridaynightlights
zeb,0.0158384318071846,fr,fridaynightlights
balle,0.0158277667087801,fr,fridaynightlights
plaquage,0.0157741174038953,fr,fridaynightlights
second,0.0156709367630329,fr,fridaynightlights
mre,0.0155744509524071,fr,fridaynightlights
pense,0.0155557092868342,fr,fridaynightlights
foot,0.0155407841122163,fr,fridaynightlights
william,0.0153442115112653,fr,fridaynightlights
herc,0.0152338489583482,fr,fridaynightlights
serie,0.0151260403599945,fr,fridaynightlights
point,0.0150947993820391,fr,fridaynightlights
doi,0.0149847041514584,fr,fridaynightlights
nuit,0.0149795719058403,fr,fridaynightlights
tte,0.0148643444296415,fr,fridaynightlights
westerby,0.0147696688830172,fr,fridaynightlights
lyce,0.0145996355456718,fr,fridaynightlights
vrai,0.0139425246200514,fr,fridaynightlights
austin,0.013916750018571,fr,fridaynightlights
allez,0.0138272971438526,fr,fridaynightlights
entranement,0.0136849862920123,fr,fridaynightlights
eyer,0.0135857368310301,fr,fridaynightlights
commencer,0.0134816147152563,fr,fridaynightlights
nouveau,0.0133663872390575,fr,fridaynightlights
anne,0.0133663872390575,fr,fridaynightlights
prochain,0.0132422966919865,fr,fridaynightlights
cours,0.0131261361946884,fr,fridaynightlights
main,0.0130207048104612,fr,fridaynightlights
kaster,0.0129973086170551,fr,fridaynightlights
porte,0.0129054773342624,fr,fridaynightlights
fac,0.0129016560089377,fr,fridaynightlights
fait,0.0127902498580636,fr,fridaynightlights
coutez,0.012764023712875,fr,fridaynightlights
sentir,0.0126750223818649,fr,fridaynightlights
manger,0.012529821442914,fr,fridaynightlights
rally,0.0125242713864761,fr,fridaynightlights
jeune,0.0124291732108996,fr,fridaynightlights
demande,0.0123293399532686,fr,fridaynightlights
vince,0.0121588456790107,fr,fridaynightlights
coeur,0.012094240655344,fr,fridaynightlights
mindy,0.0119295389944896,fr,fridaynightlights
plutt,0.011848370724409,fr,fridaynightlights
veu,0.0117532025722747,fr,fridaynightlights
donne,0.0116379750960759,fr,fridaynightlights
soire,0.0115537425668492,fr,fridaynightlights
vite,0.0114075201436784,fr,fridaynightlights
jeu,0.0114075201436784,fr,fridaynightlights
garon,0.0114075201436784,fr,fridaynightlights
content,0.0114075201436784,fr,fridaynightlights
saison,0.0113548042166913,fr,fridaynightlights
lose,0.011349388024024,fr,fridaynightlights
gros,0.0112922926674796,fr,fridaynightlights
dur,0.0112675682379183,fr,fridaynightlights
lion,0.0112556012874447,fr,fridaynightlights
east,0.0112450918389829,fr,fridaynightlights
travail,0.0111770651912808,fr,fridaynightlights
clear,0.0111608510046421,fr,fridaynightlights
darksh,0.0111597123969176,fr,fridaynightlights
gnial,0.0111572115826186,fr,fridaynightlights
suite,0.0111514077406202,fr,fridaynightlights
joue,0.0111514077406202,fr,fridaynightlights
fils,0.0110618377150821,fr,fridaynightlights
ide,0.0110618377150821,fr,fridaynightlights
ville,0.0110075066881674,fr,fridaynightlights
aide,0.0109466102388833,fr,fridaynightlights
continuer,0.0109190867460239,fr,fridaynightlights
dfense,0.0107801527466072,fr,fridaynightlights
devenir,0.0107161552864857,fr,fridaynightlights
aujourd,0.0107161552864857,fr,fridaynightlights
parent,0.0105915130607626,fr,fridaynightlights
friday,0.0105182831947404,fr,fridaynightlights
propos,0.0104857003340882,fr,fridaynightlights
affaire,0.0104857003340882,fr,fridaynightlights
voi,0.0104220010132649,fr,fridaynightlights
partie,0.0103704728578894,fr,fridaynightlights
occuper,0.0103704728578894,fr,fridaynightlights
wade,0.0103331939998956,fr,fridaynightlights
ligne,0.0102703077722759,fr,fridaynightlights
tat,0.0101400179054919,fr,fridaynightlights
compte,0.0101400179054919,fr,fridaynightlights
parle,0.0101059632649371,fr,fridaynightlights
zlatan,0.0100433748404517,fr,fridaynightlights
eric,0.0100272703847511,fr,fridaynightlights
marche,0.0100247904292931,fr,fridaynightlights
journe,0.0099898027676389,fr,fridaynightlights
down,0.0099650358679623,fr,fridaynightlights
oeil,0.0099095629530943,fr,fridaynightlights
appel,0.0099095629530943,fr,fridaynightlights
gentil,0.0097574817730427,fr,fridaynightlights
rig,0.0096373853072735,fr,fridaynightlights
gosse,0.0096319226757222,fr,fridaynightlights
ferme,0.0096022930684013,fr,fridaynightlights
bel,0.0094851919334208,fr,fridaynightlights
arrter,0.0094486530482993,fr,fridaynightlights
srieux,0.0094090002811483,fr,fridaynightlights
matters,0.0093751148438994,fr,fridaynightlights
parl,0.0093334255721005,fr,fridaynightlights
quarterback,0.0093239787024363,fr,fridaynightlights
revoir,0.0092928397838502,fr,fridaynightlights
instant,0.0092928397838502,fr,fridaynightlights
parfaire,0.0092509896634598,fr,fridaynightlights
dernire,0.0092181980959017,fr,fridaynightlights
gamin,0.0092078621406612,fr,fridaynightlights
payer,0.0091338885284793,fr,fridaynightlights
changer,0.0090605187892539,fr,fridaynightlights
team,0.0090473260947757,fr,fridaynightlights
idiot,0.0090444381193029,fr,fridaynightlights
end,0.0090322306269135,fr,fridaynightlights
dcision,0.0089977512763053,fr,fridaynightlights
cool,0.0089939636341825,fr,fridaynightlights
travailler,0.0089877431435042,fr,fridaynightlights
stupide,0.0089254323545752,fr,fridaynightlights
net,0.0089179409905787,fr,fridaynightlights
luke,0.0088884689920186,fr,fridaynightlights
receiver,0.0088618013298103,fr,fridaynightlights
sors,0.0088064265898475,fr,fridaynightlights
soeur,0.0087784611728101,fr,fridaynightlights
tomber,0.0087572881911066,fr,fridaynightlights
erreur,0.0087120372973595,fr,fridaynightlights
pote,0.0086874208251199,fr,fridaynightlights
victoire,0.00861150983695,fr,fridaynightlights
faon,0.0085268332387091,fr,fridaynightlights
devrai,0.0084312817185963,fr,fridaynightlights
droite,0.0084126919572763,fr,fridaynightlights
neuf,0.0084126919572763,fr,fridaynightlights
assurer,0.0084116057625103,fr,fridaynightlights
nom,0.0084116057625103,fr,fridaynightlights
mcgregor,0.0083495142576507,fr,fridaynightlights
top,0.0083243894003904,fr,fridaynightlights
pler,0.0083192899654664,fr,fridaynightlights
mauvais,0.0082963782863115,fr,fridaynightlights
dner,0.0082240836456339,fr,fridaynightlights
right,0.0082203453038539,fr,fridaynightlights
cause,0.0081811508101128,fr,fridaynightlights
howard,0.0081112702086679,fr,fridaynightlights
attaque,0.0081031412390805,fr,fridaynightlights
inquite,0.0080923920014815,fr,fridaynightlights
reye,0.0080770929551108,fr,fridaynightlights
cheerleader,0.008070863508252,fr,fridaynightlights
passe,0.0080596088453033,fr,fridaynightlights
fte,0.0080379911401661,fr,fridaynightlights
full,0.008032878412596,fr,fridaynightlights
light,0.0080324802721463,fr,fridaynightlights
oublier,0.0080150743135708,fr,fridaynightlights
apprcie,0.0079821988325271,fr,fridaynightlights
gauche,0.0079821988325271,fr,fridaynightlights
chercher,0.0079506958577152,fr,fridaynightlights
loin,0.0079506958577152,fr,fridaynightlights
cul,0.0079180211231487,fr,fridaynightlights
adorer,0.0079093174797987,fr,fridaynightlights
waverly,0.0078870587019476,fr,fridaynightlights
lancer,0.0078077460688876,fr,fridaynightlights
ensembl,0.0077827533189745,fr,fridaynightlights
essaye,0.0077434657628883,fr,fridaynightlights
sympa,0.0077403140194202,fr,fridaynightlights
mets,0.0077353747072985,fr,fridaynightlights
foutre,0.0077353747072985,fr,fridaynightlights
dernier,0.0077202409053177,fr,fridaynightlights
pantherama,0.0076802278191689,fr,fridaynightlights
tailback,0.0076802278191689,fr,fridaynightlights
jamarcus,0.0076802278191689,fr,fridaynightlights
linebacker,0.007663757326057,fr,fridaynightlights
championnat,0.0076575501627841,fr,fridaynightlights
copine,0.007617338351089,fr,fridaynightlights
merde,0.0076115737737328,fr,fridaynightlights
agir,0.0076050134291189,fr,fridaynightlights
garder,0.0076050134291189,fr,fridaynightlights
souvenir,0.0076050134291189,fr,fridaynightlights
titrage,0.0075451944879015,fr,fridaynightlights
finale,0.007537757991138,fr,fridaynightlights
fiston,0.0074909296378911,fr,fridaynightlights
frre,0.0074897859529201,fr,fridaynightlights
garde,0.0074897859529201,fr,fridaynightlights
peur,0.0074897859529201,fr,fridaynightlights
fin,0.0074897859529201,fr,fridaynightlights
fort,0.0074897859529201,fr,fridaynightlights
grave,0.0074371194213032,fr,fridaynightlights
brian,0.0073781252760876,fr,fridaynightlights
boire,0.0073773715037717,fr,fridaynightlights
santiago,0.0073747370459707,fr,fridaynightlights
apprendre,0.0073745584767214,fr,fridaynightlights
vieux,0.0073745584767214,fr,fridaynightlights
hier,0.007318111329782,fr,fridaynightlights
plein,0.007318111329782,fr,fridaynightlights
asseoir,0.007318111329782,fr,fridaynightlights
couter,0.007318111329782,fr,fridaynightlights
sens,0.0072593310005226,fr,fridaynightlights
fou,0.0072019508324839,fr,fridaynightlights
mois,0.0071441035243238,fr,fridaynightlights
mot,0.0071441035243238,fr,fridaynightlights
vendre,0.0071431692338107,fr,fridaynightlights
ouazo,0.0071429446429709,fr,fridaynightlights
occupe,0.0071403458836602,fr,fridaynightlights
can,0.007114241775683,fr,fridaynightlights
silverio,0.0070894410638482,fr,fridaynightlights
aikmen,0.0070894410638482,fr,fridaynightlights
beau,0.0070857903351857,fr,fridaynightlights
acheter,0.0070782310040268,fr,fridaynightlights
ecoute,0.007044598807007,fr,fridaynightlights
enfant,0.007028876048125,fr,fridaynightlights
williams,0.0069812493969205,fr,fridaynightlights
