mot,poids_tfidf,langue,serie
uncut,0.7555647686043335,fr,friends
ros,0.1019304262541875,fr,friends
taire,0.0961565970705647,fr,friends
chandler,0.0874821437359746,fr,friends
phoebe,0.0785611774398442,fr,friends
tre,0.059883341446261,fr,friends
monicer,0.0421178553164843,fr,friends
mme,0.0374328865585845,fr,friends
monica,0.0371357892886924,fr,friends
petit,0.034928083740538,fr,friends
trs,0.0344642313668256,fr,friends
aimer,0.033350985669916,fr,friends
ici,0.0314955761750668,fr,friends
super,0.0305086483728752,fr,friends
friendsnet,0.0304413882220191,fr,friends
regarder,0.0292690847812476,fr,friends
geller,0.0289996884063281,fr,friends
mec,0.0284936749568158,fr,friends
accord,0.02634681482686,fr,friends
appeler,0.0262540443521175,fr,friends
heure,0.0259293476905189,fr,friends
voil,0.0252799543673216,fr,friends
veux,0.0240739381956696,fr,friends
tribbiani,0.0228310411665143,fr,friends
mal,0.0226359958371614,fr,friends
fille,0.0224504548876764,fr,friends
ami,0.0216619058523655,fr,friends
grand,0.0216155206149942,fr,friends
soir,0.0208085686335131,fr,friends
sortir,0.0199920373070011,fr,friends
dieu,0.0196209554080313,fr,friends
quelqu,0.0191107177969477,fr,friends
mugui,0.0190258676387619,fr,friends
mariage,0.0187440342546646,fr,friends
vrai,0.0184613244737504,fr,friends
salut,0.0180902425747806,fr,friends
mieux,0.0180438573374094,fr,friends
apr,0.016976996877871,fr,friends
coup,0.0168806590487601,fr,friends
air,0.0163276035546738,fr,friends
bing,0.0161726428669184,fr,friends
attend,0.0161324857945214,fr,friends
raison,0.0160492921304464,fr,friends
friend,0.0160460005553253,fr,friends
laisse,0.0151679726203929,fr,friends
attendre,0.0151215873830217,fr,friends
besoin,0.0150288169082792,fr,friends
question,0.0147505054840519,fr,friends
tai,0.014682900114434,fr,friends
dsol,0.0145185792971957,fr,friends
problme,0.0144721940598245,fr,friends
nsv,0.0142694007290714,fr,friends
pre,0.0140547269234834,fr,friends
finir,0.0136836450245135,fr,friends
rachel,0.0135445862238833,fr,friends
arrte,0.0132661778881724,fr,friends
adapt,0.0132389157807854,fr,friends
