mot,poids_tfidf,langue,serie
walter,0.2187247477426779,en,fringe
olivia,0.1251033299475041,en,fringe
agent,0.113094974795807,en,fringe
broyle,0.1071190447931521,en,fringe
work,0.0976518249163296,en,fringe
happen,0.0726657945973626,en,fringe
help,0.0600581646199022,en,fringe
sure,0.0598289349839484,en,fringe
astrid,0.0545925740573326,en,fringe
kill,0.0518058977255645,en,fringe
remember,0.0479089939143495,en,fringe
talk,0.0451582382829036,en,fringe
stop,0.0428659419233653,en,fringe
believe,0.0398859566559656,en,fringe
course,0.0390509732693964,en,fringe
understand,0.0389690381121503,en,fringe
hear,0.0389690381121503,en,fringe
son,0.0385888315739006,en,fringe
lab,0.0382660183676559,en,fringe
die,0.038052119568335,en,fringe
father,0.0351719722135677,en,fringe
cortexiphan,0.0341368384505649,en,fringe
farnsworth,0.0336098199784615,en,fringe
case,0.0330090675773508,en,fringe
car,0.0328717537438871,en,fringe
able,0.032779837941397,en,fringe
long,0.0325506083054432,en,fringe
fringe,0.0321558796212815,en,fringe
hour,0.0304875415818587,en,fringe
question,0.0304875415818587,en,fringe
head,0.0302583119459049,en,fringe
night,0.0297998526739973,en,fringe
brain,0.0291158710377216,en,fringe
body,0.0291149268162363,en,fringe
mind,0.0286537044942281,en,fringe
dynamic,0.0279673215050075,en,fringe
life,0.0279660155863666,en,fringe
start,0.0279660155863666,en,fringe
little,0.027507556314459,en,fringe
idea,0.027507556314459,en,fringe
rusk,0.0271046935310174,en,fringe
ago,0.0268198674065975,en,fringe
place,0.0268198674065975,en,fringe
victim,0.0261587509519435,en,fringe
wrong,0.0259029488627822,en,fringe
universe,0.0253325407440004,en,fringe
turn,0.0252152599549207,en,fringe
stay,0.0252152599549207,en,fringe
bad,0.0252152599549207,en,fringe
fine,0.024955651556774,en,fringe
live,0.0247568006830131,en,fringe
dcouvrir,0.0247197795676504,en,fringe
retrouvez,0.0247197795676504,en,fringe
friend,0.0242983414111054,en,fringe
world,0.0242983414111054,en,fringe
check,0.0240691117751516,en,fringe
meet,0.0240691117751516,en,fringe
massive,0.0239553729232811,en,fringe
possible,0.0238398821391978,en,fringe
home,0.023610652503244,en,fringe
love,0.0233814228672901,en,fringe
dead,0.0233814228672901,en,fringe
semaine,0.0231324466344629,en,fringe
drug,0.022972738847576,en,fringe
miss,0.0226937339594287,en,fringe
run,0.0226937339594287,en,fringe
suppose,0.0224645043234748,en,fringe
claire,0.0220449291543389,en,fringe
away,0.0220060450515672,en,fringe
kid,0.0218362364155822,en,fringe
second,0.0215475857796595,en,fringe
win,0.0215475857796595,en,fringe
actually,0.0215475857796595,en,fringe
hospital,0.0212342649737985,en,fringe
memory,0.0211644837995497,en,fringe
sound,0.0210891265077519,en,fringe
far,0.0210891265077519,en,fringe
cause,0.0210891265077519,en,fringe
experiment,0.0208058621468412,en,fringe
charlie,0.0206462688920413,en,fringe
open,0.0206306672358442,en,fringe
hell,0.0206306672358442,en,fringe
number,0.0205653054495638,en,fringe
send,0.0205653054495638,en,fringe
bring,0.0204014375998904,en,fringe
chaque,0.0203089187588475,en,fringe
old,0.0201722079639366,en,fringe
like,0.0201722079639366,en,fringe
phone,0.0196448479739294,en,fringe
record,0.0195658653373489,en,fringe
pos,0.0195240081862909,en,fringe
human,0.0194882540053045,en,fringe
clear,0.0194845190560751,en,fringe
device,0.019441252198884,en,fringe
lose,0.0192552894201213,en,fringe
speak,0.0190260597841675,en,fringe
information,0.0188670844324436,en,fringe
mother,0.018338370876306,en,fringe
blood,0.0182545969720847,en,fringe
exactly,0.0181091412403522,en,fringe
save,0.0178799116043983,en,fringe
answer,0.0178799116043983,en,fringe
suspect,0.0176655393271355,en,fringe
boy,0.0174214523324907,en,fringe
building,0.0174168690234527,en,fringe
test,0.0172779988204439,en,fringe
control,0.0172365956543311,en,fringe
hand,0.0171922226965369,en,fringe
job,0.0171922226965369,en,fringe
hope,0.016962993060583,en,fringe
girl,0.016962993060583,en,fringe
week,0.016962993060583,en,fringe
problem,0.016962993060583,en,fringe
team,0.0169396945296594,en,fringe
shifter,0.016882102061359,en,fringe
ready,0.0167337634246292,en,fringe
house,0.0162753041527216,en,fringe
child,0.0159438884946056,en,fringe
doctor,0.0158578893283526,en,fringe
guess,0.0158168448808139,en,fringe
care,0.0158168448808139,en,fringe
sleep,0.0155876152448601,en,fringe
close,0.0155876152448601,en,fringe
change,0.0155876152448601,en,fringe
file,0.0155205846964664,en,fringe
door,0.0153583856089063,en,fringe
person,0.0153583856089063,en,fringe
nayak,0.015302720684736,en,fringe
theory,0.0152641474626585,en,fringe
month,0.0151291559729524,en,fringe
figure,0.015019605103614,en,fringe
great,0.0148999263369986,en,fringe
virus,0.0148872831114303,en,fringe
news,0.0147885342558661,en,fringe
nous,0.0147097173883333,en,fringe
point,0.0146706967010448,en,fringe
wife,0.0146706967010448,en,fringe
appear,0.01466345032824,en,fringe
patient,0.0143616671893023,en,fringe
death,0.0143263925603702,en,fringe
timur,0.0141255883243717,en,fringe
new,0.0139830077931833,en,fringe
light,0.0139756180981063,en,fringe
tyler,0.0139026713849205,en,fringe
heart,0.0138642508648744,en,fringe
ability,0.0137920700970496,en,fringe
morning,0.0137537781572295,en,fringe
hurt,0.0136331800171265,en,fringe
sense,0.0136331800171265,en,fringe
liaison,0.0136292373200805,en,fringe
reason,0.0135245485212756,en,fringe
soon,0.0134021091693786,en,fringe
use,0.0132953188853218,en,fringe
suggest,0.0132543552595186,en,fringe
hick,0.0132156137789494,en,fringe
bell,0.0131851744915571,en,fringe
saison,0.0131601908170125,en,fringe
matter,0.013066089249368,en,fringe
room,0.013066089249368,en,fringe
important,0.013066089249368,en,fringe
safe,0.0130439102248992,en,fringe
pattern,0.0129645458912266,en,fringe
vandenkemp,0.0129484559640074,en,fringe
pull,0.0129399674738828,en,fringe
creature,0.0128782543345228,en,fringe
eye,0.0128368596134142,en,fringe
end,0.0128368596134142,en,fringe
drive,0.0128368596134142,en,fringe
dream,0.0128109832565975,en,fringe
technology,0.0128044535033465,en,fringe
explain,0.0126791050154993,en,fringe
stand,0.0126076299774603,en,fringe
sign,0.0126076299774603,en,fringe
fact,0.012477825778387,en,fringe
moment,0.012477825778387,en,fringe
event,0.0124065368386238,en,fringe
infect,0.012358433131904,en,fringe
energy,0.0123487329786038,en,fringe
