mot,poids_tfidf,langue,serie
taire,0.2157920294196287,fr,fringe
walter,0.1940064325190967,fr,fringe
bishop,0.1340835841748913,fr,fringe
tre,0.1236762879670167,fr,fringe
peter,0.10785539836552,fr,fringe
ici,0.1031491032422006,fr,fringe
agent,0.1029209316186627,fr,fringe
broyle,0.1026144937650073,fr,fringe
mme,0.0903196127891906,fr,fringe
dynamic,0.0646180744300515,fr,fringe
astrid,0.0609869852147459,fr,fringe
appeler,0.0543970395207625,fr,fringe
heure,0.0528575006664013,fr,fringe
besoin,0.0523443210482809,fr,fringe
bell,0.0483716063440137,fr,fringe
cortexiphan,0.0473605355838495,fr,fringe
souvenir,0.0461861656308361,fr,fringe
quelqu,0.0449032165855351,fr,fringe
mourir,0.0446466267764749,fr,fringe
aider,0.0433636777311739,fr,fringe
apr,0.0420807286858729,fr,fringe
sharp,0.0399744985358672,fr,fringe
pre,0.0395148305952709,fr,fringe
trouv,0.0395148305952709,fr,fringe
dunham,0.0387708446580309,fr,fringe
nom,0.0369489325046688,fr,fringe
farnsworth,0.0363459665464398,fr,fringe
jone,0.036065298352909,fr,fringe
william,0.0358770915872208,fr,fringe
attendre,0.0351528038412474,fr,fringe
trs,0.034639624223127,fr,fringe
regarder,0.0343830344140668,fr,fringe
sortir,0.0338698547959464,fr,fringe
mort,0.0338698547959464,fr,fringe
fait,0.0331000853687658,fr,fringe
dimension,0.0326998106847213,fr,fringe
fbi,0.0320049232486284,fr,fringe
mtamorphe,0.030678103527526,fr,fringe
aimer,0.0302775974691036,fr,fringe
fils,0.0300210076600434,fr,fringe
corps,0.0297467591290865,fr,fringe
voiture,0.0290861149014491,fr,fringe
travailler,0.0284814688056822,fr,fringe
petit,0.028224878996622,fr,fringe
semaine,0.028224878996622,fr,fringe
raison,0.0279682891875618,fr,fringe
question,0.0279682891875618,fr,fringe
affaire,0.0279682891875618,fr,fringe
accord,0.0279682891875618,fr,fringe
rusk,0.0278652410189372,fr,fringe
cerveau,0.0276439157469865,fr,fringe
victime,0.0272601386449431,fr,fringe
labo,0.0271660611248103,fr,fringe
retrouver,0.0269014169515217,fr,fringe
enfant,0.0266853401422608,fr,fringe
olivia,0.026564828405093,fr,fringe
arme,0.0259155707150802,fr,fringe
arriv,0.0259155707150802,fr,fringe
plat,0.0258667470687708,fr,fringe
pisode,0.0257368878658103,fr,fringe
pass,0.02565898090602,fr,fringe
sang,0.0254023910969598,fr,fringe
peur,0.0254023910969598,fr,fringe
essayer,0.0251458012878996,fr,fringe
travail,0.0246326216697792,fr,fringe
ami,0.0246326216697792,fr,fringe
minute,0.0245734097153323,fr,fringe
mal,0.0238628522425986,fr,fringe
hpital,0.0236204682409963,fr,fringe
appel,0.0236062624335384,fr,fringe
revenir,0.0236062624335384,fr,fringe
voil,0.0236062624335384,fr,fringe
fille,0.023093082815418,fr,fringe
tuer,0.023093082815418,fr,fringe
olivier,0.0226760079143104,fr,fringe
tai,0.0225040699498306,fr,fringe
dernire,0.0223233133882374,fr,fringe
nouveau,0.0223233133882374,fr,fringe
dsol,0.021810133770117,fr,fringe
dieu,0.021810133770117,fr,fringe
problme,0.0215535439610568,fr,fringe
dossier,0.0215452702973697,fr,fringe
clair,0.0214694000670798,fr,fringe
charlie,0.021391349951956,fr,fringe
massif,0.0213385134908343,fr,fringe
porte,0.0212969541519966,fr,fringe
chercher,0.0212969541519966,fr,fringe
peck,0.0210755866896362,fr,fringe
fringe,0.0210491269261553,fr,fringe
air,0.0207837745338762,fr,fringe
comprend,0.020527184724816,fr,fringe
aide,0.020527184724816,fr,fringe
donne,0.0202705949157558,fr,fringe
parl,0.0202705949157558,fr,fringe
humain,0.020241294551002,fr,fringe
lisa,0.0202259230002664,fr,fringe
mieux,0.0200140051066956,fr,fringe
massive,0.0198824844400158,fr,fringe
tte,0.0197574152976354,fr,fringe
perdre,0.0195008254885752,fr,fringe
rappeler,0.0195008254885752,fr,fringe
gillespie,0.0194482722410907,fr,fringe
scott,0.019365245425787,fr,fringe
nuit,0.0187310560613946,fr,fringe
grand,0.0187310560613946,fr,fringe
dessein,0.0187287250833248,fr,fringe
test,0.0185827956314814,fr,fringe
laboratoire,0.0185088712763152,fr,fringe
ide,0.0184744662523344,fr,fringe
ella,0.0183689644344355,fr,fringe
liaison,0.0182446905599562,fr,fringe
belly,0.0182034548827874,fr,fringe
exprience,0.0180202273537479,fr,fringe
nigme,0.0179832804243725,fr,fringe
bonjour,0.017961286634214,fr,fringe
main,0.017961286634214,fr,fringe
arrter,0.0177046968251538,fr,fringe
mois,0.0174481070160936,fr,fringe
maison,0.0174481070160936,fr,fringe
slater,0.017277505694347,fr,fringe
utiliser,0.0171915172070334,fr,fringe
rapport,0.0170720530653887,fr,fringe
anne,0.0169349273979732,fr,fringe
dcouvrir,0.0168304847144235,fr,fringe
dsole,0.016813385594701,fr,fringe
important,0.016678337588913,fr,fringe
finir,0.016678337588913,fr,fringe
endroit,0.0165547181240133,fr,fringe
taient,0.0164217477798528,fr,fringe
vite,0.0164217477798528,fr,fringe
jacksonvill,0.0162606410430798,fr,fringe
vol,0.0161672497663664,fr,fringe
docteur,0.0161652039496856,fr,fringe
point,0.0161651579707926,fr,fringe
thorie,0.015874723894309,fr,fringe
zft,0.0157868451946165,fr,fringe
pense,0.0156519783526722,fr,fringe
faon,0.0156519783526722,fr,fringe
team,0.0155974336077964,fr,fringe
scientifique,0.0154684658237854,fr,fringe
virus,0.0154240593969293,fr,fringe
partie,0.015395388543612,fr,fringe
envoyer,0.015395388543612,fr,fringe
tyler,0.0153464340574104,fr,fringe
chance,0.0148822089254916,fr,fringe
sens,0.0148822089254916,fr,fringe
garon,0.0148822089254916,fr,fringe
vivre,0.0148822089254916,fr,fringe
information,0.0148401872324983,fr,fringe
ouvrir,0.0147440458291994,fr,fringe
oeil,0.0146256191164314,fr,fringe
esprit,0.0146026772083309,fr,fringe
nergie,0.0146018889016297,fr,fringe
bowman,0.0145489946174924,fr,fringe
liv,0.0145383866185759,fr,fringe
rponse,0.0144853783585116,fr,fringe
recherche,0.0144853783585116,fr,fringe
esterbrook,0.0144712747617318,fr,fringe
enqute,0.0144268091822914,fr,fringe
tier,0.0143690293073712,fr,fringe
meilleur,0.0143690293073712,fr,fringe
boone,0.0142839149643489,fr,fringe
expliquer,0.0142267108878239,fr,fringe
cherche,0.0142267108878239,fr,fringe
rentrer,0.014112439498311,fr,fringe
arrte,0.014112439498311,fr,fringe
gars,0.0140811530223191,fr,fringe
appareil,0.0140791492262198,fr,fringe
devenir,0.0138558496892508,fr,fringe
police,0.013846481382653,fr,fringe
saison,0.0137918196501745,fr,fringe
kinberg,0.0136525911620905,fr,fringe
sai,0.0135992598801906,fr,fringe
tat,0.0135992598801906,fr,fringe
agir,0.0135992598801906,fr,fringe
scurit,0.0135596288363073,fr,fringe
patient,0.0135202616319683,fr,fringe
soir,0.0134507084757608,fr,fringe
prt,0.0134507084757608,fr,fringe
disparaître,0.0134065717155987,fr,fringe
second,0.0133426700711304,fr,fringe
infect,0.0132275536350071,fr,fringe
arlette,0.013155704328847,fr,fringe
timur,0.013155704328847,fr,fringe
crature,0.0131033898887054,fr,fringe
conrad,0.0130888923949909,fr,fringe
hick,0.0130603155086447,fr,fringe
ignorer,0.0129333735343854,fr,fringe
attend,0.0129333735343854,fr,fringe
fou,0.0129333735343854,fr,fringe
signal,0.0129298309220386,fr,fringe
coeur,0.0129271621784218,fr,fringe
donn,0.01282949045301,fr,fringe
hier,0.0126747060636977,fr,fringe
cdc,0.0126053089684383,fr,fringe
tlphone,0.0125902982610037,fr,fringe
moyen,0.0125729006439498,fr,fringe
dernier,0.0125729006439498,fr,fringe
technologie,0.0124314211764641,fr,fringe
vrai,0.0123163108348896,fr,fringe
matin,0.0121573711223223,fr,fringe
accident,0.0120922019395596,fr,fringe
bureau,0.0120217747960168,fr,fringe
responsable,0.0119950562782718,fr,fringe
nick,0.0119363417413028,fr,fringe
drogue,0.011876588008621,fr,fringe
ediner,0.0118401338959623,fr,fringe
staller,0.0118401338959623,fr,fringe
nayak,0.0118401338959623,fr,fringe
steig,0.0118401338959623,fr,fringe
garder,0.0118031312167692,fr,fringe
famille,0.011546541407709,fr,fringe
onde,0.0114681079969243,fr,fringe
toxine,0.0113925237980065,fr,fringe
photo,0.0113112669061191,fr,fringe
apprendre,0.0112899515986488,fr,fringe
essay,0.0112899515986488,fr,fringe
marche,0.0112899515986488,fr,fringe
veux,0.0112899515986488,fr,fringe
supposer,0.0112127699992541,fr,fringe
impossible,0.0112127699992541,fr,fringe
russi,0.0112127699992541,fr,fringe
btiment,0.0111881377332056,fr,fringe
coup,0.0111227012395714,fr,fringe
doi,0.0111227012395714,fr,fringe
marcher,0.0111227012395714,fr,fringe
john,0.0110939151993561,fr,fringe
