mot,poids_tfidf,langue,serie
gary,0.2790559023136343,en,garyunmarried
allison,0.193885998426438,en,garyunmarried
krandall,0.0977671801502449,en,garyunmarried
dad,0.0840664630824153,en,garyunmarried
louise,0.0822214314315521,en,garyunmarried
kid,0.0698499606854482,en,garyunmarried
great,0.0630009725035799,en,garyunmarried
talk,0.0597124602025689,en,garyunmarried
tommy,0.0587486110133967,en,garyunmarried
vanessa,0.0555308148567394,en,garyunmarried
mitch,0.0523409938247258,en,garyunmarried
little,0.050539241678696,en,garyunmarried
house,0.0456930130245744,en,garyunmarried
love,0.0430968191027236,en,garyunmarried
plummer,0.0379704685483628,en,garyunmarried
big,0.035068429762353,en,garyunmarried
friend,0.0339236005788507,en,garyunmarried
night,0.0330582026049004,en,garyunmarried
happen,0.0330582026049004,en,garyunmarried
like,0.0328851230101104,en,garyunmarried
help,0.0327120434153203,en,garyunmarried
play,0.0325389638205303,en,garyunmarried
sub,0.0320694225767657,en,garyunmarried
mom,0.0320658187327053,en,garyunmarried
work,0.03167356584658,en,garyunmarried
divorce,0.0308669116769175,en,garyunmarried
veto,0.0303962472212334,en,garyunmarried
walter,0.0303023651429114,en,garyunmarried
sure,0.0302889290882596,en,garyunmarried
start,0.0301158494934695,en,garyunmarried
school,0.0297837395816124,en,garyunmarried
curtis,0.0294831635665262,en,garyunmarried
team,0.0290033528986829,en,garyunmarried
tom,0.0287642395435834,en,garyunmarried
paint,0.028109511782155,en,garyunmarried
son,0.0280896377698449,en,garyunmarried
date,0.0279635306069122,en,garyunmarried
stuff,0.0263449397717179,en,garyunmarried
new,0.0261350188132982,en,garyunmarried
girl,0.0257888596237181,en,garyunmarried
home,0.0250965412445579,en,garyunmarried
life,0.0250965412445579,en,garyunmarried
fun,0.0249737191583744,en,garyunmarried
hear,0.0245773024601877,en,garyunmarried
wife,0.0242311432706076,en,garyunmarried
wrong,0.0242311432706076,en,garyunmarried
nice,0.0242311432706076,en,garyunmarried
addict,0.0241521811838294,en,garyunmarried
second,0.0240580636758176,en,garyunmarried
cello,0.0239587139790442,en,garyunmarried
long,0.0238849840810275,en,garyunmarried
old,0.0230195861070772,en,garyunmarried
car,0.0225150888503855,en,garyunmarried
pretty,0.0225066041758384,en,garyunmarried
place,0.022327267727917,en,garyunmarried
stay,0.0219811085383369,en,garyunmarried
bring,0.0219811085383369,en,garyunmarried
room,0.0218080289435469,en,garyunmarried
honey,0.0214280238340216,en,garyunmarried
sit,0.0212887901591767,en,garyunmarried
bad,0.0211157105643866,en,garyunmarried
buy,0.0207695513748065,en,garyunmarried
job,0.0207695513748065,en,garyunmarried
actually,0.0205964717800165,en,garyunmarried
win,0.0202503125904364,en,garyunmarried
meet,0.0200772329956463,en,garyunmarried
hand,0.0200772329956463,en,garyunmarried
beer,0.0198474015251596,en,garyunmarried
break,0.0195406175790225,en,garyunmarried
pick,0.0193849146164861,en,garyunmarried
stop,0.019211835021696,en,garyunmarried
away,0.019038755426906,en,garyunmarried
remember,0.019038755426906,en,garyunmarried
fine,0.0188427383797717,en,garyunmarried
believe,0.0186925962373259,en,garyunmarried
turn,0.0186925962373259,en,garyunmarried
wear,0.0186148372385077,en,garyunmarried
head,0.0183464370477458,en,garyunmarried
hot,0.0175511322534501,en,garyunmarried
cause,0.0174810390737955,en,garyunmarried
ready,0.0174810390737955,en,garyunmarried
probably,0.0173079594790054,en,garyunmarried
concert,0.0171877466259159,en,garyunmarried
brother,0.0171348798842154,en,garyunmarried
crazy,0.0168836411211545,en,garyunmarried
cool,0.0168419955967451,en,garyunmarried
marry,0.0167534895625932,en,garyunmarried
ronnie,0.0165229670819387,en,garyunmarried
forget,0.0164001611823939,en,garyunmarried
needleman,0.0163722962041508,en,garyunmarried
tonight,0.0161801560744397,en,garyunmarried
hour,0.0160964023154751,en,garyunmarried
drive,0.0160964023154751,en,garyunmarried
game,0.0160512215827685,en,garyunmarried
today,0.015923322720685,en,garyunmarried
course,0.0158767517829558,en,garyunmarried
party,0.0156010064475112,en,garyunmarried
drink,0.0153533423835177,en,garyunmarried
run,0.0152310043415248,en,garyunmarried
walk,0.0150579247467347,en,garyunmarried
boat,0.0149993144077231,en,garyunmarried
taylor,0.0149493511693731,en,garyunmarried
sex,0.0149101722821534,en,garyunmarried
watch,0.0148848451519447,en,garyunmarried
eat,0.0145386859623646,en,garyunmarried
ball,0.0145274737857774,en,garyunmarried
sound,0.0141925267727845,en,garyunmarried
suppose,0.0141925267727845,en,garyunmarried
deal,0.0141320537848288,en,garyunmarried
guess,0.0138463675832043,en,garyunmarried
idea,0.0136732879884143,en,garyunmarried
mind,0.0136732879884143,en,garyunmarried
real,0.0136732879884143,en,garyunmarried
care,0.0136732879884143,en,garyunmarried
bed,0.013434174585578,en,garyunmarried
open,0.0133271287988342,en,garyunmarried
hit,0.0133271287988342,en,garyunmarried
ticket,0.0133132987413499,en,garyunmarried
girlfriend,0.0131477990199559,en,garyunmarried
tomorrow,0.0129107651861399,en,garyunmarried
morning,0.012807890014464,en,garyunmarried
use,0.012807890014464,en,garyunmarried
audit,0.0127389301018769,en,garyunmarried
face,0.0127362953863272,en,garyunmarried
act,0.0127362953863272,en,garyunmarried
class,0.0127323661054854,en,garyunmarried
gar,0.0126932075375245,en,garyunmarried
sleep,0.012634810419674,en,garyunmarried
lose,0.012634810419674,en,garyunmarried
table,0.0125871756565147,en,garyunmarried
worry,0.0125618255865145,en,garyunmarried
bar,0.0125478390604784,en,garyunmarried
dog,0.0125096086942212,en,garyunmarried
bowler,0.012426079259333,en,garyunmarried
throw,0.0123873557867018,en,garyunmarried
amazing,0.0123308999985895,en,garyunmarried
laird,0.0123011666188675,en,garyunmarried
miss,0.0122886512300938,en,garyunmarried
end,0.0122886512300938,en,garyunmarried
dodger,0.0122565512988844,en,garyunmarried
joan,0.0121955233223833,en,garyunmarried
hang,0.0120384161870764,en,garyunmarried
pool,0.0120039209586576,en,garyunmarried
fix,0.011973482607326,en,garyunmarried
happy,0.0119424920405137,en,garyunmarried
painter,0.0119409786200102,en,garyunmarried
golf,0.0119122896453786,en,garyunmarried
sport,0.0118953458422499,en,garyunmarried
charlene,0.0118811868666413,en,garyunmarried
high,0.0117833745324724,en,garyunmarried
radio,0.0116183160640156,en,garyunmarried
set,0.0116075032707937,en,garyunmarried
hard,0.0115963328509336,en,garyunmarried
totally,0.0115324031521396,en,garyunmarried
week,0.0114232532561436,en,garyunmarried
door,0.0114232532561436,en,garyunmarried
word,0.0114232532561436,en,garyunmarried
stupid,0.0113405369878255,en,garyunmarried
spend,0.0113405369878255,en,garyunmarried
relationship,0.0112561497454291,en,garyunmarried
point,0.0112501736613535,en,garyunmarried
hope,0.0112501736613535,en,garyunmarried
phone,0.0110799391291674,en,garyunmarried
hell,0.0110770940665635,en,garyunmarried
akazab,0.0110399041344811,en,garyunmarried
eye,0.0109040144717734,en,garyunmarried
read,0.0109040144717734,en,garyunmarried
boy,0.0109040144717734,en,garyunmarried
beat,0.0108143340147521,en,garyunmarried
check,0.0107309348769834,en,garyunmarried
stand,0.0107309348769834,en,garyunmarried
foot,0.0107309348769834,en,garyunmarried
kumbayah,0.0106655105618449,en,garyunmarried
couple,0.0106426577885747,en,garyunmarried
hate,0.0106426577885747,en,garyunmarried
lady,0.0106426577885747,en,garyunmarried
live,0.0105578552821933,en,garyunmarried
change,0.0105578552821933,en,garyunmarried
movie,0.0103962579417502,en,garyunmarried
picture,0.0102937181889493,en,garyunmarried
perfect,0.0102937181889493,en,garyunmarried
dinner,0.0102824815222233,en,garyunmarried
book,0.0102005331773642,en,garyunmarried
springsteen,0.0101667921212724,en,garyunmarried
aka,0.0101017325284491,en,garyunmarried
wrestle,0.0099857900941341,en,garyunmarried
late,0.0098655369030331,en,garyunmarried
teacher,0.0098392794743095,en,garyunmarried
beautiful,0.0097506290296945,en,garyunmarried
money,0.009692457308243,en,garyunmarried
rember,0.0096184538778087,en,garyunmarried
funny,0.0095958389896985,en,garyunmarried
fire,0.009519377713453,en,garyunmarried
cut,0.0094213691898858,en,garyunmarried
child,0.0094213691898858,en,garyunmarried
coach,0.0093530615349243,en,garyunmarried
problem,0.0093462981186629,en,garyunmarried
married,0.0092946528512125,en,garyunmarried
finish,0.0092468993900731,en,garyunmarried
pay,0.0092468993900731,en,garyunmarried
kiss,0.0092263522503517,en,garyunmarried
daughter,0.0092187765371657,en,garyunmarried
kill,0.0091732185238729,en,garyunmarried
thanksgive,0.0090967105105175,en,garyunmarried
dress,0.0090796711161108,en,garyunmarried
soup,0.0090429618212095,en,garyunmarried
world,0.0090001389290828,en,garyunmarried
food,0.0090001389290828,en,garyunmarried
bag,0.0089694343456133,en,garyunmarried
air,0.0089354347815866,en,garyunmarried
weird,0.0088980776937886,en,garyunmarried
plan,0.0088979597904477,en,garyunmarried
plate,0.0088359701358232,en,garyunmarried
understand,0.0088270593342927,en,garyunmarried
demo,0.0087844471543858,en,garyunmarried
move,0.0086539797395027,en,garyunmarried
bit,0.0086539797395027,en,garyunmarried
couch,0.0086079146651084,en,garyunmarried
pull,0.0085490201908223,en,garyunmarried
fight,0.0084809001447126,en,garyunmarried
wedding,0.0084678733114321,en,garyunmarried
close,0.0083078205499226,en,garyunmarried
easy,0.0083078205499226,en,garyunmarried
football,0.0082777300411845,en,garyunmarried
father,0.0082659492988985,en,garyunmarried
weekend,0.0082649947584199,en,garyunmarried
marriage,0.0082649947584199,en,garyunmarried
penultimate,0.0081861481020754,en,garyunmarried
exactly,0.0081347409551325,en,garyunmarried
awesome,0.0081107465349652,en,garyunmarried
connie,0.0080073387247311,en,garyunmarried
burgeroo,0.0079991329213836,en,garyunmarried
family,0.0079616613603425,en,garyunmarried
reason,0.0079616613603425,en,garyunmarried
ice,0.0079389606100638,en,garyunmarried
tiny,0.0079270077271065,en,garyunmarried
ahead,0.0079142067755411,en,garyunmarried
turkey,0.0078684391850587,en,garyunmarried
later,0.0078511409915715,en,garyunmarried
mad,0.0078125340672507,en,garyunmarried
practice,0.0078124602872201,en,garyunmarried
sister,0.0078005032237556,en,garyunmarried
score,0.007799643492016,en,garyunmarried
afraid,0.0077885817655524,en,garyunmarried
