mot,poids_tfidf,langue,serie
allison,0.1900731781504076,fr,garyunmarried
gary,0.1831541471753658,fr,garyunmarried
taire,0.1569138863583012,fr,garyunmarried
krandall,0.113657749845357,fr,garyunmarried
tre,0.0817169269677579,fr,garyunmarried
accord,0.0806302657048888,fr,garyunmarried
heure,0.0728063046122311,fr,garyunmarried
ici,0.0728063046122311,fr,garyunmarried
mec,0.0617736835662587,fr,garyunmarried
enfant,0.0599837017103755,fr,garyunmarried
brook,0.0570588983184764,fr,garyunmarried
papa,0.055637056658899,fr,garyunmarried
super,0.0543278056332941,fr,garyunmarried
dieu,0.0528117373754393,fr,garyunmarried
dsol,0.0491170890816843,fr,garyunmarried
mme,0.0488997568291104,fr,garyunmarried
addicts,0.0482300379336701,fr,garyunmarried
plummer,0.0481824213517135,fr,garyunmarried
petit,0.0478130955662413,fr,garyunmarried
veen,0.0472038669138048,fr,garyunmarried
veux,0.0467264343033722,fr,garyunmarried
aimer,0.0447704440302078,fr,garyunmarried
regarder,0.0430317860096172,fr,garyunmarried
trs,0.0425971215044695,fr,garyunmarried
sub,0.0415743151097942,fr,garyunmarried
voil,0.0415104602416004,fr,garyunmarried
fille,0.0404237989787313,fr,garyunmarried
appeler,0.0402064667261575,fr,garyunmarried
addict,0.0395752157615203,fr,garyunmarried
salut,0.0389024732107145,fr,garyunmarried
sortir,0.0384678087055669,fr,garyunmarried
mitch,0.0379174114980352,fr,garyunmarried
veto,0.037500800841506,fr,garyunmarried
vanesser,0.0373179040817409,fr,garyunmarried
besoin,0.0354251571695333,fr,garyunmarried
finir,0.0341211636540904,fr,garyunmarried
pre,0.0336864991489427,fr,garyunmarried
apr,0.0328171701386474,fr,garyunmarried
soir,0.03242562155196,fr,garyunmarried
maison,0.0323825056334998,fr,garyunmarried
louis,0.0315832718034051,fr,garyunmarried
tai,0.0313301613643938,fr,garyunmarried
ami,0.030861179865483,fr,garyunmarried
grand,0.0295571863500401,fr,garyunmarried
walter,0.0294940451327823,fr,garyunmarried
sasha,0.029064432519781,fr,garyunmarried
attend,0.0287010569142348,fr,garyunmarried
mal,0.0276011960768756,fr,garyunmarried
tom,0.0271777956869059,fr,garyunmarried
laisse,0.0269491993191542,fr,garyunmarried
sai,0.0269491993191542,fr,garyunmarried
violoncelle,0.0268755739364126,fr,garyunmarried
cole,0.0251393563264974,fr,garyunmarried
raison,0.0249932090459898,fr,garyunmarried
