mot,poids_tfidf,langue,serie
ghost,0.1132300191561044,en,ghostwhisperer
melinda,0.0997329599862183,en,ghostwhisperer
talk,0.0925282280825333,en,ghostwhisperer
help,0.0809166041904414,en,ghostwhisperer
happen,0.0765394475400193,en,ghostwhisperer
die,0.0574501810367897,en,ghostwhisperer
love,0.0572070056673218,en,ghostwhisperer
aiden,0.0551435594505174,en,ghostwhisperer
grandview,0.0534818307218668,en,ghostwhisperer
little,0.0482095169970098,en,ghostwhisperer
sure,0.0451090310362941,en,ghostwhisperer
hear,0.0433460096076519,en,ghostwhisperer
dead,0.0427380711839822,en,ghostwhisperer
mom,0.0407494659639113,en,ghostwhisperer
remember,0.0397591729080005,en,ghostwhisperer
night,0.0395767913808996,en,ghostwhisperer
work,0.0387864714301289,en,ghostwhisperer
friend,0.0384217083759271,en,ghostwhisperer
believe,0.0372058315285876,en,ghostwhisperer
kid,0.0353697510621411,en,ghostwhisperer
stop,0.0348956655186426,en,ghostwhisperer
life,0.0336189948289362,en,ghostwhisperer
dad,0.032431564971485,en,ghostwhisperer
house,0.0314912103460921,en,ghostwhisperer
away,0.0314912103460921,en,ghostwhisperer
delia,0.0313914888225982,en,ghostwhisperer
spirit,0.0302586054871734,en,ghostwhisperer
ned,0.0295920782918534,en,ghostwhisperer
girl,0.0293634258632481,en,ghostwhisperer
home,0.0290594566514132,en,ghostwhisperer
bad,0.0290594566514132,en,ghostwhisperer
light,0.0273660633949864,en,ghostwhisperer
father,0.0269336425286999,en,ghostwhisperer
family,0.0265669091143673,en,ghostwhisperer
start,0.0260805583754315,en,ghostwhisperer
hurt,0.0260449133024755,en,ghostwhisperer
understand,0.0260197645330645,en,ghostwhisperer
lose,0.0259589706906975,en,ghostwhisperer
live,0.0258373830059636,en,ghostwhisperer
stay,0.0254118261093948,en,ghostwhisperer
great,0.0248038876857251,en,ghostwhisperer
long,0.0244391246315232,en,ghostwhisperer
guess,0.0239527738925874,en,ghostwhisperer
mother,0.0235880108383856,en,ghostwhisperer
place,0.0235880108383856,en,ghostwhisperer
hard,0.022736897045248,en,ghostwhisperer
kill,0.0224937216757801,en,ghostwhisperer
wrong,0.0224937216757801,en,ghostwhisperer
actually,0.0215818140402755,en,ghostwhisperer
meet,0.0212170509860736,en,ghostwhisperer
haunt,0.0211548429376658,en,ghostwhisperer
fine,0.0211423413867154,en,ghostwhisperer
old,0.0209130817742388,en,ghostwhisperer
win,0.0208522879318718,en,ghostwhisperer
husband,0.0206520841951394,en,ghostwhisperer
stuff,0.0205295198972454,en,ghostwhisperer
like,0.0199403802963672,en,ghostwhisperer
son,0.0199166984077754,en,ghostwhisperer
cross,0.0195217972207622,en,ghostwhisperer
bring,0.0194540295574314,en,ghostwhisperer
car,0.0192416427433127,en,ghostwhisperer
death,0.0190587483225173,en,ghostwhisperer
sound,0.0188460911337617,en,ghostwhisperer
wife,0.0185421219219268,en,ghostwhisperer
big,0.0184459268330473,en,ghostwhisperer
run,0.0183597403948259,en,ghostwhisperer
real,0.0179341834982571,en,ghostwhisperer
check,0.0178125958135231,en,ghostwhisperer
body,0.0174041303009483,en,ghostwhisperer
hope,0.0170830697051194,en,ghostwhisperer
break,0.0170364374072663,en,ghostwhisperer
pretty,0.0169138731093723,en,ghostwhisperer
play,0.0167791004932846,en,ghostwhisperer
school,0.0165640031382562,en,ghostwhisperer
turn,0.0165359251238167,en,ghostwhisperer
miss,0.0164143374390827,en,ghostwhisperer
care,0.0162319559119818,en,ghostwhisperer
cause,0.0162319559119818,en,ghostwhisperer
weird,0.0161374294985299,en,ghostwhisperer
happy,0.0160495743848809,en,ghostwhisperer
new,0.0159887805425139,en,ghostwhisperer
accident,0.0159438472478251,en,ghostwhisperer
nice,0.01586719285778,en,ghostwhisperer
baby,0.0156907000052518,en,ghostwhisperer
lie,0.0153808421188442,en,ghostwhisperer
book,0.0153200535484348,en,ghostwhisperer
mind,0.0150160790646424,en,ghostwhisperer
watch,0.0149552852222754,en,ghostwhisperer
honey,0.0147979590658456,en,ghostwhisperer
brother,0.0146513160104405,en,ghostwhisperer
figure,0.0145851514493862,en,ghostwhisperer
chance,0.0142257591138717,en,ghostwhisperer
close,0.0141041714291378,en,ghostwhisperer
suppose,0.0140433775867708,en,ghostwhisperer
hospital,0.0139206250187274,en,ghostwhisperer
late,0.0138609960596699,en,ghostwhisperer
probably,0.0137394083749359,en,ghostwhisperer
child,0.0137272013641282,en,ghostwhisperer
town,0.0135750100907513,en,ghostwhisperer
store,0.013566738226956,en,ghostwhisperer
reason,0.013557026847835,en,ghostwhisperer
true,0.013557026847835,en,ghostwhisperer
head,0.013496233005468,en,ghostwhisperer
idea,0.013496233005468,en,ghostwhisperer
wish,0.0133595084704462,en,ghostwhisperer
ago,0.0133138514783671,en,ghostwhisperer
open,0.0131314699512662,en,ghostwhisperer
boy,0.0130706761088992,en,ghostwhisperer
hate,0.0128692512788702,en,ghostwhisperer
serena,0.0128598322737117,en,ghostwhisperer
change,0.0128275007394313,en,ghostwhisperer
crazy,0.0127873027601855,en,ghostwhisperer
ready,0.0127059130546974,en,ghostwhisperer
heart,0.0125628405341352,en,ghostwhisperer
truth,0.0125235315275964,en,ghostwhisperer
room,0.0124627376852295,en,ghostwhisperer
parent,0.0123103711194319,en,ghostwhisperer
walk,0.0122803561581286,en,ghostwhisperer
anymore,0.01223133307496,en,ghostwhisperer
question,0.0120979746310276,en,ghostwhisperer
phone,0.012052042014104,en,ghostwhisperer
forget,0.0120113011936122,en,ghostwhisperer
promise,0.0118314308130401,en,ghostwhisperer
business,0.0118274547467712,en,ghostwhisperer
person,0.0117940054191928,en,ghostwhisperer
sleep,0.0117940054191928,en,ghostwhisperer
alive,0.0117661725978242,en,ghostwhisperer
vision,0.0117556561022749,en,ghostwhisperer
second,0.0116116238920918,en,ghostwhisperer
exactly,0.0116116238920918,en,ghostwhisperer
door,0.0115508300497249,en,ghostwhisperer
matter,0.0115508300497249,en,ghostwhisperer
week,0.0114900362073579,en,ghostwhisperer
hell,0.0114900362073579,en,ghostwhisperer
course,0.0114597618530892,en,ghostwhisperer
story,0.0113984797041422,en,ghostwhisperer
doctor,0.0113615604403793,en,ghostwhisperer
save,0.011307654680257,en,ghostwhisperer
deal,0.0112759154062482,en,ghostwhisperer
move,0.011186066995523,en,ghostwhisperer
trust,0.0111533511083542,en,ghostwhisperer
explain,0.0111464532396536,en,ghostwhisperer
eye,0.0110644793107891,en,ghostwhisperer
job,0.0110036854684221,en,ghostwhisperer
shane,0.0109830097708143,en,ghostwhisperer
problem,0.0109428916260551,en,ghostwhisperer
sister,0.0108350997972052,en,ghostwhisperer
money,0.0108213039413212,en,ghostwhisperer
protect,0.0107105584202258,en,ghostwhisperer
dream,0.0106869728382226,en,ghostwhisperer
christine,0.0106338858789828,en,ghostwhisperer
send,0.0106018117678312,en,ghostwhisperer
daughter,0.0105860170432464,en,ghostwhisperer
hour,0.0105781285718533,en,ghostwhisperer
scared,0.0103992049777774,en,ghostwhisperer
antique,0.0103472992220935,en,ghostwhisperer
police,0.0103055428800441,en,ghostwhisperer
fall,0.0102133655176515,en,ghostwhisperer
write,0.0101689104494002,en,ghostwhisperer
date,0.0100074543340582,en,ghostwhisperer
hang,0.0098664259804671,en,ghostwhisperer
easy,0.0098486024634496,en,ghostwhisperer
whisperer,0.0098439628935035,en,ghostwhisperer
earthbound,0.0098159057551615,en,ghostwhisperer
soon,0.0098051438315201,en,ghostwhisperer
end,0.0097878086210827,en,ghostwhisperer
face,0.0097438616825731,en,ghostwhisperer
hand,0.0097270147787157,en,ghostwhisperer
blame,0.0096935071691817,en,ghostwhisperer
read,0.0096662209363487,en,ghostwhisperer
speak,0.0096662209363487,en,ghostwhisperer
angry,0.0096271132844612,en,ghostwhisperer
wake,0.0096212973846791,en,ghostwhisperer
afraid,0.0096054270939817,en,ghostwhisperer
later,0.0094987330867851,en,ghostwhisperer
fire,0.0094838394092478,en,ghostwhisperer
email,0.0093228141505991,en,ghostwhisperer
important,0.0093014578821469,en,ghostwhisperer
world,0.0093014578821469,en,ghostwhisperer
different,0.0093014578821469,en,ghostwhisperer
cassidy,0.0092876566421251,en,ghostwhisperer
realize,0.0092866732367537,en,ghostwhisperer
scare,0.0092588166098657,en,ghostwhisperer
word,0.0091798701974129,en,ghostwhisperer
game,0.0091310401931031,en,ghostwhisperer
picture,0.0091310401931031,en,ghostwhisperer
damon,0.0090423521555505,en,ghostwhisperer
month,0.008997488670312,en,ghostwhisperer
safe,0.0089572893730768,en,ghostwhisperer
worry,0.0087633472994211,en,ghostwhisperer
gwen,0.0086764628117685,en,ghostwhisperer
sell,0.0085795008525801,en,ghostwhisperer
sense,0.0085795008525801,en,ghostwhisperer
patient,0.0085699088911471,en,ghostwhisperer
soul,0.0085669781443165,en,ghostwhisperer
com,0.0085470970466522,en,ghostwhisperer
couple,0.0084569365546861,en,ghostwhisperer
sick,0.0084156505795034,en,ghostwhisperer
case,0.0083895502466423,en,ghostwhisperer
buy,0.0083287564042753,en,ghostwhisperer
beautiful,0.0082820015691281,en,ghostwhisperer
feeling,0.0082197308806384,en,ghostwhisperer
tonight,0.0082159964594428,en,ghostwhisperer
morning,0.0082071687195413,en,ghostwhisperer
bedford,0.0081676708944219,en,ghostwhisperer
mad,0.0081670717319387,en,ghostwhisperer
number,0.0081505258099511,en,ghostwhisperer
mommy,0.008145180147979,en,ghostwhisperer
teo,0.0081168491606474,en,ghostwhisperer
gift,0.0081017351580832,en,ghostwhisperer
marry,0.0080992727381687,en,ghostwhisperer
pay,0.0080892436610041,en,ghostwhisperer
today,0.0079031995077065,en,ghostwhisperer
able,0.0079031995077065,en,ghostwhisperer
alise,0.0078046626544686,en,ghostwhisperer
fault,0.0077835755931564,en,ghostwhisperer
godfrey,0.0076944501558861,en,ghostwhisperer
record,0.0076600267742174,en,ghostwhisperer
drive,0.0076600241382386,en,ghostwhisperer
unfinished,0.0076587691995986,en,ghostwhisperer
grandmother,0.0076463287726503,en,ghostwhisperer
hide,0.0075982523647479,en,ghostwhisperer
todd,0.0075764001740414,en,ghostwhisperer
message,0.0075377043204811,en,ghostwhisperer
trouble,0.0075377043204811,en,ghostwhisperer
strange,0.007532526258815,en,ghostwhisperer
pick,0.0074776426111377,en,ghostwhisperer
sign,0.0074776426111377,en,ghostwhisperer
bit,0.0074776426111377,en,ghostwhisperer
answer,0.0074776426111377,en,ghostwhisperer
zoe,0.0073635167529925,en,ghostwhisperer
tomorrow,0.0073538578736401,en,ghostwhisperer
cut,0.0073538578736401,en,ghostwhisperer
dark,0.0072766903506984,en,ghostwhisperer
wonder,0.0072344672416698,en,ghostwhisperer
follow,0.0072312935757461,en,ghostwhisperer
party,0.0072233998648034,en,ghostwhisperer
plane,0.0071885343888746,en,ghostwhisperer
point,0.0071736733993028,en,ghostwhisperer
touch,0.0071700114267991,en,ghostwhisperer
living,0.0071518104621799,en,ghostwhisperer
fight,0.0071128795569358,en,ghostwhisperer
plan,0.0070474471289051,en,ghostwhisperer
secret,0.0069675867894039,en,ghostwhisperer
charlie,0.0069076592074496,en,ghostwhisperer
use,0.0068697041874679,en,ghostwhisperer
colleen,0.0068214235559416,en,ghostwhisperer
stand,0.006808910345101,en,ghostwhisperer
show,0.0068023185331171,en,ghostwhisperer
peace,0.006795003680973,en,ghostwhisperer
forgive,0.0067512204446937,en,ghostwhisperer
young,0.0067410363841701,en,ghostwhisperer
professor,0.0067278208058941,en,ghostwhisperer
shop,0.006718018937226,en,ghostwhisperer
attach,0.0067065969088117,en,ghostwhisperer
teach,0.006643934668029,en,ghostwhisperer
daddy,0.0066393884720422,en,ghostwhisperer
pass,0.0066006929799066,en,ghostwhisperer
tvsubtitle,0.0065765394271583,en,ghostwhisperer
memory,0.0065697835507849,en,ghostwhisperer
shadow,0.0065676345962299,en,ghostwhisperer
spend,0.0065571899373291,en,ghostwhisperer
sherry,0.0065437334179515,en,ghostwhisperer
haunting,0.0065042740303029,en,ghostwhisperer
one,0.0064761516029272,en,ghostwhisperer
becca,0.0064299161368558,en,ghostwhisperer
stick,0.0064245385848275,en,ghostwhisperer
emily,0.0064121162215026,en,ghostwhisperer
cry,0.00637843063183,en,ghostwhisperer
key,0.0063733434904881,en,ghostwhisperer
crash,0.0063228413526833,en,ghostwhisperer
casey,0.0063123189881794,en,ghostwhisperer
fun,0.0063009897658885,en,ghostwhisperer
lead,0.0063009897658885,en,ghostwhisperer
wear,0.0062893395374581,en,ghostwhisperer
hit,0.0062009719214312,en,ghostwhisperer
glad,0.0061894970436471,en,ghostwhisperer
courtney,0.0061571418412141,en,ghostwhisperer
finish,0.0061282148947001,en,ghostwhisperer
water,0.00611566653748,en,ghostwhisperer
mistake,0.0060793842366973,en,ghostwhisperer
kristen,0.0060701699060212,en,ghostwhisperer
perfect,0.0060056505968061,en,ghostwhisperer
funny,0.0060056505968061,en,ghostwhisperer
ray,0.0059987689127753,en,ghostwhisperer
usually,0.0059479034170926,en,ghostwhisperer
blood,0.0059443684478591,en,ghostwhisperer
cally,0.0059410433664268,en,ghostwhisperer
draw,0.00591571540652,en,ghostwhisperer
possible,0.0058970027095964,en,ghostwhisperer
small,0.0058970027095964,en,ghostwhisperer
rest,0.0058830862989121,en,ghostwhisperer
cool,0.0058534447180304,en,ghostwhisperer
step,0.0058362088672294,en,ghostwhisperer
matt,0.0058198292403243,en,ghostwhisperer
high,0.0058067944901325,en,ghostwhisperer
drop,0.0057754150248624,en,ghostwhisperer
romano,0.0057394444122964,en,ghostwhisperer
ornament,0.0057297395926773,en,ghostwhisperer
grow,0.005712165746268,en,ghostwhisperer
ramsey,0.005697708632865,en,ghostwhisperer
ambrose,0.005691239776515,en,ghostwhisperer
office,0.0056832456711935,en,ghostwhisperer
totally,0.005658165706029,en,ghostwhisperer
clancy,0.0056308046233627,en,ghostwhisperer
mitch,0.0056015771935677,en,ghostwhisperer
freak,0.005598349114355,en,ghostwhisperer
mile,0.005574067218137,en,ghostwhisperer
strong,0.0055420912755819,en,ghostwhisperer
movie,0.005510692431795,en,ghostwhisperer
set,0.005497922442785,en,ghostwhisperer
ely,0.0054009485149334,en,ghostwhisperer
sydney,0.0053861304499076,en,ghostwhisperer
learn,0.0053498581282936,en,ghostwhisperer
grace,0.0053458367510164,en,ghostwhisperer
throw,0.0053315469583891,en,ghostwhisperer
road,0.0053125992143766,en,ghostwhisperer
belong,0.0052922624822963,en,ghostwhisperer
sit,0.0052890642859266,en,ghostwhisperer
pull,0.0052702648094421,en,ghostwhisperer
lady,0.0052702648094421,en,ghostwhisperer
fact,0.0052702648094421,en,ghostwhisperer
doll,0.0052674709322702,en,ghostwhisperer
clear,0.0052282704435597,en,ghostwhisperer
grant,0.0052260629135661,en,ghostwhisperer
linus,0.0052137079845951,en,ghostwhisperer
pain,0.0051885965978893,en,ghostwhisperer
jim,0.0051661053299617,en,ghostwhisperer
kate,0.0051653177862518,en,ghostwhisperer
ferry,0.0051594344100802,en,ghostwhisperer
bed,0.0051477005115481,en,ghostwhisperer
free,0.0051477005115481,en,ghostwhisperer
imagine,0.0051472262768569,en,ghostwhisperer
rana,0.0051309010891868,en,ghostwhisperer
far,0.0051066827588257,en,ghostwhisperer
worried,0.0050844552247001,en,ghostwhisperer
wood,0.0050577384269301,en,ghostwhisperer
especially,0.0050309161868742,en,ghostwhisperer
olivia,0.0050270564557659,en,ghostwhisperer
act,0.0050251362136541,en,ghostwhisperer
mess,0.0050216841725433,en,ghostwhisperer
cover,0.0050037271670291,en,ghostwhisperer
catch,0.0049850950740918,en,ghostwhisperer
wedding,0.0049572043804773,en,ghostwhisperer
finally,0.0049419527575596,en,ghostwhisperer
burn,0.0049419527575596,en,ghostwhisperer
maddy,0.0049298796029083,en,ghostwhisperer
dinner,0.0049193843906851,en,ghostwhisperer
news,0.00490257191576,en,ghostwhisperer
file,0.0049002430391632,en,ghostwhisperer
girlfriend,0.0048858547229305,en,ghostwhisperer
name,0.0048801783480901,en,ghostwhisperer
lunch,0.0048611051320963,en,ghostwhisperer
past,0.0048333710160729,en,ghostwhisperer
damn,0.0048184039386206,en,ghostwhisperer
