mot,poids_tfidf,langue,serie
serena,0.2922328958188481,en,gossipgirl
nate,0.1504305997270391,en,gossipgirl
blair,0.1243771380179753,en,gossipgirl
chuck,0.1003754768745368,en,gossipgirl
talk,0.0811589493088542,en,gossipgirl
jenny,0.0811297803028167,en,gossipgirl
girl,0.0742671247160871,en,gossipgirl
vanessa,0.0736400338225854,en,gossipgirl
love,0.0734442202871,en,gossipgirl
lily,0.0657241075978914,en,gossipgirl
rufus,0.062772089911693,en,gossipgirl
dad,0.0578007606192705,en,gossipgirl
friend,0.0534887878841624,en,gossipgirl
gossip,0.0533895389610119,en,gossipgirl
mom,0.0529957536741963,en,gossipgirl
dorota,0.049624176440815,en,gossipgirl
sure,0.0473170046667591,en,gossipgirl
little,0.0463912371841486,en,gossipgirl
humphrey,0.0439607303521523,en,gossipgirl
night,0.0423795780928364,en,gossipgirl
happen,0.0409394953421089,en,gossipgirl
actually,0.0394994125913815,en,gossipgirl
meet,0.0382650559479008,en,gossipgirl
bass,0.0366264376706515,en,gossipgirl
party,0.036560570334136,en,gossipgirl
work,0.036207794875433,en,gossipgirl
help,0.0356934796073161,en,gossipgirl
archibald,0.035639734828494,en,gossipgirl
life,0.0351791643391991,en,gossipgirl
believe,0.0340476707493418,en,gossipgirl
great,0.0336362185348483,en,gossipgirl
school,0.0336104378576063,en,gossipgirl
tonight,0.0334470947525616,en,gossipgirl
family,0.0332247663203547,en,gossipgirl
hear,0.0324018618913676,en,gossipgirl
eleanor,0.0323798695291408,en,gossipgirl
date,0.0309385626461195,en,gossipgirl
like,0.0308589160870168,en,gossipgirl
mother,0.0303446008188998,en,gossipgirl
yale,0.0302178032886287,en,gossipgirl
home,0.0292131072290425,en,gossipgirl
new,0.0285959289073022,en,gossipgirl
father,0.0282209861974738,en,gossipgirl
hope,0.0278758875319385,en,gossipgirl
bad,0.0276701614246917,en,gossipgirl
away,0.0270529831029514,en,gossipgirl
miss,0.026435804781211,en,gossipgirl
bilt,0.02588272673167,en,gossipgirl
fine,0.0255075597635237,en,gossipgirl
win,0.0254071742449771,en,gossipgirl
guess,0.0244814067623666,en,gossipgirl
care,0.0240699545478731,en,gossipgirl
start,0.0240699545478731,en,gossipgirl
stop,0.0232470501188859,en,gossipgirl
course,0.0231227066149015,en,gossipgirl
happy,0.0225270087435222,en,gossipgirl
long,0.0225270087435222,en,gossipgirl
carter,0.0219112991324606,en,gossipgirl
stay,0.0218069673681585,en,gossipgirl
georgina,0.0214065074842731,en,gossipgirl
plan,0.0212562998029364,en,gossipgirl
wrong,0.0207783368319246,en,gossipgirl
