mot,poids_tfidf,langue,serie
cappie,0.2509584457358758,en,greek
casey,0.1456857969618903,en,greek
zbz,0.144610584202063,en,greek
pledge,0.0976600437886431,en,greek
ashleigh,0.0875856294297621,en,greek
rusty,0.0799802752729708,en,greek
omega,0.0718070001830715,en,greek
spitter,0.0698049327672733,en,greek
talk,0.066950470470093,en,greek
girl,0.0646493904703026,en,greek
little,0.0642110895179616,en,greek
house,0.06355363808945,en,greek
rebecca,0.0632523976807117,en,greek
cartwright,0.0592690569257525,en,greek
great,0.053801441899862,en,greek
love,0.0516099371381568,en,greek
friend,0.0515003619000715,en,greek
date,0.0479886687676197,en,greek
work,0.0473365028528317,en,greek
night,0.0458024495196381,en,greek
big,0.0442926014497425,en,greek
dale,0.0441691072442794,en,greek
sure,0.0437205199960182,en,greek
dobler,0.0435336856337279,en,greek
party,0.0430990524123816,en,greek
greek,0.0422024569361402,en,greek
win,0.0417481657104835,en,greek
help,0.0388992095202668,en,greek
fraternity,0.0383043993835445,en,greek
start,0.0372555809489879,en,greek
bad,0.035173651425368,en,greek
like,0.0342970495206859,en,greek
break,0.0342411632155117,en,greek
calvin,0.0339771346542036,en,greek
happen,0.0335300228540891,en,greek
fun,0.0334027856851181,en,greek
brother,0.0325438457113218,en,greek
guess,0.0323246952351513,en,greek
new,0.0321055447589808,en,greek
sorority,0.0318797766511127,en,greek
rus,0.0316377964970938,en,greek
week,0.0310097923781282,en,greek
actually,0.0305714914257871,en,greek
sister,0.030416258343113,en,greek
chi,0.0298530091234543,en,greek
tonight,0.0296171366408047,en,greek
meet,0.0290374380925935,en,greek
beaver,0.0283614120743334,en,greek
fine,0.0282765734941,en,greek
nice,0.0281608361879114,en,greek
kts,0.027008980707,en,greek
life,0.0266267828547178,en,greek
stop,0.0257501809500357,en,greek
class,0.0257009549921533,en,greek
ash,0.025298688487097,en,greek
long,0.0247640038072684,en,greek
amphora,0.02475823231475,en,greek
play,0.0246544285691832,en,greek
pretty,0.0246315464421261,en,greek
gay,0.0244559531051968,en,greek
room,0.0244352780930126,en,greek
hear,0.0244352780930126,en,greek
president,0.0235296606676529,en,greek
school,0.0234575571723639,en,greek
believe,0.0230107999979043,en,greek
sound,0.0225724990455632,en,greek
campus,0.0223882336084099,en,greek
miss,0.022024622855137,en,greek
katherine,0.0219673086002777,en,greek
stay,0.0219150476170517,en,greek
idea,0.0213671714266254,en,greek
cap,0.0211903968193054,en,greek
plan,0.0210969747553636,en,greek
remember,0.0210384457123696,en,greek
lavaliere,0.0208194226283125,en,greek
old,0.0208192952361991,en,greek
chamber,0.0206020429693192,en,greek
lizzi,0.02025673553025,en,greek
boyfriend,0.0201869658767676,en,greek
end,0.0201618438076876,en,greek
case,0.0200522685696023,en,greek
logan,0.0199663586879961,en,greek
problem,0.0197235428553465,en,greek
hard,0.0197235428553465,en,greek
turn,0.0197235428553465,en,greek
totally,0.0195854035518008,en,greek
hour,0.019504392379176,en,greek
mind,0.0193948171410907,en,greek
semester,0.0193548346215427,en,greek
mixer,0.0191631162664415,en,greek
sex,0.019001600709905,en,greek
beav,0.0189826778982562,en,greek
lose,0.0189565161887497,en,greek
care,0.0188469409506644,en,greek
game,0.0187774120859257,en,greek
run,0.0186277904744939,en,greek
hope,0.0184086399983234,en,greek
place,0.0180799142840676,en,greek
ready,0.0180799142840676,en,greek
real,0.0177511885698119,en,greek
trust,0.0175624030686011,en,greek
relationship,0.0175233784037409,en,greek
chis,0.0174433000399375,en,greek
hot,0.0173967529268727,en,greek
weird,0.0173597558913941,en,greek
probably,0.0172033123793856,en,greek
dad,0.0171467633183606,en,greek
vesuvius,0.0171045199495967,en,greek
awesome,0.0170260667377526,en,greek
bring,0.0169841619032151,en,greek
pos,0.016899883779861,en,greek
point,0.0168745866651298,en,greek
rush,0.016768156530478,en,greek
boy,0.0167650114270445,en,greek
change,0.0167650114270445,en,greek
kiss,0.0167056207448996,en,greek
study,0.0166196516831362,en,greek
home,0.016545860950874,en,greek
drink,0.0164578494164878,en,greek
wrong,0.0164362857127888,en,greek
exactly,0.0164362857127888,en,greek
course,0.0163473940512765,en,greek
grant,0.0163271187874499,en,greek
forget,0.0162369386860652,en,greek
world,0.0157788342842772,en,greek
money,0.0157788342842772,en,greek
heath,0.015774358901831,en,greek
sis,0.015654929785668,en,greek
lambda,0.0155755305831846,en,greek
tomorrow,0.0154637511295859,en,greek
beer,0.0154372742710224,en,greek
worry,0.0153532957643746,en,greek
deal,0.0152428403991632,en,greek
watch,0.0152309580938509,en,greek
cool,0.0151520106137279,en,greek
second,0.0151213828557657,en,greek
zeta,0.0150887952524601,en,greek
wear,0.0148152992667561,en,greek
crazy,0.0148085683204023,en,greek
hate,0.0148010189383179,en,greek
weekend,0.0147008299032052,en,greek
suppose,0.0146830819034246,en,greek
happy,0.0145735066653394,en,greek
use,0.0145735066653394,en,greek
today,0.0144639314272541,en,greek
polymer,0.0143969833268209,en,greek
sisterhood,0.0143599520344508,en,greek
question,0.0141352057129983,en,greek
gamma,0.0140954481840844,en,greek
secret,0.0140292328454013,en,greek
figure,0.0139173760166273,en,greek
stuff,0.0139173760166273,en,greek
perfect,0.013806920651416,en,greek
check,0.0138064799987425,en,greek
away,0.0136969047606573,en,greek
live,0.0136969047606573,en,greek
girlfriend,0.0136316668197411,en,greek
chance,0.013587329522572,en,greek
hand,0.013587329522572,en,greek
ítre,0.0135044903535,en,greek
seriously,0.0133503989980431,en,greek
parent,0.0133359714132564,en,greek
hang,0.0132546438253593,en,greek
head,0.013149028570231,en,greek
walk,0.0130394533321457,en,greek
job,0.0130394533321457,en,greek
spring,0.0130005458472272,en,greek
panhellenic,0.0129418032554375,en,greek
zbzs,0.0129418032554375,en,greek
kettlewell,0.0129418032554375,en,greek
hasher,0.0129418032554375,en,greek
suck,0.0128361766410776,en,greek
kid,0.0127950311849257,en,greek
late,0.01271072761789,en,greek
pay,0.0127023669993027,en,greek
fisher,0.012673447269391,en,greek
freshman,0.0126615541260751,en,greek
hit,0.0126011523798047,en,greek
sleep,0.0126011523798047,en,greek
car,0.012458319837954,en,greek
buy,0.0123820019036342,en,greek
songf,0.012379116157375,en,greek
throw,0.0123710009036687,en,greek
stupid,0.0123710009036687,en,greek
law,0.0122031700103705,en,greek
spend,0.012150090173246,en,greek
college,0.0121110957999621,en,greek
screw,0.0120525560318774,en,greek
sority,0.0120193923970139,en,greek
team,0.0118610250568088,en,greek
sig,0.0117944699548722,en,greek
movie,0.0117275416942651,en,greek
major,0.0116743899046367,en,greek
hell,0.0116149752370374,en,greek
easy,0.0116149752370374,en,greek
speak,0.0115053999989521,en,greek
later,0.0114873579819781,en,greek
understand,0.0113958247608669,en,greek
kinda,0.011303389929773,en,greek
meeting,0.0112907834675391,en,greek
frannie,0.0111949126066639,en,greek
matter,0.0111766742846963,en,greek
different,0.0111766742846963,en,greek
eat,0.0110670990466111,en,greek
realize,0.0110401971895119,en,greek
high,0.0110229192760889,en,greek
move,0.0109575238085258,en,greek
pick,0.0109575238085258,en,greek
rule,0.0109575238085258,en,greek
decide,0.0108246257907101,en,greek
number,0.0108246257907101,en,greek
vote,0.0107620653332759,en,greek
person,0.0107383733323553,en,greek
student,0.0106377474030168,en,greek
open,0.01062879809427,en,greek
close,0.01062879809427,en,greek
learn,0.01062879809427,en,greek
mom,0.0106064935604155,en,greek
test,0.0105219246340509,en,greek
set,0.010466206181337,en,greek
book,0.010466206181337,en,greek
cause,0.0104096476180995,en,greek
stand,0.0104096476180995,en,greek
ass,0.0104087856594912,en,greek
ball,0.0103468743723541,en,greek
sag,0.0103016221399713,en,greek
fall,0.0103000723800143,en,greek
wish,0.0102723489646535,en,greek
lady,0.0102723489646535,en,greek
fight,0.010190497141929,en,greek
amazing,0.0100693687358122,en,greek
myrtle,0.0100446464462264,en,greek
valentine,0.0099661965584305,en,greek
face,0.0099409828690195,en,greek
reason,0.0098617714276732,en,greek
read,0.0098617714276732,en,greek
social,0.0098593756418204,en,greek
roommate,0.0098352962560985,en,greek
funny,0.0098305275038082,en,greek
dance,0.009774336341371,en,greek
choice,0.0096868078486842,en,greek
anymore,0.0096868078486842,en,greek
undie,0.0096583138906023,en,greek
join,0.0096096167733855,en,greek
pref,0.0095656806670625,en,greek
month,0.0095330457134175,en,greek
fire,0.0095330457134175,en,greek
steal,0.0094991614081742,en,greek
welcome,0.0094641226107834,en,greek
catch,0.0094234704753322,en,greek
true,0.0094234704753322,en,greek
blow,0.0093887060429628,en,greek
educator,0.0093752902893595,en,greek
word,0.0093138952372469,en,greek
wonder,0.0093138952372469,en,greek
sit,0.0093138952372469,en,greek
lie,0.0090947447610764,en,greek
skit,0.0090372383945038,en,greek
ifc,0.009002993569,en,greek
science,0.0088789235874907,en,greek
important,0.0088755942849059,en,greek
eye,0.0088755942849059,en,greek
cute,0.0088265500071817,en,greek
midterm,0.0088019209761595,en,greek
drop,0.0087660190468206,en,greek
card,0.0087616892018704,en,greek
choose,0.008754495021265,en,greek
beta,0.0086703210111886,en,greek
dinner,0.0086422579056077,en,greek
crap,0.0085967054568684,en,greek
gift,0.0085967054568684,en,greek
hair,0.0085733816591803,en,greek
evan,0.0085329098056589,en,greek
die,0.0084372933325649,en,greek
tegan,0.0084038215043977,en,greek
free,0.0083946077560609,en,greek
philanthropy,0.0083554266434537,en,greek
bet,0.0083277180944796,en,greek
anchor,0.0083263537678103,en,greek
engineering,0.0083123254233997,en,greek
kick,0.008305546558636,en,greek
pass,0.0081933094429787,en,greek
cheat,0.0081750948313146,en,greek
morning,0.0081085676183091,en,greek
clean,0.0081085676183091,en,greek
finish,0.0080632416604269,en,greek
luck,0.0080166685644283,en,greek
dean,0.0079800035780603,en,greek
drunk,0.007953690448358,en,greek
consider,0.0079527862952156,en,greek
future,0.0079326036854714,en,greek
past,0.0079197282191781,en,greek
handle,0.0079197282191781,en,greek
phone,0.0079197282191781,en,greek
save,0.0078894171421386,en,greek
graduate,0.0078739543024522,en,greek
dude,0.0078487481686604,en,greek
project,0.0078458222286059,en,greek
caltech,0.0078048877043442,en,greek
mistake,0.0077798419040533,en,greek
accept,0.0077443609803498,en,greek
bit,0.0076702666659681,en,greek
invite,0.0076546007492664,en,greek
moment,0.0076214201995816,en,greek
float,0.0076174629089006,en,greek
enjoy,0.007580311295499,en,greek
finally,0.0075712980886267,en,greek
football,0.0075696997706561,en,greek
kill,0.0075606914278828,en,greek
personal,0.0075198867490353,en,greek
hellenic,0.0075192087144611,en,greek
expect,0.0074511161897975,en,greek
promise,0.007407649633378,en,greek
feeling,0.007407649633378,en,greek
pull,0.0074005094691589,en,greek
fact,0.0074005094691589,en,greek
rest,0.0074005094691589,en,greek
bar,0.0073598189295711,en,greek
straight,0.0073415409517123,en,greek
rushee,0.0073149322748125,en,greek
nerd,0.0073097198339173,en,greek
smart,0.0072900541039476,en,greek
glad,0.0072900541039476,en,greek
advice,0.0072414196619379,en,greek
entire,0.0072372702317755,en,greek
honor,0.0072258316473381,en,greek
douche,0.0072227618975177,en,greek
history,0.0071835483954654,en,greek
couple,0.0071795987387363,en,greek
grade,0.0071748854622246,en,greek
crush,0.0071350744776332,en,greek
dress,0.0071278467898439,en,greek
stick,0.0071259276128252,en,greek
far,0.0071223904755418,en,greek
chair,0.0071102763946741,en,greek
chapter,0.0070950641717042,en,greek
smell,0.007069143373525,en,greek
mention,0.007069143373525,en,greek
awkward,0.0070461823924287,en,greek
answer,0.0070128152374565,en,greek
hook,0.0069967847393361,en,greek
dorm,0.0069837032139587,en,greek
agree,0.0069032423749244,en,greek
line,0.0069032399993712,en,greek
formal,0.0068737897966073,en,greek
tri,0.006862314732568,en,greek
sense,0.0068482326431023,en,greek
forever,0.0068428990712358,en,greek
event,0.0068428990712358,en,greek
coffee,0.0068375077488535,en,greek
special,0.006793664761286,en,greek
offer,0.006793664761286,en,greek
order,0.006791899755974,en,greek
write,0.0067883384735812,en,greek
appreciate,0.0067883384735812,en,greek
lana,0.0067639168066054,en,greek
heart,0.006737777277891,en,greek
grow,0.0066751994990215,en,greek
buddy,0.0066348820804049,en,greek
huck,0.0066345959245245,en,greek
cut,0.0066273219126796,en,greek
send,0.0066273219126796,en,greek
sign,0.0065745142851155,en,greek
drive,0.0065745142851155,en,greek
family,0.0065745142851155,en,greek
seriessub,0.0065686295498747,en,greek
soon,0.0065168665474683,en,greek
apologize,0.0065142478607612,en,greek
shirt,0.0065142478607612,en,greek
excited,0.0064783318217514,en,greek
chad,0.0064775397154665,en,greek
previously,0.0064770878653197,en,greek
bro,0.0064737660956603,en,greek
lsat,0.006471980521469,en,greek
door,0.0064649390470302,en,greek
definitely,0.0064578718991228,en,greek
support,0.0064489215499022,en,greek
spirit,0.0064085793196739,en,greek
practice,0.0063936136411175,en,greek
synergy,0.0063901116396614,en,greek
summer,0.0063747305607423,en,greek
friendship,0.0063709689783532,en,greek
kasius,0.0063660393473933,en,greek
active,0.006365445572544,en,greek
fast,0.006355363808945,en,greek
truth,0.006355363808945,en,greek
able,0.006355363808945,en,greek
club,0.0063230898942164,en,greek
shot,0.0062852784768056,en,greek
wedding,0.0062544294019854,en,greek
rowdy,0.0062355879349046,en,greek
light,0.006235186661222,en,greek
water,0.006235186661222,en,greek
frat,0.0062342440675497,en,greek
proud,0.0062226436007828,en,greek
psis,0.0062190979476754,en,greek
kap,0.0062190979476754,en,greek
deserve,0.0062081246234124,en,greek
cru,0.0061895580786875,en,greek
business,0.0061855004518343,en,greek
hurt,0.0061855004518343,en,greek
romantic,0.0061813719341877,en,greek
super,0.0061766424956457,en,greek
explain,0.0061730413611484,en,greek
dump,0.0061295486160984,en,greek
early,0.0061238440422716,en,greek
lucky,0.0061095046262231,en,greek
trip,0.0060931593526085,en,greek
trouble,0.006075045086623,en,greek
gentleman,0.0060608042454911,en,greek
bid,0.0060488947988832,en,greek
prank,0.0060051605294352,en,greek
mess,0.0059963656516634,en,greek
credit,0.0059834396399311,en,greek
sweet,0.0059645897214117,en,greek
list,0.0059305125284044,en,greek
system,0.0059305125284044,en,greek
count,0.0059170628566039,en,greek
favor,0.0058881544225126,en,greek
senator,0.0058793843691991,en,greek
national,0.0058583183794154,en,greek
purity,0.0058274318784756,en,greek
karmic,0.0058123615377538,en,greek
notice,0.0057898161854204,en,greek
bag,0.0057898161854204,en,greek
graduation,0.0057590510377131,en,greek
beach,0.0057546426544011,en,greek
follow,0.005743678990989,en,greek
freak,0.0056981662913609,en,greek
cal,0.0056969788937649,en,greek
expel,0.0056969788937649,en,greek
focus,0.0056786081304037,en,greek
com,0.0056332982693927,en,greek
beautiful,0.0056118557828621,en,greek
fair,0.0056118557828621,en,greek
group,0.005607481089197,en,greek
internship,0.0055883485345718,en,greek
ago,0.0055883371423481,en,greek
food,0.0055883371423481,en,greek
election,0.0055869625711669,en,greek
rhode,0.00558685418915,en,greek
share,0.0055671309475196,en,greek
imagine,0.0055438097534247,en,greek
dog,0.0055438097534247,en,greek
shut,0.0055227682605664,en,greek
picture,0.0055227682605664,en,greek
bunch,0.0055183329985888,en,greek
issue,0.0055183329985888,en,greek
grab,0.0055183329985888,en,greek
gra,0.0054906226997584,en,greek
professor,0.0054856937181803,en,greek
shoot,0.0054787619042629,en,greek
clear,0.0054787619042629,en,greek
cover,0.0054557883285692,en,greek
burn,0.0054557883285692,en,greek
discuss,0.0054468282067138,en,greek
art,0.0054468282067138,en,greek
story,0.005412312895355,en,greek
kiki,0.0054086557787373,en,greek
apparently,0.0053873815515477,en,greek
travis,0.0053656725546036,en,greek
