mot,poids_tfidf,langue,serie
cappie,0.2373196467676051,fr,greek
zbz,0.1623455295052025,fr,greek
rusty,0.1425719094924557,fr,greek
taire,0.1375944272458157,fr,greek
tre,0.133794748501789,fr,greek
casey,0.1206023685789714,fr,greek
evan,0.1073133985302302,fr,greek
frannie,0.0932353225468814,fr,greek
omega,0.0840014026832858,fr,greek
bizut,0.0772016914350486,fr,greek
spitter,0.0708416856022701,fr,greek
fille,0.0655156728894302,fr,greek
kappa,0.0642386911327795,fr,greek
fraternit,0.0641970590659274,fr,greek
mme,0.0627522701665017,fr,greek
maison,0.0604494345640613,fr,greek
cartwright,0.0602237729369808,fr,greek
rebecca,0.0570413121923337,fr,greek
ici,0.0530803606362519,fr,greek
mec,0.0511890989762196,fr,greek
tau,0.0497096413814964,fr,greek
dobler,0.0495891799215891,fr,greek
besoin,0.0474384134102728,fr,greek
sororit,0.0471396711157466,fr,greek
soir,0.0459653464996021,fr,greek
beaver,0.0447956058686711,fr,greek
aimer,0.0446750106873443,fr,greek
fte,0.0439962513449006,fr,greek
heure,0.0435235928861241,fr,greek
zeta,0.0425584422020483,fr,greek
chamber,0.0424609302892767,fr,greek
petit,0.0414510408439277,fr,greek
dal,0.0398546724161051,fr,greek
ami,0.0388027799011212,fr,greek
greek,0.0383347011760743,fr,greek
ouai,0.037629788604327,fr,greek
apr,0.037536220319779,fr,greek
chi,0.0372008557776089,fr,greek
grand,0.0351182429372165,fr,greek
dsol,0.0351182429372165,fr,greek
frre,0.0345425340366064,fr,greek
veux,0.0337365415757523,fr,greek
super,0.0335011284126297,fr,greek
kapper,0.0333325557564254,fr,greek
sortir,0.032009414873922,fr,greek
ash,0.0310017671759011,fr,greek
gnial,0.0306894832269607,fr,greek
meilleur,0.0306277135124577,fr,greek
problme,0.0297065792714815,fr,greek
mal,0.0295914374913595,fr,greek
regarder,0.0287854450305053,fr,greek
quelqu,0.0285551614702613,fr,greek
cours,0.0284381562939457,fr,greek
mieux,0.0283248779100173,fr,greek
dsole,0.028089933971979,fr,greek
tai,0.0279738598646568,fr,greek
trs,0.0277491690094071,fr,greek
attend,0.0277417116500123,fr,greek
calvin,0.027733245972476,fr,greek
soire,0.0264064598956253,fr,greek
finir,0.0261371840876988,fr,greek
anne,0.0255614751870887,fr,greek
air,0.0246403409461126,fr,greek
appeler,0.0246403409461126,fr,greek
accord,0.0242949156057465,fr,greek
gamma,0.0238131493139634,fr,greek
jordan,0.0237009793795326,fr,greek
gay,0.0234967650909887,fr,greek
chance,0.0233737813647703,fr,greek
pass,0.0231434978045263,fr,greek
aider,0.0230283560244043,fr,greek
dieu,0.0227980724641602,fr,greek
raison,0.0225677889039162,fr,greek
amphore,0.0224636359095581,fr,greek
semaine,0.0224526471237942,fr,greek
ensembl,0.0220540803912232,fr,greek
rush,0.0219809744507589,fr,greek
voil,0.021876938223184,fr,greek
cypru,0.0218428530606999,fr,greek
vrai,0.02164665466294,fr,greek
campus,0.0215916266458792,fr,greek
beta,0.0214861215932211,fr,greek
salut,0.0213012293225739,fr,greek
franni,0.0209320243702701,fr,greek
week,0.0206810143448688,fr,greek
wade,0.0206510181554572,fr,greek
laisse,0.0202649533014757,fr,greek
gars,0.0202434298612773,fr,greek
ashleigh,0.0200718109206432,fr,greek
nuit,0.0200346697412317,fr,greek
max,0.0196378892547841,fr,greek
fisher,0.0195880349232876,fr,greek
sai,0.0195741026207436,fr,greek
nouveau,0.0195741026207436,fr,greek
logan,0.0195081148250485,fr,greek
attendre,0.0191135355002555,fr,greek
bizarre,0.0188738751620449,fr,greek
perdre,0.0186529683797674,fr,greek
sentir,0.0184226848195234,fr,greek
semestre,0.0184170114154875,fr,greek
aspirant,0.0182125234776325,fr,greek
chambre,0.0181075607422675,fr,greek
essayer,0.0180772594791573,fr,greek
prsident,0.0179084911738394,fr,greek
relation,0.0178861641115855,fr,greek
doi,0.0177593384203008,fr,greek
hellenic,0.0177104214005675,fr,greek
cool,0.0174752563882192,fr,greek
arrte,0.0170409834580591,fr,greek
rencard,0.0169146662682882,fr,greek
copain,0.0166327315552668,fr,greek
droit,0.0165804163375711,fr,greek
songfest,0.0165297266405297,fr,greek
dernire,0.016465274557449,fr,greek
devenir,0.016350132777327,fr,greek
oublier,0.0162503750251118,fr,greek
sag,0.016234792190321,fr,greek
plat,0.0161343009177896,fr,greek
demain,0.0161343009177896,fr,greek
argent,0.016119849217083,fr,greek
jouer,0.0160182268104674,fr,greek
pense,0.0155441403164729,fr,greek
bal,0.0155185883261921,fr,greek
soeur,0.0154727143138243,fr,greek
grec,0.0154629128399371,fr,greek
parl,0.0154289985363508,fr,greek
point,0.0154289985363508,fr,greek
