mot,poids_tfidf,langue,serie
patient,0.0992163330943671,en,house
house,0.0788560349205184,en,house
work,0.0723461130345566,en,house
kutner,0.0706435417631919,en,house
cause,0.0680471080155252,en,house
test,0.0636653953277447,en,house
heart,0.0593075268588832,en,house
wrong,0.0587121256884856,en,house
foreman,0.0561035743467426,en,house
talk,0.0528163473766712,en,house
life,0.0506054305097407,en,house
start,0.0498684582207639,en,house
blood,0.0477927043163443,en,house
symptom,0.0477284506033816,en,house
die,0.0471662264945156,en,house
brain,0.0459300307185105,en,house
bad,0.0449553096275852,en,house
doctor,0.0440077533440785,en,house
biopsy,0.0432693772035619,en,house
sure,0.0428672214754843,en,house
cancer,0.0417659278278454,en,house
pain,0.0405261764611537,en,house
drug,0.0403333951852142,en,house
liver,0.0398326585098616,en,house
help,0.0379540728823055,en,house
fine,0.0370207735507434,en,house
stop,0.0369714431636698,en,house
lung,0.0358992583822172,en,house
problem,0.0353746698708867,en,house
love,0.0351290124412278,en,house
lie,0.034392040152251,en,house
kidney,0.0340389676056347,en,house
long,0.0340235540077626,en,house
care,0.0340235540077626,en,house
kill,0.0330409242891268,en,house
job,0.0329180955742974,en,house
cuddy,0.0327987872471962,en,house
little,0.032549609429809,en,house
happen,0.0318126371408322,en,house
actually,0.0310756648518553,en,house
explain,0.0308240759841804,en,house
run,0.0303386925628785,en,house
case,0.0300930351332196,en,house
infection,0.0299248338310596,en,house
win,0.0278821182662892,en,house
kid,0.0276787621082436,en,house
tumor,0.0276669717653292,en,house
new,0.0268994885476534,en,house
home,0.026776659832824,en,house
idea,0.026531002403165,en,house
hour,0.0257940301141882,en,house
change,0.0256712013993588,en,house
old,0.0253027152548703,en,house
check,0.0251798865400409,en,house
night,0.0250570578252114,en,house
great,0.0250570578252114,en,house
fire,0.0248114003955525,en,house
mri,0.0246283882262227,en,house
reason,0.0244429142510641,en,house
autoimmune,0.0243204028028783,en,house
screw,0.0240328365687515,en,house
nice,0.0237059419620873,en,house
hear,0.0235831132472578,en,house
cameron,0.023215391927723,en,house
hand,0.0232146271027694,en,house
away,0.0232146271027694,en,house
like,0.0230917983879399,en,house
lose,0.022846140958281,en,house
normal,0.0225003377197573,en,house
sick,0.0225003377197573,en,house
treat,0.0223209354137113,en,house
head,0.0222319973841336,en,house
big,0.0221629380119835,en,house
point,0.0216178538099863,en,house
answer,0.0216178538099863,en,house
clot,0.0215164304734674,en,house
treatment,0.0211834382148424,en,house
wilson,0.0211593211917924,en,house
play,0.0211265389506684,en,house
friend,0.0208808815210095,en,house
team,0.0208383809563661,en,house
stay,0.02075805280618,en,house
diagnosis,0.0207502288239969,en,house
surgery,0.0204322524625431,en,house
happy,0.0203895666616916,en,house
week,0.0203895666616916,en,house
fever,0.020255064409523,en,house
sleep,0.0201439092320327,en,house
seizure,0.0199583653109315,en,house
dead,0.0195297656578854,en,house
wife,0.0194069369430559,en,house
break,0.0191913709042315,en,house
room,0.019161279513397,en,house
steroid,0.0189907816357943,en,house
place,0.018915622083738,en,house
figure,0.0186961097196062,en,house
live,0.0185471359392496,en,house
month,0.0184243072244201,en,house
save,0.0184243072244201,en,house
believe,0.0180558210799317,en,house
amyloidosis,0.0180050485303946,en,house
idiot,0.017755289533634,en,house
hurt,0.0177055873503555,en,house
miss,0.0176873349354433,en,house
rule,0.0176873349354433,en,house
lymphoma,0.0176367335230286,en,house
hospital,0.0175144674295838,en,house
disease,0.0174461712114691,en,house
turn,0.0173188487909549,en,house
ago,0.017073191361296,en,house
guess,0.0168275339316371,en,house
mom,0.0167474104618648,en,house
probably,0.0165818765019781,en,house
bring,0.0162133903574897,en,house
question,0.0162133903574897,en,house
prove,0.0160959885003232,en,house
stuff,0.0160959885003232,en,house
body,0.0160959885003232,en,house
chase,0.015972836349122,en,house
use,0.0159677329278308,en,house
sign,0.0159677329278308,en,house
medical,0.0159309872098996,en,house
vicodin,0.0157287573533134,en,house
syndrome,0.0156779506670198,en,house
med,0.0156583210369104,en,house
second,0.0155992467833424,en,house
damage,0.0155606016163304,en,house
eye,0.0154764180685129,en,house
sound,0.0154764180685129,en,house
cut,0.0153530967233852,en,house
leg,0.0153356120273626,en,house
chance,0.014985103209195,en,house
hard,0.014985103209195,en,house
bleed,0.0147976417400298,en,house
lesion,0.0147029688302713,en,house
matter,0.0146166170647066,en,house
sense,0.0146102049464472,en,house
suppose,0.0143709596350477,en,house
end,0.0143709596350477,en,house
toxin,0.0143579071979791,en,house
sex,0.0142915493653936,en,house
real,0.0142481309202182,en,house
eat,0.0142481309202182,en,house
mind,0.0142481309202182,en,house
interesting,0.0142387590579782,en,house
obviously,0.0141905539028014,en,house
shalimarfox,0.014185795811826,en,house
clean,0.0141253022053888,en,house
course,0.0141149437618219,en,house
buy,0.0138796447757298,en,house
dibala,0.0138764099891984,en,house
baby,0.01372908526912,en,house
cyst,0.0137106293036245,en,house
hate,0.0134958672810402,en,house
issue,0.013402551687779,en,house
pick,0.013388329916412,en,house
show,0.0133720519848839,en,house
open,0.0132655012015825,en,house
drink,0.0132482366887275,en,house
alvie,0.0132456640805984,en,house
confirm,0.0128464049917713,en,house
failure,0.0127701577890894,en,house
shut,0.0127529755041022,en,house
pretty,0.0127529755041022,en,house
deal,0.0126291602079459,en,house
send,0.0126291602079459,en,house
meet,0.0125285289126057,en,house
game,0.0125053449117895,en,house
watch,0.0124057001977762,en,house
pay,0.0123815296156332,en,house
clear,0.0121600427681173,en,house
move,0.0121600427681173,en,house
spend,0.0121338990233205,en,house
assume,0.0121338990233205,en,house
parent,0.0121138447947234,en,house
antibiotic,0.0121130462218836,en,house
high,0.0121065570100421,en,house
cell,0.0120780052835972,en,house
hope,0.0117915566236289,en,house
cure,0.0117184977358703,en,house
miserable,0.0116831103034785,en,house
money,0.0116687279087994,en,house
walk,0.0116687279087994,en,house
girl,0.0116687279087994,en,house
cardiac,0.0116628289993905,en,house
plan,0.0116386378386952,en,house
fun,0.0114825076796276,en,house
sit,0.0114230704791405,en,house
trust,0.0113910072463825,en,house
cool,0.0113231299533723,en,house
truth,0.011300241764311,en,house
