mot,poids_tfidf,langue,serie
barney,0.2114051967836709,en,howimetyourmother
marshall,0.1923663661961356,en,howimetyourmother
lily,0.1757777404653707,en,howimetyourmother
robin,0.1280144647325108,en,howimetyourmother
love,0.0782552454330016,en,howimetyourmother
ted,0.0746366167591421,en,howimetyourmother
girl,0.0640462984302615,en,howimetyourmother
great,0.0634100769226761,en,howimetyourmother
night,0.0586384156157858,en,howimetyourmother
kid,0.0568045154137011,en,howimetyourmother
work,0.0556693819137207,en,howimetyourmother
little,0.0535486435551027,en,howimetyourmother
talk,0.0517460159502775,en,howimetyourmother
friend,0.0476105761509725,en,howimetyourmother
happen,0.0460200223820091,en,howimetyourmother
big,0.0397625683742514,en,howimetyourmother
stella,0.0383740044441246,en,howimetyourmother
life,0.0380672535371918,en,howimetyourmother
bad,0.0372189581937447,en,howimetyourmother
date,0.0370650463903318,en,howimetyourmother
dude,0.0349625029687409,en,howimetyourmother
meet,0.0345680352454722,en,howimetyourmother
story,0.0343112485164911,en,howimetyourmother
baby,0.0328629045030558,en,howimetyourmother
awesome,0.0326910197516214,en,howimetyourmother
new,0.0322352230509925,en,howimetyourmother
mosby,0.0321265168495876,en,howimetyourmother
break,0.0318528101492659,en,howimetyourmother
long,0.0309627800358218,en,howimetyourmother
nice,0.0303265585282364,en,howimetyourmother
sure,0.029690337020651,en,howimetyourmother
tonight,0.0291994987551742,en,howimetyourmother
actually,0.0289480785951347,en,howimetyourmother
wedding,0.0289036137639004,en,howimetyourmother
guess,0.0288420416772038,en,howimetyourmother
place,0.0288420416772038,en,howimetyourmother
like,0.0279937463337567,en,howimetyourmother
totally,0.0278126373969179,en,howimetyourmother
start,0.0277816724978949,en,howimetyourmother
sex,0.0277599717692403,en,howimetyourmother
win,0.0270394140723786,en,howimetyourmother
marry,0.0264877335392679,en,howimetyourmother
fine,0.0264014902915056,en,howimetyourmother
believe,0.0258730079751387,en,howimetyourmother
old,0.0256609341392769,en,howimetyourmother
hot,0.024980953241207,en,howimetyourmother
play,0.0247066018778989,en,howimetyourmother
crazy,0.0246741151842616,en,howimetyourmother
pretty,0.0244774950475902,en,howimetyourmother
live,0.0238583065344517,en,howimetyourmother
stop,0.0237522696165208,en,howimetyourmother
hear,0.0233281219447972,en,howimetyourmother
happy,0.0231160481089354,en,howimetyourmother
bar,0.0229491862844304,en,howimetyourmother
party,0.0229173092778029,en,howimetyourmother
home,0.0227979373551427,en,howimetyourmother
stuff,0.0225534998036748,en,howimetyourmother
apartment,0.0222413919201015,en,howimetyourmother
bring,0.0212073835861793,en,howimetyourmother
week,0.0208892728323866,en,howimetyourmother
weird,0.0208042922658078,en,howimetyourmother
cool,0.0207450524742197,en,howimetyourmother
fun,0.0206874677527433,en,howimetyourmother
job,0.020465125160663,en,howimetyourmother
sleep,0.0203590882427321,en,howimetyourmother
remember,0.0203590882427321,en,howimetyourmother
end,0.0201470144068703,en,howimetyourmother
architect,0.0201437137296919,en,howimetyourmother
druther,0.0200609185738586,en,howimetyourmother
game,0.0198812841871257,en,howimetyourmother
watch,0.0196168298172158,en,howimetyourmother
second,0.0189806083096304,en,howimetyourmother
drink,0.018919286565168,en,howimetyourmother
course,0.018812397940506,en,howimetyourmother
wrong,0.0186624975558378,en,howimetyourmother
hate,0.0185986206911821,en,howimetyourmother
exactly,0.0185564606379069,en,howimetyourmother
bro,0.0185027781771607,en,howimetyourmother
number,0.0184917320665201,en,howimetyourmother
turn,0.0183443868020451,en,howimetyourmother
relationship,0.0183141289560479,en,howimetyourmother
check,0.0182383498841142,en,howimetyourmother
today,0.0181323129661833,en,howimetyourmother
help,0.0177081652944597,en,howimetyourmother
month,0.0176021283765288,en,howimetyourmother
mom,0.0174377579133513,en,howimetyourmother
suit,0.0174097275261196,en,howimetyourmother
sound,0.017390054540667,en,howimetyourmother
idea,0.0172840176227361,en,howimetyourmother
eat,0.0170719437868743,en,howimetyourmother
away,0.0169659068689434,en,howimetyourmother
world,0.0169659068689434,en,howimetyourmother
change,0.0169659068689434,en,howimetyourmother
real,0.0169659068689434,en,howimetyourmother
funny,0.0167815140719287,en,howimetyourmother
hell,0.0167538330330816,en,howimetyourmother
hard,0.0167538330330816,en,howimetyourmother
wear,0.0167263773875907,en,howimetyourmother
run,0.0165417591972198,en,howimetyourmother
shalimarfox,0.0164856315413897,en,howimetyourmother
hour,0.0161176115254962,en,howimetyourmother
stupid,0.015819516449971,en,howimetyourmother
phone,0.01565643750251,en,howimetyourmother
point,0.0155874269358418,en,howimetyourmother
room,0.0154813900179109,en,howimetyourmother
head,0.0154813900179109,en,howimetyourmother
forget,0.0151781847019992,en,howimetyourmother
couple,0.0151781847019992,en,howimetyourmother
stay,0.0150572423461873,en,howimetyourmother
miss,0.0147391315923946,en,howimetyourmother
sit,0.0147391315923946,en,howimetyourmother
eriksen,0.0147019653379469,en,howimetyourmother
single,0.0145541205840075,en,howimetyourmother
slap,0.0145466896252047,en,howimetyourmother
cause,0.0145270577565328,en,howimetyourmother
buy,0.0144210208386019,en,howimetyourmother
girlfriend,0.014358871327135,en,howimetyourmother
ready,0.0142089470027401,en,howimetyourmother
stinson,0.0141305413211912,en,howimetyourmother
hang,0.0141092984553795,en,howimetyourmother
lose,0.0141029100848092,en,howimetyourmother
dad,0.0140071396242533,en,howimetyourmother
plan,0.0137886325813936,en,howimetyourmother
fiero,0.0136129308684693,en,howimetyourmother
morning,0.0135727254951547,en,howimetyourmother
ranjit,0.0135411200373545,en,howimetyourmother
walk,0.0134666885772238,en,howimetyourmother
word,0.013254614741362,en,howimetyourmother
perfect,0.0132541894580838,en,howimetyourmother
probably,0.0130425409055002,en,howimetyourmother
tomorrow,0.0130404122087598,en,howimetyourmother
brunch,0.012854443830615,en,howimetyourmother
school,0.0128163151411409,en,howimetyourmother
kill,0.0127244301517075,en,howimetyourmother
hand,0.0127244301517075,en,howimetyourmother
mind,0.0126183932337766,en,howimetyourmother
eye,0.0126183932337766,en,howimetyourmother
deal,0.012612857710112,en,howimetyourmother
building,0.0124713078747386,en,howimetyourmother
lie,0.012300282479984,en,howimetyourmother
later,0.0122921918361261,en,howimetyourmother
care,0.0121942455620531,en,howimetyourmother
realize,0.0121771153560207,en,howimetyourmother
move,0.0120882086441222,en,howimetyourmother
movie,0.0120436720831434,en,howimetyourmother
suppose,0.0119821717261913,en,howimetyourmother
person,0.0119821717261913,en,howimetyourmother
swarley,0.011979379164253,en,howimetyourmother
scherbatsky,0.011979379164253,en,howimetyourmother
moment,0.0119715259621402,en,howimetyourmother
high,0.0119599422945547,en,howimetyourmother
hit,0.0118761348082604,en,howimetyourmother
face,0.0118646373374782,en,howimetyourmother
aldrin,0.0117754511009926,en,howimetyourmother
open,0.0117700978903295,en,howimetyourmother
dream,0.011744447838797,en,howimetyourmother
boy,0.0116640609723986,en,howimetyourmother
kiss,0.0116441684103267,en,howimetyourmother
damn,0.0116367006109181,en,howimetyourmother
bit,0.0114519871365368,en,howimetyourmother
boyfriend,0.0114150907429336,en,howimetyourmother
problem,0.0113459502186059,en,howimetyourmother
buddy,0.0113236627539194,en,howimetyourmother
raceman,0.0112734212374127,en,howimetyourmother
pick,0.011239913300675,en,howimetyourmother
close,0.011239913300675,en,howimetyourmother
beer,0.0112330403083164,en,howimetyourmother
lady,0.0112233055895064,en,howimetyourmother
seriously,0.0111675288479442,en,howimetyourmother
boob,0.0111388153282951,en,howimetyourmother
rule,0.0111338763827441,en,howimetyourmother
willow,0.0111265893044037,en,howimetyourmother
read,0.0110278394648132,en,howimetyourmother
spend,0.0110095283401825,en,howimetyourmother
bed,0.0110095283401825,en,howimetyourmother
fall,0.0109218025468823,en,howimetyourmother
ago,0.0109218025468823,en,howimetyourmother
throw,0.0109026397155205,en,howimetyourmother
sweet,0.0109026397155205,en,howimetyourmother
finally,0.010882470015766,en,howimetyourmother
fight,0.0108157656289514,en,howimetyourmother
picture,0.0107957510908585,en,howimetyourmother
early,0.0107747227878871,en,howimetyourmother
amazing,0.0107295865401817,en,howimetyourmother
question,0.0107097287110205,en,howimetyourmother
hope,0.0107097287110205,en,howimetyourmother
wish,0.0106888624661966,en,howimetyourmother
set,0.0106669755600083,en,howimetyourmother
fire,0.0106036917930896,en,howimetyourmother
design,0.0105918903995253,en,howimetyourmother
decide,0.0105819738415346,en,howimetyourmother
cry,0.0105690254826296,en,howimetyourmother
dog,0.0105106153863004,en,howimetyourmother
important,0.0104976548751587,en,howimetyourmother
married,0.0104396475029621,en,howimetyourmother
college,0.0104045017949432,en,howimetyourmother
com,0.0103465196829953,en,howimetyourmother
canadian,0.0102897440361332,en,howimetyourmother
team,0.0102639967464663,en,howimetyourmother
crap,0.0102564335219742,en,howimetyourmother
aunt,0.0102248525038717,en,howimetyourmother
money,0.010179544121366,en,howimetyourmother
pay,0.0101544193428867,en,howimetyourmother
birthday,0.0101205959164153,en,howimetyourmother
mistake,0.0100735072034351,en,howimetyourmother
family,0.0100735072034351,en,howimetyourmother
mother,0.0100735072034351,en,howimetyourmother
fact,0.0099406420935628,en,howimetyourmother
true,0.0098614333675733,en,howimetyourmother
suck,0.0098005920321087,en,howimetyourmother
laugh,0.0097902551839095,en,howimetyourmother
door,0.0097553964496424,en,howimetyourmother
burger,0.0097456994524551,en,howimetyourmother
teach,0.0097121689643982,en,howimetyourmother
ass,0.0095252451938347,en,howimetyourmother
young,0.0095130875949149,en,howimetyourmother
hair,0.0094817560533407,en,howimetyourmother
hook,0.0094558420934791,en,howimetyourmother
breakup,0.0094391388078063,en,howimetyourmother
cute,0.0092533239230801,en,howimetyourmother
promise,0.0092320914152286,en,howimetyourmother
use,0.009225211859988,en,howimetyourmother
moby,0.0092176391566566,en,howimetyourmother
super,0.009214836216356,en,howimetyourmother
news,0.009192421720929,en,howimetyourmother
naked,0.0091643856043406,en,howimetyourmother
food,0.0091191749420571,en,howimetyourmother
pant,0.0090667802781528,en,howimetyourmother
monkey,0.0090249660327981,en,howimetyourmother
easy,0.0090131380241262,en,howimetyourmother
favorite,0.008993786896653,en,howimetyourmother
write,0.0089778173091316,en,howimetyourmother
car,0.0089062528946911,en,howimetyourmother
dance,0.0088889090523776,en,howimetyourmother
anymore,0.0087275254581886,en,howimetyourmother
chance,0.0086950272703335,en,howimetyourmother
bet,0.0086950272703335,en,howimetyourmother
bathroom,0.0086803455646529,en,howimetyourmother
truth,0.0085889903524026,en,howimetyourmother
stand,0.0085889903524026,en,howimetyourmother
understand,0.0085889903524026,en,howimetyourmother
painting,0.0085002850662997,en,howimetyourmother
wife,0.0084829534344717,en,howimetyourmother
half,0.0084042837745519,en,howimetyourmother
die,0.0083769165165408,en,howimetyourmother
reason,0.0083769165165408,en,howimetyourmother
dinner,0.0083631886937953,en,howimetyourmother
claudia,0.0082651701879653,en,howimetyourmother
