mot,poids_tfidf,langue,serie
taire,0.2801196549429107,fr,intreatment
tre,0.1490672982599275,fr,intreatment
pre,0.1022538233170226,fr,intreatment
mme,0.0937538156715629,fr,intreatment
patient,0.066848275144284,fr,intreatment
laurer,0.0615721745667633,fr,intreatment
semaine,0.0607687113757492,fr,intreatment
thrapie,0.051560523406706,fr,intreatment
ici,0.0499851195867331,fr,intreatment
enfant,0.0488433275149549,fr,intreatment
apr,0.0483358643719424,fr,intreatment
aimer,0.0473209380859174,fr,intreatment
sance,0.0452918176720559,fr,intreatment
sentir,0.0452910855138673,fr,intreatment
treatmer,0.0437283346506061,fr,intreatment
trs,0.0431343671560641,fr,intreatment
heure,0.0426269040130516,fr,intreatment
problme,0.0418657092985328,fr,intreatment
thrapeute,0.0410272674643698,fr,intreatment
oliver,0.0393161901347801,fr,intreatment
besoin,0.0392015277977171,fr,intreatment
amy,0.0372236001960783,fr,intreatment
tai,0.0368331968712094,fr,intreatment
essayer,0.0362836147253951,fr,intreatment
pass,0.0351418226536169,fr,intreatment
quelqu,0.0338731647960856,fr,intreatment
mal,0.0328582385100606,fr,intreatment
kat,0.0327828046754074,fr,intreatment
accord,0.0324776411528012,fr,intreatment
parl,0.031335849081023,fr,intreatment
regarder,0.0310821175095168,fr,intreatment
attendre,0.0304477885807511,fr,intreatment
fille,0.0299403254377386,fr,intreatment
appeler,0.0291791307232198,fr,intreatment
peur,0.0289253991517136,fr,intreatment
petit,0.028417936008701,fr,intreatment
finir,0.0279104728656885,fr,intreatment
sophie,0.0276469090554656,fr,intreatment
mieux,0.0272761439369229,fr,intreatment
veux,0.0270224123654166,fr,intreatment
maison,0.0262612176508978,fr,intreatment
souvenir,0.0257537545078853,fr,intreatment
sortir,0.0257537545078853,fr,intreatment
air,0.0255000229363791,fr,intreatment
ressentir,0.0252147345005733,fr,intreatment
alex,0.0250054812560933,fr,intreatment
arriv,0.0239776335073415,fr,intreatment
grand,0.0235970361500821,fr,intreatment
parent,0.0235846246302494,fr,intreatment
colre,0.023115283968018,fr,intreatment
revenir,0.0228358414355633,fr,intreatment
lenny,0.0227105271691173,fr,intreatment
mort,0.0216940493637852,fr,intreatment
question,0.0209328546492664,fr,intreatment
aider,0.0209328546492664,fr,intreatment
ami,0.0209328546492664,fr,intreatment
mourir,0.0204253915062539,fr,intreatment
bes,0.0202507657457879,fr,intreatment
