mot,poids_tfidf,langue,serie
mariel,0.2470571538091116,en,invasion
larkin,0.1877509679456503,en,invasion
underlay,0.1807475710321798,en,invasion
szura,0.1448740073158693,en,invasion
russ,0.1233952859290766,en,invasion
hurricane,0.1227448451478761,en,invasion
russell,0.1043415344806757,en,invasion
talk,0.0881293330615662,en,invasion
lewis,0.0874538138921352,en,invasion
happen,0.0757697314736636,en,invasion
water,0.0589724811661228,en,invasion
dad,0.057880398181565,en,invasion
sure,0.0558868941366029,en,invasion
tom,0.0543958515722746,en,invasion
kid,0.0531163254518217,en,invasion
rise,0.0522318164107489,en,invasion
night,0.0464828494501553,en,invasion
sheriff,0.0457897808974875,en,invasion
home,0.0429899185666176,en,invasion
honey,0.0400303353033027,en,invasion
help,0.0389596137009972,en,invasion
work,0.0373474917547491,en,invasion
stay,0.036541430781625,en,invasion
little,0.0362727437905836,en,invasion
mom,0.0355162268994989,en,invasion
baby,0.0354926969981295,en,invasion
jess,0.0347395171503492,en,invasion
kill,0.0341232478622527,en,invasion
hybrid,0.0339473879316579,en,invasion
stop,0.0330484998980873,en,invasion
wife,0.0327798129070459,en,invasion
hear,0.0325111259160046,en,invasion
house,0.0319737519339218,en,invasion
hospital,0.0313213969507392,en,invasion
morning,0.0311676909607978,en,invasion
family,0.0303616299876737,en,invasion
place,0.0271373860951774,en,invasion
live,0.026868699104136,en,invasion
deputy,0.0267143549906525,en,invasion
ronanasplit,0.0266869942659071,en,invasion
derek,0.026535840362735,en,invasion
lose,0.0255252641489292,en,invasion
light,0.0251179086448301,en,invasion
long,0.0249878901668465,en,invasion
glade,0.0243906605148546,en,invasion
child,0.0241052166666741,en,invasion
town,0.0239436285715465,en,invasion
love,0.023913142202681,en,invasion
daddy,0.0237684108385992,en,invasion
anymore,0.0237528049141328,en,invasion
different,0.0233757682205983,en,invasion
care,0.0225697072474742,en,invasion
story,0.0222093007490705,en,invasion
wrong,0.0220323332653915,en,invasion
believe,0.0220323332653915,en,invasion
pretty,0.0219384556179843,en,invasion
great,0.0217636462743501,en,invasion
win,0.0209575853012261,en,invasion
son,0.0205842299625531,en,invasion
mother,0.0204202113191433,en,invasion
miss,0.0204202113191433,en,invasion
military,0.0202119324497351,en,invasion
understand,0.020151524328102,en,invasion
close,0.020151524328102,en,invasion
car,0.0200906308703781,en,invasion
storm,0.0198696807512258,en,invasion
gator,0.0197346697575183,en,invasion
homestead,0.0197089692803386,en,invasion
kira,0.0195222531683525,en,invasion
vargas,0.0193558851200459,en,invasion
shoot,0.0193454633549779,en,invasion
change,0.0193454633549779,en,invasion
today,0.0193454633549779,en,invasion
away,0.0190767763639365,en,invasion
fine,0.0189591591760358,en,invasion
life,0.0188080893728952,en,invasion
like,0.0185394023818538,en,invasion
big,0.0184174689138633,en,invasion
grove,0.0183948211225795,en,invasion
problem,0.0180020283997711,en,invasion
invasion,0.017886080783275,en,invasion
alien,0.0178708551632773,en,invasion
girl,0.0174646544176884,en,invasion
tonight,0.0172003070067858,en,invasion
die,0.017195967426647,en,invasion
friend,0.017195967426647,en,invasion
air,0.0169229585231471,en,invasion
weather,0.0168413376611414,en,invasion
meet,0.0166585934445643,en,invasion
guess,0.0163899064535229,en,invasion
father,0.0163812447683674,en,invasion
crazy,0.0163812447683674,en,invasion
hope,0.0161212194624816,en,invasion
hell,0.0161212194624816,en,invasion
idea,0.0161212194624816,en,invasion
bad,0.0161212194624816,en,invasion
phone,0.0160906818744677,en,invasion
dead,0.0158525324714402,en,invasion
actually,0.0158525324714402,en,invasion
survivor,0.0158160438173687,en,invasion
husband,0.0157090176030011,en,invasion
landfall,0.015610022729507,en,invasion
adaptation,0.0155996376351923,en,invasion
safe,0.015562182529949,en,invasion
force,0.0154119908046736,en,invasion
run,0.0153151584893575,en,invasion
varon,0.0152497110090898,en,invasion
gun,0.0152228035660447,en,invasion
second,0.0150464714983161,en,invasion
hour,0.0150464714983161,en,invasion
island,0.0150331934274431,en,invasion
plane,0.0146634208567859,en,invasion
bring,0.0145090975162334,en,invasion
plan,0.0143547919475699,en,invasion
radio,0.0141283213498526,en,invasion
new,0.0139717235341507,en,invasion
afraid,0.0137030365431093,en,invasion
suppose,0.0137030365431093,en,invasion
sound,0.0137030365431093,en,invasion
send,0.0135422565543112,en,invasion
trust,0.013271411423225,en,invasion
blood,0.013271411423225,en,invasion
protect,0.0132102778325774,en,invasion
truth,0.0131656625610266,en,invasion
road,0.0131049958146939,en,invasion
course,0.0130005662921388,en,invasion
probably,0.0128969755699853,en,invasion
mind,0.0128969755699853,en,invasion
school,0.0126598495895533,en,invasion
fish,0.0125240983123387,en,invasion
paxton,0.0125178160576111,en,invasion
hang,0.0124588760299663,en,invasion
start,0.0123596015879025,en,invasion
remember,0.0123596015879025,en,invasion
skeleton,0.0123280179339389,en,invasion
body,0.0121880308988801,en,invasion
extraterrestrial,0.012177244645985,en,invasion
person,0.0120909145968612,en,invasion
gage,0.0120711676879212,en,invasion
raceman,0.0120610846596166,en,invasion
goin,0.0120465544234018,en,invasion
