mot,poids_tfidf,langue,serie
mariel,0.312238846983937,fr,invasion
larkin,0.2207393356486182,fr,invasion
underlay,0.1823410840699782,fr,invasion
taire,0.1571330919993556,fr,invasion
russell,0.1298149838865025,fr,invasion
jesse,0.1220159870639472,fr,invasion
ici,0.1154765283854597,fr,invasion
tre,0.1092422127425637,fr,invasion
rus,0.1086535546841703,fr,invasion
heure,0.0984738493593797,fr,invasion
ouragan,0.0981458339713337,fr,invasion
ouai,0.0828858459967552,fr,invasion
szurer,0.0770046012407079,fr,invasion
eau,0.0732924007051599,fr,invasion
lewis,0.0661913763992716,fr,invasion
dave,0.0633394687337004,fr,invasion
mme,0.0631932903802638,fr,invasion
tom,0.0582740711699983,fr,invasion
trs,0.0566755967535998,fr,invasion
enfant,0.0559671517941798,fr,invasion
papa,0.0559671517941798,fr,invasion
besoin,0.0528499939727318,fr,invasion
rose,0.0479872426504262,fr,invasion
salut,0.0450570994191119,fr,invasion
szura,0.0450404271407914,fr,invasion
nuit,0.0449154104272279,fr,invasion
healy,0.0445221843002095,fr,invasion
shrif,0.0434931221267209,fr,invasion
derek,0.0417006520932575,fr,invasion
arriv,0.0409481186544759,fr,invasion
dsol,0.0405230516788239,fr,invasion
chrie,0.0389644727680999,fr,invasion
ronanasplit,0.0385023006203539,fr,invasion
pre,0.0376892718411439,fr,invasion
petit,0.0365557599060719,fr,invasion
maison,0.0364140709141879,fr,invasion
varon,0.0361264622323777,fr,invasion
apr,0.0347138030115799,fr,invasion
appeler,0.0344304250278119,fr,invasion
hybride,0.0338819748769492,fr,invasion
russel,0.0330123054299987,fr,invasion
paxton,0.0323408794089836,fr,invasion
jes,0.0323099738084946,fr,invasion
quelqu,0.0320217121657839,fr,invasion
dieu,0.0318800231738999,fr,invasion
mec,0.031421895826584,fr,invasion
hpital,0.0310338961273671,fr,invasion
air,0.0307465112388279,fr,invasion
famille,0.0306048222469439,fr,invasion
sortir,0.0304631332550599,fr,invasion
trouv,0.0298963772875239,fr,invasion
tai,0.0297099457072979,fr,invasion
sai,0.0291879323281039,fr,invasion
veux,0.0284794873686839,fr,invasion
ecoute,0.0283495481367559,fr,invasion
fille,0.0283377983767999,fr,invasion
woh,0.0265017925894639,fr,invasion
christina,0.0255224071360249,fr,invasion
appel,0.0249372625715839,fr,invasion
aimer,0.0247955735796999,fr,invasion
ville,0.0244787978779512,fr,invasion
soir,0.0242821671646185,fr,invasion
mari,0.0242821671646185,fr,invasion
perdre,0.0242288176121639,fr,invasion
accord,0.0242288176121639,fr,invasion
parl,0.0239454396283959,fr,invasion
attendre,0.0235203726527439,fr,invasion
lumire,0.0234557813916754,fr,invasion
mourir,0.0233786836608599,fr,invasion
peur,0.0233786836608599,fr,invasion
alligator,0.0233769769168972,fr,invasion
christiner,0.0228324781830922,fr,invasion
problme,0.0228119276933239,fr,invasion
alien,0.022310729492604,fr,invasion
mieux,0.0222451717257879,fr,invasion
militaire,0.0221110732165888,fr,invasion
pria,0.0219886511960519,fr,invasion
rentrer,0.0216784157582519,fr,invasion
invasion,0.0216560013543648,fr,invasion
sang,0.0211116597907159,fr,invasion
matin,0.020996932783523,fr,invasion
gars,0.0207349817319116,fr,invasion
endroit,0.0207112602286451,fr,invasion
chercher,0.0205449038231799,fr,invasion
pass,0.0202615258394119,fr,invasion
lewi,0.0201944269228691,fr,invasion
voil,0.0201198368475279,fr,invasion
aider,0.0198364588637599,fr,invasion
plat,0.0197114062865726,fr,invasion
voiture,0.0194818395541683,fr,invasion
ami,0.0189863249124559,fr,invasion
arrter,0.0184195689449199,fr,invasion
attend,0.0181402072347444,fr,invasion
minute,0.0181402072347444,fr,invasion
dav,0.0179274189622641,fr,invasion
route,0.017855123158035,fr,invasion
nouveau,0.0178528129773839,fr,invasion
raison,0.0175694349936159,fr,invasion
vien,0.0174277460017319,fr,invasion
all,0.0171403532926718,fr,invasion
largo,0.0171239170385421,fr,invasion
revenir,0.0168609900341959,fr,invasion
sentir,0.0168609900341959,fr,invasion
homestead,0.01670564538157,fr,invasion
essayer,0.0165776120504279,fr,invasion
laisse,0.0165776120504279,fr,invasion
babouin,0.016447822609619,fr,invasion
grove,0.0159878094953387,fr,invasion
raceman,0.0159651679433515,fr,invasion
aide,0.0158691670910079,fr,invasion
grand,0.0157274780991239,fr,invasion
plutt,0.0157119905182825,fr,invasion
fils,0.0155857891072399,fr,invasion
travailler,0.0154441001153559,fr,invasion
corps,0.0154263179634046,fr,invasion
tlphone,0.0151138425504074,fr,invasion
regarder,0.0148773441478199,fr,invasion
avion,0.014779422235524,fr,invasion
tempte,0.0147653896545604,fr,invasion
rescap,0.0146006087813243,fr,invasion
aujourd,0.0144522771721679,fr,invasion
calmar,0.0143109679983105,fr,invasion
bonjour,0.0143105881802839,fr,invasion
donn,0.0143105881802839,fr,invasion
confiance,0.0141688991883999,fr,invasion
tuer,0.0141688991883999,fr,invasion
force,0.0141407914664543,fr,invasion
mal,0.0140272101965159,fr,invasion
pense,0.0137438322127479,fr,invasion
mort,0.0137438322127479,fr,invasion
bureau,0.0137194193045648,fr,invasion
partie,0.0136021432208639,fr,invasion
squelette,0.0135979543387872,fr,invasion
fait,0.0134604542289799,fr,invasion
poisson,0.0134407711714635,fr,invasion
tard,0.0132837738018207,fr,invasion
kira,0.0131258642283764,fr,invasion
enceint,0.013113280255489,fr,invasion
intrieur,0.0130643189837267,fr,invasion
test,0.0129383209252873,fr,invasion
arme,0.0128936982614439,fr,invasion
radio,0.0128439322361067,fr,invasion
taient,0.0127520092695599,fr,invasion
courant,0.0127124286920649,fr,invasion
munger,0.012711162637318,fr,invasion
vrit,0.0126288416842691,fr,invasion
devenir,0.0126103202776759,fr,invasion
vrai,0.0126103202776759,fr,invasion
camion,0.0125593706694556,fr,invasion
jess,0.0125190108593665,fr,invasion
porte,0.0124686312857919,fr,invasion
point,0.0123269422939079,fr,invasion
adaptation,0.0121266653823479,fr,invasion
forom,0.0119114079033238,fr,invasion
presque,0.0119018753182559,fr,invasion
important,0.0119018753182559,fr,invasion
propos,0.0119018753182559,fr,invasion
question,0.0117601863263719,fr,invasion
semaine,0.0116184973344879,fr,invasion
crash,0.0116008839064292,fr,invasion
faon,0.0114768083426039,fr,invasion
arrte,0.0114768083426039,fr,invasion
aime,0.0113351193507199,fr,invasion
diffrent,0.0113224097858965,fr,invasion
fou,0.0112840659176756,fr,invasion
nom,0.0111934303588359,fr,invasion
emmener,0.0110320915862581,fr,invasion
