mot,poids_tfidf,langue,serie
jake,0.2144801467668907,en,jake
agent,0.1266024876491892,en,jake
nanite,0.1234892327327831,en,jake
foley,0.1157539981402276,en,jake
kyle,0.0925092093128569,en,jake
carano,0.0881285876726481,en,jake
diane,0.0874920659516951,en,jake
dumont,0.0755513840198183,en,jake
work,0.0738702611830218,en,jake
vasily,0.0599952806321365,en,jake
talk,0.0559623190780468,en,jake
little,0.0537238263149249,en,jake
duarte,0.0529370123224733,en,jake
baako,0.0498118104236706,en,jake
gant,0.0475536652520282,en,jake
kembu,0.0459801326987729,en,jake
happen,0.0432775267536895,en,jake
sure,0.0432775267536895,en,jake
dankova,0.0421484549738751,en,jake
varcon,0.0421484549738751,en,jake
life,0.0417851982449416,en,jake
kill,0.0380543769730718,en,jake
guess,0.0373082127186978,en,jake
hand,0.035069719955576,en,jake
hade,0.033275523264844,en,jake
mission,0.0330291371438565,en,jake
help,0.0328312271924541,en,jake
nsa,0.0319210188841036,en,jake
order,0.0318443757498376,en,jake
computer,0.0317809982192934,en,jake
hear,0.0313388986837062,en,jake
believe,0.0305927344293322,en,jake
malik,0.0298032782917259,en,jake
interface,0.028976439452561,en,jake
nice,0.0276080774118364,en,jake
run,0.0276080774118364,en,jake
weapon,0.027514461355613,en,jake
caleb,0.0270938893561145,en,jake
dead,0.0268619131574624,en,jake
friend,0.0268619131574624,en,jake
prince,0.0266290317274427,en,jake
clemen,0.0265158086059505,en,jake
like,0.0261157489030885,en,jake
hour,0.0261157489030885,en,jake
great,0.0261157489030885,en,jake
security,0.0258346524563502,en,jake
pack,0.0248519733592711,en,jake
trust,0.0248211999347218,en,jake
meet,0.0246234203943406,en,jake
job,0.0246234203943406,en,jake
understand,0.0246234203943406,en,jake
kid,0.0244572989827671,en,jake
car,0.0244572989827671,en,jake
field,0.0240150212776346,en,jake
open,0.0238772561399666,en,jake
real,0.0238772561399666,en,jake
watch,0.0238772561399666,en,jake
country,0.0234860476875911,en,jake
pretty,0.0233168847871629,en,jake
bring,0.0231310918855926,en,jake
start,0.0231310918855926,en,jake
problem,0.0231310918855926,en,jake
fine,0.0225647272133835,en,jake
alonzo,0.0223781954127191,en,jake
wolf,0.0219611796172077,en,jake
enhance,0.0215248932982611,en,jake
tech,0.0214474121844661,en,jake
jerry,0.0211763811451782,en,jake
phone,0.0208016612314955,en,jake
intelligence,0.0205041870133247,en,jake
big,0.0203082544920451,en,jake
team,0.0201922283544077,en,jake
word,0.0201464348680968,en,jake
girl,0.0201464348680968,en,jake
ling,0.0197296855781177,en,jake
control,0.0197131849879947,en,jake
send,0.0195560969182657,en,jake
director,0.0194976474404238,en,jake
world,0.0194002706137229,en,jake
win,0.0194002706137229,en,jake
night,0.0194002706137229,en,jake
technology,0.0193149890792701,en,jake
freewald,0.0191583886244887,en,jake
banatech,0.0191583886244887,en,jake
lafortunata,0.0191583886244887,en,jake
human,0.0191072648302868,en,jake
sandstorm,0.0190376730355933,en,jake
whoa,0.0189679936813019,en,jake
place,0.0186541063593489,en,jake
actually,0.0186541063593489,en,jake
stand,0.0186541063593489,en,jake
general,0.0185140768276362,en,jake
son,0.0180517817707068,en,jake
stop,0.0179079421049749,en,jake
long,0.0179079421049749,en,jake
room,0.0179079421049749,en,jake
vial,0.0175239306985904,en,jake
aubrey,0.0173814646716185,en,jake
deal,0.0172996241969273,en,jake
worry,0.0172996241969273,en,jake
bad,0.017161777850601,en,jake
new,0.017161777850601,en,jake
head,0.017161777850601,en,jake
away,0.017161777850601,en,jake
shoot,0.017161777850601,en,jake
turn,0.017161777850601,en,jake
darin,0.0165723803787191,en,jake
figure,0.0165474666231479,en,jake
break,0.0165474666231479,en,jake
exactly,0.016415613596227,en,jake
line,0.016415613596227,en,jake
change,0.016415613596227,en,jake
home,0.016415613596227,en,jake
sound,0.016415613596227,en,jake
government,0.0162495679435864,en,jake
tvsubtitle,0.0161436699736958,en,jake
plane,0.0161189023104869,en,jake
research,0.0158611293758184,en,jake
copy,0.0157339794577606,en,jake
brother,0.0156694493418531,en,jake
wrong,0.0156694493418531,en,jake
hope,0.0156694493418531,en,jake
end,0.0156694493418531,en,jake
hughe,0.0153424336006439,en,jake
semtex,0.0150596625283881,en,jake
dick,0.0149462565545112,en,jake
lie,0.0149232850874791,en,jake
cause,0.0149232850874791,en,jake
money,0.0149232850874791,en,jake
old,0.0149232850874791,en,jake
check,0.0149232850874791,en,jake
sit,0.0149232850874791,en,jake
theresa,0.0147949972509587,en,jake
target,0.0146570860264605,en,jake
date,0.0144057890296884,en,jake
father,0.0144057890296884,en,jake
number,0.0142909939018095,en,jake
shut,0.0142909939018095,en,jake
idea,0.0141771208331051,en,jake
buy,0.0141771208331051,en,jake
today,0.0141771208331051,en,jake
ago,0.0141771208331051,en,jake
lose,0.0141771208331051,en,jake
love,0.0141771208331051,en,jake
live,0.0141771208331051,en,jake
ready,0.0141771208331051,en,jake
play,0.0141771208331051,en,jake
hard,0.0141771208331051,en,jake
code,0.0140916286125546,en,jake
tracey,0.0139863721329494,en,jake
microscopic,0.0138427044515885,en,jake
million,0.0137625215530017,en,jake
wear,0.0137572306778065,en,jake
low,0.0136475896070732,en,jake
dad,0.0136475896070732,en,jake
initiation,0.0135680459096841,en,jake
heathrow,0.0135469446780572,en,jake
cut,0.0135388363280301,en,jake
fire,0.0134309565787312,en,jake
die,0.0134309565787312,en,jake
mind,0.0134309565787312,en,jake
close,0.0134309565787312,en,jake
terrorist,0.0134092915236537,en,jake
gage,0.0134090211102096,en,jake
gas,0.013356740527005,en,jake
crimean,0.0132579043029752,en,jake
lab,0.0132510135265897,en,jake
system,0.0132026108471127,en,jake
upgrade,0.0130849449621982,en,jake
tonight,0.012889390184458,en,jake
cover,0.012889390184458,en,jake
dollar,0.0128286062712524,en,jake
follow,0.0127866787542506,en,jake
question,0.0126847923243572,en,jake
