mot,poids_tfidf,langue,serie
jackman,0.2252592540126579,en,jekyll
daddy,0.1115576648508241,en,jekyll
claire,0.1004967702459562,en,jekyll
tom,0.0889656639357114,en,jekyll
child,0.0629926297017351,en,jekyll
kill,0.0624906937202925,en,jekyll
husband,0.0569356460765683,en,jekyll
happen,0.0540784849502532,en,jekyll
katherine,0.052508637471405,en,jekyll
work,0.0504732526202363,en,jekyll
family,0.0504732526202363,en,jekyll
win,0.0492715085102307,en,jekyll
stop,0.048069764400225,en,jekyll
die,0.048069764400225,en,jekyll
fuck,0.0477740134974968,en,jekyll
boy,0.0468680202902194,en,jekyll
lion,0.0449927105343457,en,jekyll
change,0.0444645320702081,en,jekyll
appleyard,0.043198093144241,en,jekyll
eddie,0.0417607397231591,en,jekyll
talk,0.0408592997401913,en,jekyll
reimer,0.0397872360058685,en,jekyll
phone,0.0397065172504437,en,jekyll
billy,0.0384668934348088,en,jekyll
love,0.03845581152018,en,jekyll
hear,0.03845581152018,en,jekyll
away,0.0372540674101744,en,jekyll
friend,0.0372540674101744,en,jekyll
syme,0.037026936980778,en,jekyll
descendant,0.0365206699656937,en,jekyll
course,0.036341901751001,en,jekyll
turn,0.0348505791901631,en,jekyll
wrong,0.0348505791901631,en,jekyll
sake,0.0343169880368914,en,jekyll
long,0.0336488350801575,en,jekyll
run,0.0336488350801575,en,jekyll
clone,0.0325803741845838,en,jekyll
potion,0.0325326515220868,en,jekyll
old,0.0324470909701519,en,jekyll
bit,0.0324470909701519,en,jekyll
home,0.0324470909701519,en,jekyll
life,0.0312453468601462,en,jekyll
night,0.0300436027501406,en,jekyll
wife,0.0300436027501406,en,jekyll
help,0.028841858640135,en,jekyll
box,0.0287684391340175,en,jekyll
shit,0.0286162588270801,en,jekyll
stabilise,0.0281254384233996,en,jekyll
safe,0.0280859324939716,en,jekyll
zoo,0.0277216101367471,en,jekyll
question,0.0276401145301294,en,jekyll
dead,0.0276401145301294,en,jekyll
mummy,0.0273152311315309,en,jekyll
big,0.026650727950734,en,jekyll
like,0.0264383704201237,en,jekyll
secret,0.0260574019456037,en,jekyll
organisation,0.0257053967705376,en,jekyll
hyde,0.0253500458669024,en,jekyll
sleep,0.0252366263101181,en,jekyll
nice,0.0252366263101181,en,jekyll
tonight,0.0244225499947579,en,jekyll
light,0.0244225499947579,en,jekyll
hurt,0.0242279345006673,en,jekyll
start,0.0240348822001125,en,jekyll
sit,0.0240348822001125,en,jekyll
sure,0.0240348822001125,en,jekyll
head,0.0240348822001125,en,jekyll
benjamin,0.0239826813465052,en,jekyll
kid,0.0233878164941164,en,jekyll
poppin,0.0230189424659456,en,jekyll
speak,0.0228331380901069,en,jekyll
word,0.0228331380901069,en,jekyll
fine,0.0218051410506006,en,jekyll
bring,0.0216313939801012,en,jekyll
stay,0.0216313939801012,en,jekyll
christopher,0.0215813514214774,en,jekyll
drink,0.0205937443255672,en,jekyll
hope,0.0204296498700956,en,jekyll
miss,0.0204296498700956,en,jekyll
open,0.0204296498700956,en,jekyll
little,0.0204296498700956,en,jekyll
job,0.0204296498700956,en,jekyll
eat,0.0204296498700956,en,jekyll
tale,0.0196471551317816,en,jekyll
hang,0.0193823476005338,en,jekyll
trust,0.0193823476005338,en,jekyll
bloody,0.0192657853751836,en,jekyll
room,0.01922790576009,en,jekyll
superman,0.018617356676905,en,jekyll
lock,0.0184640656532498,en,jekyll
strong,0.0184640656532498,en,jekyll
key,0.0181709508755005,en,jekyll
girl,0.0180261616500844,en,jekyll
eye,0.0180261616500844,en,jekyll
remember,0.0180261616500844,en,jekyll
lie,0.0180261616500844,en,jekyll
bad,0.0180261616500844,en,jekyll
idea,0.0180261616500844,en,jekyll
understand,0.0180261616500844,en,jekyll
problem,0.0180261616500844,en,jekyll
coffee,0.0177939937969066,en,jekyll
neck,0.0177939937969066,en,jekyll
cure,0.0176388667017986,en,jekyll
awake,0.0176197724466373,en,jekyll
jekyll,0.0170516725739436,en,jekyll
send,0.0169595541504671,en,jekyll
follow,0.0169595541504671,en,jekyll
fire,0.0168244175400787,en,jekyll
close,0.0168244175400787,en,jekyll
truth,0.0168244175400787,en,jekyll
hell,0.0168244175400787,en,jekyll
mind,0.0168244175400787,en,jekyll
live,0.0168244175400787,en,jekyll
alice,0.0164636408409307,en,jekyll
memory,0.0163911565510111,en,jekyll
culmination,0.0160716790990855,en,jekyll
railway,0.0160716790990855,en,jekyll
funny,0.0157481574254337,en,jekyll
check,0.0156226734300731,en,jekyll
place,0.0156226734300731,en,jekyll
believe,0.0156226734300731,en,jekyll
great,0.0156226734300731,en,jekyll
meet,0.0156226734300731,en,jekyll
world,0.0156226734300731,en,jekyll
camera,0.0153747267372287,en,jekyll
note,0.0151302983547795,en,jekyll
experiment,0.0149418404300821,en,jekyll
doctor,0.0148899439689164,en,jekyll
evening,0.0145533436203982,en,jekyll
stupid,0.0145367607004004,en,jekyll
detective,0.0144895444720675,en,jekyll
photograph,0.0144895444720675,en,jekyll
dear,0.0144368742748125,en,jekyll
new,0.0144209293200675,en,jekyll
hand,0.0144209293200675,en,jekyll
care,0.0144209293200675,en,jekyll
play,0.0144209293200675,en,jekyll
mother,0.0144209293200675,en,jekyll
suppose,0.0144209293200675,en,jekyll
winston,0.014397377025836,en,jekyll
drug,0.0140934995091263,en,jekyll
rich,0.0140934995091263,en,jekyll
track,0.01364911530484,en,jekyll
careful,0.01364911530484,en,jekyll
power,0.0134324024971168,en,jekyll
son,0.013325363975367,en,jekyll
number,0.013325363975367,en,jekyll
shut,0.013325363975367,en,jekyll
door,0.0132191852100618,en,jekyll
possible,0.0132191852100618,en,jekyll
month,0.0132191852100618,en,jekyll
weak,0.0123967627253817,en,jekyll
necketty,0.012342312326926,en,jekyll
fantastiche,0.012342312326926,en,jekyll
utterson,0.012342312326926,en,jekyll
car,0.0123093771021665,en,jekyll
scared,0.0123093771021665,en,jekyll
factory,0.0122722843907226,en,jekyll
half,0.0122112749973789,en,jekyll
sense,0.0121139672503336,en,jekyll
married,0.0121004237227249,en,jekyll
tea,0.0121004237227249,en,jekyll
lose,0.0120174411000562,en,jekyll
ready,0.0120174411000562,en,jekyll
afraid,0.0120174411000562,en,jekyll
probably,0.0120174411000562,en,jekyll
use,0.0120174411000562,en,jekyll
hour,0.0120174411000562,en,jekyll
exactly,0.0120174411000562,en,jekyll
second,0.0120174411000562,en,jekyll
fight,0.0120174411000562,en,jekyll
apologise,0.0119987382465227,en,jekyll
twin,0.0119534723440657,en,jekyll
flicker,0.0118300550989406,en,jekyll
hardcastle,0.0113677817159624,en,jekyll
kettle,0.0113568559881732,en,jekyll
honey,0.0113477237660846,en,jekyll
dark,0.0112572153133112,en,jekyll
imagine,0.0111674579766873,en,jekyll
share,0.010990147497641,en,jekyll
baby,0.010990147497641,en,jekyll
order,0.010990147497641,en,jekyll
pay,0.0109025705253003,en,jekyll
face,0.0109025705253003,en,jekyll
plan,0.0109025705253003,en,jekyll
wake,0.0109025705253003,en,jekyll
relative,0.0108998187280955,en,jekyll
helicopter,0.0108937547676381,en,jekyll
actually,0.0108156969900506,en,jekyll
different,0.0108156969900506,en,jekyll
house,0.0108156969900506,en,jekyll
walk,0.0108156969900506,en,jekyll
today,0.0108156969900506,en,jekyll
