mot,poids_tfidf,langue,serie
kitt,0.7893652242364068,fr,knightrider
michael,0.1614397323521887,fr,knightrider
mike,0.1184121042904144,fr,knightrider
sarah,0.0798813077722355,fr,knightrider
tre,0.075565403826337,fr,knightrider
taire,0.0716445574013856,fr,knightrider
billy,0.0605266400981666,fr,knightrider
heure,0.0466937165153309,fr,knightrider
voiture,0.0463907493976345,fr,knightrider
ouai,0.0452811020178276,fr,knightrider
carrie,0.0437818691306123,fr,knightrider
knight,0.0426533427570132,fr,knightrider
ici,0.0417035483381199,fr,knightrider
mme,0.0406342265858604,fr,knightrider
mik,0.0391585797989915,fr,knightrider
cooperton,0.0365503754979085,fr,knightrider
besoin,0.036000498992736,fr,knightrider
graiman,0.0347228567230131,fr,knightrider
galt,0.0330201425671295,fr,knightrider
arme,0.032436093151871,fr,knightrider
rivai,0.0319768965437585,fr,knightrider
maddie,0.0300923948480752,fr,knightrider
burber,0.0292403003983268,fr,knightrider
sortir,0.0281588061428331,fr,knightrider
torre,0.0276825208814718,fr,knightrider
porte,0.0274459249746601,fr,knightrider
emp,0.0272826466117213,fr,knightrider
fichier,0.025753604917672,fr,knightrider
karr,0.0255852628485359,fr,knightrider
gars,0.0246320815677636,fr,knightrider
systme,0.0245310836164829,fr,knightrider
dsol,0.0242379597178816,fr,knightrider
ssc,0.0235619237690852,fr,knightrider
raison,0.0235250785497087,fr,knightrider
minute,0.0226375857811707,fr,knightrider
virus,0.0224975761843029,fr,knightrider
danny,0.0224585972376569,fr,knightrider
pre,0.0224557567974492,fr,knightrider
mec,0.0222666594891573,fr,knightrider
regarder,0.0220993162133627,fr,knightrider
olarer,0.0219302252987451,fr,knightrider
apr,0.0217428756292762,fr,knightrider
appeler,0.0217428756292762,fr,knightrider
trs,0.0213864350451897,fr,knightrider
transformation,0.0210856046691026,fr,knightrider
donne,0.0203171132929302,fr,knightrider
olara,0.0201027065238497,fr,knightrider
banque,0.0200409373633147,fr,knightrider
driscoll,0.0200008080465305,fr,knightrider
zoe,0.0199678601767625,fr,knightrider
steven,0.0194317359476017,fr,knightrider
bombe,0.0193150935118762,fr,knightrider
avion,0.0191649090753773,fr,knightrider
agent,0.0189341497553448,fr,knightrider
perdre,0.0188913509565842,fr,knightrider
mourir,0.0188913509565842,fr,knightrider
scurit,0.0188362976694663,fr,knightrider
virgo,0.0185129401042812,fr,knightrider
bahia,0.0185129401042812,fr,knightrider
ambassadeur,0.0182581282213035,fr,knightrider
petit,0.0181784697884112,fr,knightrider
mort,0.0181784697884112,fr,knightrider
dea,0.0178941467476469,fr,knightrider
coup,0.0176070111631327,fr,knightrider
missile,0.0175011807291778,fr,knightrider
main,0.0174655886202382,fr,knightrider
chance,0.0174655886202382,fr,knightrider
srum,0.0173251511602581,fr,knightrider
problme,0.0171091480361517,fr,knightrider
plat,0.0168883576462702,fr,knightrider
bahier,0.0168299455493465,fr,knightrider
skyler,0.0167882591380035,fr,knightrider
utiliser,0.0167527074520652,fr,knightrider
fille,0.0167527074520652,fr,knightrider
seconde,0.0165657693458526,fr,knightrider
turner,0.0165079178689194,fr,knightrider
renning,0.0164476689740588,fr,knightrider
hafnium,0.0164476689740588,fr,knightrider
auto,0.0162751203905763,fr,knightrider
nom,0.0160398262838923,fr,knightrider
aider,0.0160398262838923,fr,knightrider
tuer,0.0156833856998058,fr,knightrider
feu,0.0156833856998058,fr,knightrider
pass,0.0156833856998058,fr,knightrider
quelqu,0.0156833856998058,fr,knightrider
travailler,0.0153269451157193,fr,knightrider
nuit,0.0153269451157193,fr,knightrider
signal,0.0151674185614348,fr,knightrider
bar,0.0151674185614348,fr,knightrider
sonny,0.0150687551559132,fr,knightrider
argent,0.0149705045316328,fr,knightrider
tireur,0.0147228486729237,fr,knightrider
valdor,0.0146201501991634,fr,knightrider
arrter,0.0146140639475463,fr,knightrider
fait,0.0146140639475463,fr,knightrider
meilleur,0.0146140639475463,fr,knightrider
recherche,0.0143730703372512,fr,knightrider
doi,0.0143730703372512,fr,knightrider
attendre,0.0142576233634598,fr,knightrider
veux,0.0142576233634598,fr,knightrider
contact,0.0140137435788199,fr,knightrider
destruction,0.0139868521397913,fr,knightrider
compte,0.0139011827793733,fr,knightrider
essayer,0.0139011827793733,fr,knightrider
ouvrir,0.0136544168203886,fr,knightrider
grand,0.0135447421952868,fr,knightrider
aimer,0.0135447421952868,fr,knightrider
