mot,poids_tfidf,langue,serie
rahl,0.3911809626225688,en,legendoftheseeker
seeker,0.3825387803871314,en,legendoftheseeker
confessor,0.2555242867572235,en,legendoftheseeker
haran,0.1544848605276195,en,legendoftheseeker
mord,0.1481609188685942,en,legendoftheseeker
kahlan,0.1318993546025289,en,legendoftheseeker
zedd,0.1300925141285217,en,legendoftheseeker
darken,0.1276660579306259,en,legendoftheseeker
kill,0.124029329925298,en,legendoftheseeker
cara,0.0982046599466353,en,legendoftheseeker
wizard,0.0967541607966254,en,legendoftheseeker
richard,0.0879244804900604,en,legendoftheseeker
keeper,0.087062435038807,en,legendoftheseeker
sith,0.0859623766549509,en,legendoftheseeker
orden,0.0822112415673297,en,legendoftheseeker
agiel,0.0767907201453079,en,legendoftheseeker
midland,0.0748878767771247,en,legendoftheseeker
theme,0.0726043615803514,en,legendoftheseeker
magic,0.0689126981315081,en,legendoftheseeker
baneling,0.0623359963532499,en,legendoftheseeker
help,0.0584081383477999,en,legendoftheseeker
prophecy,0.0562093852797144,en,legendoftheseeker
underworld,0.0544166203097313,en,legendoftheseeker
life,0.0534821507762987,en,legendoftheseeker
fane,0.0523983737462101,en,legendoftheseeker
mother,0.0513710132456553,en,legendoftheseeker
playing,0.0503870661649243,en,legendoftheseeker
creator,0.0502929112494689,en,legendoftheseeker
power,0.0471941552319958,en,legendoftheseeker
sister,0.045951483344983,en,legendoftheseeker
margrave,0.0442675916131775,en,legendoftheseeker
stone,0.0441122580959801,en,legendoftheseeker
sword,0.0435312175194035,en,legendoftheseeker
aydindril,0.0433641713761739,en,legendoftheseeker
father,0.0432613089626628,en,legendoftheseeker
die,0.0425746068679746,en,legendoftheseeker
long,0.0420468224853137,en,legendoftheseeker
win,0.0411671818475457,en,legendoftheseeker
love,0.0408153255924384,en,legendoftheseeker
world,0.0402875412097776,en,legendoftheseeker
denna,0.0397504904281594,en,legendoftheseeker
jennsen,0.0388470701911557,en,legendoftheseeker
zeddicus,0.0388470701911557,en,legendoftheseeker
fight,0.0381764036791342,en,legendoftheseeker
stop,0.0372967630413662,en,legendoftheseeker
bring,0.0369449067862589,en,legendoftheseeker
happen,0.0364171224035981,en,legendoftheseeker
friend,0.0362411942760445,en,legendoftheseeker
child,0.0344041952212175,en,legendoftheseeker
box,0.0340584348179373,en,legendoftheseeker
palace,0.0338403498793359,en,legendoftheseeker
believe,0.0327226317249722,en,legendoftheseeker
grunt,0.0326929969350481,en,legendoftheseeker
save,0.0325467035974186,en,legendoftheseeker
prelate,0.0320405222077544,en,legendoftheseeker
spell,0.0320198089141159,en,legendoftheseeker
dead,0.0314911348320969,en,legendoftheseeker
pani,0.0307162880581231,en,legendoftheseeker
truth,0.0306114941943288,en,legendoftheseeker
away,0.0302596379392216,en,legendoftheseeker
zorander,0.0298128678211195,en,legendoftheseeker
send,0.0294386412717635,en,legendoftheseeker
scroll,0.0293912774529119,en,legendoftheseeker
use,0.0293799973014535,en,legendoftheseeker
work,0.0293799973014535,en,legendoftheseeker
confess,0.0291915246807203,en,legendoftheseeker
book,0.0291388155409671,en,legendoftheseeker
hartland,0.0289094475841159,en,legendoftheseeker
calthrop,0.0289094475841159,en,legendoftheseeker
viviane,0.0289094475841159,en,legendoftheseeker
protect,0.0288323032752834,en,legendoftheseeker
sure,0.027796644153471,en,legendoftheseeker
stay,0.0276207160259174,en,legendoftheseeker
order,0.0275299238853309,en,legendoftheseeker
dennee,0.0271026071101086,en,legendoftheseeker
hand,0.0270929316432565,en,legendoftheseeker
brother,0.0267410753881493,en,legendoftheseeker
old,0.0263892191330421,en,legendoftheseeker
thaddicus,0.0252957666361014,en,legendoftheseeker
spirit,0.0251982155977085,en,legendoftheseeker
quest,0.0250234200874579,en,legendoftheseeker
great,0.0246299378575059,en,legendoftheseeker
son,0.0244730873223094,en,legendoftheseeker
boundary,0.0244532985205238,en,legendoftheseeker
