mot,poids_tfidf,langue,serie
hardison,0.1858224332617392,fr,leverage
eliot,0.1510737956465728,fr,leverage
taire,0.1271091745540589,fr,leverage
ici,0.1058811657690633,fr,leverage
parker,0.0974949246059642,fr,leverage
sophie,0.0902645994335378,fr,leverage
argent,0.0859475477636406,fr,leverage
tre,0.0753335433711428,fr,leverage
mme,0.0704148584087658,fr,leverage
nate,0.053726792539275,fr,leverage
appeler,0.0530700219624889,fr,leverage
nat,0.0507986716692264,fr,leverage
ford,0.0492799370153133,fr,leverage
accord,0.0445270428173078,fr,leverage
sortir,0.0445270428173078,fr,leverage
trs,0.0429737738818203,fr,leverage
besoin,0.0424560175699911,fr,leverage
aimer,0.0403849923226745,fr,leverage
voiture,0.0402142226452102,fr,leverage
problme,0.0383139670753578,fr,leverage
heure,0.0380550889194433,fr,leverage
kimball,0.0365013729979924,fr,leverage
voil,0.0359840636721266,fr,leverage
affaire,0.035725185516212,fr,leverage
gars,0.0344644820939421,fr,leverage
attendre,0.0336541602688954,fr,leverage
dsol,0.0333952821129808,fr,leverage
fait,0.0326186476452371,fr,leverage
petit,0.0323597694893225,fr,leverage
apr,0.0323597694893225,fr,leverage
quelqu,0.0321008913334079,fr,leverage
vol,0.0315705179486492,fr,leverage
aider,0.030806500553835,fr,leverage
bonanno,0.030558425881299,fr,leverage
travailler,0.0305476223979204,fr,leverage
bureau,0.0304572382459648,fr,leverage
minute,0.0300120498782801,fr,leverage
scurit,0.0299919920512168,fr,leverage
regarder,0.0292532316183475,fr,leverage
appel,0.0292532316183475,fr,leverage
nom,0.0292532316183475,fr,leverage
police,0.0290356209355886,fr,leverage
socit,0.0286736013655243,fr,leverage
coup,0.0274023064106036,fr,leverage
coffre,0.0266700704030551,fr,leverage
mal,0.0266644500592017,fr,leverage
plan,0.0265718526067798,fr,leverage
steranko,0.0265460618945341,fr,leverage
duberman,0.0265460618945341,fr,leverage
blackwell,0.026400835909457,fr,leverage
meilleur,0.0261466937473726,fr,leverage
million,0.025875175854979,fr,leverage
banque,0.0258433888922609,fr,leverage
pre,0.0256289374355434,fr,leverage
tuer,0.0253700592796288,fr,leverage
trouv,0.0253700592796288,fr,leverage
retzing,0.0252187587998074,fr,leverage
compte,0.0251111811237142,fr,leverage
mec,0.0247970435276882,fr,leverage
moscone,0.0244467407050392,fr,leverage
rucker,0.0244467407050392,fr,leverage
perdre,0.0243345466559705,fr,leverage
mieux,0.0243345466559705,fr,leverage
kirkwood,0.0241051110477651,fr,leverage
donne,0.0240756685000559,fr,leverage
voleur,0.0240485801760111,fr,leverage
maggie,0.023963351840719,fr,leverage
prison,0.0239111594106655,fr,leverage
ami,0.0235579121882268,fr,leverage
aide,0.0232990340323122,fr,leverage
quipe,0.0230960062489383,fr,leverage
porte,0.0230401558763976,fr,leverage
fowler,0.0230355073600372,fr,leverage
borderline,0.0228920042353276,fr,leverage
voler,0.0228242885283625,fr,leverage
kerrity,0.022564152610354,fr,leverage
attend,0.0221828194752505,fr,leverage
payer,0.0218362749144824,fr,leverage
essayer,0.0217457650968247,fr,leverage
hoffman,0.0215460167413135,fr,leverage
jouer,0.0213998964349475,fr,leverage
camra,0.0212786456002097,fr,leverage
flic,0.0212630183889358,fr,leverage
cheval,0.0208722290110866,fr,leverage
mort,0.0207102524731664,fr,leverage
nouveau,0.0207102524731664,fr,leverage
finir,0.0207102524731664,fr,leverage
hare,0.0206344668617222,fr,leverage
garde,0.0204513743172518,fr,leverage
mois,0.0204513743172518,fr,leverage
capteur,0.0200297895328098,fr,leverage
laisse,0.0199336180054226,fr,leverage
hurley,0.019815031056053,fr,leverage
main,0.0196747398495081,fr,leverage
diamant,0.0196151116675608,fr,leverage
haldeman,0.0195573925640313,fr,leverage
castleman,0.0195573925640313,fr,leverage
manticore,0.0195573925640313,fr,leverage
arme,0.0194158616935935,fr,leverage
grand,0.0191569835376789,fr,leverage
chance,0.0191569835376789,fr,leverage
sterling,0.0189960255647901,fr,leverage
pass,0.0188981053817643,fr,leverage
veux,0.0186392272258497,fr,leverage
crew,0.0186056020984916,fr,leverage
vendre,0.0184161354700454,fr,leverage
vrai,0.0183803490699352,fr,leverage
famille,0.0183803490699352,fr,leverage
fbi,0.0182848986868267,fr,leverage
tai,0.0182682042737357,fr,leverage
air,0.0181214709140206,fr,leverage
gros,0.0181214709140206,fr,leverage
coutez,0.0178899601709012,fr,leverage
kerrigan,0.0177292383133106,fr,leverage
dernier,0.0176037146021914,fr,leverage
nathan,0.0175166170095098,fr,leverage
boulot,0.0173637848717571,fr,leverage
maison,0.0173448364462768,fr,leverage
penzer,0.0172549402314472,fr,leverage
arnaque,0.0171831577709313,fr,leverage
mourir,0.0170859582903623,fr,leverage
hunter,0.0169916133020651,fr,leverage
maire,0.0169015120288142,fr,leverage
tlphone,0.0168447288535725,fr,leverage
raison,0.0168270801344477,fr,leverage
question,0.0168270801344477,fr,leverage
preuve,0.0167023581931298,fr,leverage
travail,0.0165682019785331,fr,leverage
faux,0.0163114342734687,fr,leverage
ville,0.0163114342734687,fr,leverage
mine,0.0163095874728457,fr,leverage
semaine,0.0163093238226185,fr,leverage
