mot,poids_tfidf,langue,serie
detective,0.1197481311945722,en,life
crew,0.116234624488914,en,life
kill,0.1106928783398137,en,life
rayborn,0.0853973884574891,en,life
talk,0.083149579973569,en,life
work,0.0828897375361516,en,life
reese,0.0737806963194098,en,life
hazlit,0.0707197123163581,en,life
hawe,0.0627137071484685,en,life
charlie,0.0608491118803933,en,life
roman,0.0594992901118523,en,life
dead,0.0589842332937505,en,life
cop,0.0550139808013051,en,life
gun,0.0547974542233832,en,life
money,0.0545669118576546,en,life
car,0.053497096683061,en,life
happen,0.0501495904215588,en,life
sure,0.0457322689854629,en,life
shoot,0.0454724265480455,en,life
guess,0.0428740021738715,en,life
girl,0.0423543172990367,en,life
like,0.0415747899867845,en,life
partner,0.0402964616027074,en,life
help,0.0392362080500278,en,life
bethany,0.0390093182013569,en,life
kid,0.0388585876404323,en,life
hear,0.0381968383003582,en,life
life,0.0376771534255234,en,life
ame,0.0373562009515624,en,life
dani,0.0373260888221022,en,life
house,0.0366377836758538,en,life
night,0.036118098801019,en,life
wife,0.0358582563636016,en,life
lapd,0.0356851481858969,en,life
love,0.0353385714887668,en,life
kendall,0.0352195931789456,en,life
live,0.0345590441765146,en,life
away,0.0345590441765146,en,life
friend,0.0342992017390972,en,life
die,0.0329999895520101,en,life
prison,0.0326116692476746,en,life
nevikov,0.0320240206715584,en,life
bad,0.0319606198023405,en,life
murder,0.0319130674289067,en,life
little,0.0311810924900883,en,life
home,0.0309212500526709,en,life
phone,0.0305854410817957,en,life
tucker,0.0298338791280753,en,life
question,0.0296220378655839,en,life
auerbach,0.0294954516640735,en,life
stop,0.0278031408036621,en,life
long,0.0278031408036621,en,life
remember,0.0272834559288273,en,life
job,0.0272834559288273,en,life
father,0.0266673870685421,en,life
sfile,0.0260537946135077,en,life
dad,0.0253472193918816,en,life
rawl,0.0252135884823875,en,life
run,0.0249448739920707,en,life
len,0.0248611247556741,en,life
close,0.0246850315546533,en,life
destro,0.0245795430533946,en,life
ydy,0.0244774917194184,en,life
real,0.0244251891172358,en,life
lie,0.0244251891172358,en,life
pay,0.0243594468934747,en,life
husband,0.0240975173569857,en,life
seybolt,0.0240180155036688,en,life
nate,0.0239420213411136,en,life
big,0.0238355878204967,en,life
understand,0.0236456618049836,en,life
door,0.0236456618049836,en,life
lena,0.0231755756746375,en,life
pretty,0.0230497992110298,en,life
new,0.0228661344927314,en,life
bring,0.0223464496178966,en,life
pavel,0.0220262300954647,en,life
win,0.0218267647430618,en,life
business,0.0217401515285849,en,life
write,0.0217317607686443,en,life
tidwell,0.0213493471143722,en,life
farthingale,0.0213493471143722,en,life
bodner,0.0213493471143722,en,life
place,0.021307079868227,en,life
send,0.021216292455607,en,life
hand,0.0210472374308096,en,life
zak,0.0208286165724071,en,life
tin,0.0208193931061385,en,life
dunlop,0.0207760525517262,en,life
jude,0.0207176039630618,en,life
com,0.0204468112773817,en,life
killer,0.020310776461271,en,life
amir,0.0201762642281633,en,life
body,0.0201685743096511,en,life
blood,0.0201685743096511,en,life
breem,0.020015012919724,en,life
slocum,0.020015012919724,en,life
believe,0.02000786768114,en,life
turn,0.02000786768114,en,life
case,0.02000786768114,en,life
drug,0.0199460422735552,en,life
break,0.0199066447731621,en,life
son,0.0199066447731621,en,life
stay,0.0197480252437226,en,life
number,0.0196447152366731,en,life
hay,0.0194364991473658,en,life
police,0.0193919855437342,en,life
family,0.0192283403688878,en,life
nice,0.0189684979314704,en,life
head,0.0189684979314704,en,life
toma,0.0188702211561099,en,life
room,0.018708655494053,en,life
stylman,0.0186806787250757,en,life
drink,0.0185969970907172,en,life
use,0.0184488130566356,en,life
person,0.0181889706192182,en,life
stuff,0.0180731380177393,en,life
http,0.0179755514709381,en,life
old,0.0179291281818008,en,life
tyler,0.0178605667840658,en,life
alexa,0.0178273659035673,en,life
meet,0.017409443306966,en,life
brandee,0.0173463445304274,en,life
olivia,0.0171891435269534,en,life
hour,0.0171496008695486,en,life
check,0.0171496008695486,en,life
cause,0.0171496008695486,en,life
zen,0.0170280314031198,en,life
death,0.0170254198717834,en,life
exactly,0.0168897584321312,en,life
month,0.0168897584321312,en,life
sean,0.0166050447843183,en,life
start,0.0163700735572964,en,life
patrick,0.0161215587463025,en,life
ago,0.0161102311198789,en,life
care,0.0161102311198789,en,life
dog,0.0160976005693661,en,life
chemxtech,0.0160120103357792,en,life
seever,0.0159767029847065,en,life
mitch,0.0159613475607424,en,life
officer,0.0158915623221944,en,life
steal,0.0154538426528495,en,life
jail,0.0154074943695069,en,life
walk,0.0153307038076267,en,life
crime,0.0153240065249732,en,life
name,0.0153139450492618,en,life
suppose,0.0150708613702093,en,life
dean,0.0148684396363629,en,life
end,0.0148110189327919,en,life
file,0.0148007156470516,en,life
tate,0.0145939838873557,en,life
drive,0.0145511764953745,en,life
bullet,0.0145353720467046,en,life
anna,0.0144538112897885,en,life
miss,0.0142913340579571,en,life
open,0.0142913340579571,en,life
record,0.0142578109079334,en,life
office,0.0142578109079334,en,life
arrest,0.0141284466104349,en,life
proudly,0.0140511738651384,en,life
world,0.0140314916205397,en,life
hit,0.0140314916205397,en,life
happy,0.0140314916205397,en,life
victim,0.0139539571648365,en,life
cut,0.0138822654339156,en,life
party,0.0138400449130307,en,life
problem,0.0137716491831223,en,life
play,0.0137716491831223,en,life
earley,0.013518748679367,en,life
farthing,0.013518748679367,en,life
week,0.0135118067457049,en,life
actually,0.0135118067457049,en,life
mother,0.0135118067457049,en,life
true,0.0135118067457049,en,life
eval,0.0134981196118499,en,life
company,0.0133077354932987,en,life
lock,0.0133077354932987,en,life
watch,0.0132519643082875,en,life
pull,0.0130964768244487,en,life
picture,0.0130964768244487,en,life
computer,0.0130537833360883,en,life
sit,0.0129921218708701,en,life
lab,0.0129206026312383,en,life
raft,0.012891857645215,en,life
security,0.0128133350671592,en,life
fruit,0.0127443886812211,en,life
coroner,0.0127379274245656,en,life
list,0.0127111370267679,en,life
marry,0.0127111370267679,en,life
crete,0.0126964765593882,en,life
flint,0.0126635091553993,en,life
sync,0.0125838055002243,en,life
child,0.0125726177514708,en,life
clean,0.0124724369960353,en,life
eat,0.0124724369960353,en,life
plane,0.0124081431197879,en,life
knife,0.0124002109942113,en,life
flower,0.012386374788476,en,life
suspect,0.0123008927864035,en,life
school,0.0122431166538348,en,life
word,0.0122125945586179,en,life
probably,0.0122125945586179,en,life
grant,0.0122109011439646,en,life
lead,0.0121455426252766,en,life
course,0.0120487586784928,en,life
face,0.0120487586784928,en,life
hard,0.0119527521212005,en,life
wrong,0.0119527521212005,en,life
kyle,0.0119507939066805,en,life
pigeon,0.0119483977513891,en,life
alibi,0.0119350419131161,en,life
hate,0.0117868291420038,en,life
photo,0.0116282976373637,en,life
daughter,0.0114446525242369,en,life
deputy,0.0113849065636722,en,life
dale,0.0113848798694969,en,life
law,0.011358888406899,en,life
date,0.0113534420192803,en,life
sell,0.0112629700690259,en,life
present,0.0112629700690259,en,life
lose,0.0111732248089483,en,life
speak,0.0111732248089483,en,life
ted,0.0111183163767603,en,life
glenn,0.0111160985038764,en,life
elsa,0.0110969453254898,en,life
light,0.0110894084839482,en,life
bar,0.0110811345964195,en,life
client,0.0110748022553471,en,life
roof,0.0110468827554955,en,life
spend,0.0110010405325369,en,life
cash,0.010992677062523,en,life
mickey,0.0109899926039266,en,life
mitchell,0.0109545404005523,en,life
jack,0.0109309832245751,en,life
stand,0.0109133823715309,en,life
different,0.0109133823715309,en,life
sleep,0.0109133823715309,en,life
buy,0.0109133823715309,en,life
box,0.0108179889589514,en,life
homicide,0.0108134106446275,en,life
moment,0.0107391109960479,en,life
throw,0.0107391109960479,en,life
lwa,0.0106746735571861,en,life
mind,0.0106535399341135,en,life
idea,0.0106535399341135,en,life
hell,0.0106535399341135,en,life
fight,0.0106535399341135,en,life
today,0.0106535399341135,en,life
sim,0.0105765099184262,en,life
book,0.010561341413284,en,life
anymore,0.010561341413284,en,life
lawyer,0.0104997822485927,en,life
hurt,0.010477181459559,en,life
store,0.0104430432093969,en,life
station,0.0104430432093969,en,life
fall,0.0103936974966961,en,life
catch,0.0103936974966961,en,life
connect,0.0102984218676867,en,life
search,0.0101682262828338,en,life
morning,0.0101338550592787,en,life
derivative,0.0101268596316151,en,life
mom,0.01000663978703,en,life
mention,0.009953322386581,en,life
secret,0.0099268536844424,en,life
draw,0.009847724265041,en,life
carin,0.0098318172213578,en,life
gus,0.0098223677296876,en,life
marty,0.0097949501085715,en,life
cover,0.0097692408072877,en,life
usually,0.0097361900630563,en,life
trouble,0.009691392850092,en,life
deal,0.009691392850092,en,life
warrant,0.0096656485766665,en,life
animal,0.0096484485527609,en,life
boy,0.0096141701844439,en,life
afraid,0.0096141701844439,en,life
wear,0.0095815695551751,en,life
constance,0.0095280844318941,en,life
stephanie,0.0094600174461777,en,life
plan,0.0094294633136031,en,life
relationship,0.0094189644069566,en,life
