mot,poids_tfidf,langue,serie
sayid,0.1527375501697552,en,lost
island,0.113944727102646,en,lost
sawyer,0.0825054305806768,en,lost
happen,0.0763193903315501,en,lost
desmond,0.0751407282595592,en,lost
locke,0.0747702820285357,en,lost
help,0.0745697758496411,en,lost
kate,0.0715553056777408,en,lost
claire,0.0682372856513812,en,lost
jack,0.0676345654660516,en,lost
jin,0.0629785529631035,en,lost
talk,0.0613571699345348,en,lost
kill,0.0551430219470647,en,lost
hell,0.0477222432824159,en,lost
sure,0.0465759441390962,en,lost
work,0.0465156126052373,en,lost
eko,0.0464718712484042,en,lost
hurley,0.04636293473454,en,lost
hear,0.0441626827847389,en,lost
bring,0.0436196989800085,en,lost
stop,0.0392154970083064,en,lost
dude,0.0389618997816606,en,lost
dharma,0.0376662188880011,en,lost
die,0.0358972626460651,en,lost
charlie,0.0350280408659495,en,lost
plane,0.034091662308953,en,lost
little,0.0335443328255667,en,lost
life,0.0320360444790934,en,lost
baby,0.031571891768644,en,lost
friend,0.0306484192003379,en,lost
fine,0.0304080635488236,en,lost
gun,0.0300671469523823,en,lost
win,0.0299847723278896,en,lost
jungle,0.0298565688183329,en,lost
dead,0.0297434461924539,en,lost
stay,0.029622783124736,en,lost
love,0.0295021200570182,en,lost
father,0.0288744874233618,en,lost
long,0.0281144947782627,en,lost
believe,0.0279938317105448,en,lost
suppose,0.0275715109735323,en,lost
oceanic,0.0270673780820147,en,lost
run,0.0266062064317894,en,lost
paulo,0.025783973917543,en,lost
boat,0.0255146566133476,en,lost
head,0.0252185811530339,en,lost
place,0.0249772550175982,en,lost
save,0.0249169234837393,en,lost
lose,0.0248565919498803,en,lost
beach,0.0246997039548489,en,lost
son,0.0241440024577659,en,lost
start,0.0238309558742785,en,lost
away,0.0237706243404195,en,lost
boone,0.0234908701021838,en,lost
lie,0.023348303603407,en,lost
widmore,0.0232359356242021,en,lost
home,0.0231069774679713,en,lost
turn,0.0230466459341123,en,lost
shoot,0.0223829990616641,en,lost
shephard,0.0221613674552944,en,lost
speak,0.0221416729262283,en,lost
guess,0.0219606783246515,en,lost
care,0.0212366999183444,en,lost
night,0.0209953737829086,en,lost
understand,0.0209350422490497,en,lost
matter,0.0209350422490497,en,lost
trust,0.0203734025777118,en,lost
wrong,0.0203317269104604,en,lost
remember,0.0202110638427425,en,lost
live,0.0202110638427425,en,lost
course,0.0201909541964188,en,lost
