mot,poids_tfidf,langue,serie
taire,0.1662043872092219,fr,lost
sayid,0.1627105511362764,fr,lost
ici,0.1413522581601498,fr,lost
locke,0.1159302308642117,fr,lost
jack,0.1005997771686941,fr,lost
tre,0.0971912258722076,fr,lost
sawyer,0.0830879620591159,fr,lost
heure,0.0818549677973155,fr,lost
hurley,0.0695983072120046,fr,lost
jin,0.0684867467249206,fr,lost
desmond,0.0663987101076855,fr,lost
john,0.0590037014836235,fr,lost
besoin,0.0542312258431424,fr,lost
ouai,0.0536664088588645,fr,lost
dsol,0.0533997419716121,fr,lost
kat,0.0530687290925556,fr,lost
mourir,0.0524758710032451,fr,lost
mme,0.0521063226158983,fr,lost
mec,0.0500185772661997,fr,lost
walt,0.0458987536509211,fr,lost
appeler,0.045454451643656,fr,lost
eko,0.0449997007879634,fr,lost
lock,0.0442374847412451,fr,lost
pre,0.0422209032543715,fr,lost
revenir,0.0411122580923311,fr,lost
veux,0.0409274838986577,fr,lost
clair,0.040886341641747,fr,lost
avion,0.0398387134492905,fr,lost
attendre,0.0397264516397806,fr,lost
aider,0.0396340645429439,fr,lost
quelqu,0.0395416774461072,fr,lost
hugo,0.0394924264108143,fr,lost
chercher,0.0376015484125365,fr,lost
ami,0.0367700645410063,fr,lost
pass,0.0364005161536595,fr,lost
tuer,0.0362157419599861,fr,lost
sun,0.0353117620317732,fr,lost
trs,0.0351994838947824,fr,lost
dharmer,0.0350523985085189,fr,lost
tai,0.0341806090718022,fr,lost
sortir,0.0339060645390686,fr,lost
oceanic,0.0335907428291432,fr,lost
shephard,0.0335890413873814,fr,lost
jungle,0.0332934020942393,fr,lost
petit,0.0332593548612117,fr,lost
charlie,0.0328623656852472,fr,lost
widmor,0.0322103121429633,fr,lost
aide,0.0318735484086612,fr,lost
aimer,0.0315963871181511,fr,lost
apr,0.0315963871181511,fr,lost
accord,0.0310420645371309,fr,lost
trouv,0.0304877419561107,fr,lost
yemi,0.0298419068383336,fr,lost
laisse,0.0295638709877437,fr,lost
mieux,0.0292867096972336,fr,lost
fait,0.0290095484067235,fr,lost
bateau,0.028473601209215,fr,lost
mal,0.0284552258257033,fr,lost
michael,0.0284247336121214,fr,lost
question,0.0279009032446831,fr,lost
aaron,0.0275141254460177,fr,lost
arriv,0.0274389677604996,fr,lost
arme,0.0267922580826427,fr,lost
plage,0.026506202106577,fr,lost
fils,0.0259607742111124,fr,lost
attend,0.025612173010206,fr,lost
sai,0.0253140645332555,fr,lost
shannon,0.0248548478069747,fr,lost
nom,0.0246673548553987,fr,lost
mort,0.024574967758562,fr,lost
voil,0.0242978064680519,fr,lost
regarder,0.0239282580807051,fr,lost
chance,0.0234663225965216,fr,lost
raison,0.0231891613060115,fr,lost
vien,0.0230043871123381,fr,lost
essayer,0.0230043871123381,fr,lost
fille,0.0228196129186647,fr,lost
widmore,0.0227366909244447,fr,lost
jacob,0.0226624230695634,fr,lost
finir,0.0225424516281546,fr,lost
boone,0.0221962406124627,fr,lost
arrte,0.0220805161439711,fr,lost
plat,0.0220730363760684,fr,lost
station,0.0220617180012866,fr,lost
perdre,0.021803354853461,fr,lost
linus,0.0211843503676901,fr,lost
minute,0.020862279106495,fr,lost
vol,0.0207495483728341,fr,lost
eau,0.0207495483728341,fr,lost
radeau,0.0206974920781543,fr,lost
problme,0.0206023225945839,fr,lost
rousseau,0.0204700903564719,fr,lost
bonjour,0.0204175484009105,fr,lost
endroit,0.0203966032335822,fr,lost
kwon,0.0203907156229176,fr,lost
juliet,0.0203907156229176,fr,lost
sauver,0.0201403871104004,fr,lost
salut,0.019955612916727,fr,lost
faraday,0.0196868059983165,fr,lost
lost,0.0195286199713447,fr,lost
ethan,0.019424912510901,fr,lost
quitter,0.0190927107894263,fr,lost
air,0.0186621935610132,fr,lost
porte,0.0185698064641765,fr,lost
confiance,0.0185698064641765,fr,lost
sanglier,0.0182137930287758,fr,lost
nuit,0.018107870979993,fr,lost
main,0.0178307096894829,fr,lost
semaine,0.0178307096894829,fr,lost
doi,0.0177888183452703,fr,lost
putain,0.0177387334759225,fr,lost
grand,0.0177383225926462,fr,lost
peur,0.0175535483989728,fr,lost
charli,0.0174936792469107,fr,lost
ouvrir,0.01741627764694,fr,lost
