mot,poids_tfidf,langue,serie
taire,0.131117425706527,fr,madmen
draper,0.12294779394842,fr,madmen
ici,0.1008231468429251,fr,madmen
tre,0.0958529917168654,fr,madmen
don,0.0856163253674414,fr,madmen
mme,0.0823625706604177,fr,madmen
peggy,0.0790558897182495,fr,madmen
aimer,0.0657953869068854,fr,madmen
cooper,0.0625290941240072,fr,madmen
sterling,0.0513107856088872,fr,madmen
campbell,0.0495923874749929,fr,madmen
fille,0.0466247885635123,fr,madmen
bureau,0.0443547182660745,fr,madmen
heure,0.0440213739736715,fr,madmen
trs,0.0433113518128058,fr,madmen
regarder,0.0409446112765869,fr,madmen
appeler,0.040707937222965,fr,madmen
duck,0.040393349888286,fr,madmen
petit,0.0395245669548556,fr,madmen
pre,0.0395245669548556,fr,madmen
enfant,0.038577870740368,fr,madmen
dsol,0.0378678485795023,fr,madmen
veux,0.0355011080432834,fr,madmen
besoin,0.0350277599360397,fr,madmen
bonjour,0.0347910858824178,fr,madmen
papa,0.0338443896679302,fr,madmen
client,0.0336112393015388,fr,madmen
apr,0.0328976934534427,fr,madmen
travailler,0.032187671292577,fr,madmen
air,0.0317143231853332,fr,madmen
mieux,0.0310043010244675,fr,madmen
rosesteller,0.0303364919593199,fr,madmen
fait,0.0302942788636019,fr,madmen
kinsey,0.030102232262055,fr,madmen
attendre,0.03005760480998,fr,madmen
joan,0.0296987587160747,fr,madmen
betty,0.0294986023675982,fr,madmen
mari,0.0281536734764993,fr,madmen
tai,0.0279150830233086,fr,madmen
ide,0.0274541902201392,fr,madmen
francine,0.0269658434355527,fr,madmen
grand,0.0267441680592735,fr,madmen
soir,0.0267221307573553,fr,madmen
cosgrove,0.026696506330337,fr,madmen
boulot,0.0262169521741573,fr,madmen
nuit,0.025797471844786,fr,madmen
pass,0.025797471844786,fr,madmen
nixon,0.0257640506939863,fr,madmen
mal,0.0255607977911641,fr,madmen
vrai,0.0250874496839203,fr,madmen
appel,0.0250874496839203,fr,madmen
freddie,0.024976424507528,fr,madmen
dieu,0.0243774275230546,fr,madmen
dsole,0.0236204548658765,fr,madmen
nouveau,0.0231940572549452,fr,madmen
adorer,0.0230346920474358,fr,madmen
sai,0.0229573832013233,fr,madmen
travail,0.0227207091477014,fr,madmen
accord,0.0220106869868357,fr,madmen
kennedy,0.0219489047723806,fr,madmen
sally,0.0218469122994774,fr,madmen
rumsen,0.0218422742107103,fr,madmen
menken,0.0218422742107103,fr,madmen
raison,0.0217740129332138,fr,madmen
quelqu,0.0217740129332138,fr,madmen
titre,0.0216118755573874,fr,madmen
nom,0.0215373388795919,fr,madmen
arrte,0.0210639907723482,fr,madmen
compte,0.0205906426651044,fr,madmen
revenir,0.0203539686114825,fr,madmen
affaire,0.0203539686114825,fr,madmen
bel,0.0202038897488918,fr,madmen
trudy,0.020196674944143,fr,madmen
rentrer,0.0201172945578606,fr,madmen
sortir,0.0201172945578606,fr,madmen
perdre,0.0201172945578606,fr,madmen
maison,0.0201172945578606,fr,madmen
bett,0.0200223797477527,fr,madmen
manger,0.0199633672518812,fr,madmen
clearasil,0.0199319487312794,fr,madmen
hutch,0.0198877791468438,fr,madmen
vendre,0.01948232225786,fr,madmen
problme,0.0194072723969949,fr,madmen
prend,0.019170598343373,fr,madmen
mccann,0.0189974423297882,fr,madmen
utz,0.0189974423297882,fr,madmen
djeuner,0.0185770260969282,fr,madmen
porte,0.0184605761825074,fr,madmen
laisse,0.0184605761825074,fr,madmen
sentir,0.0184605761825074,fr,madmen
carla,0.018254761755398,fr,madmen
sang,0.0182239021288855,fr,madmen
demain,0.0181328744424911,fr,madmen
verre,0.0180391872757963,fr,madmen
finir,0.0179872280752636,fr,madmen
glen,0.0177785677568174,fr,madmen
pub,0.0176837825356187,fr,madmen
voiture,0.0176372777537299,fr,madmen
budget,0.0173967832443012,fr,madmen
barrett,0.0173114356664082,fr,madmen
coup,0.0171785126297284,fr,madmen
runion,0.0171671556664952,fr,madmen
american,0.0170679814414836,fr,madmen
ami,0.017040531860776,fr,madmen
vibrominceur,0.0169884354972191,fr,madmen
boire,0.0168365747907432,fr,madmen
meilleur,0.0168038578071541,fr,madmen
martinson,0.016762449114519,fr,madmen
jeune,0.016701331723347,fr,madmen
phillips,0.0166034993361245,fr,madmen
vien,0.0165671837535322,fr,madmen
mourir,0.0165671837535322,fr,madmen
chercher,0.0163305096999104,fr,madmen
argent,0.0163305096999104,fr,madmen
bert,0.016260115522099,fr,madmen
pryce,0.0162085931291332,fr,madmen
semaine,0.0160938356462885,fr,madmen
essayer,0.0158571615926666,fr,madmen
agence,0.0157540826650116,fr,madmen
dur,0.0157469699105843,fr,madmen
plat,0.0157469699105843,fr,madmen
holloway,0.0155883742026573,fr,madmen
lucky,0.0154584304163918,fr,madmen
bobby,0.015391665739149,fr,madmen
airline,0.0152500681238535,fr,madmen
heureux,0.0151529173116689,fr,madmen
voil,0.0151471394318009,fr,madmen
salut,0.0151471394318009,fr,madmen
beau,0.0150311985510123,fr,madmen
mois,0.014910465378179,fr,madmen
aider,0.014910465378179,fr,madmen
ignorer,0.0147926080978217,fr,madmen
main,0.0146737913245571,fr,madmen
secrtaire,0.0146722207342751,fr,madmen
hofstadt,0.0145615161404735,fr,madmen
chance,0.0144371172709352,fr,madmen
revoir,0.0143154271914403,fr,madmen
olsen,0.0142106818479744,fr,madmen
ville,0.0141908273236264,fr,madmen
pete,0.0141612762345576,fr,madmen
campagne,0.0140190030497163,fr,madmen
strik,0.0139792291135323,fr,madmen
demande,0.0139637691636915,fr,madmen
aujourd,0.0139637691636915,fr,madmen
comprend,0.0139637691636915,fr,madmen
tte,0.0139637691636915,fr,madmen
joli,0.013838246285059,fr,madmen
parl,0.0137270951100696,fr,madmen
bet,0.0136423264301101,fr,madmen
saison,0.0135164223497257,fr,madmen
gros,0.0134904210564477,fr,madmen
point,0.0134904210564477,fr,madmen
question,0.0134904210564477,fr,madmen
mariage,0.0134142675873439,fr,madmen
justafor,0.0134099592916152,fr,madmen
journe,0.0133610653786776,fr,madmen
garon,0.0132537470028258,fr,madmen
souvenir,0.0132537470028258,fr,madmen
famille,0.0132537470028258,fr,madmen
content,0.0132537470028258,fr,madmen
plaisir,0.0129882148385733,fr,madmen
donne,0.012780398895582,fr,madmen
bonsoir,0.0127213386820948,fr,madmen
zelder,0.012592916704717,fr,madmen
parfaire,0.0125071698445521,fr,madmen
service,0.0124067035659149,fr,madmen
vieux,0.0123070507883382,fr,madmen
peur,0.0123070507883382,fr,madmen
occuper,0.0123070507883382,fr,madmen
mohawk,0.0122924626839806,fr,madmen
mona,0.0122728615959779,fr,madmen
chambre,0.0121681131127243,fr,madmen
jouer,0.0121681131127243,fr,madmen
playtex,0.0121345967837279,fr,madmen
vivre,0.0120703767347163,fr,madmen
mlle,0.012046962273729,fr,madmen
magnifique,0.0120204778632678,fr,madmen
oublier,0.0119295226595336,fr,madmen
faon,0.0118337026810944,fr,madmen
harry,0.0117966049779416,fr,madmen
asseoir,0.0116909322063429,fr,madmen
margaret,0.0116206615387508,fr,madmen
chrie,0.0115970286274726,fr,madmen
endroit,0.0114523417531522,fr,madmen
plein,0.0114523417531522,fr,madmen
flicitation,0.0113606177204747,fr,madmen
dormir,0.0113603545738507,fr,madmen
envoyer,0.0113603545738507,fr,madmen
apprendre,0.0113603545738507,fr,madmen
pisode,0.011317556765292,fr,madmen
payer,0.011304557359499,fr,madmen
dteste,0.0112439894797197,fr,madmen
prsident,0.0112158280968251,fr,madmen
changer,0.0112137512999616,fr,madmen
place,0.0111236805202288,fr,madmen
aime,0.0111236805202288,fr,madmen
minute,0.0109751608467709,fr,madmen
chauncey,0.0109625718022037,fr,madmen
