mot,poids_tfidf,langue,serie
jerry,0.3460564675126649,fr,mastersofscifi
bedzyk,0.1883242535095747,fr,mastersofscifi
havelmann,0.177861794981265,fr,mastersofscifi
skynner,0.1673993364529553,fr,mastersofscifi
joe,0.1332614226840121,fr,mastersofscifi
sigrett,0.1150870438114067,fr,mastersofscifi
tre,0.104070879534612,fr,mastersofscifi
ici,0.0999896685724704,fr,mastersofscifi
sigrette,0.0941621267547873,fr,mastersofscifi
mme,0.0857054302049746,fr,mastersofscifi
taire,0.0857054302049746,fr,mastersofscifi
samswope,0.0836996682264776,fr,mastersofscifi
vaisseau,0.0787150857511727,fr,mastersofscifi
curran,0.0773340357473361,fr,mastersofscifi
riggum,0.0732372096981679,fr,mastersofscifi
cargrew,0.0732372096981679,fr,mastersofscifi
deanna,0.063336130147292,fr,mastersofscifi
controlled,0.0627747511698582,fr,mastersofscifi
teckel,0.0591458395879464,fr,mastersofscifi
maison,0.0571369534699831,fr,mastersofscifi
bonbon,0.0567069883761753,fr,mastersofscifi
terre,0.055542474701628,fr,mastersofscifi
petit,0.0550963479889122,fr,mastersofscifi
genetic,0.0542881115548217,fr,mastersofscifi
aimer,0.0530557425078414,fr,mastersofscifi
heure,0.0530557425078414,fr,mastersofscifi
pgase,0.0517526096394531,fr,mastersofscifi
tagne,0.0488861815921006,fr,mastersofscifi
prsident,0.0471116958857995,fr,mastersofscifi
major,0.0465845244728587,fr,mastersofscifi
deanner,0.0452400929623514,fr,mastersofscifi
brownie,0.0424978935464818,fr,mastersofscifi
nappy,0.0418498341132388,fr,mastersofscifi
jinger,0.0418498341132388,fr,mastersofscifi
arrter,0.0408121096214165,fr,mastersofscifi
travailler,0.0408121096214165,fr,mastersofscifi
boom,0.0398928847543114,fr,mastersofscifi
ouai,0.0397210578239986,fr,mastersofscifi
martha,0.0393522863248188,fr,mastersofscifi
rentrer,0.0387715041403456,fr,mastersofscifi
dieu,0.0387715041403456,fr,mastersofscifi
lpher,0.0385359352739709,fr,mastersofscifi
grand,0.0367308986592748,fr,mastersofscifi
regarder,0.0367308986592748,fr,mastersofscifi
trs,0.0367308986592748,fr,mastersofscifi
chien,0.0358277817451949,fr,mastersofscifi
annie,0.0350460258947755,fr,mastersofscifi
champ,0.0331827892637426,fr,mastersofscifi
appeler,0.0326496876971332,fr,mastersofscifi
arme,0.0326496876971332,fr,mastersofscifi
ami,0.0326496876971332,fr,mastersofscifi
fait,0.0326496876971332,fr,mastersofscifi
glowboy,0.0313873755849291,fr,mastersofscifi
teat,0.0313873755849291,fr,mastersofscifi
jing,0.0313873755849291,fr,mastersofscifi
pudgy,0.0313873755849291,fr,mastersofscifi
plasto,0.0313873755849291,fr,mastersofscifi
sanhedrin,0.0313873755849291,fr,mastersofscifi
question,0.0306090822160623,fr,mastersofscifi
sang,0.0306090822160623,fr,mastersofscifi
peur,0.0306090822160623,fr,mastersofscifi
besoin,0.0306090822160623,fr,mastersofscifi
bert,0.030477138926125,fr,mastersofscifi
cheval,0.0297059420586151,fr,mastersofscifi
capitaine,0.0290309410498786,fr,mastersofscifi
accord,0.0285684767349915,fr,mastersofscifi
voil,0.0285684767349915,fr,mastersofscifi
harmony,0.0279349609097717,fr,mastersofscifi
inviton,0.0279349609097717,fr,mastersofscifi
mccoy,0.0272247373385695,fr,mastersofscifi
smiler,0.0271440557774108,fr,mastersofscifi
browni,0.0271440557774108,fr,mastersofscifi
terrestre,0.0271220707929011,fr,mastersofscifi
couter,0.0267426730044875,fr,mastersofscifi
vogel,0.026571394986576,fr,mastersofscifi
brigg,0.026571394986576,fr,mastersofscifi
perdre,0.0265278712539207,fr,mastersofscifi
place,0.0265278712539207,fr,mastersofscifi
attendre,0.0265278712539207,fr,mastersofscifi
travail,0.0265278712539207,fr,mastersofscifi
mourir,0.0265278712539207,fr,mastersofscifi
pler,0.0249326585429084,fr,mastersofscifi
envoy,0.0248854414690421,fr,mastersofscifi
lieutenant,0.0247519971525686,fr,mastersofscifi
club,0.0247313418545363,fr,mastersofscifi
choix,0.0246855443118346,fr,mastersofscifi
oeil,0.0244872657728499,fr,mastersofscifi
apr,0.0244872657728499,fr,mastersofscifi
agir,0.0244872657728499,fr,mastersofscifi
argent,0.0244872657728499,fr,mastersofscifi
tat,0.0244872657728499,fr,mastersofscifi
quelqu,0.0244872657728499,fr,mastersofscifi
peuple,0.0244562623698587,fr,mastersofscifi
maladie,0.0243340454600779,fr,mastersofscifi
socit,0.0241380035127221,fr,mastersofscifi
honneur,0.0241380035127221,fr,mastersofscifi
